utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:01,2025-08-31 21:00:01,Argentina,Buenos Aires,South America,17.57,16.6,18.3,92.0,17.78,10000.0,0.2,0.0,5.66,0.0,110.0,1013.0,0,500,Rain,light rain,10n
2025-09-01 06:00:08,2025-09-01 03:00:08,Argentina,Buenos Aires,South America,17.17,16.6,17.9,98.0,17.5,3000.0,4.1,100.0,1.54,0.0,10.0,1012.0,0,502,Rain,heavy intensity rain,10n
2025-09-01 12:00:04,2025-09-01 09:00:04,Argentina,Buenos Aires,South America,10.67,9.37,11.08,93.0,10.22,4000.0,0.0,100.0,3.09,0.0,270.0,1015.0,1,300,Drizzle,light intensity drizzle,09d
2025-09-01 18:00:04,2025-09-01 15:00:04,Argentina,Buenos Aires,South America,11.36,10.48,12.16,78.0,10.59,10000.0,0.0,100.0,5.66,0.0,300.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-09-02 00:00:01,2025-09-01 21:00:01,Argentina,Buenos Aires,South America,11.76,10.49,12.66,79.0,11.05,10000.0,0.0,51.0,3.12,8.1,306.0,1018.0,0,803,Clouds,broken clouds,04n
2025-09-02 06:00:07,2025-09-02 03:00:07,Argentina,Buenos Aires,South America,10.19,8.27,10.82,87.0,9.54,10000.0,0.0,0.0,3.09,0.0,310.0,1018.0,0,800,Clear,clear sky,01n
2025-09-02 12:00:03,2025-09-02 09:00:03,Argentina,Buenos Aires,South America,11.07,7.79,12.1,89.0,10.56,10000.0,0.0,0.0,0.51,0.0,0.0,1018.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:01,2025-09-02 15:00:01,Argentina,Buenos Aires,South America,11.84,11.04,12.75,84.0,11.27,3000.0,0.0,100.0,3.6,0.0,100.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-09-03 00:00:09,2025-09-02 21:00:09,Argentina,Buenos Aires,South America,11.97,11.08,12.88,88.0,11.52,10000.0,0.0,75.0,5.14,0.0,120.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:07,2025-09-03 03:00:07,Argentina,Buenos Aires,South America,11.62,10.49,12.1,93.0,11.27,8000.0,0.0,100.0,1.03,0.0,0.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-03 12:00:05,2025-09-03 09:00:05,Argentina,Buenos Aires,South America,10.88,9.93,11.15,93.0,10.45,8000.0,0.0,100.0,2.06,0.0,220.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-09-03 18:00:03,2025-09-03 15:00:03,Argentina,Buenos Aires,South America,17.34,15.79,17.82,72.0,17.01,10000.0,0.0,57.0,0.45,1.79,45.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-04 00:00:08,2025-09-03 21:00:08,Argentina,Buenos Aires,South America,12.62,11.9,13.79,57.0,11.43,10000.0,0.0,41.0,0.89,2.68,23.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-09-04 06:00:04,2025-09-04 03:00:04,Argentina,Buenos Aires,South America,8.52,7.72,9.32,68.0,8.52,10000.0,0.0,1.0,0.89,3.13,0.0,1022.0,0,800,Clear,clear sky,01n
2025-09-04 12:00:02,2025-09-04 09:00:02,Argentina,Buenos Aires,South America,5.33,4.79,6.03,73.0,2.5,10000.0,0.0,0.0,3.6,8.75,200.0,1027.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:04,2025-09-04 15:00:04,Argentina,Buenos Aires,South America,10.81,9.79,11.64,40.0,8.99,10000.0,0.0,0.0,3.6,0.0,240.0,1027.0,1,800,Clear,clear sky,01d
2025-09-05 00:00:10,2025-09-04 21:00:10,Argentina,Buenos Aires,South America,8.02,6.88,8.83,60.0,6.83,10000.0,0.0,0.0,2.06,0.0,180.0,1029.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:06,2025-09-05 03:00:06,Argentina,Buenos Aires,South America,3.72,3.37,4.92,83.0,1.03,10000.0,0.0,9.0,2.92,3.99,192.0,1030.0,0,800,Clear,clear sky,01n
2025-09-05 12:00:02,2025-09-05 09:00:02,Argentina,Buenos Aires,South America,5.94,2.79,6.82,72.0,4.97,10000.0,0.0,0.0,1.54,0.0,230.0,1031.0,1,800,Clear,clear sky,01d
