utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:02,2025-08-31 18:00:02,Belize,Belmopan,North America,28.7,28.7,28.7,73.0,32.6,10000.0,0.0,10.0,2.98,7.21,80.0,1011.0,1,800,Clear,clear sky,01d
2025-09-01 06:00:08,2025-09-01 00:00:08,Belize,Belmopan,North America,24.91,24.91,24.91,96.0,25.96,10000.0,0.0,35.0,1.23,7.67,72.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-01 12:00:05,2025-09-01 06:00:05,Belize,Belmopan,North America,24.13,24.13,24.13,97.0,25.13,10000.0,0.1,65.0,0.49,0.6,136.0,1013.0,1,500,Rain,light rain,10d
2025-09-01 18:00:05,2025-09-01 12:00:05,Belize,Belmopan,North America,32.39,32.39,32.39,57.0,37.06,10000.0,0.0,87.0,2.56,3.57,103.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-09-02 00:00:02,2025-09-01 18:00:02,Belize,Belmopan,North America,28.24,28.24,28.24,79.0,32.54,10000.0,0.0,15.0,2.75,6.99,86.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-02 06:00:08,2025-09-02 00:00:08,Belize,Belmopan,North America,24.07,24.07,24.07,97.0,25.07,10000.0,0.0,14.0,1.11,3.4,117.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-02 12:00:04,2025-09-02 06:00:04,Belize,Belmopan,North America,25.75,25.75,25.75,97.0,26.91,10000.0,0.0,9.0,0.84,0.84,225.0,1013.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:02,2025-09-02 12:00:02,Belize,Belmopan,North America,35.23,35.23,35.23,40.0,37.65,10000.0,0.0,100.0,3.04,3.83,80.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-09-03 00:00:10,2025-09-02 18:00:10,Belize,Belmopan,North America,28.73,28.73,28.73,69.0,31.98,10000.0,0.0,57.0,2.28,5.9,87.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-03 06:00:08,2025-09-03 00:00:08,Belize,Belmopan,North America,23.78,23.78,23.78,99.0,24.8,10000.0,0.0,55.0,1.07,2.2,150.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-03 12:00:06,2025-09-03 06:00:06,Belize,Belmopan,North America,23.5,23.5,23.5,95.0,24.39,10000.0,0.0,74.0,0.66,0.66,234.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:03,2025-09-03 12:00:03,Belize,Belmopan,North America,29.7,29.7,29.7,71.0,34.54,10000.0,0.41,83.0,2.16,4.42,98.0,1013.0,1,500,Rain,light rain,10d
2025-09-04 00:00:09,2025-09-03 18:00:09,Belize,Belmopan,North America,28.38,28.38,28.38,70.0,31.42,10000.0,0.0,83.0,2.58,6.86,97.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-04 06:00:05,2025-09-04 00:00:05,Belize,Belmopan,North America,23.46,23.46,23.46,98.0,24.42,10000.0,0.0,61.0,1.49,5.9,135.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-04 12:00:04,2025-09-04 06:00:04,Belize,Belmopan,North America,22.87,22.87,22.87,99.0,23.8,10000.0,0.0,68.0,0.76,0.83,242.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-04 18:00:05,2025-09-04 12:00:05,Belize,Belmopan,North America,34.01,34.01,34.01,50.0,38.41,10000.0,0.0,16.0,2.7,2.75,53.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-05 00:00:11,2025-09-04 18:00:11,Belize,Belmopan,North America,29.66,29.66,29.66,69.0,34.0,10000.0,0.0,6.0,3.1,6.89,88.0,1010.0,1,800,Clear,clear sky,01d
2025-09-05 06:00:06,2025-09-05 00:00:06,Belize,Belmopan,North America,24.57,24.57,24.57,96.0,25.59,10000.0,0.0,20.0,1.36,5.62,130.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-05 12:00:03,2025-09-05 06:00:03,Belize,Belmopan,North America,22.98,22.98,22.98,97.0,23.87,10000.0,0.0,57.0,0.95,0.97,221.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-05 18:00:11,2025-09-05 12:00:11,Belize,Belmopan,North America,32.92,32.92,32.92,54.0,37.32,10000.0,0.0,16.0,3.33,3.37,87.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-06 00:00:08,2025-09-05 18:00:08,Belize,Belmopan,North America,29.01,29.01,29.01,71.0,32.94,10000.0,0.0,27.0,2.87,7.17,87.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-09-06 06:00:05,2025-09-06 00:00:05,Belize,Belmopan,North America,25.46,25.46,25.46,91.0,26.44,10000.0,0.0,34.0,1.01,1.28,118.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-06 12:00:02,2025-09-06 06:00:02,Belize,Belmopan,North America,24.37,24.37,24.37,95.0,25.34,10000.0,0.0,66.0,0.57,0.66,207.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-06 18:00:11,2025-09-06 12:00:11,Belize,Belmopan,North America,33.98,33.98,33.98,49.0,38.02,10000.0,0.0,18.0,3.32,3.84,82.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-07 00:00:09,2025-09-06 18:00:09,Belize,Belmopan,North America,29.43,29.43,29.43,73.0,34.33,10000.0,0.0,46.0,2.7,6.64,81.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-07 06:00:07,2025-09-07 00:00:07,Belize,Belmopan,North America,25.24,25.24,25.24,95.0,26.3,10000.0,0.0,85.0,1.01,2.16,129.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-07 12:00:05,2025-09-07 06:00:05,Belize,Belmopan,North America,23.5,23.5,23.5,96.0,24.41,10000.0,0.0,83.0,0.18,0.48,304.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-07 18:00:07,2025-09-07 12:00:07,Belize,Belmopan,North America,35.44,35.44,35.44,50.0,41.74,10000.0,0.0,31.0,3.36,3.55,68.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-08 00:00:03,2025-09-07 18:00:03,Belize,Belmopan,North America,29.05,29.05,29.05,77.0,34.23,10000.0,0.0,16.0,3.12,7.08,80.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-08 06:00:08,2025-09-08 00:00:08,Belize,Belmopan,North America,24.17,24.17,24.17,95.0,25.12,10000.0,0.0,39.0,0.71,0.79,179.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-09-08 12:00:04,2025-09-08 06:00:04,Belize,Belmopan,North America,25.2,25.2,25.2,95.0,26.26,10000.0,0.0,98.0,0.95,1.5,235.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-09-08 18:00:01,2025-09-08 12:00:01,Belize,Belmopan,North America,32.32,32.32,32.32,54.0,36.03,10000.0,0.0,62.0,3.58,3.64,78.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-09 00:00:08,2025-09-08 18:00:08,Belize,Belmopan,North America,26.6,26.6,26.6,78.0,26.6,10000.0,0.0,19.0,2.73,6.7,80.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-09 06:00:05,2025-09-09 00:00:05,Belize,Belmopan,North America,24.15,24.15,24.15,96.0,25.13,10000.0,0.0,39.0,1.1,1.55,137.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-09 12:00:02,2025-09-09 06:00:02,Belize,Belmopan,North America,23.47,23.47,23.47,97.0,24.41,10000.0,0.0,57.0,0.66,0.66,168.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-09 18:00:06,2025-09-09 12:00:06,Belize,Belmopan,North America,34.28,34.28,34.28,53.0,40.11,10000.0,0.0,23.0,3.35,4.74,80.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-10 00:00:08,2025-09-09 18:00:08,Belize,Belmopan,North America,27.89,27.89,27.89,70.0,30.46,10000.0,0.0,7.0,2.71,6.87,91.0,1010.0,1,800,Clear,clear sky,01d
2025-09-10 06:00:08,2025-09-10 00:00:08,Belize,Belmopan,North America,24.41,24.41,24.41,95.0,25.39,10000.0,0.0,25.0,0.78,0.93,70.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-10 12:00:10,2025-09-10 06:00:10,Belize,Belmopan,North America,24.18,24.18,24.18,95.0,25.13,10000.0,0.0,33.0,1.41,6.93,111.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-10 18:00:05,2025-09-10 12:00:05,Belize,Belmopan,North America,33.45,33.45,33.45,58.0,39.93,10000.0,0.0,73.0,4.04,5.85,83.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-11 00:00:10,2025-09-10 18:00:10,Belize,Belmopan,North America,27.61,27.61,27.61,81.0,31.28,10000.0,0.0,99.0,2.06,6.17,77.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-09-11 06:00:07,2025-09-11 00:00:07,Belize,Belmopan,North America,24.96,24.96,24.96,99.0,26.1,10000.0,0.0,94.0,0.54,0.66,135.0,1014.0,0,804,Clouds,overcast clouds,04n
