utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:02,2025-08-31 20:00:02,Bolivia,La Paz,South America,12.56,12.56,12.56,17.0,10.32,10000.0,0.0,40.0,3.09,0.0,270.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-09-01 06:00:09,2025-09-01 02:00:09,Bolivia,La Paz,South America,1.56,1.56,1.56,100.0,-1.24,10000.0,0.0,20.0,2.57,0.0,60.0,1022.0,0,801,Clouds,few clouds,02n
2025-09-01 12:00:05,2025-09-01 08:00:05,Bolivia,La Paz,South America,5.56,5.56,5.56,56.0,5.56,8000.0,0.0,20.0,1.03,0.0,0.0,1023.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:05,2025-09-01 14:00:05,Bolivia,La Paz,South America,16.56,16.56,16.56,18.0,14.74,10000.0,0.0,40.0,3.09,0.0,270.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-02 00:00:02,2025-09-01 20:00:02,Bolivia,La Paz,South America,10.56,10.56,10.56,57.0,9.16,10000.0,0.0,20.0,5.14,0.0,70.0,1020.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:08,2025-09-02 02:00:08,Bolivia,La Paz,South America,7.56,7.56,7.56,93.0,5.88,10000.0,0.0,40.0,2.57,0.0,110.0,1021.0,0,741,Fog,fog,50n
2025-09-02 12:00:05,2025-09-02 08:00:05,Bolivia,La Paz,South America,7.56,7.56,7.56,81.0,7.56,8000.0,0.0,20.0,1.03,0.0,0.0,1023.0,1,801,Clouds,few clouds,02d
2025-09-02 18:00:02,2025-09-02 14:00:02,Bolivia,La Paz,South America,15.56,15.56,15.56,35.0,14.09,10000.0,0.0,40.0,3.09,0.0,280.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-03 00:00:10,2025-09-02 20:00:10,Bolivia,La Paz,South America,11.56,11.56,11.56,57.0,10.26,10000.0,0.0,20.0,3.6,0.0,110.0,1020.0,0,801,Clouds,few clouds,02n
2025-09-03 06:00:08,2025-09-03 02:00:08,Bolivia,La Paz,South America,6.56,6.56,6.56,100.0,3.46,10000.0,0.0,75.0,4.63,0.0,100.0,1021.0,0,741,Fog,fog,50n
2025-09-03 12:00:06,2025-09-03 08:00:06,Bolivia,La Paz,South America,6.56,6.56,6.56,87.0,4.32,10000.0,0.0,75.0,3.09,0.0,310.0,1022.0,1,741,Fog,fog,50d
