utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:02,2025-08-31 21:00:02,Brazil,Brasília,South America,24.79,19.2,24.79,33.0,24.19,10000.0,0.0,0.0,4.12,0.0,130.0,1019.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:09,2025-09-01 03:00:09,Brazil,Brasília,South America,17.79,15.31,17.79,55.0,17.06,10000.0,0.0,0.0,1.03,0.0,0.0,1017.0,0,800,Clear,clear sky,01n
2025-09-01 12:00:05,2025-09-01 09:00:05,Brazil,Brasília,South America,19.96,19.79,21.73,56.0,19.47,10000.0,0.0,0.0,5.14,0.0,100.0,1022.0,1,800,Clear,clear sky,01d
2025-09-01 18:00:05,2025-09-01 15:00:05,Brazil,Brasília,South America,27.83,27.27,28.08,35.0,27.22,10000.0,0.0,40.0,7.2,0.0,140.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-02 00:00:03,2025-09-01 21:00:03,Brazil,Brasília,South America,23.79,23.79,23.79,41.0,23.3,10000.0,0.0,0.0,5.14,0.0,120.0,1020.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:08,2025-09-02 03:00:08,Brazil,Brasília,South America,18.79,18.79,18.79,55.0,18.16,10000.0,0.0,0.0,2.06,0.0,140.0,1020.0,0,800,Clear,clear sky,01n
2025-09-02 12:00:05,2025-09-02 09:00:05,Brazil,Brasília,South America,18.94,18.79,20.06,62.0,18.51,10000.0,0.0,0.0,7.2,0.0,90.0,1022.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:02,2025-09-02 15:00:02,Brazil,Brasília,South America,25.89,25.79,26.73,37.0,25.5,10000.0,0.0,40.0,7.2,0.0,120.0,1018.0,1,802,Clouds,scattered clouds,03d
2025-09-03 00:00:10,2025-09-02 21:00:10,Brazil,Brasília,South America,21.79,21.79,21.79,43.0,21.15,10000.0,0.0,0.0,4.12,0.0,120.0,1020.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:09,2025-09-03 03:00:09,Brazil,Brasília,South America,15.79,15.79,15.79,63.0,15.07,10000.0,0.0,0.0,3.6,0.0,110.0,1019.0,0,800,Clear,clear sky,01n
2025-09-03 12:00:07,2025-09-03 09:00:07,Brazil,Brasília,South America,16.99,16.79,18.09,75.0,16.7,10000.0,0.0,75.0,7.2,0.0,90.0,1022.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:04,2025-09-03 15:00:04,Brazil,Brasília,South America,24.79,24.79,26.17,41.0,24.4,10000.0,0.0,0.0,4.63,9.77,90.0,1015.0,1,800,Clear,clear sky,01d
2025-09-04 00:00:09,2025-09-03 21:00:09,Brazil,Brasília,South America,16.98,16.98,17.28,65.0,16.43,10000.0,0.0,57.0,5.39,10.99,87.0,1020.0,0,803,Clouds,broken clouds,04n
2025-09-04 06:00:05,2025-09-04 03:00:05,Brazil,Brasília,South America,16.27,13.64,16.79,75.0,15.91,10000.0,0.0,0.0,4.12,0.0,90.0,1020.0,0,800,Clear,clear sky,01n
2025-09-04 12:00:06,2025-09-04 09:00:06,Brazil,Brasília,South America,18.94,18.79,19.76,62.0,18.51,10000.0,0.0,0.0,5.66,0.0,80.0,1022.0,1,800,Clear,clear sky,01d
