utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:03,2025-08-31 19:00:03,Cayman Islands,George Town,North America,32.01,29.44,32.01,70.0,39.01,10000.0,0.0,40.0,3.09,0.0,60.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-01 06:00:09,2025-09-01 01:00:09,Cayman Islands,George Town,North America,26.67,26.67,26.67,94.0,30.15,10000.0,0.0,26.0,4.2,4.79,55.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-01 12:00:06,2025-09-01 07:00:06,Cayman Islands,George Town,North America,29.01,29.01,29.01,79.0,34.55,10000.0,0.0,20.0,2.06,0.0,90.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:06,2025-09-01 13:00:06,Cayman Islands,George Town,North America,32.01,32.01,32.01,14.0,29.78,10000.0,0.0,40.0,3.6,0.0,40.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-02 00:00:03,2025-09-01 19:00:03,Cayman Islands,George Town,North America,31.01,29.44,31.01,66.0,36.46,10000.0,0.0,20.0,3.6,0.0,50.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:09,2025-09-02 01:00:09,Cayman Islands,George Town,North America,26.67,26.67,26.67,91.0,29.89,10000.0,0.0,21.0,2.86,3.02,76.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-02 12:00:06,2025-09-02 07:00:06,Cayman Islands,George Town,North America,28.01,28.01,28.01,83.0,32.6,10000.0,0.0,20.0,1.54,0.0,100.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-02 18:00:03,2025-09-02 13:00:03,Cayman Islands,George Town,North America,32.01,32.01,32.01,66.0,39.01,10000.0,0.0,40.0,3.6,0.0,70.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-03 00:00:11,2025-09-02 19:00:11,Cayman Islands,George Town,North America,32.01,28.33,32.01,62.0,37.72,10000.0,0.0,20.0,2.57,0.0,150.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-03 06:00:09,2025-09-03 01:00:09,Cayman Islands,George Town,North America,26.11,26.11,26.11,92.0,26.11,10000.0,0.0,78.0,1.35,1.32,91.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-03 12:00:07,2025-09-03 07:00:07,Cayman Islands,George Town,North America,26.01,26.01,26.01,94.0,26.01,10000.0,0.0,20.0,0.0,0.0,0.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-03 18:00:05,2025-09-03 13:00:05,Cayman Islands,George Town,North America,31.01,30.0,31.67,66.0,36.46,10000.0,0.0,20.0,3.6,0.0,0.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-04 00:00:10,2025-09-03 19:00:10,Cayman Islands,George Town,North America,31.01,27.22,31.01,70.0,37.63,10000.0,0.0,20.0,2.06,0.0,50.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-04 06:00:06,2025-09-04 01:00:06,Cayman Islands,George Town,North America,29.28,29.28,29.28,68.0,32.95,10000.0,0.0,99.0,2.89,3.04,134.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-09-04 12:00:06,2025-09-04 07:00:06,Cayman Islands,George Town,North America,28.01,28.01,28.33,83.0,32.6,10000.0,0.18,20.0,1.03,0.0,0.0,1013.0,1,500,Rain,light rain,10d
2025-09-04 18:00:06,2025-09-04 13:00:06,Cayman Islands,George Town,North America,32.01,31.67,32.01,66.0,39.01,10000.0,0.0,20.0,1.54,0.0,0.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-05 00:00:12,2025-09-04 19:00:12,Cayman Islands,George Town,North America,31.01,28.33,31.01,66.0,36.46,10000.0,0.0,40.0,1.54,0.0,60.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-05 06:00:07,2025-09-05 01:00:07,Cayman Islands,George Town,North America,27.5,26.67,28.33,88.0,31.93,10000.0,0.0,78.0,3.65,3.8,109.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-05 12:00:05,2025-09-05 07:00:05,Cayman Islands,George Town,North America,29.01,26.67,29.01,84.0,35.67,10000.0,0.33,20.0,2.06,0.0,90.0,1013.0,1,500,Rain,light rain,10d
2025-09-05 18:00:13,2025-09-05 13:00:13,Cayman Islands,George Town,North America,33.01,33.01,33.01,62.0,40.01,10000.0,0.0,40.0,3.6,0.0,150.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-06 00:00:10,2025-09-05 19:00:10,Cayman Islands,George Town,North America,30.01,29.44,30.01,74.0,36.07,10000.0,0.0,75.0,3.09,0.0,110.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-06 06:00:07,2025-09-06 01:00:07,Cayman Islands,George Town,North America,29.8,29.8,29.8,66.0,33.67,10000.0,0.0,100.0,4.38,4.49,110.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-06 12:00:03,2025-09-06 07:00:03,Cayman Islands,George Town,North America,28.01,28.01,28.01,78.0,31.82,10000.0,0.0,20.0,2.57,0.0,40.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-06 18:00:13,2025-09-06 13:00:13,Cayman Islands,George Town,North America,32.01,32.01,32.78,66.0,39.01,10000.0,0.0,20.0,4.12,0.0,110.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-07 00:00:10,2025-09-06 19:00:10,Cayman Islands,George Town,North America,30.01,28.89,30.01,70.0,35.06,10000.0,0.25,40.0,4.63,0.0,50.0,1014.0,0,500,Rain,light rain,10n
2025-09-07 06:00:08,2025-09-07 01:00:08,Cayman Islands,George Town,North America,26.67,26.67,26.67,94.0,30.15,10000.0,0.0,73.0,2.35,2.55,81.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-07 12:00:07,2025-09-07 07:00:07,Cayman Islands,George Town,North America,27.01,27.01,27.01,89.0,30.66,10000.0,0.0,20.0,0.0,0.0,0.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-07 18:00:09,2025-09-07 13:00:09,Cayman Islands,George Town,North America,32.01,32.01,32.22,66.0,39.01,10000.0,0.0,20.0,4.63,0.0,140.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-08 00:00:04,2025-09-07 19:00:04,Cayman Islands,George Town,North America,31.01,28.89,31.01,66.0,36.46,10000.0,0.0,20.0,3.09,0.0,90.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-08 06:00:10,2025-09-08 01:00:10,Cayman Islands,George Town,North America,26.67,26.67,26.67,92.0,29.98,10000.0,0.0,23.0,0.45,1.34,93.0,1013.0,0,801,Clouds,few clouds,02n
