utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:03,2025-09-01 01:00:03,Central African Republic,Bangui,Africa,20.89,20.89,20.89,100.0,21.65,8000.0,0.0,80.0,2.06,0.0,340.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-01 06:00:09,2025-09-01 07:00:09,Central African Republic,Bangui,Africa,20.89,20.89,20.89,94.0,21.49,10000.0,0.32,20.0,1.03,0.0,0.0,1016.0,1,500,Rain,light rain,10d
2025-09-01 12:00:06,2025-09-01 13:00:06,Central African Republic,Bangui,Africa,26.89,26.89,26.89,74.0,28.99,10000.0,0.0,40.0,0.51,0.0,0.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-01 18:00:06,2025-09-01 19:00:06,Central African Republic,Bangui,Africa,26.89,26.89,26.89,74.0,28.99,10000.0,0.0,40.0,1.54,0.0,180.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-02 00:00:03,2025-09-02 01:00:03,Central African Republic,Bangui,Africa,22.89,22.89,22.89,94.0,23.69,10000.0,0.0,0.0,2.57,0.0,340.0,1013.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:09,2025-09-02 07:00:09,Central African Republic,Bangui,Africa,22.89,22.89,22.89,94.0,23.69,7000.0,0.0,20.0,0.0,0.0,0.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:06,2025-09-02 13:00:06,Central African Republic,Bangui,Africa,30.89,30.89,30.89,58.0,34.14,10000.0,0.0,40.0,1.03,0.0,0.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-09-02 18:00:03,2025-09-02 19:00:03,Central African Republic,Bangui,Africa,28.89,28.89,28.89,74.0,33.23,10000.0,0.0,20.0,0.51,0.0,0.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-03 00:00:11,2025-09-03 01:00:11,Central African Republic,Bangui,Africa,21.06,21.06,21.06,97.0,21.75,10000.0,0.77,93.0,0.91,0.94,268.0,1012.0,0,500,Rain,light rain,10n
2025-09-03 06:00:09,2025-09-03 07:00:09,Central African Republic,Bangui,Africa,21.89,21.89,21.89,94.0,22.59,8000.0,0.0,97.0,1.03,0.0,270.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-09-03 12:00:07,2025-09-03 13:00:07,Central African Republic,Bangui,Africa,32.89,32.89,32.89,58.0,38.55,10000.0,0.0,75.0,1.03,0.0,0.0,1010.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:05,2025-09-03 19:00:05,Central African Republic,Bangui,Africa,28.89,28.89,28.89,74.0,33.23,10000.0,0.0,0.0,1.54,0.0,330.0,1010.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:10,2025-09-04 01:00:10,Central African Republic,Bangui,Africa,24.89,24.89,24.89,94.0,25.89,10000.0,0.0,20.0,2.57,0.0,360.0,1011.0,0,211,Thunderstorm,thunderstorm,11n
2025-09-04 06:00:06,2025-09-04 07:00:06,Central African Republic,Bangui,Africa,20.89,20.89,20.89,94.0,21.49,10000.0,0.0,20.0,1.54,0.0,0.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-04 12:00:06,2025-09-04 13:00:06,Central African Republic,Bangui,Africa,22.89,22.89,22.89,88.0,23.53,10000.0,2.32,75.0,1.54,0.0,150.0,1013.0,1,200,Thunderstorm,thunderstorm with light rain,11d
2025-09-04 18:00:06,2025-09-04 19:00:06,Central African Republic,Bangui,Africa,23.89,23.89,23.89,83.0,24.5,10000.0,0.0,20.0,0.0,0.0,0.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-05 00:00:12,2025-09-05 01:00:12,Central African Republic,Bangui,Africa,19.78,19.78,19.78,97.0,20.35,10000.0,0.0,77.0,0.47,0.5,274.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-05 06:00:07,2025-09-05 07:00:07,Central African Republic,Bangui,Africa,20.89,20.89,20.89,94.0,21.49,1200.0,0.0,20.0,1.03,0.0,0.0,1014.0,1,701,Mist,mist,50d
2025-09-05 12:00:05,2025-09-05 13:00:05,Central African Republic,Bangui,Africa,30.89,30.89,30.89,62.0,35.11,10000.0,0.0,75.0,1.54,0.0,260.0,1010.0,1,803,Clouds,broken clouds,04d
2025-09-05 18:00:13,2025-09-05 19:00:13,Central African Republic,Bangui,Africa,27.89,27.89,27.89,83.0,32.28,10000.0,0.0,20.0,2.06,0.0,160.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-06 00:00:10,2025-09-06 01:00:10,Central African Republic,Bangui,Africa,23.89,23.89,23.89,94.0,24.79,10000.0,0.0,20.0,1.03,0.0,310.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-06 06:00:07,2025-09-06 07:00:07,Central African Republic,Bangui,Africa,21.89,21.89,21.89,100.0,22.75,6000.0,0.0,37.0,1.03,0.0,310.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-06 12:00:04,2025-09-06 13:00:04,Central African Republic,Bangui,Africa,31.89,31.89,31.89,58.0,36.24,10000.0,0.0,75.0,2.06,0.0,0.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-06 18:00:13,2025-09-06 19:00:13,Central African Republic,Bangui,Africa,29.89,29.89,29.89,74.0,35.75,10000.0,0.0,20.0,1.03,0.0,240.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-07 00:00:10,2025-09-07 01:00:10,Central African Republic,Bangui,Africa,24.89,24.89,24.89,94.0,25.89,4000.0,0.0,90.0,0.0,0.0,0.0,1012.0,0,701,Mist,mist,50n
2025-09-07 06:00:08,2025-09-07 07:00:08,Central African Republic,Bangui,Africa,23.89,23.89,23.89,88.0,24.63,8000.0,0.25,40.0,1.54,0.0,0.0,1013.0,1,211,Thunderstorm,thunderstorm,11d
2025-09-07 12:00:07,2025-09-07 13:00:07,Central African Republic,Bangui,Africa,23.89,23.89,23.89,88.0,24.63,10000.0,1.33,75.0,6.69,18.01,0.0,1012.0,1,501,Rain,moderate rain,10d
2025-09-07 18:00:09,2025-09-07 19:00:09,Central African Republic,Bangui,Africa,24.89,24.89,24.89,88.0,25.73,10000.0,0.0,20.0,2.06,0.0,290.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-08 00:00:04,2025-09-08 01:00:04,Central African Republic,Bangui,Africa,22.89,22.89,22.89,94.0,23.69,7000.0,0.0,100.0,1.03,0.0,0.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-09-08 06:00:10,2025-09-08 07:00:10,Central African Republic,Bangui,Africa,20.89,20.89,20.89,100.0,21.65,4000.0,0.0,40.0,2.06,0.0,0.0,1014.0,1,701,Mist,mist,50d
2025-09-08 12:00:06,2025-09-08 13:00:06,Central African Republic,Bangui,Africa,31.89,31.89,31.89,58.0,36.24,10000.0,1.29,20.0,3.09,0.0,0.0,1012.0,1,501,Rain,moderate rain,10d
2025-09-08 18:00:03,2025-09-08 19:00:03,Central African Republic,Bangui,Africa,27.89,27.89,27.89,74.0,30.98,10000.0,0.0,20.0,4.12,0.0,180.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-09 00:00:09,2025-09-09 01:00:09,Central African Republic,Bangui,Africa,20.94,20.94,20.94,95.0,21.57,10000.0,0.0,64.0,0.57,0.56,270.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-09 06:00:06,2025-09-09 07:00:06,Central African Republic,Bangui,Africa,22.89,22.89,22.89,94.0,23.69,8000.0,0.0,94.0,1.54,0.0,0.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-09-09 12:00:05,2025-09-09 13:00:05,Central African Republic,Bangui,Africa,30.89,30.89,30.89,62.0,35.11,10000.0,0.0,40.0,2.06,8.23,0.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-09 18:00:07,2025-09-09 19:00:07,Central African Republic,Bangui,Africa,28.89,28.89,28.89,70.0,32.49,10000.0,0.0,40.0,4.63,0.0,30.0,1012.0,0,211,Thunderstorm,thunderstorm,11n
2025-09-10 00:00:10,2025-09-10 01:00:10,Central African Republic,Bangui,Africa,22.89,22.89,22.89,94.0,23.69,10000.0,0.0,0.0,7.2,0.0,0.0,1013.0,0,800,Clear,clear sky,01n
2025-09-10 06:00:09,2025-09-10 07:00:09,Central African Republic,Bangui,Africa,22.89,22.89,22.89,94.0,23.69,10000.0,0.0,20.0,2.06,0.0,320.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-10 12:00:12,2025-09-10 13:00:12,Central African Republic,Bangui,Africa,32.89,32.89,32.89,55.0,37.56,10000.0,0.0,40.0,2.57,0.0,0.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-10 18:00:06,2025-09-10 19:00:06,Central African Republic,Bangui,Africa,28.89,28.89,28.89,74.0,33.23,8000.0,0.0,20.0,1.03,0.0,0.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-11 00:00:11,2025-09-11 01:00:11,Central African Republic,Bangui,Africa,24.89,24.89,24.89,88.0,25.73,10000.0,1.15,75.0,3.09,0.0,110.0,1013.0,0,211,Thunderstorm,thunderstorm,11n
2025-09-11 06:00:08,2025-09-11 07:00:08,Central African Republic,Bangui,Africa,22.15,22.15,22.15,96.0,22.93,10000.0,0.0,100.0,1.6,5.34,36.0,1015.0,1,804,Clouds,overcast clouds,04d
