utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:03,2025-09-01 06:30:03,Cocos (Keeling) Islands,West Island,Asia,26.0,26.0,26.0,78.0,26.0,10000.0,0.15,20.0,6.17,0.0,120.0,1012.0,1,500,Rain,light rain,10d
2025-09-01 06:00:10,2025-09-01 12:30:10,Cocos (Keeling) Islands,West Island,Asia,27.99,27.99,27.99,74.0,31.19,10000.0,0.0,75.0,5.14,0.0,110.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-01 12:00:07,2025-09-01 18:30:07,Cocos (Keeling) Islands,West Island,Asia,26.99,26.99,26.99,83.0,30.0,10000.0,0.0,40.0,3.6,0.0,120.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-09-01 18:00:06,2025-09-02 00:30:06,Cocos (Keeling) Islands,West Island,Asia,26.99,26.99,26.99,83.0,30.0,10000.0,0.12,75.0,5.14,0.0,120.0,1012.0,0,500,Rain,light rain,10n
2025-09-02 00:00:04,2025-09-02 06:30:04,Cocos (Keeling) Islands,West Island,Asia,25.99,25.99,25.99,89.0,25.99,10000.0,0.17,75.0,5.14,0.0,100.0,1012.0,1,500,Rain,light rain,10d
2025-09-02 06:00:09,2025-09-02 12:30:09,Cocos (Keeling) Islands,West Island,Asia,27.99,27.99,27.99,83.0,32.54,10000.0,0.0,75.0,8.75,0.0,90.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:06,2025-09-02 18:30:06,Cocos (Keeling) Islands,West Island,Asia,26.99,26.99,26.99,83.0,30.0,10000.0,0.0,40.0,9.77,0.0,90.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-02 18:00:04,2025-09-03 00:30:04,Cocos (Keeling) Islands,West Island,Asia,26.99,26.99,26.99,78.0,29.53,10000.0,0.0,20.0,7.2,0.0,90.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-03 00:00:11,2025-09-03 06:30:11,Cocos (Keeling) Islands,West Island,Asia,25.99,25.99,25.99,83.0,25.99,10000.0,0.0,20.0,5.66,0.0,100.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-03 06:00:10,2025-09-03 12:30:10,Cocos (Keeling) Islands,West Island,Asia,29.0,29.0,29.0,74.0,33.49,10000.0,0.0,75.0,5.66,0.0,110.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-03 12:00:08,2025-09-03 18:30:08,Cocos (Keeling) Islands,West Island,Asia,27.0,27.0,27.0,83.0,30.03,10000.0,0.0,75.0,5.66,0.0,110.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-03 18:00:05,2025-09-04 00:30:05,Cocos (Keeling) Islands,West Island,Asia,27.0,27.0,27.0,83.0,30.03,10000.0,0.0,75.0,7.72,0.0,120.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-04 00:00:10,2025-09-04 06:30:10,Cocos (Keeling) Islands,West Island,Asia,25.99,25.99,25.99,89.0,25.99,10000.0,0.2,40.0,5.14,0.0,110.0,1012.0,1,500,Rain,light rain,10d
2025-09-04 06:00:07,2025-09-04 12:30:07,Cocos (Keeling) Islands,West Island,Asia,28.99,28.99,28.99,74.0,33.47,10000.0,0.0,20.0,5.66,0.0,110.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-04 12:00:07,2025-09-04 18:30:07,Cocos (Keeling) Islands,West Island,Asia,26.99,26.99,26.99,83.0,30.0,10000.0,0.0,40.0,6.17,0.0,120.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-04 18:00:07,2025-09-05 00:30:07,Cocos (Keeling) Islands,West Island,Asia,26.99,26.99,26.99,83.0,30.0,10000.0,0.0,75.0,8.23,0.0,130.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-05 00:00:13,2025-09-05 06:30:13,Cocos (Keeling) Islands,West Island,Asia,24.99,24.99,24.99,94.0,26.0,6000.0,0.22,75.0,9.26,0.0,130.0,1013.0,1,520,Rain,light intensity shower rain,09d
2025-09-05 06:00:08,2025-09-05 12:30:08,Cocos (Keeling) Islands,West Island,Asia,25.99,25.99,25.99,83.0,25.99,10000.0,0.72,100.0,9.26,14.4,150.0,1014.0,1,500,Rain,light rain,10d
2025-09-05 12:00:05,2025-09-05 18:30:05,Cocos (Keeling) Islands,West Island,Asia,26.0,26.0,26.0,78.0,26.0,10000.0,0.24,75.0,10.8,0.0,130.0,1013.0,0,500,Rain,light rain,10n
2025-09-05 18:00:13,2025-09-06 00:30:13,Cocos (Keeling) Islands,West Island,Asia,25.99,25.99,25.99,78.0,25.99,10000.0,0.26,100.0,9.26,0.0,120.0,1014.0,0,500,Rain,light rain,10n
2025-09-06 00:00:10,2025-09-06 06:30:10,Cocos (Keeling) Islands,West Island,Asia,26.0,26.0,26.0,78.0,26.0,10000.0,0.0,75.0,6.17,0.0,100.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-06 06:00:07,2025-09-06 12:30:07,Cocos (Keeling) Islands,West Island,Asia,26.99,26.99,26.99,78.0,29.53,10000.0,0.12,75.0,8.23,0.0,110.0,1015.0,1,500,Rain,light rain,10d
