utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:04,2025-09-01 03:00:04,Djibouti,Djibouti,Africa,31.33,31.33,31.33,61.0,35.83,10000.0,0.0,37.0,3.23,3.46,201.0,1004.0,0,802,Clouds,scattered clouds,03n
2025-09-01 06:00:11,2025-09-01 09:00:11,Djibouti,Djibouti,Africa,36.01,36.01,36.01,49.0,42.72,10000.0,0.0,0.0,0.0,0.0,0.0,1006.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:08,2025-09-01 15:00:08,Djibouti,Djibouti,Africa,36.23,36.23,36.23,44.0,41.13,10000.0,0.0,11.0,1.37,3.76,334.0,1002.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:07,2025-09-01 21:00:07,Djibouti,Djibouti,Africa,32.2,32.2,32.2,67.0,39.2,10000.0,0.0,25.0,2.67,5.05,75.0,1004.0,0,802,Clouds,scattered clouds,03n
2025-09-02 00:00:05,2025-09-02 03:00:05,Djibouti,Djibouti,Africa,35.01,35.01,35.01,55.0,42.01,8000.0,0.0,40.0,1.54,0.0,170.0,1003.0,0,721,Haze,haze,50n
2025-09-02 06:00:10,2025-09-02 09:00:10,Djibouti,Djibouti,Africa,35.01,35.01,35.01,52.0,41.5,8000.0,0.0,75.0,2.57,0.0,30.0,1006.0,1,721,Haze,haze,50d
2025-09-02 12:00:07,2025-09-02 15:00:07,Djibouti,Djibouti,Africa,34.76,34.76,34.76,52.0,40.89,10000.0,0.0,18.0,4.11,5.94,39.0,1001.0,1,801,Clouds,few clouds,02d
2025-09-02 18:00:04,2025-09-02 21:00:04,Djibouti,Djibouti,Africa,35.01,35.01,35.01,52.0,41.5,8000.0,0.0,20.0,2.13,4.45,313.0,1004.0,0,721,Haze,haze,50n
2025-09-03 00:00:12,2025-09-03 03:00:12,Djibouti,Djibouti,Africa,32.53,32.53,32.53,55.0,36.77,10000.0,0.0,67.0,2.63,3.98,174.0,1003.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:11,2025-09-03 09:00:11,Djibouti,Djibouti,Africa,33.74,33.74,33.74,49.0,37.51,10000.0,0.0,54.0,4.75,5.53,267.0,1007.0,1,803,Clouds,broken clouds,04d
2025-09-03 12:00:09,2025-09-03 15:00:09,Djibouti,Djibouti,Africa,42.01,42.01,42.01,26.0,45.11,10000.0,0.0,20.0,1.67,4.34,286.0,1001.0,1,801,Clouds,few clouds,02d
2025-09-03 18:00:06,2025-09-03 21:00:06,Djibouti,Djibouti,Africa,36.01,36.01,36.01,46.0,41.44,8000.0,0.0,20.0,3.09,0.0,330.0,1004.0,0,721,Haze,haze,50n
2025-09-04 00:00:11,2025-09-04 03:00:11,Djibouti,Djibouti,Africa,33.44,33.44,33.44,49.0,36.89,10000.0,0.0,87.0,6.16,9.13,261.0,1002.0,0,804,Clouds,overcast clouds,04n
2025-09-04 06:00:07,2025-09-04 09:00:07,Djibouti,Djibouti,Africa,33.67,33.67,33.67,52.0,38.34,10000.0,0.0,58.0,3.56,4.06,268.0,1006.0,1,803,Clouds,broken clouds,04d
