utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:05,2025-08-31 20:00:05,Dominica,Roseau,North America,25.27,25.27,25.27,79.0,25.92,10000.0,0.0,56.0,4.19,5.15,89.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-01 06:00:11,2025-09-01 02:00:11,Dominica,Roseau,North America,26.98,26.98,26.98,80.0,29.7,10000.0,0.14,66.0,3.41,4.12,91.0,1013.0,0,500,Rain,light rain,10n
2025-09-01 12:00:08,2025-09-01 08:00:08,Dominica,Roseau,North America,25.27,25.27,25.27,79.0,25.92,10000.0,0.0,98.0,3.39,4.04,94.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-09-01 18:00:07,2025-09-01 14:00:07,Dominica,Roseau,North America,31.63,30.27,31.63,62.0,36.8,10000.0,0.27,40.0,3.09,0.0,110.0,1014.0,1,500,Rain,light rain,10d
2025-09-02 00:00:05,2025-09-01 20:00:05,Dominica,Roseau,North America,25.27,25.27,25.27,78.0,25.89,10000.0,0.37,98.0,4.61,5.22,99.0,1015.0,0,500,Rain,light rain,10n
2025-09-02 06:00:10,2025-09-02 02:00:10,Dominica,Roseau,North America,26.39,26.39,26.39,82.0,26.39,10000.0,0.29,24.0,4.01,4.92,96.0,1014.0,0,500,Rain,light rain,10n
2025-09-02 12:00:07,2025-09-02 08:00:07,Dominica,Roseau,North America,27.34,27.34,27.34,76.0,30.07,10000.0,0.2,22.0,3.89,4.7,95.0,1016.0,1,500,Rain,light rain,10d
2025-09-02 18:00:05,2025-09-02 14:00:05,Dominica,Roseau,North America,31.63,31.63,31.63,74.0,38.63,10000.0,0.29,75.0,1.03,0.0,200.0,1014.0,1,500,Rain,light rain,10d
2025-09-03 00:00:12,2025-09-02 20:00:12,Dominica,Roseau,North America,27.35,27.35,27.35,77.0,30.2,10000.0,0.0,46.0,4.32,5.53,83.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-09-03 06:00:11,2025-09-03 02:00:11,Dominica,Roseau,North America,26.82,26.82,26.82,79.0,29.26,10000.0,0.11,14.0,3.54,4.93,82.0,1014.0,0,500,Rain,light rain,10n
2025-09-03 12:00:09,2025-09-03 08:00:09,Dominica,Roseau,North America,25.27,25.27,25.27,73.0,25.76,10000.0,0.0,19.0,3.78,5.24,87.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-03 18:00:06,2025-09-03 14:00:06,Dominica,Roseau,North America,31.63,29.27,31.63,62.0,36.8,10000.0,0.0,20.0,2.06,0.0,90.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-04 00:00:11,2025-09-03 20:00:11,Dominica,Roseau,North America,25.27,25.27,25.27,75.0,25.81,10000.0,0.0,71.0,3.96,4.58,73.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-04 06:00:08,2025-09-04 02:00:08,Dominica,Roseau,North America,26.59,26.59,26.59,78.0,26.59,10000.0,0.0,33.0,3.33,4.64,77.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-04 12:00:08,2025-09-04 08:00:08,Dominica,Roseau,North America,24.27,24.27,24.27,70.0,24.58,10000.0,0.0,82.0,3.89,5.14,87.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-04 18:00:08,2025-09-04 14:00:08,Dominica,Roseau,North America,32.63,30.27,32.63,58.0,37.93,10000.0,0.0,20.0,2.57,0.0,110.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-05 00:00:14,2025-09-04 20:00:14,Dominica,Roseau,North America,27.27,27.27,27.27,79.0,30.24,10000.0,0.16,75.0,4.5,6.58,79.0,1014.0,0,500,Rain,light rain,10n
2025-09-05 06:00:09,2025-09-05 02:00:09,Dominica,Roseau,North America,27.11,27.11,27.11,80.0,29.99,10000.0,0.45,100.0,5.48,7.67,95.0,1013.0,0,500,Rain,light rain,10n
2025-09-05 12:00:06,2025-09-05 08:00:06,Dominica,Roseau,North America,26.27,26.27,26.27,78.0,26.27,10000.0,0.24,81.0,5.88,7.98,101.0,1016.0,1,500,Rain,light rain,10d
2025-09-05 18:00:14,2025-09-05 14:00:14,Dominica,Roseau,North America,32.63,29.27,32.63,66.0,39.63,10000.0,0.0,20.0,3.6,0.0,120.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-06 00:00:11,2025-09-05 20:00:11,Dominica,Roseau,North America,27.27,27.27,27.27,75.0,29.82,10000.0,0.0,39.0,5.41,7.79,87.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-09-06 06:00:08,2025-09-06 02:00:08,Dominica,Roseau,North America,26.72,26.72,26.72,78.0,28.98,10000.0,0.0,26.0,3.88,5.41,77.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-09-06 12:00:05,2025-09-06 08:00:05,Dominica,Roseau,North America,25.27,25.27,25.27,75.0,25.81,10000.0,0.0,50.0,3.02,4.25,61.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-06 18:00:14,2025-09-06 14:00:14,Dominica,Roseau,North America,31.63,28.27,31.63,66.0,38.02,10000.0,0.21,20.0,3.09,0.0,150.0,1014.0,1,500,Rain,light rain,10d
2025-09-07 00:00:12,2025-09-06 20:00:12,Dominica,Roseau,North America,26.27,26.27,26.27,76.0,26.27,10000.0,0.24,96.0,3.45,3.83,77.0,1015.0,0,500,Rain,light rain,10n
2025-09-07 06:00:09,2025-09-07 02:00:09,Dominica,Roseau,North America,25.9,25.9,25.9,80.0,26.63,10000.0,0.33,65.0,2.76,3.27,86.0,1014.0,0,500,Rain,light rain,10n
2025-09-07 12:00:08,2025-09-07 08:00:08,Dominica,Roseau,North America,23.27,23.27,23.27,77.0,23.66,10000.0,0.0,56.0,3.4,4.03,95.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-07 18:00:10,2025-09-07 14:00:10,Dominica,Roseau,North America,30.63,29.27,30.63,66.0,35.55,10000.0,0.6,75.0,3.6,0.0,130.0,1015.0,1,500,Rain,light rain,10d
2025-09-08 00:00:05,2025-09-07 20:00:05,Dominica,Roseau,North America,24.27,24.27,24.27,76.0,24.74,10000.0,0.0,37.0,3.73,4.79,88.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-09-08 06:00:11,2025-09-08 02:00:11,Dominica,Roseau,North America,26.7,26.7,26.7,79.0,29.01,10000.0,0.0,16.0,3.68,4.74,78.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-08 12:00:07,2025-09-08 08:00:07,Dominica,Roseau,North America,24.27,24.27,24.27,70.0,24.58,10000.0,0.0,50.0,4.25,5.22,91.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-08 18:00:04,2025-09-08 14:00:04,Dominica,Roseau,North America,31.63,30.27,31.63,70.0,38.63,10000.0,0.0,40.0,1.03,0.0,330.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-09 00:00:10,2025-09-08 20:00:10,Dominica,Roseau,North America,24.27,24.27,24.27,75.0,24.71,10000.0,0.0,6.0,3.87,4.42,96.0,1015.0,0,800,Clear,clear sky,01n
2025-09-09 06:00:08,2025-09-09 02:00:08,Dominica,Roseau,North America,26.92,26.92,26.92,73.0,28.96,10000.0,0.0,4.0,3.24,4.08,101.0,1014.0,0,800,Clear,clear sky,01n
2025-09-09 12:00:07,2025-09-09 08:00:07,Dominica,Roseau,North America,23.27,23.27,23.27,69.0,23.45,10000.0,0.0,7.0,4.17,5.34,103.0,1016.0,1,800,Clear,clear sky,01d
2025-09-09 18:00:09,2025-09-09 14:00:09,Dominica,Roseau,North America,31.63,30.27,31.63,66.0,38.02,10000.0,0.0,20.0,2.06,0.0,330.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-10 00:00:11,2025-09-09 20:00:11,Dominica,Roseau,North America,26.27,26.27,26.27,77.0,26.27,10000.0,0.11,17.0,4.55,6.41,83.0,1016.0,0,500,Rain,light rain,10n
2025-09-10 06:00:11,2025-09-10 02:00:11,Dominica,Roseau,North America,26.84,26.84,26.84,81.0,29.47,10000.0,0.39,42.0,4.51,6.23,90.0,1015.0,0,500,Rain,light rain,10n
2025-09-10 12:00:14,2025-09-10 08:00:14,Dominica,Roseau,North America,26.27,26.27,26.27,76.0,26.27,10000.0,0.0,53.0,3.72,5.82,82.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-10 18:00:07,2025-09-10 14:00:07,Dominica,Roseau,North America,32.63,30.27,32.63,58.0,37.93,10000.0,0.13,20.0,3.09,0.0,120.0,1015.0,1,500,Rain,light rain,10d
2025-09-11 00:00:12,2025-09-10 20:00:12,Dominica,Roseau,North America,28.27,28.27,28.27,74.0,31.8,10000.0,0.0,85.0,4.76,7.21,80.0,1015.0,0,804,Clouds,overcast clouds,04n
2025-09-11 06:00:09,2025-09-11 02:00:09,Dominica,Roseau,North America,27.04,27.04,27.04,76.0,29.45,10000.0,0.0,28.0,3.67,6.05,67.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-09-11 12:00:08,2025-09-11 08:00:08,Dominica,Roseau,North America,26.63,26.63,27.27,83.0,26.63,10000.0,0.0,40.0,1.03,0.0,30.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-11 18:00:04,2025-09-11 14:00:04,Dominica,Roseau,North America,32.63,29.27,32.63,58.0,37.93,10000.0,0.0,20.0,2.57,0.0,130.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-12 00:00:10,2025-09-11 20:00:10,Dominica,Roseau,North America,27.27,27.27,27.27,72.0,29.51,10000.0,0.0,74.0,3.98,5.13,76.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-12 06:00:06,2025-09-12 02:00:06,Dominica,Roseau,North America,26.8,26.8,26.8,74.0,28.82,10000.0,0.0,64.0,3.48,5.11,80.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-12 12:00:13,2025-09-12 08:00:13,Dominica,Roseau,North America,25.27,25.27,25.27,69.0,25.65,10000.0,0.0,36.0,3.66,5.1,85.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-12 18:00:08,2025-09-12 14:00:08,Dominica,Roseau,North America,30.63,30.27,30.63,70.0,36.62,10000.0,0.0,75.0,3.09,0.0,80.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-13 00:00:13,2025-09-12 20:00:13,Dominica,Roseau,North America,25.27,25.27,25.27,78.0,25.89,10000.0,0.0,47.0,3.51,4.34,78.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-13 06:00:09,2025-09-13 02:00:09,Dominica,Roseau,North America,27.01,27.01,27.01,80.0,29.76,10000.0,0.0,99.0,2.9,3.69,61.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-09-13 12:00:05,2025-09-13 08:00:05,Dominica,Roseau,North America,23.27,23.27,23.27,75.0,23.61,10000.0,0.0,83.0,4.07,5.51,81.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-13 18:00:11,2025-09-13 14:00:11,Dominica,Roseau,North America,24.63,23.27,24.63,94.0,25.6,10000.0,0.49,75.0,3.6,0.0,100.0,1012.0,1,500,Rain,light rain,10d
2025-09-14 00:00:08,2025-09-13 20:00:08,Dominica,Roseau,North America,23.27,23.27,23.27,79.0,23.72,10000.0,2.05,100.0,4.94,6.13,101.0,1013.0,0,501,Rain,moderate rain,10n
2025-09-14 06:00:13,2025-09-14 02:00:13,Dominica,Roseau,North America,27.35,27.35,27.35,79.0,30.42,10000.0,1.4,100.0,5.31,6.38,104.0,1012.0,0,501,Rain,moderate rain,10n
2025-09-14 12:00:10,2025-09-14 08:00:10,Dominica,Roseau,North America,27.27,27.27,27.27,77.0,30.03,10000.0,0.13,100.0,5.65,7.0,106.0,1014.0,1,500,Rain,light rain,10d
2025-09-14 18:00:04,2025-09-14 14:00:04,Dominica,Roseau,North America,30.63,27.27,30.63,79.0,37.63,10000.0,0.11,75.0,1.03,0.0,0.0,1012.0,1,500,Rain,light rain,10d
2025-09-15 00:00:09,2025-09-14 20:00:09,Dominica,Roseau,North America,27.27,27.27,27.27,78.0,30.13,10000.0,0.0,62.0,4.21,5.37,74.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-15 06:00:05,2025-09-15 02:00:05,Dominica,Roseau,North America,27.11,27.11,27.11,78.0,29.79,10000.0,0.0,61.0,3.41,4.82,79.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-15 12:00:14,2025-09-15 08:00:14,Dominica,Roseau,North America,25.27,25.27,25.27,76.0,25.84,10000.0,0.12,87.0,4.47,5.92,92.0,1015.0,1,500,Rain,light rain,10d
2025-09-15 18:00:15,2025-09-15 14:00:15,Dominica,Roseau,North America,32.63,29.27,32.63,75.0,39.63,10000.0,0.1,75.0,1.54,0.0,100.0,1013.0,1,500,Rain,light rain,10d
