utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:05,2025-09-01 03:00:05,Eritrea,Asmara,Africa,16.37,16.37,16.37,65.0,15.76,10000.0,0.0,19.0,1.17,1.28,343.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-01 06:00:11,2025-09-01 09:00:11,Eritrea,Asmara,Africa,20.9,20.9,20.9,32.0,19.88,10000.0,0.0,0.0,3.07,4.9,347.0,1014.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:08,2025-09-01 15:00:08,Eritrea,Asmara,Africa,22.55,22.55,22.55,34.0,21.75,10000.0,0.21,20.0,4.55,5.95,8.0,1012.0,1,500,Rain,light rain,10d
2025-09-01 18:00:07,2025-09-01 21:00:07,Eritrea,Asmara,Africa,16.69,16.69,16.69,77.0,16.43,10000.0,0.0,59.0,3.73,4.95,276.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-02 00:00:05,2025-09-02 03:00:05,Eritrea,Asmara,Africa,15.29,15.29,15.29,83.0,15.04,10000.0,0.11,26.0,4.26,4.85,278.0,1014.0,0,500,Rain,light rain,10n
2025-09-02 06:00:11,2025-09-02 09:00:11,Eritrea,Asmara,Africa,19.58,19.58,19.58,55.0,19.03,10000.0,0.0,65.0,2.24,2.37,274.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:07,2025-09-02 15:00:07,Eritrea,Asmara,Africa,21.28,21.28,21.28,51.0,20.8,10000.0,0.6,65.0,3.9,4.49,359.0,1012.0,1,500,Rain,light rain,10d
2025-09-02 18:00:05,2025-09-02 21:00:05,Eritrea,Asmara,Africa,15.93,15.93,15.93,81.0,15.69,10000.0,0.17,24.0,3.87,3.65,269.0,1015.0,0,500,Rain,light rain,10n
2025-09-03 00:00:12,2025-09-03 03:00:12,Eritrea,Asmara,Africa,15.3,15.3,15.3,77.0,14.9,10000.0,0.14,69.0,2.82,2.45,254.0,1014.0,0,500,Rain,light rain,10n
2025-09-03 06:00:11,2025-09-03 09:00:11,Eritrea,Asmara,Africa,19.07,19.07,19.07,60.0,18.6,10000.0,0.21,94.0,2.09,1.4,240.0,1014.0,1,500,Rain,light rain,10d
2025-09-03 12:00:09,2025-09-03 15:00:09,Eritrea,Asmara,Africa,20.69,20.69,20.69,55.0,20.25,10000.0,0.15,45.0,4.13,5.93,358.0,1011.0,1,500,Rain,light rain,10d
2025-09-03 18:00:06,2025-09-03 21:00:06,Eritrea,Asmara,Africa,16.04,16.04,16.04,77.0,15.71,10000.0,0.0,34.0,2.45,2.4,247.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-09-04 00:00:12,2025-09-04 03:00:12,Eritrea,Asmara,Africa,14.87,14.87,14.87,76.0,14.4,10000.0,0.0,47.0,2.5,2.11,238.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-04 06:00:08,2025-09-04 09:00:08,Eritrea,Asmara,Africa,19.22,19.22,19.22,52.0,18.56,10000.0,0.0,79.0,0.4,1.68,97.0,1014.0,1,803,Clouds,broken clouds,04d
