utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:05,2025-09-01 03:00:05,Estonia,Tallinn,Europe,15.19,15.19,15.53,82.0,14.91,10000.0,0.0,100.0,2.06,0.0,260.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-01 06:00:11,2025-09-01 09:00:11,Estonia,Tallinn,Europe,15.19,15.19,15.53,94.0,15.22,8000.0,0.0,75.0,2.57,0.0,350.0,1015.0,1,300,Drizzle,light intensity drizzle,09d
2025-09-01 12:00:08,2025-09-01 15:00:08,Estonia,Tallinn,Europe,16.19,16.19,17.19,77.0,15.88,10000.0,0.0,100.0,2.57,0.0,40.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-09-01 18:00:07,2025-09-01 21:00:07,Estonia,Tallinn,Europe,15.19,14.97,15.19,82.0,14.91,10000.0,0.0,100.0,2.06,0.0,70.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-09-02 00:00:05,2025-09-02 03:00:05,Estonia,Tallinn,Europe,14.19,14.19,14.41,88.0,13.96,10000.0,0.0,75.0,2.57,0.0,110.0,1017.0,0,803,Clouds,broken clouds,04n
2025-09-02 06:00:11,2025-09-02 09:00:11,Estonia,Tallinn,Europe,15.19,15.19,15.53,82.0,14.91,10000.0,0.0,100.0,2.57,0.0,110.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-09-02 12:00:07,2025-09-02 15:00:07,Estonia,Tallinn,Europe,19.19,19.19,21.64,63.0,18.81,10000.0,0.0,75.0,3.6,0.0,110.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:05,2025-09-02 21:00:05,Estonia,Tallinn,Europe,16.19,16.19,16.64,82.0,16.01,10000.0,0.0,75.0,3.09,0.0,100.0,1016.0,0,803,Clouds,broken clouds,04n
2025-09-03 00:00:13,2025-09-03 03:00:13,Estonia,Tallinn,Europe,12.19,12.19,12.19,87.0,11.74,10000.0,0.0,0.0,4.12,0.0,110.0,1015.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:11,2025-09-03 09:00:11,Estonia,Tallinn,Europe,14.19,14.19,15.53,82.0,13.81,10000.0,0.0,0.0,4.63,0.0,130.0,1013.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:09,2025-09-03 15:00:09,Estonia,Tallinn,Europe,22.19,22.19,22.19,60.0,22.03,10000.0,0.0,20.0,6.69,0.0,160.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-03 18:00:06,2025-09-03 21:00:06,Estonia,Tallinn,Europe,18.19,18.19,18.86,88.0,18.36,10000.0,0.0,75.0,3.09,0.0,240.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-04 00:00:12,2025-09-04 03:00:12,Estonia,Tallinn,Europe,15.19,15.19,16.08,94.0,15.22,10000.0,0.0,100.0,1.54,0.0,300.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-09-04 06:00:08,2025-09-04 09:00:08,Estonia,Tallinn,Europe,15.19,15.19,16.08,82.0,14.91,10000.0,0.0,100.0,2.06,0.0,170.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-09-04 12:00:09,2025-09-04 15:00:09,Estonia,Tallinn,Europe,20.21,20.21,22.77,68.0,20.06,10000.0,0.0,20.0,2.06,0.0,0.0,1017.0,1,801,Clouds,few clouds,02d
2025-09-04 18:00:08,2025-09-04 21:00:08,Estonia,Tallinn,Europe,16.19,16.19,16.19,82.0,16.01,10000.0,0.0,0.0,2.06,0.0,100.0,1017.0,0,800,Clear,clear sky,01n
2025-09-05 00:00:14,2025-09-05 03:00:14,Estonia,Tallinn,Europe,12.19,12.19,12.19,87.0,11.74,10000.0,0.0,12.0,1.03,0.0,110.0,1019.0,0,741,Fog,fog,50n
2025-09-05 06:00:09,2025-09-05 09:00:09,Estonia,Tallinn,Europe,16.19,16.19,16.19,88.0,16.16,10000.0,0.0,0.0,1.03,0.0,0.0,1019.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:07,2025-09-05 15:00:07,Estonia,Tallinn,Europe,23.19,23.19,23.19,56.0,23.03,10000.0,0.0,40.0,2.06,0.0,110.0,1020.0,1,802,Clouds,scattered clouds,03d
2025-09-05 18:00:14,2025-09-05 21:00:14,Estonia,Tallinn,Europe,19.19,19.19,19.19,77.0,19.18,10000.0,0.0,0.0,3.6,0.0,80.0,1020.0,0,800,Clear,clear sky,01n
2025-09-06 00:00:11,2025-09-06 03:00:11,Estonia,Tallinn,Europe,14.19,14.19,14.19,94.0,14.12,6000.0,0.0,4.0,2.57,0.0,120.0,1021.0,0,800,Clear,clear sky,01n
2025-09-06 06:00:08,2025-09-06 09:00:08,Estonia,Tallinn,Europe,15.19,15.19,18.3,94.0,15.22,8000.0,0.0,75.0,2.57,0.0,110.0,1021.0,1,803,Clouds,broken clouds,04d
2025-09-06 12:00:06,2025-09-06 15:00:06,Estonia,Tallinn,Europe,25.19,22.19,25.19,61.0,25.36,10000.0,0.0,40.0,4.63,0.0,160.0,1021.0,1,802,Clouds,scattered clouds,03d
2025-09-06 18:00:14,2025-09-06 21:00:14,Estonia,Tallinn,Europe,21.19,18.3,21.19,78.0,21.4,10000.0,0.0,0.0,3.09,0.0,110.0,1021.0,0,800,Clear,clear sky,01n
2025-09-07 00:00:12,2025-09-07 03:00:12,Estonia,Tallinn,Europe,18.19,16.64,18.19,94.0,18.52,8000.0,0.0,15.0,1.03,0.0,160.0,1023.0,0,741,Fog,fog,50n
2025-09-07 06:00:10,2025-09-07 09:00:10,Estonia,Tallinn,Europe,18.19,18.19,18.86,94.0,18.52,8000.0,0.0,75.0,1.03,0.0,0.0,1024.0,1,803,Clouds,broken clouds,04d
2025-09-07 12:00:09,2025-09-07 15:00:09,Estonia,Tallinn,Europe,21.19,21.19,21.19,83.0,21.53,9000.0,0.0,75.0,3.09,0.0,350.0,1025.0,1,803,Clouds,broken clouds,04d
2025-09-07 18:00:10,2025-09-07 21:00:10,Estonia,Tallinn,Europe,17.19,17.19,17.75,94.0,17.42,250.0,0.0,100.0,1.54,0.0,310.0,1026.0,0,741,Fog,fog,50n
2025-09-08 00:00:06,2025-09-08 03:00:06,Estonia,Tallinn,Europe,15.19,15.19,15.53,100.0,15.38,250.0,0.0,100.0,1.03,0.0,110.0,1026.0,0,741,Fog,fog,50n
2025-09-08 06:00:11,2025-09-08 09:00:11,Estonia,Tallinn,Europe,16.19,16.19,19.41,100.0,16.48,10000.0,0.0,20.0,1.03,0.0,0.0,1026.0,1,801,Clouds,few clouds,02d
2025-09-08 12:00:08,2025-09-08 15:00:08,Estonia,Tallinn,Europe,25.19,24.41,25.19,61.0,25.36,10000.0,0.0,40.0,2.06,0.0,140.0,1025.0,1,802,Clouds,scattered clouds,03d
2025-09-08 18:00:04,2025-09-08 21:00:04,Estonia,Tallinn,Europe,19.19,16.64,19.19,63.0,18.81,10000.0,0.0,0.0,3.09,0.0,120.0,1024.0,0,800,Clear,clear sky,01n
2025-09-09 00:00:11,2025-09-09 03:00:11,Estonia,Tallinn,Europe,14.19,13.3,14.19,88.0,13.96,10000.0,0.0,0.0,2.06,0.0,90.0,1025.0,0,800,Clear,clear sky,01n
2025-09-09 06:00:08,2025-09-09 09:00:08,Estonia,Tallinn,Europe,16.19,16.19,17.19,77.0,15.88,10000.0,0.0,75.0,1.54,0.0,140.0,1025.0,1,803,Clouds,broken clouds,04d
2025-09-09 12:00:08,2025-09-09 15:00:08,Estonia,Tallinn,Europe,22.19,22.19,22.19,49.0,21.74,10000.0,0.0,40.0,5.14,0.0,160.0,1025.0,1,802,Clouds,scattered clouds,03d
2025-09-09 18:00:09,2025-09-09 21:00:09,Estonia,Tallinn,Europe,18.19,16.08,18.19,68.0,17.84,10000.0,0.0,0.0,2.06,0.0,90.0,1025.0,0,800,Clear,clear sky,01n
2025-09-10 00:00:11,2025-09-10 03:00:11,Estonia,Tallinn,Europe,16.19,16.19,16.64,77.0,15.88,10000.0,0.0,0.0,2.57,0.0,110.0,1026.0,0,800,Clear,clear sky,01n
2025-09-10 06:00:11,2025-09-10 09:00:11,Estonia,Tallinn,Europe,16.19,16.19,16.19,82.0,16.01,10000.0,0.0,0.0,3.09,0.0,110.0,1026.0,1,800,Clear,clear sky,01d
2025-09-10 12:00:15,2025-09-10 15:00:15,Estonia,Tallinn,Europe,23.19,23.19,23.19,53.0,22.95,10000.0,0.0,20.0,5.14,0.0,130.0,1025.0,1,801,Clouds,few clouds,02d
2025-09-10 18:00:07,2025-09-10 21:00:07,Estonia,Tallinn,Europe,18.19,18.19,19.41,72.0,17.94,10000.0,0.0,0.0,4.12,0.0,100.0,1024.0,0,800,Clear,clear sky,01n
2025-09-11 00:00:13,2025-09-11 03:00:13,Estonia,Tallinn,Europe,17.19,16.64,17.19,77.0,16.98,10000.0,0.0,0.0,5.14,0.0,110.0,1022.0,0,800,Clear,clear sky,01n
2025-09-11 06:00:10,2025-09-11 09:00:10,Estonia,Tallinn,Europe,17.19,17.19,18.86,72.0,16.84,10000.0,0.0,0.0,4.63,0.0,120.0,1021.0,1,800,Clear,clear sky,01d
2025-09-11 12:00:08,2025-09-11 15:00:08,Estonia,Tallinn,Europe,24.19,24.19,24.19,50.0,23.97,10000.0,0.0,0.0,6.69,0.0,130.0,1019.0,1,800,Clear,clear sky,01d
2025-09-11 18:00:05,2025-09-11 21:00:05,Estonia,Tallinn,Europe,19.19,18.86,19.19,55.0,18.6,10000.0,0.0,0.0,6.69,0.0,120.0,1017.0,0,800,Clear,clear sky,01n
2025-09-12 00:00:10,2025-09-12 03:00:10,Estonia,Tallinn,Europe,16.19,16.19,16.64,59.0,15.41,10000.0,0.0,0.0,5.66,0.0,140.0,1017.0,0,800,Clear,clear sky,01n
2025-09-12 06:00:07,2025-09-12 09:00:07,Estonia,Tallinn,Europe,16.19,16.08,16.19,63.0,15.51,10000.0,0.0,0.0,5.66,0.0,140.0,1017.0,1,800,Clear,clear sky,01d
2025-09-12 12:00:13,2025-09-12 15:00:13,Estonia,Tallinn,Europe,15.19,15.19,15.53,82.0,14.91,10000.0,1.15,100.0,4.63,0.0,160.0,1019.0,1,501,Rain,moderate rain,10d
2025-09-12 18:00:08,2025-09-12 21:00:08,Estonia,Tallinn,Europe,15.09,15.09,15.43,94.0,15.11,8000.0,0.0,100.0,3.6,0.0,180.0,1020.0,0,300,Drizzle,light intensity drizzle,09n
2025-09-13 00:00:14,2025-09-13 03:00:14,Estonia,Tallinn,Europe,15.19,14.97,15.19,88.0,15.06,10000.0,0.0,75.0,2.57,0.0,150.0,1020.0,0,803,Clouds,broken clouds,04n
