utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:05,2025-09-01 02:00:05,France,Paris,Europe,15.09,13.97,15.59,90.0,15.0,10000.0,0.0,100.0,2.57,0.0,220.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-09-01 06:00:11,2025-09-01 08:00:11,France,Paris,Europe,14.51,13.49,15.23,93.0,14.44,10000.0,0.0,100.0,3.6,0.0,210.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-09-01 12:00:09,2025-09-01 14:00:09,France,Paris,Europe,18.91,18.05,21.72,73.0,18.76,10000.0,0.0,75.0,5.14,0.0,200.0,1008.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:08,2025-09-01 20:00:08,France,Paris,Europe,18.81,17.88,20.0,70.0,18.57,10000.0,0.0,20.0,6.17,0.0,250.0,1008.0,1,801,Clouds,few clouds,02d
2025-09-02 00:00:06,2025-09-02 02:00:06,France,Paris,Europe,13.84,12.94,14.38,92.0,13.68,10000.0,0.0,93.0,3.09,0.0,220.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-09-02 06:00:11,2025-09-02 08:00:11,France,Paris,Europe,12.5,11.27,13.05,94.0,12.26,10000.0,0.0,20.0,3.6,0.0,130.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:08,2025-09-02 14:00:08,France,Paris,Europe,17.73,16.83,18.23,82.0,17.7,10000.0,0.43,75.0,7.72,0.0,180.0,1008.0,1,500,Rain,light rain,10d
2025-09-02 18:00:05,2025-09-02 20:00:05,France,Paris,Europe,17.75,16.83,18.72,90.0,17.93,10000.0,0.0,100.0,6.17,0.0,170.0,1006.0,1,804,Clouds,overcast clouds,04d
2025-09-03 00:00:13,2025-09-03 02:00:13,France,Paris,Europe,17.07,16.66,17.4,91.0,17.21,10000.0,0.0,100.0,5.14,0.0,200.0,1009.0,0,804,Clouds,overcast clouds,04n
2025-09-03 06:00:11,2025-09-03 08:00:11,France,Paris,Europe,17.67,16.82,18.33,88.0,17.79,10000.0,0.0,100.0,8.75,0.0,180.0,1008.0,1,804,Clouds,overcast clouds,04d
2025-09-03 12:00:10,2025-09-03 14:00:10,France,Paris,Europe,21.12,20.16,22.29,78.0,21.32,10000.0,0.0,100.0,8.75,14.4,180.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-09-03 18:00:07,2025-09-03 20:00:07,France,Paris,Europe,22.67,21.47,23.41,63.0,22.64,10000.0,0.0,75.0,10.29,19.03,230.0,1006.0,1,803,Clouds,broken clouds,04d
2025-09-04 00:00:12,2025-09-04 02:00:12,France,Paris,Europe,17.38,16.72,18.23,83.0,17.34,10000.0,0.0,0.0,4.63,0.0,220.0,1011.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:08,2025-09-04 08:00:08,France,Paris,Europe,15.19,14.05,15.61,92.0,15.17,10000.0,0.0,75.0,3.6,0.0,200.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-04 12:00:09,2025-09-04 14:00:09,France,Paris,Europe,20.2,18.83,21.75,71.0,20.13,10000.0,0.0,75.0,8.23,0.0,200.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-04 18:00:08,2025-09-04 20:00:08,France,Paris,Europe,19.95,18.83,21.38,60.0,19.57,10000.0,0.0,0.0,5.66,0.0,240.0,1013.0,1,800,Clear,clear sky,01d
2025-09-05 00:00:14,2025-09-05 02:00:14,France,Paris,Europe,15.76,14.38,16.23,82.0,15.53,10000.0,0.0,75.0,4.63,0.0,290.0,1017.0,0,803,Clouds,broken clouds,04n
2025-09-05 06:00:10,2025-09-05 08:00:10,France,Paris,Europe,12.94,11.72,13.38,91.0,12.67,10000.0,0.0,0.0,3.09,0.0,240.0,1021.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:07,2025-09-05 14:00:07,France,Paris,Europe,20.31,19.72,22.2,54.0,19.81,10000.0,0.0,75.0,4.12,0.0,290.0,1023.0,1,803,Clouds,broken clouds,04d
2025-09-05 18:00:15,2025-09-05 20:00:15,France,Paris,Europe,20.97,19.83,22.58,55.0,20.56,10000.0,0.0,0.0,3.09,0.0,230.0,1022.0,1,800,Clear,clear sky,01d
