utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:06,2025-08-31 14:00:06,French Polynesia,Papeete,Oceania,28.42,28.42,28.42,65.0,30.76,10000.0,0.0,75.0,4.12,0.0,30.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-01 06:00:12,2025-08-31 20:00:12,French Polynesia,Papeete,Oceania,25.42,25.42,25.42,78.0,26.05,10000.0,0.18,75.0,1.54,0.0,0.0,1018.0,0,500,Rain,light rain,10n
2025-09-01 12:00:09,2025-09-01 02:00:09,French Polynesia,Papeete,Oceania,24.42,24.41,24.42,78.0,24.95,10000.0,0.51,40.0,2.06,0.0,160.0,1017.0,0,500,Rain,light rain,10n
2025-09-01 18:00:08,2025-09-01 08:00:08,French Polynesia,Papeete,Oceania,25.42,24.97,25.42,73.0,25.92,10000.0,0.29,0.0,1.54,0.0,70.0,1019.0,1,500,Rain,light rain,10d
2025-09-02 00:00:06,2025-09-01 14:00:06,French Polynesia,Papeete,Oceania,28.42,28.42,28.42,65.0,30.76,10000.0,0.0,75.0,4.12,0.0,30.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-02 06:00:11,2025-09-01 20:00:11,French Polynesia,Papeete,Oceania,24.42,24.41,24.42,73.0,24.82,10000.0,0.0,75.0,1.03,0.0,0.0,1019.0,0,803,Clouds,broken clouds,04n
2025-09-02 12:00:08,2025-09-02 02:00:08,French Polynesia,Papeete,Oceania,21.42,21.42,21.42,83.0,21.78,10000.0,0.0,0.0,1.03,0.0,0.0,1017.0,0,800,Clear,clear sky,01n
2025-09-02 18:00:05,2025-09-02 08:00:05,French Polynesia,Papeete,Oceania,25.42,24.97,25.42,69.0,25.82,10000.0,0.0,0.0,0.51,0.0,0.0,1019.0,1,800,Clear,clear sky,01d
2025-09-03 00:00:13,2025-09-02 14:00:13,French Polynesia,Papeete,Oceania,28.42,28.42,28.42,54.0,29.37,10000.0,0.0,0.0,3.6,0.0,10.0,1017.0,1,800,Clear,clear sky,01d
2025-09-03 06:00:11,2025-09-02 20:00:11,French Polynesia,Papeete,Oceania,24.42,24.41,24.42,73.0,24.82,10000.0,0.0,0.0,2.06,0.0,70.0,1019.0,0,800,Clear,clear sky,01n
2025-09-03 12:00:10,2025-09-03 02:00:10,French Polynesia,Papeete,Oceania,21.42,21.42,21.42,83.0,21.78,10000.0,0.0,0.0,1.54,0.0,70.0,1017.0,0,800,Clear,clear sky,01n
2025-09-03 18:00:07,2025-09-03 08:00:07,French Polynesia,Papeete,Oceania,26.42,26.08,26.42,61.0,26.42,10000.0,0.0,0.0,1.03,0.0,0.0,1019.0,1,800,Clear,clear sky,01d
2025-09-04 00:00:12,2025-09-03 14:00:12,French Polynesia,Papeete,Oceania,28.42,28.42,28.42,54.0,29.37,10000.0,0.0,20.0,4.12,0.0,30.0,1018.0,1,801,Clouds,few clouds,02d
2025-09-04 06:00:08,2025-09-03 20:00:08,French Polynesia,Papeete,Oceania,25.42,24.97,25.42,65.0,25.71,10000.0,0.0,20.0,2.06,0.0,140.0,1019.0,0,801,Clouds,few clouds,02n
2025-09-04 12:00:09,2025-09-04 02:00:09,French Polynesia,Papeete,Oceania,21.42,21.42,21.42,73.0,21.52,10000.0,0.0,0.0,2.57,0.0,70.0,1018.0,0,800,Clear,clear sky,01n
2025-09-04 18:00:08,2025-09-04 08:00:08,French Polynesia,Papeete,Oceania,25.42,24.97,25.42,61.0,25.61,10000.0,0.0,0.0,0.0,0.0,0.0,1020.0,1,800,Clear,clear sky,01d
2025-09-05 00:00:15,2025-09-04 14:00:15,French Polynesia,Papeete,Oceania,27.42,27.19,27.42,61.0,28.72,10000.0,0.0,0.0,3.6,0.0,210.0,1017.0,1,800,Clear,clear sky,01d
2025-09-05 06:00:10,2025-09-04 20:00:10,French Polynesia,Papeete,Oceania,24.42,24.41,24.42,69.0,24.72,10000.0,0.0,20.0,1.54,0.0,70.0,1019.0,0,801,Clouds,few clouds,02n
2025-09-05 12:00:07,2025-09-05 02:00:07,French Polynesia,Papeete,Oceania,23.42,23.3,23.42,73.0,23.72,10000.0,0.16,0.0,1.03,0.0,0.0,1017.0,0,500,Rain,light rain,10n
2025-09-05 18:00:15,2025-09-05 08:00:15,French Polynesia,Papeete,Oceania,26.42,26.08,26.42,61.0,26.42,10000.0,0.0,0.0,0.51,0.0,0.0,1019.0,1,800,Clear,clear sky,01d
2025-09-06 00:00:12,2025-09-05 14:00:12,French Polynesia,Papeete,Oceania,27.42,27.19,27.42,65.0,29.09,10000.0,0.0,100.0,5.14,0.0,30.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-09-06 06:00:09,2025-09-05 20:00:09,French Polynesia,Papeete,Oceania,24.42,24.41,24.42,73.0,24.82,10000.0,0.0,20.0,1.03,0.0,80.0,1018.0,0,801,Clouds,few clouds,02n
2025-09-06 12:00:06,2025-09-06 02:00:06,French Polynesia,Papeete,Oceania,23.42,23.3,23.42,64.0,23.49,10000.0,0.19,100.0,1.03,0.0,110.0,1016.0,0,500,Rain,light rain,10n
2025-09-06 18:00:15,2025-09-06 08:00:15,French Polynesia,Papeete,Oceania,25.42,24.97,25.42,61.0,25.61,10000.0,0.37,0.0,2.06,0.0,40.0,1018.0,1,500,Rain,light rain,10d
2025-09-07 00:00:12,2025-09-06 14:00:12,French Polynesia,Papeete,Oceania,27.42,27.19,27.42,69.0,29.48,10000.0,0.0,75.0,4.63,0.0,40.0,1015.0,1,803,Clouds,broken clouds,04d
