utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:06,2025-09-01 00:00:06,Gambia,Banjul,Africa,24.15,24.15,24.15,94.0,25.08,10000.0,0.0,40.0,1.54,0.0,0.0,1014.0,0,211,Thunderstorm,thunderstorm,11n
2025-09-01 06:00:12,2025-09-01 06:00:12,Gambia,Banjul,Africa,23.15,23.15,23.15,100.0,24.13,9000.0,0.0,75.0,0.51,0.0,0.0,1012.0,0,500,Rain,light rain,10n
2025-09-01 12:00:09,2025-09-01 12:00:09,Gambia,Banjul,Africa,29.15,29.15,29.15,84.0,36.1,10000.0,0.0,75.0,2.06,0.0,180.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:08,2025-09-01 18:00:08,Gambia,Banjul,Africa,26.15,26.15,26.15,100.0,26.15,7000.0,0.45,75.0,4.12,0.0,210.0,1013.0,1,201,Thunderstorm,thunderstorm with rain,11d
2025-09-02 00:00:06,2025-09-02 00:00:06,Gambia,Banjul,Africa,23.15,23.15,23.15,100.0,24.13,10000.0,0.0,75.0,1.54,0.0,0.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-02 06:00:11,2025-09-02 06:00:11,Gambia,Banjul,Africa,24.15,24.15,24.15,100.0,25.23,10000.0,0.0,75.0,1.03,0.0,0.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-02 12:00:08,2025-09-02 12:00:08,Gambia,Banjul,Africa,29.15,29.15,29.15,84.0,36.1,10000.0,0.0,75.0,4.63,0.0,220.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:06,2025-09-02 18:00:06,Gambia,Banjul,Africa,30.15,30.15,30.15,74.0,36.44,10000.0,0.0,75.0,6.69,0.0,220.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-03 00:00:13,2025-09-03 00:00:13,Gambia,Banjul,Africa,26.15,26.15,26.15,100.0,26.15,10000.0,0.0,75.0,1.54,0.0,0.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:12,2025-09-03 06:00:12,Gambia,Banjul,Africa,25.15,25.15,25.15,100.0,26.33,10000.0,0.0,40.0,1.03,0.0,0.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-03 12:00:10,2025-09-03 12:00:10,Gambia,Banjul,Africa,30.15,30.15,30.15,79.0,37.15,10000.0,0.0,75.0,4.63,0.0,300.0,1013.0,1,803,Clouds,broken clouds,04d
