utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:06,2025-09-01 04:00:06,Georgia,Tbilisi,Asia,21.06,21.06,21.06,53.0,20.61,10000.0,0.0,0.0,2.06,0.0,310.0,1012.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:12,2025-09-01 10:00:12,Georgia,Tbilisi,Asia,27.06,27.06,27.06,36.0,26.71,10000.0,0.0,0.0,1.03,0.0,0.0,1012.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:09,2025-09-01 16:00:09,Georgia,Tbilisi,Asia,35.06,35.06,35.06,24.0,33.66,10000.0,0.0,0.0,4.12,10.29,160.0,1007.0,1,800,Clear,clear sky,01d
2025-09-01 18:00:08,2025-09-01 22:00:08,Georgia,Tbilisi,Asia,26.06,26.06,26.06,41.0,26.06,10000.0,0.0,0.0,0.0,0.0,0.0,1009.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:06,2025-09-02 04:00:06,Georgia,Tbilisi,Asia,24.06,24.06,24.06,50.0,23.83,10000.0,0.0,0.0,0.51,0.0,0.0,1010.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:11,2025-09-02 10:00:11,Georgia,Tbilisi,Asia,26.06,26.06,26.06,47.0,26.06,10000.0,0.0,0.0,2.06,0.0,150.0,1009.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:08,2025-09-02 16:00:08,Georgia,Tbilisi,Asia,34.06,34.06,34.06,29.0,33.19,10000.0,0.0,0.0,3.09,0.0,130.0,1005.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:06,2025-09-02 22:00:06,Georgia,Tbilisi,Asia,27.06,27.06,27.06,39.0,26.86,10000.0,0.0,0.0,4.12,0.0,320.0,1008.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:13,2025-09-03 04:00:13,Georgia,Tbilisi,Asia,23.06,23.06,23.06,73.0,23.33,10000.0,0.0,0.0,6.69,0.0,310.0,1009.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:12,2025-09-03 10:00:12,Georgia,Tbilisi,Asia,25.06,25.06,25.06,65.0,25.32,10000.0,0.0,0.0,8.23,0.0,320.0,1008.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:10,2025-09-03 16:00:10,Georgia,Tbilisi,Asia,31.06,31.06,31.06,27.0,29.54,10000.0,0.0,0.0,8.23,0.0,320.0,1005.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:07,2025-09-03 22:00:07,Georgia,Tbilisi,Asia,25.06,25.06,25.06,47.0,24.85,10000.0,0.0,0.0,8.23,0.0,310.0,1009.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:12,2025-09-04 04:00:12,Georgia,Tbilisi,Asia,22.06,22.06,22.06,60.0,21.89,10000.0,0.0,40.0,9.26,0.0,300.0,1010.0,0,802,Clouds,scattered clouds,03n
2025-09-04 06:00:09,2025-09-04 10:00:09,Georgia,Tbilisi,Asia,23.06,23.06,23.06,60.0,22.99,10000.0,0.0,0.0,7.72,0.0,300.0,1010.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:09,2025-09-04 16:00:09,Georgia,Tbilisi,Asia,33.06,33.06,33.06,24.0,31.34,10000.0,0.0,40.0,3.09,0.0,210.0,1007.0,1,802,Clouds,scattered clouds,03d
2025-09-04 18:00:09,2025-09-04 22:00:09,Georgia,Tbilisi,Asia,25.06,25.06,25.06,53.0,25.01,10000.0,0.0,40.0,7.72,0.0,310.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-05 00:00:15,2025-09-05 04:00:15,Georgia,Tbilisi,Asia,21.06,21.06,21.06,68.0,21.0,10000.0,0.0,0.0,6.17,0.0,300.0,1013.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:10,2025-09-05 10:00:10,Georgia,Tbilisi,Asia,24.06,24.06,24.06,53.0,23.91,10000.0,0.0,0.0,2.06,0.0,280.0,1015.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:08,2025-09-05 16:00:08,Georgia,Tbilisi,Asia,28.06,28.06,28.06,34.0,27.34,10000.0,0.0,75.0,3.09,0.0,220.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-05 18:00:15,2025-09-05 22:00:15,Georgia,Tbilisi,Asia,22.06,22.06,22.06,53.0,21.71,10000.0,0.0,0.0,0.0,0.0,0.0,1014.0,0,800,Clear,clear sky,01n
2025-09-06 00:00:12,2025-09-06 04:00:12,Georgia,Tbilisi,Asia,19.06,19.06,19.06,68.0,18.8,10000.0,0.0,0.0,0.51,0.0,340.0,1016.0,0,800,Clear,clear sky,01n
2025-09-06 06:00:09,2025-09-06 10:00:09,Georgia,Tbilisi,Asia,22.06,22.06,22.06,68.0,22.1,10000.0,0.0,75.0,1.03,0.0,0.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-06 12:00:06,2025-09-06 16:00:06,Georgia,Tbilisi,Asia,29.06,29.06,29.06,45.0,29.16,10000.0,0.0,20.0,3.09,0.0,190.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-06 18:00:15,2025-09-06 22:00:15,Georgia,Tbilisi,Asia,24.06,24.06,24.06,57.0,24.01,10000.0,0.0,40.0,2.57,0.0,80.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-07 00:00:13,2025-09-07 04:00:13,Georgia,Tbilisi,Asia,22.06,22.06,22.06,73.0,22.23,10000.0,0.49,75.0,0.0,0.0,0.0,1014.0,0,500,Rain,light rain,10n
