utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:06,2025-09-01 02:00:06,Germany,Berlin,Europe,16.61,14.01,17.26,81.0,16.44,10000.0,0.0,0.0,1.54,0.0,120.0,1011.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:12,2025-09-01 08:00:12,Germany,Berlin,Europe,16.28,14.49,18.92,84.0,16.16,10000.0,0.0,0.0,3.6,0.0,120.0,1010.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:09,2025-09-01 14:00:09,Germany,Berlin,Europe,26.67,25.48,28.88,54.0,27.33,10000.0,0.0,11.0,6.26,10.28,165.0,1008.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:08,2025-09-01 20:00:08,Germany,Berlin,Europe,23.44,21.66,25.01,64.0,23.51,10000.0,0.0,0.0,2.68,4.47,159.0,1008.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:06,2025-09-02 02:00:06,Germany,Berlin,Europe,17.89,16.68,19.07,91.0,18.11,10000.0,0.0,20.0,2.24,4.47,310.0,1009.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:11,2025-09-02 08:00:11,Germany,Berlin,Europe,17.02,15.57,18.51,94.0,17.23,10000.0,0.75,40.0,2.68,3.58,233.0,1009.0,1,520,Rain,light intensity shower rain,09d
2025-09-02 12:00:08,2025-09-02 14:00:08,Germany,Berlin,Europe,18.45,17.77,19.43,90.0,18.7,10000.0,0.0,20.0,2.06,0.0,260.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-02 18:00:06,2025-09-02 20:00:06,Germany,Berlin,Europe,19.02,18.05,19.49,87.0,19.25,10000.0,0.24,0.0,2.68,5.36,137.0,1010.0,0,500,Rain,light rain,10n
2025-09-03 00:00:13,2025-09-03 02:00:13,Germany,Berlin,Europe,16.29,14.38,17.77,93.0,16.4,10000.0,0.0,0.0,3.09,0.0,240.0,1012.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:12,2025-09-03 08:00:12,Germany,Berlin,Europe,13.99,12.79,14.62,95.0,13.93,10000.0,0.0,0.0,4.02,4.92,212.0,1012.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:10,2025-09-03 14:00:10,Germany,Berlin,Europe,23.9,23.32,24.43,58.0,23.86,10000.0,0.0,20.0,7.15,8.94,193.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-03 18:00:07,2025-09-03 20:00:07,Germany,Berlin,Europe,22.27,20.55,23.25,63.0,22.2,10000.0,0.0,0.0,4.12,0.0,190.0,1011.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:12,2025-09-04 02:00:12,Germany,Berlin,Europe,17.6,15.59,18.85,79.0,17.48,10000.0,0.0,0.0,3.13,5.36,173.0,1012.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:09,2025-09-04 08:00:09,Germany,Berlin,Europe,17.72,16.05,19.45,84.0,17.74,10000.0,0.0,0.0,3.09,0.0,150.0,1012.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:09,2025-09-04 14:00:09,Germany,Berlin,Europe,27.06,26.01,29.07,55.0,27.8,10000.0,0.0,0.0,5.14,0.0,210.0,1013.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:09,2025-09-04 20:00:09,Germany,Berlin,Europe,23.87,22.75,24.96,65.0,24.01,10000.0,0.0,0.0,2.24,4.47,137.0,1013.0,0,800,Clear,clear sky,01n
2025-09-05 00:00:15,2025-09-05 02:00:15,Germany,Berlin,Europe,19.99,17.83,20.6,85.0,20.26,10000.0,0.0,0.0,2.68,2.68,75.0,1013.0,0,800,Clear,clear sky,01n
