utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:06,2025-09-01 03:00:06,Greece,Athens,Europe,25.68,24.91,26.53,52.0,25.66,10000.0,0.0,0.0,4.12,0.0,320.0,1010.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:12,2025-09-01 09:00:12,Greece,Athens,Europe,26.9,25.87,28.25,48.0,27.21,10000.0,0.0,0.0,5.14,0.0,330.0,1010.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:09,2025-09-01 15:00:09,Greece,Athens,Europe,31.82,30.69,33.22,40.0,32.02,10000.0,0.0,20.0,6.69,0.0,220.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:08,2025-09-01 21:00:08,Greece,Athens,Europe,27.33,26.07,28.3,56.0,28.18,10000.0,0.0,0.0,3.6,0.0,170.0,1010.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:06,2025-09-02 03:00:06,Greece,Athens,Europe,25.13,22.95,26.25,68.0,25.47,10000.0,0.0,0.0,1.54,0.0,0.0,1010.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:12,2025-09-02 09:00:12,Greece,Athens,Europe,27.39,25.52,28.1,46.0,27.52,10000.0,0.0,0.0,2.57,0.0,350.0,1010.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:08,2025-09-02 15:00:08,Greece,Athens,Europe,33.33,31.99,34.57,30.0,32.41,10000.0,0.0,20.0,4.12,0.0,10.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-02 18:00:06,2025-09-02 21:00:06,Greece,Athens,Europe,29.77,28.3,30.54,37.0,29.12,10000.0,0.0,0.0,3.09,0.0,350.0,1010.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:13,2025-09-03 03:00:13,Greece,Athens,Europe,26.06,24.26,27.64,44.0,26.06,10000.0,0.0,0.0,5.14,0.0,350.0,1011.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:12,2025-09-03 09:00:12,Greece,Athens,Europe,28.37,27.53,29.01,42.0,28.15,10000.0,0.0,0.0,3.09,0.0,340.0,1010.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:10,2025-09-03 15:00:10,Greece,Athens,Europe,34.29,33.32,35.46,30.0,33.68,10000.0,0.0,0.0,7.72,0.0,30.0,1010.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:07,2025-09-03 21:00:07,Greece,Athens,Europe,30.51,29.29,31.24,33.0,29.51,10000.0,0.0,0.0,4.63,0.0,40.0,1009.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:13,2025-09-04 03:00:13,Greece,Athens,Europe,28.3,27.19,29.29,40.0,27.93,10000.0,0.0,0.0,3.09,0.0,330.0,1009.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:09,2025-09-04 09:00:09,Greece,Athens,Europe,27.75,26.28,28.78,50.0,28.17,10000.0,0.0,0.0,6.17,0.0,340.0,1008.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:10,2025-09-04 15:00:10,Greece,Athens,Europe,31.86,30.52,32.67,35.0,31.29,10000.0,0.0,20.0,9.77,0.0,340.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-04 18:00:09,2025-09-04 21:00:09,Greece,Athens,Europe,27.54,26.1,28.74,51.0,28.03,10000.0,0.0,20.0,4.63,0.0,350.0,1009.0,0,801,Clouds,few clouds,02n
2025-09-05 00:00:15,2025-09-05 03:00:15,Greece,Athens,Europe,25.52,24.25,26.57,58.0,25.64,10000.0,0.0,20.0,3.58,4.92,302.0,1009.0,0,801,Clouds,few clouds,02n
2025-09-05 06:00:10,2025-09-05 09:00:10,Greece,Athens,Europe,26.22,24.97,27.14,58.0,26.22,10000.0,0.0,20.0,5.14,0.0,340.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-05 12:00:08,2025-09-05 15:00:08,Greece,Athens,Europe,30.39,29.76,31.56,42.0,30.41,10000.0,0.0,20.0,6.17,11.32,350.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-05 18:00:15,2025-09-05 21:00:15,Greece,Athens,Europe,27.72,26.64,28.75,47.0,27.91,10000.0,0.0,20.0,5.66,0.0,360.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-06 00:00:12,2025-09-06 03:00:12,Greece,Athens,Europe,24.98,23.8,25.97,55.0,24.97,10000.0,0.0,20.0,4.12,0.0,330.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-06 06:00:10,2025-09-06 09:00:10,Greece,Athens,Europe,27.07,25.73,28.25,53.0,27.68,10000.0,0.0,0.0,4.63,0.0,360.0,1014.0,1,800,Clear,clear sky,01d
2025-09-06 12:00:07,2025-09-06 15:00:07,Greece,Athens,Europe,31.98,30.88,32.75,33.0,31.16,10000.0,0.0,20.0,6.26,9.39,24.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-06 18:00:15,2025-09-06 21:00:15,Greece,Athens,Europe,27.1,24.96,28.18,43.0,27.1,10000.0,0.0,0.0,5.14,0.0,40.0,1015.0,0,800,Clear,clear sky,01n
2025-09-07 00:00:13,2025-09-07 03:00:13,Greece,Athens,Europe,24.04,23.29,24.86,55.0,23.94,10000.0,0.0,0.0,2.68,5.36,58.0,1016.0,0,800,Clear,clear sky,01n
2025-09-07 06:00:11,2025-09-07 09:00:11,Greece,Athens,Europe,25.32,23.83,26.79,48.0,25.16,10000.0,0.0,0.0,5.14,0.0,360.0,1016.0,1,800,Clear,clear sky,01d
