utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:06,2025-08-31 23:00:06,Greenland,Nuuk,North America,0.33,-0.08,0.33,100.0,-2.14,1000.0,0.0,100.0,2.06,0.0,10.0,1008.0,0,601,Snow,snow,13n
2025-09-01 06:00:12,2025-09-01 05:00:12,Greenland,Nuuk,North America,1.33,0.48,1.33,100.0,-2.37,10000.0,0.0,100.0,3.6,0.0,160.0,1007.0,0,500,Rain,light rain,10n
2025-09-01 12:00:09,2025-09-01 11:00:09,Greenland,Nuuk,North America,2.33,1.59,2.33,93.0,0.19,10000.0,0.0,75.0,2.06,0.0,0.0,1007.0,1,300,Drizzle,light intensity drizzle,09d
2025-09-01 18:00:08,2025-09-01 17:00:08,Greenland,Nuuk,North America,4.33,3.81,4.33,81.0,0.69,10000.0,0.0,75.0,4.63,0.0,210.0,1005.0,1,803,Clouds,broken clouds,04d
2025-09-02 00:00:06,2025-09-01 23:00:06,Greenland,Nuuk,North America,4.33,3.81,4.33,81.0,-2.43,10000.0,0.0,75.0,14.92,0.0,200.0,1003.0,0,803,Clouds,broken clouds,04n
2025-09-02 06:00:12,2025-09-02 05:00:12,Greenland,Nuuk,North America,4.33,3.81,4.33,87.0,-2.33,10000.0,0.87,100.0,14.4,20.06,190.0,999.0,0,500,Rain,light rain,10n
2025-09-02 12:00:08,2025-09-02 11:00:08,Greenland,Nuuk,North America,4.33,3.81,4.33,75.0,-2.67,10000.0,0.35,100.0,18.52,31.38,170.0,998.0,1,501,Rain,moderate rain,10d
2025-09-02 18:00:06,2025-09-02 17:00:06,Greenland,Nuuk,North America,4.33,3.81,4.33,100.0,-2.4,5000.0,0.12,100.0,14.75,0.0,180.0,999.0,1,301,Drizzle,drizzle,09d
2025-09-03 00:00:14,2025-09-02 23:00:14,Greenland,Nuuk,North America,4.33,3.81,4.33,100.0,-2.22,9000.0,0.27,100.0,13.89,20.06,180.0,1003.0,0,501,Rain,moderate rain,10n
2025-09-03 06:00:12,2025-09-03 05:00:12,Greenland,Nuuk,North America,3.33,2.7,3.33,93.0,-3.58,10000.0,0.73,100.0,13.89,0.0,190.0,1004.0,0,500,Rain,light rain,10n
2025-09-03 12:00:10,2025-09-03 11:00:10,Greenland,Nuuk,North America,2.7,2.7,2.7,78.0,-4.3,5115.0,0.33,92.0,14.75,0.0,200.0,1007.0,1,500,Rain,light rain,10d
2025-09-03 18:00:07,2025-09-03 17:00:07,Greenland,Nuuk,North America,3.33,2.7,3.33,93.0,-0.56,10000.0,0.43,75.0,4.63,0.0,200.0,1008.0,1,500,Rain,light rain,10d
2025-09-04 00:00:13,2025-09-03 23:00:13,Greenland,Nuuk,North America,2.33,1.59,2.33,100.0,0.19,10000.0,0.11,100.0,2.06,0.0,0.0,1009.0,0,500,Rain,light rain,10n
2025-09-04 06:00:09,2025-09-04 05:00:09,Greenland,Nuuk,North America,2.33,1.59,2.33,93.0,-2.33,10000.0,1.0,100.0,5.66,0.0,180.0,1009.0,0,500,Rain,light rain,10n
2025-09-04 12:00:10,2025-09-04 11:00:10,Greenland,Nuuk,North America,3.33,2.7,3.33,87.0,-1.3,10000.0,0.0,75.0,6.17,0.0,60.0,1010.0,1,803,Clouds,broken clouds,04d
2025-09-04 18:00:09,2025-09-04 17:00:09,Greenland,Nuuk,North America,5.33,4.92,5.33,70.0,1.45,10000.0,0.0,40.0,5.66,0.0,60.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-09-05 00:00:15,2025-09-04 23:00:15,Greenland,Nuuk,North America,3.33,2.7,3.33,93.0,-0.56,10000.0,0.0,75.0,4.63,0.0,360.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-05 06:00:10,2025-09-05 05:00:10,Greenland,Nuuk,North America,2.33,1.59,2.33,100.0,-2.33,2600.0,0.0,100.0,5.66,0.0,50.0,1012.0,0,701,Mist,mist,50n
2025-09-05 12:00:08,2025-09-05 11:00:08,Greenland,Nuuk,North America,3.33,2.7,3.33,100.0,0.06,10000.0,0.0,40.0,3.6,0.0,40.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-05 18:00:15,2025-09-05 17:00:15,Greenland,Nuuk,North America,7.33,6.59,7.33,76.0,4.66,10000.0,0.0,40.0,4.12,0.0,0.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-06 00:00:12,2025-09-05 23:00:12,Greenland,Nuuk,North America,4.33,3.81,4.33,87.0,1.28,10000.0,0.0,75.0,3.6,0.0,30.0,1016.0,0,803,Clouds,broken clouds,04n
2025-09-06 06:00:10,2025-09-06 05:00:10,Greenland,Nuuk,North America,2.33,1.59,2.33,100.0,-1.15,10000.0,0.0,75.0,3.6,0.0,30.0,1016.0,0,803,Clouds,broken clouds,04n
2025-09-06 12:00:07,2025-09-06 11:00:07,Greenland,Nuuk,North America,6.33,5.48,6.33,56.0,1.83,10000.0,0.0,3.0,8.23,0.0,70.0,1014.0,1,800,Clear,clear sky,01d
2025-09-06 18:00:15,2025-09-06 17:00:15,Greenland,Nuuk,North America,6.33,5.48,6.33,61.0,2.32,10000.0,0.0,40.0,6.71,0.0,40.0,1010.0,1,802,Clouds,scattered clouds,03d
2025-09-07 00:00:13,2025-09-06 23:00:13,Greenland,Nuuk,North America,6.33,5.48,6.33,61.0,4.04,10000.0,0.0,20.0,3.09,0.0,40.0,1007.0,0,801,Clouds,few clouds,02n
2025-09-07 06:00:11,2025-09-07 05:00:11,Greenland,Nuuk,North America,5.33,4.92,5.33,65.0,4.27,10000.0,0.0,63.0,1.54,0.0,190.0,1003.0,0,803,Clouds,broken clouds,04n
2025-09-07 12:00:10,2025-09-07 11:00:10,Greenland,Nuuk,North America,7.33,6.59,7.33,53.0,5.25,10000.0,0.0,100.0,3.09,0.0,80.0,999.0,1,804,Clouds,overcast clouds,04d
2025-09-07 18:00:11,2025-09-07 17:00:11,Greenland,Nuuk,North America,6.33,5.48,6.33,81.0,6.33,10000.0,0.53,75.0,1.03,0.0,0.0,1000.0,1,500,Rain,light rain,10d
