utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:07,2025-09-01 00:00:07,Guinea-Bissau,Bissau,Africa,26.98,26.98,26.98,94.0,31.1,8000.0,0.0,40.0,2.06,0.0,160.0,1014.0,0,500,Rain,light rain,10n
2025-09-01 06:00:12,2025-09-01 06:00:12,Guinea-Bissau,Bissau,Africa,24.67,24.67,24.67,91.0,25.57,10000.0,0.24,100.0,3.75,6.5,158.0,1013.0,0,500,Rain,light rain,10n
2025-09-01 12:00:10,2025-09-01 12:00:10,Guinea-Bissau,Bissau,Africa,28.98,28.98,28.98,79.0,34.47,9000.0,0.0,75.0,3.6,0.0,210.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:09,2025-09-01 18:00:09,Guinea-Bissau,Bissau,Africa,26.28,26.28,26.28,83.0,26.28,10000.0,0.0,94.0,5.39,7.0,215.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-09-02 00:00:07,2025-09-02 00:00:07,Guinea-Bissau,Bissau,Africa,23.98,23.98,23.98,94.0,24.89,8000.0,0.0,75.0,4.12,0.0,250.0,1015.0,0,200,Thunderstorm,thunderstorm with light rain,11n
2025-09-02 06:00:12,2025-09-02 06:00:12,Guinea-Bissau,Bissau,Africa,23.98,23.98,23.98,100.0,25.04,8000.0,0.0,20.0,0.51,0.0,0.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-02 12:00:09,2025-09-02 12:00:09,Guinea-Bissau,Bissau,Africa,28.98,28.98,28.98,79.0,34.47,8000.0,0.0,75.0,2.57,0.0,260.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:06,2025-09-02 18:00:06,Guinea-Bissau,Bissau,Africa,26.98,26.98,26.98,94.0,31.1,8000.0,0.0,40.0,4.12,0.0,210.0,1013.0,1,211,Thunderstorm,thunderstorm,11d
2025-09-03 00:00:14,2025-09-03 00:00:14,Guinea-Bissau,Bissau,Africa,25.47,25.47,25.47,88.0,26.37,10000.0,0.0,97.0,3.46,5.96,252.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-03 06:00:12,2025-09-03 06:00:12,Guinea-Bissau,Bissau,Africa,24.98,24.98,24.98,94.0,25.99,8000.0,1.38,40.0,1.03,0.0,0.0,1012.0,0,501,Rain,moderate rain,10n
2025-09-03 12:00:11,2025-09-03 12:00:11,Guinea-Bissau,Bissau,Africa,29.98,29.98,29.98,74.0,35.99,10000.0,0.0,75.0,2.06,0.0,340.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:08,2025-09-03 18:00:08,Guinea-Bissau,Bissau,Africa,28.98,28.98,28.98,79.0,34.47,10000.0,0.53,75.0,3.09,0.0,0.0,1010.0,1,500,Rain,light rain,10d
2025-09-04 00:00:13,2025-09-04 00:00:13,Guinea-Bissau,Bissau,Africa,25.98,25.98,25.98,94.0,25.98,8000.0,1.38,40.0,0.0,0.0,0.0,1011.0,0,501,Rain,moderate rain,10n
2025-09-04 06:00:09,2025-09-04 06:00:09,Guinea-Bissau,Bissau,Africa,24.98,24.98,24.98,100.0,26.14,6000.0,0.27,20.0,0.0,0.0,0.0,1010.0,0,500,Rain,light rain,10n
2025-09-04 12:00:10,2025-09-04 12:00:10,Guinea-Bissau,Bissau,Africa,28.98,28.98,28.98,79.0,34.47,8000.0,0.0,75.0,1.03,0.0,0.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-04 18:00:09,2025-09-04 18:00:09,Guinea-Bissau,Bissau,Africa,31.98,31.98,31.98,74.0,38.98,8000.0,0.1,40.0,4.63,0.0,200.0,1009.0,1,500,Rain,light rain,10d
