utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:07,2025-08-31 20:00:07,Guyana,Georgetown,South America,24.8,24.8,24.8,91.0,25.71,10000.0,0.0,70.0,3.05,4.73,72.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-01 06:00:12,2025-09-01 02:00:12,Guyana,Georgetown,South America,24.82,24.82,24.82,89.0,25.68,10000.0,0.0,74.0,2.85,4.96,91.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-01 12:00:10,2025-09-01 08:00:10,Guyana,Georgetown,South America,27.99,27.99,27.99,78.0,31.77,10000.0,0.0,20.0,2.06,0.0,100.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:09,2025-09-01 14:00:09,Guyana,Georgetown,South America,30.99,30.99,30.99,70.0,37.57,10000.0,0.0,20.0,4.12,0.0,80.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-02 00:00:07,2025-09-01 20:00:07,Guyana,Georgetown,South America,25.85,25.85,25.85,86.0,26.74,10000.0,0.0,6.0,3.33,5.1,73.0,1012.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:12,2025-09-02 02:00:12,Guyana,Georgetown,South America,25.3,25.3,25.3,90.0,26.24,10000.0,0.0,6.0,2.88,4.77,86.0,1012.0,0,800,Clear,clear sky,01n
2025-09-02 12:00:09,2025-09-02 08:00:09,Guyana,Georgetown,South America,27.99,27.99,27.99,83.0,32.54,10000.0,0.0,40.0,4.12,0.0,90.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-02 18:00:06,2025-09-02 14:00:06,Guyana,Georgetown,South America,30.99,30.99,30.99,70.0,37.57,10000.0,0.0,40.0,6.17,0.0,70.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-03 00:00:14,2025-09-02 20:00:14,Guyana,Georgetown,South America,25.78,25.78,25.78,79.0,26.48,10000.0,0.0,37.0,2.75,5.61,69.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-03 06:00:12,2025-09-03 02:00:12,Guyana,Georgetown,South America,24.78,24.78,24.78,91.0,25.69,10000.0,0.0,12.0,2.37,4.0,71.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-03 12:00:11,2025-09-03 08:00:11,Guyana,Georgetown,South America,27.99,27.99,27.99,83.0,32.54,9000.0,0.0,75.0,3.09,0.0,50.0,1014.0,1,803,Clouds,broken clouds,04d
