utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:07,2025-09-01 02:00:07,Hungary,Budapest,Europe,18.26,17.56,18.78,85.0,18.36,10000.0,0.0,0.0,2.24,3.58,245.0,1011.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:13,2025-09-01 08:00:13,Hungary,Budapest,Europe,19.68,18.17,20.9,84.0,19.9,10000.0,0.0,0.0,1.03,0.0,10.0,1011.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:10,2025-09-01 14:00:10,Hungary,Budapest,Europe,28.03,27.17,28.69,48.0,28.31,10000.0,0.0,20.0,3.09,0.0,200.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:09,2025-09-01 20:00:09,Hungary,Budapest,Europe,24.62,22.56,25.45,56.0,24.6,10000.0,0.0,0.0,1.03,0.0,160.0,1010.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:07,2025-09-02 02:00:07,Hungary,Budapest,Europe,19.38,18.12,19.89,75.0,19.33,10000.0,0.0,0.0,1.54,0.0,90.0,1011.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:12,2025-09-02 08:00:12,Hungary,Budapest,Europe,20.69,20.17,21.03,70.0,20.64,10000.0,0.0,0.0,3.09,0.0,130.0,1011.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:09,2025-09-02 14:00:09,Hungary,Budapest,Europe,30.31,29.33,31.57,41.0,30.18,10000.0,0.0,0.0,5.14,0.0,180.0,1010.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:07,2025-09-02 20:00:07,Hungary,Budapest,Europe,25.15,24.78,26.17,59.0,25.26,10000.0,0.0,0.0,0.89,3.13,263.0,1009.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:14,2025-09-03 02:00:14,Hungary,Budapest,Europe,21.88,20.44,22.29,78.0,22.16,10000.0,2.01,100.0,7.2,0.0,300.0,1011.0,0,520,Rain,light intensity shower rain,09n
2025-09-03 06:00:13,2025-09-03 08:00:13,Hungary,Budapest,Europe,20.35,19.36,21.02,82.0,20.58,10000.0,0.0,0.0,4.63,0.0,320.0,1013.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:11,2025-09-03 14:00:11,Hungary,Budapest,Europe,27.02,26.68,27.82,56.0,27.82,10000.0,0.0,20.0,5.14,0.0,320.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-03 18:00:08,2025-09-03 20:00:08,Hungary,Budapest,Europe,23.68,22.7,24.33,62.0,23.72,10000.0,0.0,0.0,4.12,0.0,310.0,1013.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:13,2025-09-04 02:00:13,Hungary,Budapest,Europe,18.78,17.29,18.79,79.0,18.78,10000.0,0.0,0.0,1.54,0.0,260.0,1015.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:10,2025-09-04 08:00:10,Hungary,Budapest,Europe,19.73,17.17,19.89,77.0,19.77,10000.0,0.0,0.0,2.06,0.0,330.0,1016.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:10,2025-09-04 14:00:10,Hungary,Budapest,Europe,28.91,28.29,29.91,49.0,29.43,10000.0,0.0,20.0,1.34,1.79,31.0,1016.0,1,801,Clouds,few clouds,02d
