utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:07,2025-09-01 07:00:07,Indonesia,Jakarta,Asia,25.01,24.07,26.74,87.0,25.84,5000.0,0.0,39.0,0.0,0.0,0.0,1011.0,1,721,Haze,haze,50d
2025-09-01 06:00:13,2025-09-01 13:00:13,Indonesia,Jakarta,Asia,33.01,31.64,34.63,52.0,36.9,7000.0,0.0,40.0,6.69,0.0,50.0,1008.0,1,802,Clouds,scattered clouds,03d
2025-09-01 12:00:11,2025-09-01 19:00:11,Indonesia,Jakarta,Asia,29.46,27.75,30.07,61.0,32.01,8000.0,0.0,20.0,6.69,0.0,60.0,1009.0,0,801,Clouds,few clouds,02n
2025-09-01 18:00:09,2025-09-02 01:00:09,Indonesia,Jakarta,Asia,27.11,26.64,27.3,76.0,29.59,7000.0,0.0,20.0,1.54,0.0,90.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-02 00:00:07,2025-09-02 07:00:07,Indonesia,Jakarta,Asia,26.51,25.07,27.3,83.0,26.51,5000.0,0.0,20.0,0.0,0.0,0.0,1011.0,1,721,Haze,haze,50d
2025-09-02 06:00:13,2025-09-02 13:00:13,Indonesia,Jakarta,Asia,32.97,31.64,33.28,53.0,37.12,8000.0,0.0,40.0,10.29,0.0,110.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-09-02 12:00:09,2025-09-02 19:00:09,Indonesia,Jakarta,Asia,29.82,27.75,30.07,59.0,32.3,8000.0,0.0,66.0,6.17,0.0,160.0,1010.0,0,803,Clouds,broken clouds,04n
2025-09-02 18:00:07,2025-09-03 01:00:07,Indonesia,Jakarta,Asia,27.69,26.64,27.86,73.0,30.44,10000.0,0.0,83.0,0.89,1.34,114.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-03 00:00:15,2025-09-03 07:00:15,Indonesia,Jakarta,Asia,25.85,24.97,27.29,79.0,26.55,7000.0,0.0,84.0,1.54,0.0,20.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-03 06:00:13,2025-09-03 13:00:13,Indonesia,Jakarta,Asia,34.01,31.99,35.75,50.0,38.41,10000.0,0.0,37.0,3.13,4.47,118.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-09-03 12:00:11,2025-09-03 19:00:11,Indonesia,Jakarta,Asia,29.36,27.75,29.52,64.0,32.36,10000.0,0.0,20.0,8.23,0.0,60.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-03 18:00:08,2025-09-04 01:00:08,Indonesia,Jakarta,Asia,27.58,27.07,27.99,76.0,30.57,10000.0,0.0,32.0,3.6,0.0,100.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-09-04 00:00:13,2025-09-04 07:00:13,Indonesia,Jakarta,Asia,27.85,26.64,27.86,74.0,30.89,10000.0,0.0,21.0,0.89,1.34,124.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-04 06:00:10,2025-09-04 13:00:10,Indonesia,Jakarta,Asia,33.38,31.64,35.07,55.0,38.69,7000.0,0.0,40.0,6.17,0.0,60.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-09-04 12:00:11,2025-09-04 19:00:11,Indonesia,Jakarta,Asia,29.13,27.75,29.51,69.0,32.82,10000.0,0.0,42.0,0.45,0.89,149.0,1009.0,0,802,Clouds,scattered clouds,03n
2025-09-04 18:00:10,2025-09-05 01:00:10,Indonesia,Jakarta,Asia,27.3,27.29,27.99,79.0,30.31,10000.0,0.0,16.0,0.89,0.89,180.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-05 00:00:16,2025-09-05 07:00:16,Indonesia,Jakarta,Asia,26.26,24.97,27.29,87.0,26.26,5000.0,0.0,3.0,1.54,0.0,240.0,1011.0,1,721,Haze,haze,50d
2025-09-05 06:00:11,2025-09-05 13:00:11,Indonesia,Jakarta,Asia,33.41,31.99,34.51,50.0,37.13,7000.0,0.0,40.0,2.06,0.0,150.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-09-05 12:00:09,2025-09-05 19:00:09,Indonesia,Jakarta,Asia,27.86,27.85,28.99,75.0,31.05,10000.0,0.0,77.0,1.79,2.24,193.0,1010.0,0,803,Clouds,broken clouds,04n
2025-09-05 18:00:16,2025-09-06 01:00:16,Indonesia,Jakarta,Asia,26.75,24.97,26.85,71.0,28.51,10000.0,0.0,91.0,0.89,1.34,207.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-09-06 00:00:13,2025-09-06 07:00:13,Indonesia,Jakarta,Asia,27.86,25.53,27.96,66.0,29.91,10000.0,0.0,67.0,0.45,0.89,173.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-06 06:00:11,2025-09-06 13:00:11,Indonesia,Jakarta,Asia,33.26,31.64,33.41,51.0,37.12,6000.0,0.0,40.0,1.54,0.0,40.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-09-06 12:00:08,2025-09-06 19:00:08,Indonesia,Jakarta,Asia,29.05,28.07,29.62,71.0,33.03,6000.0,0.0,40.0,2.06,0.0,290.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-09-06 18:00:16,2025-09-07 01:00:16,Indonesia,Jakarta,Asia,26.02,25.53,26.19,81.0,26.02,10000.0,0.0,100.0,0.89,1.34,223.0,1011.0,0,804,Clouds,overcast clouds,04n
