utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:07,2025-09-01 01:00:07,Ireland,Dublin,Europe,15.1,14.22,15.7,82.0,14.81,10000.0,0.0,75.0,8.23,0.0,210.0,992.0,0,803,Clouds,broken clouds,04n
2025-09-01 06:00:13,2025-09-01 07:00:13,Ireland,Dublin,Europe,14.5,14.36,14.77,86.0,14.25,10000.0,0.0,75.0,7.2,0.0,240.0,993.0,1,803,Clouds,broken clouds,04d
2025-09-01 12:00:11,2025-09-01 13:00:11,Ireland,Dublin,Europe,17.31,16.53,18.12,75.0,17.05,10000.0,0.56,75.0,8.75,0.0,250.0,996.0,1,520,Rain,light intensity shower rain,09d
2025-09-01 18:00:09,2025-09-01 19:00:09,Ireland,Dublin,Europe,16.86,16.37,17.37,72.0,16.48,10000.0,0.0,75.0,9.77,0.0,250.0,998.0,1,803,Clouds,broken clouds,04d
2025-09-02 00:00:07,2025-09-02 01:00:07,Ireland,Dublin,Europe,13.35,12.36,14.03,84.0,12.93,10000.0,0.0,40.0,5.14,0.0,220.0,1000.0,0,802,Clouds,scattered clouds,03n
2025-09-02 06:00:13,2025-09-02 07:00:13,Ireland,Dublin,Europe,11.31,10.77,12.16,89.0,10.82,10000.0,0.0,75.0,3.6,0.0,210.0,1000.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:10,2025-09-02 13:00:10,Ireland,Dublin,Europe,17.84,16.88,18.67,65.0,17.38,10000.0,0.0,40.0,3.6,0.0,120.0,999.0,1,802,Clouds,scattered clouds,03d
2025-09-02 18:00:07,2025-09-02 19:00:07,Ireland,Dublin,Europe,17.15,15.5,18.53,73.0,16.83,10000.0,0.0,75.0,4.12,0.0,240.0,997.0,1,803,Clouds,broken clouds,04d
2025-09-03 00:00:15,2025-09-03 01:00:15,Ireland,Dublin,Europe,14.56,13.53,15.15,80.0,14.16,10000.0,0.0,75.0,3.09,0.0,170.0,994.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:13,2025-09-03 07:00:13,Ireland,Dublin,Europe,14.06,13.1,14.59,95.0,14.0,5000.0,3.33,75.0,1.79,0.0,90.0,989.0,1,501,Rain,moderate rain,10d
2025-09-03 12:00:12,2025-09-03 13:00:12,Ireland,Dublin,Europe,16.42,16.37,16.53,84.0,16.31,6000.0,0.0,75.0,6.69,0.0,250.0,990.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:08,2025-09-03 19:00:08,Ireland,Dublin,Europe,15.03,14.65,15.9,88.0,14.89,8000.0,0.0,75.0,7.2,0.0,290.0,995.0,1,803,Clouds,broken clouds,04d
2025-09-04 00:00:14,2025-09-04 01:00:14,Ireland,Dublin,Europe,12.27,11.37,13.67,91.0,11.93,10000.0,0.0,40.0,4.12,0.0,220.0,999.0,0,802,Clouds,scattered clouds,03n
2025-09-04 06:00:10,2025-09-04 07:00:10,Ireland,Dublin,Europe,11.25,10.32,12.0,92.0,10.83,10000.0,0.0,75.0,3.09,0.0,240.0,1001.0,1,803,Clouds,broken clouds,04d
2025-09-04 12:00:11,2025-09-04 13:00:11,Ireland,Dublin,Europe,17.02,16.36,18.26,76.0,16.76,10000.0,0.0,75.0,4.12,0.0,250.0,1005.0,1,803,Clouds,broken clouds,04d
2025-09-04 18:00:10,2025-09-04 19:00:10,Ireland,Dublin,Europe,16.96,16.53,17.72,72.0,16.59,10000.0,0.0,40.0,6.69,0.0,290.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-09-05 00:00:16,2025-09-05 01:00:16,Ireland,Dublin,Europe,13.5,12.53,14.04,88.0,13.2,10000.0,0.0,0.0,4.63,0.0,230.0,1013.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:11,2025-09-05 07:00:11,Ireland,Dublin,Europe,12.04,10.88,12.93,90.0,11.65,10000.0,0.0,20.0,5.66,0.0,230.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-05 12:00:09,2025-09-05 13:00:09,Ireland,Dublin,Europe,17.22,16.29,17.89,70.0,16.83,10000.0,0.0,75.0,4.63,0.0,230.0,1018.0,1,803,Clouds,broken clouds,04d
2025-09-05 18:00:17,2025-09-05 19:00:17,Ireland,Dublin,Europe,17.86,16.61,18.48,69.0,17.5,10000.0,0.0,75.0,3.6,0.0,200.0,1018.0,1,803,Clouds,broken clouds,04d
2025-09-06 00:00:13,2025-09-06 01:00:13,Ireland,Dublin,Europe,14.39,13.53,14.94,85.0,14.1,10000.0,0.0,75.0,2.57,0.0,160.0,1018.0,0,803,Clouds,broken clouds,04n
2025-09-06 06:00:11,2025-09-06 07:00:11,Ireland,Dublin,Europe,15.62,15.21,16.53,88.0,15.54,10000.0,0.0,75.0,5.66,0.0,160.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-06 12:00:08,2025-09-06 13:00:08,Ireland,Dublin,Europe,17.64,16.6,18.47,82.0,17.6,10000.0,0.0,75.0,7.2,0.0,150.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-06 18:00:16,2025-09-06 19:00:16,Ireland,Dublin,Europe,17.72,16.61,18.53,77.0,17.56,10000.0,0.0,75.0,6.17,0.0,120.0,1006.0,1,803,Clouds,broken clouds,04d
2025-09-07 00:00:14,2025-09-07 01:00:14,Ireland,Dublin,Europe,17.62,16.61,18.53,78.0,17.47,10000.0,0.0,75.0,8.75,13.89,150.0,1002.0,0,803,Clouds,broken clouds,04n
2025-09-07 06:00:12,2025-09-07 07:00:12,Ireland,Dublin,Europe,17.31,16.05,17.93,88.0,17.39,10000.0,0.0,75.0,9.26,0.0,150.0,998.0,1,803,Clouds,broken clouds,04d
2025-09-07 12:00:11,2025-09-07 13:00:11,Ireland,Dublin,Europe,16.46,14.94,17.37,91.0,16.54,4500.0,0.0,75.0,6.17,0.0,270.0,1000.0,1,701,Mist,mist,50d
2025-09-07 18:00:12,2025-09-07 19:00:12,Ireland,Dublin,Europe,16.14,15.37,16.82,75.0,15.77,10000.0,0.0,40.0,5.14,0.0,240.0,1004.0,1,802,Clouds,scattered clouds,03d
2025-09-08 00:00:08,2025-09-08 01:00:08,Ireland,Dublin,Europe,13.56,12.53,14.04,78.0,13.01,10000.0,0.0,75.0,4.63,0.0,230.0,1008.0,0,803,Clouds,broken clouds,04n
2025-09-08 06:00:13,2025-09-08 07:00:13,Ireland,Dublin,Europe,11.25,10.32,11.88,84.0,10.62,10000.0,0.0,20.0,3.09,0.0,220.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-08 12:00:10,2025-09-08 13:00:10,Ireland,Dublin,Europe,16.66,15.37,17.56,63.0,16.03,10000.0,0.0,40.0,4.63,0.0,210.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-09-08 18:00:06,2025-09-08 19:00:06,Ireland,Dublin,Europe,17.0,15.9,17.37,60.0,16.32,10000.0,0.0,40.0,5.14,0.0,200.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-09 00:00:13,2025-09-09 01:00:13,Ireland,Dublin,Europe,13.06,11.53,13.47,75.0,12.38,10000.0,0.0,20.0,3.6,0.0,180.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-09 06:00:10,2025-09-09 07:00:10,Ireland,Dublin,Europe,13.48,12.56,13.65,77.0,12.89,10000.0,0.0,75.0,4.12,0.0,160.0,1009.0,1,803,Clouds,broken clouds,04d
2025-09-09 12:00:11,2025-09-09 13:00:11,Ireland,Dublin,Europe,16.71,14.94,17.93,86.0,16.68,10000.0,0.0,75.0,7.2,0.0,160.0,1008.0,1,803,Clouds,broken clouds,04d
2025-09-09 18:00:12,2025-09-09 19:00:12,Ireland,Dublin,Europe,15.43,14.77,15.88,92.0,15.43,10000.0,0.0,75.0,8.94,0.0,150.0,1005.0,1,300,Drizzle,light intensity drizzle,09d
2025-09-10 00:00:13,2025-09-10 01:00:13,Ireland,Dublin,Europe,14.14,13.53,14.94,92.0,14.01,10000.0,0.0,40.0,3.6,0.0,190.0,1002.0,0,802,Clouds,scattered clouds,03n
2025-09-10 06:00:13,2025-09-10 07:00:13,Ireland,Dublin,Europe,13.89,13.37,14.59,93.0,13.76,10000.0,0.0,75.0,5.14,0.0,150.0,997.0,1,803,Clouds,broken clouds,04d
2025-09-10 12:00:18,2025-09-10 13:00:18,Ireland,Dublin,Europe,15.12,14.21,15.88,91.0,15.06,3000.0,0.24,75.0,5.14,0.0,200.0,994.0,1,500,Rain,light rain,10d
2025-09-10 18:00:09,2025-09-10 19:00:09,Ireland,Dublin,Europe,15.66,14.94,16.26,73.0,15.19,10000.0,0.0,40.0,10.29,15.43,250.0,995.0,1,802,Clouds,scattered clouds,03d
2025-09-11 00:00:15,2025-09-11 01:00:15,Ireland,Dublin,Europe,11.91,10.88,12.43,85.0,11.38,10000.0,0.0,40.0,8.75,0.0,230.0,996.0,0,802,Clouds,scattered clouds,03n
2025-09-11 06:00:12,2025-09-11 07:00:12,Ireland,Dublin,Europe,11.74,10.88,12.37,82.0,11.11,10000.0,0.0,40.0,8.23,0.0,220.0,996.0,1,802,Clouds,scattered clouds,03d
2025-09-11 12:00:11,2025-09-11 13:00:11,Ireland,Dublin,Europe,14.17,12.72,15.37,72.0,13.52,10000.0,0.75,75.0,6.71,0.0,250.0,997.0,1,500,Rain,light rain,10d
2025-09-11 18:00:07,2025-09-11 19:00:07,Ireland,Dublin,Europe,12.77,11.53,13.37,79.0,12.17,10000.0,0.0,40.0,7.2,0.0,240.0,999.0,1,802,Clouds,scattered clouds,03d
2025-09-12 00:00:12,2025-09-12 01:00:12,Ireland,Dublin,Europe,11.02,10.32,11.81,86.0,10.42,10000.0,0.0,20.0,7.2,0.0,240.0,1002.0,0,801,Clouds,few clouds,02n
2025-09-12 06:00:09,2025-09-12 07:00:09,Ireland,Dublin,Europe,10.32,9.37,10.9,86.0,9.65,10000.0,0.0,40.0,8.75,14.4,220.0,1003.0,1,802,Clouds,scattered clouds,03d
2025-09-12 12:00:15,2025-09-12 13:00:15,Ireland,Dublin,Europe,15.54,14.53,16.05,67.0,14.9,10000.0,0.0,40.0,8.75,0.0,240.0,1005.0,1,802,Clouds,scattered clouds,03d
2025-09-12 18:00:10,2025-09-12 19:00:10,Ireland,Dublin,Europe,13.73,12.53,14.04,75.0,13.12,10000.0,0.0,75.0,7.2,0.0,220.0,1004.0,1,803,Clouds,broken clouds,04d
2025-09-13 00:00:16,2025-09-13 01:00:16,Ireland,Dublin,Europe,10.99,9.78,11.32,81.0,10.26,10000.0,0.0,75.0,5.66,0.0,230.0,1002.0,0,803,Clouds,broken clouds,04n
2025-09-13 06:00:11,2025-09-13 07:00:11,Ireland,Dublin,Europe,11.1,10.37,11.61,78.0,10.3,10000.0,0.0,75.0,7.2,0.0,220.0,1001.0,1,803,Clouds,broken clouds,04d
2025-09-13 12:00:07,2025-09-13 13:00:07,Ireland,Dublin,Europe,15.72,15.21,16.61,70.0,15.18,10000.0,0.0,75.0,6.17,11.83,240.0,1003.0,1,803,Clouds,broken clouds,04d
2025-09-13 18:00:13,2025-09-13 19:00:13,Ireland,Dublin,Europe,14.73,14.37,15.15,75.0,14.22,10000.0,0.73,75.0,6.17,12.35,260.0,1005.0,1,520,Rain,light intensity shower rain,09d
2025-09-14 00:00:10,2025-09-14 01:00:10,Ireland,Dublin,Europe,11.49,10.34,12.37,88.0,10.99,10000.0,0.0,40.0,6.17,0.0,220.0,1009.0,0,802,Clouds,scattered clouds,03n
2025-09-14 06:00:16,2025-09-14 07:00:16,Ireland,Dublin,Europe,10.43,9.21,11.26,84.0,9.72,10000.0,0.0,75.0,3.6,0.0,150.0,1007.0,1,803,Clouds,broken clouds,04d
2025-09-14 12:00:13,2025-09-14 13:00:13,Ireland,Dublin,Europe,14.83,13.67,15.71,89.0,14.69,10000.0,0.0,75.0,10.8,18.52,150.0,997.0,1,300,Drizzle,light intensity drizzle,09d
2025-09-14 18:00:07,2025-09-14 19:00:07,Ireland,Dublin,Europe,16.6,15.5,17.37,78.0,16.35,10000.0,0.0,75.0,10.8,0.0,240.0,991.0,1,803,Clouds,broken clouds,04d
2025-09-15 00:00:12,2025-09-15 01:00:12,Ireland,Dublin,Europe,13.97,13.37,14.59,85.0,13.64,10000.0,0.0,75.0,11.83,18.52,230.0,990.0,0,300,Drizzle,light intensity drizzle,09n
2025-09-15 06:00:08,2025-09-15 07:00:08,Ireland,Dublin,Europe,13.02,12.37,13.67,85.0,12.6,10000.0,0.0,75.0,13.89,19.55,240.0,992.0,1,803,Clouds,broken clouds,04d
