utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:08,2025-09-01 01:00:08,Jersey,St. Helier,Europe,17.12,16.42,17.12,75.0,16.85,10000.0,0.0,20.0,7.2,0.0,220.0,1004.0,0,801,Clouds,few clouds,02n
2025-09-01 06:00:13,2025-09-01 07:00:13,Jersey,St. Helier,Europe,17.15,16.45,17.15,78.0,16.96,10000.0,0.0,40.0,5.66,0.0,220.0,1004.0,1,802,Clouds,scattered clouds,03d
2025-09-01 12:00:11,2025-09-01 13:00:11,Jersey,St. Helier,Europe,18.82,18.82,19.45,72.0,18.64,10000.0,0.0,40.0,10.29,0.0,250.0,1005.0,1,802,Clouds,scattered clouds,03d
2025-09-01 18:00:10,2025-09-01 19:00:10,Jersey,St. Helier,Europe,18.26,18.26,18.45,70.0,17.97,10000.0,0.0,20.0,8.23,0.0,260.0,1007.0,1,801,Clouds,few clouds,02d
2025-09-02 00:00:08,2025-09-02 01:00:08,Jersey,St. Helier,Europe,16.6,15.45,16.6,79.0,16.38,10000.0,0.0,75.0,7.72,0.0,230.0,1008.0,0,803,Clouds,broken clouds,04n
2025-09-02 06:00:13,2025-09-02 07:00:13,Jersey,St. Helier,Europe,16.04,15.45,16.04,85.0,15.92,9000.0,3.16,75.0,6.17,0.0,180.0,1003.0,1,501,Rain,moderate rain,10d
2025-09-02 12:00:10,2025-09-02 13:00:10,Jersey,St. Helier,Europe,20.49,20.45,20.49,74.0,20.53,10000.0,0.0,40.0,7.72,0.0,220.0,1001.0,1,802,Clouds,scattered clouds,03d
2025-09-02 18:00:07,2025-09-02 19:00:07,Jersey,St. Helier,Europe,18.26,18.26,18.45,79.0,18.2,10000.0,0.0,40.0,10.8,0.0,260.0,1003.0,1,802,Clouds,scattered clouds,03d
2025-09-03 00:00:15,2025-09-03 01:00:15,Jersey,St. Helier,Europe,18.26,17.45,18.26,83.0,18.31,6000.0,0.0,100.0,9.26,0.0,190.0,1003.0,0,300,Drizzle,light intensity drizzle,09n
2025-09-03 06:00:13,2025-09-03 07:00:13,Jersey,St. Helier,Europe,19.93,19.45,19.93,83.0,20.15,10000.0,0.0,40.0,8.23,0.0,210.0,999.0,1,802,Clouds,scattered clouds,03d
2025-09-03 12:00:12,2025-09-03 13:00:12,Jersey,St. Helier,Europe,20.49,20.49,21.45,75.0,20.55,10000.0,0.0,40.0,12.86,18.52,230.0,998.0,1,802,Clouds,scattered clouds,03d
2025-09-03 18:00:09,2025-09-03 19:00:09,Jersey,St. Helier,Europe,18.26,18.26,18.45,73.0,18.05,10000.0,0.0,20.0,13.38,19.55,260.0,1004.0,1,801,Clouds,few clouds,02d
2025-09-04 00:00:14,2025-09-04 01:00:14,Jersey,St. Helier,Europe,17.15,16.45,17.15,78.0,16.96,10000.0,0.0,20.0,7.2,0.0,220.0,1007.0,0,801,Clouds,few clouds,02n
2025-09-04 06:00:10,2025-09-04 07:00:10,Jersey,St. Helier,Europe,16.6,15.45,16.6,75.0,16.27,10000.0,0.0,20.0,8.75,0.0,220.0,1006.0,1,801,Clouds,few clouds,02d
2025-09-04 12:00:11,2025-09-04 13:00:11,Jersey,St. Helier,Europe,18.82,18.45,18.82,70.0,18.59,10000.0,0.0,40.0,10.8,0.0,260.0,1010.0,1,802,Clouds,scattered clouds,03d
2025-09-04 18:00:10,2025-09-04 19:00:10,Jersey,St. Helier,Europe,17.71,17.45,17.71,73.0,17.44,10000.0,0.0,40.0,8.23,0.0,270.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-05 00:00:16,2025-09-05 01:00:16,Jersey,St. Helier,Europe,16.6,16.45,16.6,76.0,16.3,10000.0,0.0,75.0,5.66,0.0,270.0,1017.0,0,803,Clouds,broken clouds,04n
2025-09-05 06:00:12,2025-09-05 07:00:12,Jersey,St. Helier,Europe,16.04,15.45,16.04,78.0,15.74,10000.0,0.0,20.0,4.12,0.0,280.0,1020.0,1,801,Clouds,few clouds,02d
2025-09-05 12:00:09,2025-09-05 13:00:09,Jersey,St. Helier,Europe,19.93,19.45,19.93,70.0,19.81,10000.0,0.0,20.0,4.63,0.0,240.0,1022.0,1,801,Clouds,few clouds,02d
2025-09-05 18:00:17,2025-09-05 19:00:17,Jersey,St. Helier,Europe,19.45,19.45,19.45,68.0,19.23,10000.0,0.0,20.0,3.09,0.0,40.0,1021.0,1,801,Clouds,few clouds,02d
2025-09-06 00:00:14,2025-09-06 01:00:14,Jersey,St. Helier,Europe,16.6,15.45,16.6,80.0,16.4,10000.0,0.0,67.0,5.14,0.0,110.0,1020.0,0,803,Clouds,broken clouds,04n
2025-09-06 06:00:11,2025-09-06 07:00:11,Jersey,St. Helier,Europe,17.71,16.45,17.71,73.0,17.44,10000.0,0.0,0.0,5.66,0.0,120.0,1017.0,1,800,Clear,clear sky,01d
2025-09-06 12:00:08,2025-09-06 13:00:08,Jersey,St. Helier,Europe,20.45,20.45,20.45,60.0,20.12,10000.0,0.0,0.0,11.83,0.0,130.0,1013.0,1,800,Clear,clear sky,01d
2025-09-06 18:00:17,2025-09-06 19:00:17,Jersey,St. Helier,Europe,23.26,23.26,23.45,62.0,23.26,10000.0,0.0,0.0,8.23,0.0,130.0,1009.0,1,800,Clear,clear sky,01d
2025-09-07 00:00:14,2025-09-07 01:00:14,Jersey,St. Helier,Europe,20.49,20.45,20.49,69.0,20.4,10000.0,0.0,88.0,7.72,0.0,140.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-09-07 06:00:12,2025-09-07 07:00:12,Jersey,St. Helier,Europe,18.82,18.82,19.45,80.0,18.85,10000.0,0.0,0.0,7.2,0.0,130.0,1006.0,1,800,Clear,clear sky,01d
2025-09-07 12:00:11,2025-09-07 13:00:11,Jersey,St. Helier,Europe,21.6,21.45,21.6,79.0,21.88,10000.0,0.0,20.0,7.2,0.0,190.0,1007.0,1,801,Clouds,few clouds,02d
2025-09-07 18:00:13,2025-09-07 19:00:13,Jersey,St. Helier,Europe,18.82,18.82,19.45,76.0,18.74,10000.0,0.0,20.0,6.17,0.0,270.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-08 00:00:08,2025-09-08 01:00:08,Jersey,St. Helier,Europe,17.15,17.15,17.45,76.0,16.91,10000.0,0.0,20.0,8.75,0.0,250.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-08 06:00:13,2025-09-08 07:00:13,Jersey,St. Helier,Europe,16.04,16.04,16.04,80.0,15.79,10000.0,0.0,1.0,1.79,4.92,254.0,1016.0,1,800,Clear,clear sky,01d
2025-09-08 12:00:10,2025-09-08 13:00:10,Jersey,St. Helier,Europe,19.37,19.37,19.45,65.0,19.06,10000.0,0.0,20.0,7.72,0.0,250.0,1019.0,1,801,Clouds,few clouds,02d
2025-09-08 18:00:07,2025-09-08 19:00:07,Jersey,St. Helier,Europe,18.26,17.45,18.26,65.0,17.84,10000.0,0.0,20.0,3.6,0.0,280.0,1018.0,1,801,Clouds,few clouds,02d
2025-09-09 00:00:13,2025-09-09 01:00:13,Jersey,St. Helier,Europe,14.9,14.42,14.9,81.0,14.56,10000.0,1.46,40.0,0.51,0.0,0.0,1018.0,0,501,Rain,moderate rain,10n
2025-09-09 06:00:11,2025-09-09 07:00:11,Jersey,St. Helier,Europe,16.6,15.45,16.6,75.0,16.27,10000.0,0.0,40.0,3.09,0.0,190.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-09 12:00:11,2025-09-09 13:00:11,Jersey,St. Helier,Europe,18.82,18.45,18.82,68.0,18.53,10000.0,0.0,20.0,6.69,0.0,180.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-09 18:00:12,2025-09-09 19:00:12,Jersey,St. Helier,Europe,19.37,18.45,19.37,67.0,19.11,10000.0,0.0,40.0,3.6,0.0,170.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-09-10 00:00:14,2025-09-10 01:00:14,Jersey,St. Helier,Europe,17.15,16.45,17.15,83.0,17.09,10000.0,0.13,75.0,8.75,0.0,170.0,1008.0,0,500,Rain,light rain,10n
2025-09-10 06:00:14,2025-09-10 07:00:14,Jersey,St. Helier,Europe,16.6,15.45,16.6,80.0,16.4,10000.0,0.0,40.0,5.14,0.0,210.0,1005.0,1,802,Clouds,scattered clouds,03d
2025-09-10 12:00:18,2025-09-10 13:00:18,Jersey,St. Helier,Europe,16.04,16.04,16.45,88.0,16.0,8000.0,0.0,75.0,4.63,0.0,180.0,1003.0,1,803,Clouds,broken clouds,04d
2025-09-10 18:00:10,2025-09-10 19:00:10,Jersey,St. Helier,Europe,17.15,16.45,17.15,80.0,17.01,10000.0,0.0,75.0,9.77,15.95,270.0,1003.0,1,803,Clouds,broken clouds,04d
2025-09-11 00:00:15,2025-09-11 01:00:15,Jersey,St. Helier,Europe,16.6,16.45,16.6,74.0,16.25,10000.0,0.0,75.0,9.77,14.92,270.0,1007.0,0,803,Clouds,broken clouds,04n
2025-09-11 06:00:12,2025-09-11 07:00:12,Jersey,St. Helier,Europe,16.04,15.45,16.04,77.0,15.71,10000.0,0.0,40.0,9.26,0.0,240.0,1007.0,1,802,Clouds,scattered clouds,03d
2025-09-11 12:00:11,2025-09-11 13:00:11,Jersey,St. Helier,Europe,18.26,17.45,18.26,60.0,17.71,10000.0,0.0,40.0,12.86,0.0,250.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-09-11 18:00:07,2025-09-11 19:00:07,Jersey,St. Helier,Europe,17.15,16.45,17.15,67.0,16.67,10000.0,0.0,20.0,11.83,0.0,260.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-12 00:00:13,2025-09-12 01:00:13,Jersey,St. Helier,Europe,16.04,15.45,16.04,68.0,15.48,10000.0,0.0,75.0,10.29,15.43,270.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-12 06:00:09,2025-09-12 07:00:09,Jersey,St. Helier,Europe,14.37,13.45,14.37,80.0,13.95,10000.0,0.87,40.0,10.29,0.0,250.0,1013.0,1,500,Rain,light rain,10d
2025-09-12 12:00:16,2025-09-12 13:00:16,Jersey,St. Helier,Europe,18.26,18.26,18.45,67.0,17.89,10000.0,0.0,20.0,10.29,0.0,230.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-12 18:00:11,2025-09-12 19:00:11,Jersey,St. Helier,Europe,17.15,16.45,17.15,66.0,16.64,10000.0,0.0,20.0,9.77,14.92,260.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-13 00:00:16,2025-09-13 01:00:16,Jersey,St. Helier,Europe,16.04,15.45,16.04,74.0,15.63,10000.0,0.15,20.0,8.23,0.0,230.0,1013.0,0,500,Rain,light rain,10n
2025-09-13 06:00:11,2025-09-13 07:00:11,Jersey,St. Helier,Europe,16.04,15.45,16.04,76.0,15.68,10000.0,0.0,20.0,9.26,0.0,220.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-13 12:00:08,2025-09-13 13:00:08,Jersey,St. Helier,Europe,16.6,14.45,16.6,81.0,16.43,10000.0,0.13,40.0,7.2,12.86,280.0,1012.0,1,500,Rain,light rain,10d
2025-09-13 18:00:13,2025-09-13 19:00:13,Jersey,St. Helier,Europe,17.15,17.15,17.45,73.0,16.83,10000.0,0.0,40.0,6.17,0.0,270.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-14 00:00:11,2025-09-14 01:00:11,Jersey,St. Helier,Europe,14.93,14.93,15.45,76.0,14.46,10000.0,0.0,75.0,3.6,0.0,270.0,1013.0,0,803,Clouds,broken clouds,04n
