utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:08,2025-09-01 03:00:08,Latvia,Riga,Europe,11.61,8.96,11.61,97.0,11.36,1900.0,0.0,75.0,0.0,0.0,0.0,1015.0,0,741,Fog,fog,50n
2025-09-01 06:00:14,2025-09-01 09:00:14,Latvia,Riga,Europe,13.27,11.96,13.27,97.0,13.19,10000.0,0.0,100.0,1.03,0.0,190.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-09-01 12:00:12,2025-09-01 15:00:12,Latvia,Riga,Europe,21.61,18.96,21.61,70.0,21.65,10000.0,0.0,75.0,1.03,0.0,0.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:11,2025-09-01 21:00:11,Latvia,Riga,Europe,16.61,14.96,16.61,86.0,16.57,10000.0,0.0,94.0,0.51,0.0,0.0,1015.0,0,741,Fog,fog,50n
2025-09-02 00:00:08,2025-09-02 03:00:08,Latvia,Riga,Europe,13.96,13.96,13.96,100.0,14.02,10000.0,0.0,100.0,2.06,0.0,90.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-09-02 06:00:14,2025-09-02 09:00:14,Latvia,Riga,Europe,16.61,15.96,16.61,84.0,16.52,10000.0,0.0,40.0,2.57,0.0,110.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-02 12:00:11,2025-09-02 15:00:11,Latvia,Riga,Europe,22.16,21.96,22.16,62.0,22.05,10000.0,0.0,20.0,5.14,0.0,160.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-02 18:00:08,2025-09-02 21:00:08,Latvia,Riga,Europe,18.83,18.83,18.96,77.0,18.78,10000.0,0.0,0.0,2.57,0.0,100.0,1013.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:16,2025-09-03 03:00:16,Latvia,Riga,Europe,16.05,15.96,16.05,85.0,15.93,10000.0,0.0,0.0,4.63,0.0,140.0,1012.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:14,2025-09-03 09:00:14,Latvia,Riga,Europe,16.61,16.61,16.96,84.0,16.52,10000.0,0.0,0.0,3.6,0.0,150.0,1011.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:13,2025-09-03 15:00:13,Latvia,Riga,Europe,20.96,20.96,20.96,83.0,21.28,10000.0,0.0,40.0,2.57,0.0,210.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-03 18:00:09,2025-09-03 21:00:09,Latvia,Riga,Europe,19.38,18.96,19.38,92.0,19.78,10000.0,0.0,20.0,0.0,0.0,0.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-04 00:00:15,2025-09-04 03:00:15,Latvia,Riga,Europe,17.16,15.96,17.16,96.0,17.44,1100.0,0.0,100.0,0.0,0.0,0.0,1015.0,0,741,Fog,fog,50n
2025-09-04 06:00:11,2025-09-04 09:00:11,Latvia,Riga,Europe,18.27,17.96,18.27,97.0,18.69,10000.0,0.0,75.0,1.03,0.0,10.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-04 12:00:12,2025-09-04 15:00:12,Latvia,Riga,Europe,24.38,23.96,24.38,73.0,24.78,10000.0,0.0,40.0,2.06,0.0,0.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-04 18:00:11,2025-09-04 21:00:11,Latvia,Riga,Europe,19.45,19.45,20.03,87.0,19.72,10000.0,0.0,72.0,1.54,0.0,40.0,1017.0,0,741,Fog,fog,50n
2025-09-05 00:00:17,2025-09-05 03:00:17,Latvia,Riga,Europe,16.05,13.96,16.05,95.0,16.19,10000.0,0.0,11.0,0.0,0.0,0.0,1018.0,0,741,Fog,fog,50n
2025-09-05 06:00:12,2025-09-05 09:00:12,Latvia,Riga,Europe,17.72,16.96,17.72,95.0,18.03,10000.0,0.0,0.0,1.03,0.0,0.0,1019.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:10,2025-09-05 15:00:10,Latvia,Riga,Europe,26.61,25.96,26.61,57.0,26.61,10000.0,0.0,40.0,2.57,0.0,150.0,1018.0,1,802,Clouds,scattered clouds,03d
2025-09-05 18:00:18,2025-09-05 21:00:18,Latvia,Riga,Europe,20.5,20.5,21.96,78.0,20.64,10000.0,0.0,0.0,2.06,0.0,90.0,1018.0,0,800,Clear,clear sky,01n
2025-09-06 00:00:14,2025-09-06 03:00:14,Latvia,Riga,Europe,18.83,18.83,18.96,92.0,19.17,10000.0,0.0,0.0,1.03,0.0,0.0,1019.0,0,800,Clear,clear sky,01n
