utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:09,2025-09-01 02:00:09,Luxembourg,Luxembourg,Europe,14.36,13.83,15.3,95.0,14.33,7000.0,1.79,75.0,4.63,0.0,280.0,1008.0,0,501,Rain,moderate rain,10n
2025-09-01 06:00:14,2025-09-01 08:00:14,Luxembourg,Luxembourg,Europe,13.73,13.24,14.74,96.0,13.67,10000.0,0.18,75.0,2.57,0.0,190.0,1009.0,1,500,Rain,light rain,10d
2025-09-01 12:00:12,2025-09-01 14:00:12,Luxembourg,Luxembourg,Europe,17.67,16.57,17.88,84.0,17.69,10000.0,0.0,75.0,4.63,0.0,230.0,1010.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:12,2025-09-01 20:00:12,Luxembourg,Luxembourg,Europe,19.41,17.87,19.66,65.0,19.1,10000.0,0.0,20.0,4.12,0.0,220.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-02 00:00:09,2025-09-02 02:00:09,Luxembourg,Luxembourg,Europe,13.39,12.18,13.82,90.0,13.13,10000.0,0.0,0.0,2.57,0.0,210.0,1011.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:14,2025-09-02 08:00:14,Luxembourg,Luxembourg,Europe,13.08,12.32,13.82,93.0,12.87,10000.0,0.0,40.0,3.09,0.0,230.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-02 12:00:11,2025-09-02 14:00:11,Luxembourg,Luxembourg,Europe,18.43,17.79,19.74,62.0,17.95,10000.0,0.0,75.0,5.14,0.0,240.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:08,2025-09-02 20:00:08,Luxembourg,Luxembourg,Europe,18.07,17.36,18.82,65.0,17.63,10000.0,0.0,0.0,3.6,0.0,190.0,1010.0,1,800,Clear,clear sky,01d
2025-09-03 00:00:16,2025-09-03 02:00:16,Luxembourg,Luxembourg,Europe,14.75,14.09,15.49,92.0,14.68,8000.0,0.0,75.0,4.63,0.0,190.0,1010.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:14,2025-09-03 08:00:14,Luxembourg,Luxembourg,Europe,15.24,14.54,16.04,93.0,15.25,10000.0,0.87,75.0,5.14,0.0,200.0,1011.0,1,500,Rain,light rain,10d
