utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:09,2025-09-01 02:00:09,Malawi,Lilongwe,Africa,18.25,18.25,18.25,33.0,16.99,10000.0,0.0,0.0,2.18,6.23,155.0,1020.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:14,2025-09-01 08:00:14,Malawi,Lilongwe,Africa,21.89,21.89,21.89,31.0,20.94,10000.0,0.0,3.0,2.56,6.61,109.0,1021.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:13,2025-09-01 14:00:13,Malawi,Lilongwe,Africa,29.14,29.14,29.14,24.0,27.7,10000.0,0.0,20.0,4.63,0.0,160.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:12,2025-09-01 20:00:12,Malawi,Lilongwe,Africa,22.51,22.51,22.51,22.0,21.39,10000.0,0.0,0.0,2.06,5.44,145.0,1019.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:09,2025-09-02 02:00:09,Malawi,Lilongwe,Africa,17.63,17.63,17.63,41.0,16.52,10000.0,0.0,0.0,2.38,5.93,165.0,1019.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:14,2025-09-02 08:00:14,Malawi,Lilongwe,Africa,19.87,19.87,19.87,37.0,18.88,10000.0,0.0,0.0,3.01,6.45,105.0,1022.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:11,2025-09-02 14:00:11,Malawi,Lilongwe,Africa,26.14,26.14,26.14,33.0,26.14,10000.0,0.0,20.0,6.69,0.0,110.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-02 18:00:09,2025-09-02 20:00:09,Malawi,Lilongwe,Africa,21.85,21.85,21.85,26.0,20.77,10000.0,0.0,0.0,2.98,7.88,101.0,1019.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:16,2025-09-03 02:00:16,Malawi,Lilongwe,Africa,16.97,16.97,16.97,54.0,16.13,10000.0,0.0,0.0,2.15,5.21,163.0,1020.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:15,2025-09-03 08:00:15,Malawi,Lilongwe,Africa,19.89,19.89,19.89,46.0,19.14,10000.0,0.0,0.0,2.01,4.44,103.0,1022.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:13,2025-09-03 14:00:13,Malawi,Lilongwe,Africa,27.14,27.14,27.14,21.0,26.2,10000.0,0.0,20.0,5.14,10.29,90.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-03 18:00:10,2025-09-03 20:00:10,Malawi,Lilongwe,Africa,21.81,21.81,21.81,27.0,20.75,10000.0,0.0,3.0,2.01,4.8,114.0,1019.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:15,2025-09-04 02:00:15,Malawi,Lilongwe,Africa,17.86,17.86,17.86,33.0,16.56,10000.0,0.0,0.0,1.93,4.88,165.0,1018.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:12,2025-09-04 08:00:12,Malawi,Lilongwe,Africa,21.15,21.15,21.15,30.0,20.1,10000.0,0.0,0.0,1.54,3.67,103.0,1020.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:12,2025-09-04 14:00:12,Malawi,Lilongwe,Africa,29.12,29.12,29.12,16.0,27.47,10000.0,0.0,2.0,6.11,7.12,78.0,1014.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:12,2025-09-04 20:00:12,Malawi,Lilongwe,Africa,23.14,23.14,23.14,28.0,22.24,10000.0,0.0,0.0,3.6,0.0,130.0,1018.0,0,800,Clear,clear sky,01n
2025-09-05 00:00:17,2025-09-05 02:00:17,Malawi,Lilongwe,Africa,19.12,19.12,19.12,32.0,17.92,10000.0,0.0,0.0,1.59,7.5,137.0,1017.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:13,2025-09-05 08:00:13,Malawi,Lilongwe,Africa,22.71,22.71,22.71,33.0,21.9,10000.0,0.0,0.0,3.91,7.16,87.0,1019.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:11,2025-09-05 14:00:11,Malawi,Lilongwe,Africa,29.14,29.14,29.14,21.0,27.59,10000.0,0.0,20.0,3.09,0.0,290.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-05 18:00:18,2025-09-05 20:00:18,Malawi,Lilongwe,Africa,23.3,23.3,23.3,24.0,22.31,10000.0,0.0,2.0,2.21,5.1,56.0,1017.0,0,800,Clear,clear sky,01n
2025-09-06 00:00:15,2025-09-06 02:00:15,Malawi,Lilongwe,Africa,19.67,19.67,19.67,32.0,18.53,10000.0,0.0,0.0,1.16,1.91,132.0,1016.0,0,800,Clear,clear sky,01n
2025-09-06 06:00:12,2025-09-06 08:00:12,Malawi,Lilongwe,Africa,22.62,22.62,22.62,29.0,21.69,10000.0,0.0,0.0,2.31,4.5,63.0,1019.0,1,800,Clear,clear sky,01d
2025-09-06 12:00:10,2025-09-06 14:00:10,Malawi,Lilongwe,Africa,30.14,30.14,30.14,21.0,28.39,10000.0,0.0,0.0,5.14,0.0,70.0,1013.0,1,800,Clear,clear sky,01d
2025-09-06 18:00:18,2025-09-06 20:00:18,Malawi,Lilongwe,Africa,23.14,23.14,23.14,28.0,22.24,10000.0,0.0,0.0,3.6,0.0,90.0,1016.0,0,800,Clear,clear sky,01n
2025-09-07 00:00:16,2025-09-07 02:00:16,Malawi,Lilongwe,Africa,19.61,19.61,19.61,37.0,18.59,10000.0,0.0,2.0,1.18,2.02,99.0,1017.0,0,800,Clear,clear sky,01n
2025-09-07 06:00:14,2025-09-07 08:00:14,Malawi,Lilongwe,Africa,19.14,19.14,19.14,55.0,18.55,5000.0,0.0,2.0,5.14,0.0,90.0,1020.0,1,721,Haze,haze,50d
2025-09-07 12:00:13,2025-09-07 14:00:13,Malawi,Lilongwe,Africa,28.14,28.14,28.14,28.0,27.11,10000.0,0.0,0.0,7.72,0.0,80.0,1015.0,1,800,Clear,clear sky,01d
2025-09-07 18:00:14,2025-09-07 20:00:14,Malawi,Lilongwe,Africa,22.62,22.62,22.62,28.0,21.67,10000.0,0.0,2.0,2.99,7.7,68.0,1018.0,0,800,Clear,clear sky,01n
2025-09-08 00:00:10,2025-09-08 02:00:10,Malawi,Lilongwe,Africa,19.22,19.22,19.22,34.0,18.09,10000.0,0.0,0.0,0.67,1.22,94.0,1017.0,0,800,Clear,clear sky,01n
2025-09-08 06:00:15,2025-09-08 08:00:15,Malawi,Lilongwe,Africa,22.61,22.61,22.61,32.0,21.76,10000.0,0.0,7.0,3.41,6.78,69.0,1019.0,1,800,Clear,clear sky,01d
2025-09-08 12:00:11,2025-09-08 14:00:11,Malawi,Lilongwe,Africa,28.14,28.14,28.14,24.0,26.96,10000.0,0.0,0.0,5.66,0.0,90.0,1014.0,1,800,Clear,clear sky,01d
2025-09-08 18:00:08,2025-09-08 20:00:08,Malawi,Lilongwe,Africa,23.55,23.55,23.55,26.0,22.64,10000.0,0.0,1.0,2.61,5.33,66.0,1017.0,0,800,Clear,clear sky,01n
2025-09-09 00:00:14,2025-09-09 02:00:14,Malawi,Lilongwe,Africa,20.05,20.05,20.05,38.0,19.1,10000.0,0.0,0.0,1.2,2.04,144.0,1016.0,0,800,Clear,clear sky,01n
