utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:09,2025-09-01 08:00:09,Malaysia,Kuala Lumpur,Asia,26.66,26.5,26.86,83.0,26.66,10000.0,0.0,20.0,0.0,0.0,0.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-01 06:00:15,2025-09-01 14:00:15,Malaysia,Kuala Lumpur,Asia,33.01,30.39,33.57,65.0,40.01,10000.0,0.0,20.0,3.09,0.0,180.0,1008.0,1,801,Clouds,few clouds,02d
2025-09-01 12:00:13,2025-09-01 20:00:13,Malaysia,Kuala Lumpur,Asia,25.54,25.33,25.79,88.0,26.45,10000.0,0.41,20.0,1.03,0.0,0.0,1008.0,0,500,Rain,light rain,10n
2025-09-01 18:00:12,2025-09-02 02:00:12,Malaysia,Kuala Lumpur,Asia,26.66,24.41,26.86,83.0,26.66,10000.0,0.0,20.0,1.54,0.0,170.0,1010.0,0,211,Thunderstorm,thunderstorm,11n
2025-09-02 00:00:09,2025-09-02 08:00:09,Malaysia,Kuala Lumpur,Asia,24.84,24.41,24.86,94.0,25.83,10000.0,0.0,20.0,1.03,0.0,0.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-02 06:00:14,2025-09-02 14:00:14,Malaysia,Kuala Lumpur,Asia,30.86,30.33,32.69,60.0,34.55,10000.0,0.0,20.0,1.03,0.0,0.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:11,2025-09-02 20:00:11,Malaysia,Kuala Lumpur,Asia,28.78,27.75,28.86,74.0,32.97,10000.0,0.75,20.0,2.06,0.0,130.0,1010.0,0,500,Rain,light rain,10n
2025-09-02 18:00:09,2025-09-03 02:00:09,Malaysia,Kuala Lumpur,Asia,26.66,25.53,26.86,83.0,26.66,10000.0,0.0,20.0,0.0,0.0,0.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-03 00:00:16,2025-09-03 08:00:16,Malaysia,Kuala Lumpur,Asia,25.6,25.39,25.86,88.0,26.51,9000.0,0.0,20.0,1.54,0.0,0.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-03 06:00:15,2025-09-03 14:00:15,Malaysia,Kuala Lumpur,Asia,30.61,30.39,31.63,62.0,34.5,10000.0,0.0,20.0,2.57,0.0,160.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-03 12:00:13,2025-09-03 20:00:13,Malaysia,Kuala Lumpur,Asia,29.78,28.8,29.79,70.0,34.51,10000.0,0.0,20.0,2.57,0.0,160.0,1009.0,0,801,Clouds,few clouds,02n
2025-09-03 18:00:10,2025-09-04 02:00:10,Malaysia,Kuala Lumpur,Asia,26.66,25.53,26.86,74.0,26.66,10000.0,0.0,20.0,2.06,0.0,320.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-04 00:00:15,2025-09-04 08:00:15,Malaysia,Kuala Lumpur,Asia,25.6,25.39,26.08,83.0,26.38,10000.0,0.0,20.0,2.06,0.0,160.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-04 06:00:12,2025-09-04 14:00:12,Malaysia,Kuala Lumpur,Asia,31.61,31.44,31.79,59.0,35.9,10000.0,0.0,20.0,2.57,0.0,0.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-04 12:00:12,2025-09-04 20:00:12,Malaysia,Kuala Lumpur,Asia,23.78,23.72,24.41,100.0,24.82,10000.0,0.0,20.0,0.0,0.0,0.0,1008.0,0,801,Clouds,few clouds,02n
2025-09-04 18:00:12,2025-09-05 02:00:12,Malaysia,Kuala Lumpur,Asia,24.84,23.86,24.86,88.0,25.68,10000.0,0.0,20.0,1.54,0.0,10.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-05 00:00:18,2025-09-05 08:00:18,Malaysia,Kuala Lumpur,Asia,23.78,23.72,23.86,94.0,24.67,10000.0,0.0,20.0,1.03,0.0,0.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-05 06:00:13,2025-09-05 14:00:13,Malaysia,Kuala Lumpur,Asia,32.01,30.53,32.46,61.0,37.4,10000.0,0.0,20.0,3.09,0.0,290.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-05 12:00:11,2025-09-05 20:00:11,Malaysia,Kuala Lumpur,Asia,30.86,30.86,30.86,62.0,35.04,10000.0,0.18,20.0,2.57,0.0,290.0,1009.0,0,211,Thunderstorm,thunderstorm,11n
2025-09-05 18:00:18,2025-09-06 02:00:18,Malaysia,Kuala Lumpur,Asia,27.86,27.86,27.86,83.0,32.2,10000.0,0.0,20.0,0.51,0.0,0.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-06 00:00:15,2025-09-06 08:00:15,Malaysia,Kuala Lumpur,Asia,25.5,25.29,25.75,88.0,26.4,10000.0,0.0,20.0,0.0,0.0,0.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-06 06:00:12,2025-09-06 14:00:12,Malaysia,Kuala Lumpur,Asia,31.76,30.4,32.68,57.0,35.68,10000.0,0.0,40.0,4.12,0.0,160.0,1010.0,1,802,Clouds,scattered clouds,03d
2025-09-06 12:00:10,2025-09-06 20:00:10,Malaysia,Kuala Lumpur,Asia,30.33,30.33,30.79,58.0,33.05,10000.0,0.0,20.0,1.54,0.0,180.0,1009.0,0,801,Clouds,few clouds,02n
