utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:09,2025-09-01 12:00:09,Marshall Islands,Majuro,Oceania,28.23,28.23,28.23,71.0,31.26,10000.0,0.0,85.0,4.78,4.78,143.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-09-01 06:00:15,2025-09-01 18:00:15,Marshall Islands,Majuro,Oceania,30.0,30.0,30.0,70.0,35.04,10000.0,0.0,75.0,2.57,0.0,160.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-01 12:00:13,2025-09-02 00:00:13,Marshall Islands,Majuro,Oceania,28.15,28.15,28.15,72.0,31.24,10000.0,0.0,85.0,4.56,4.64,105.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-09-01 18:00:12,2025-09-02 06:00:12,Marshall Islands,Majuro,Oceania,28.04,28.04,28.04,70.0,30.74,10000.0,0.0,100.0,4.01,4.18,102.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-09-02 00:00:09,2025-09-02 12:00:09,Marshall Islands,Majuro,Oceania,31.0,31.0,31.0,69.0,37.3,10000.0,0.0,79.0,3.74,4.2,93.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-02 06:00:14,2025-09-02 18:00:14,Marshall Islands,Majuro,Oceania,30.0,30.0,30.0,73.0,35.78,10000.0,0.0,75.0,4.23,4.59,72.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:12,2025-09-03 00:00:12,Marshall Islands,Majuro,Oceania,28.0,28.0,28.0,77.0,31.65,10000.0,0.0,34.0,4.95,5.5,69.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-02 18:00:09,2025-09-03 06:00:09,Marshall Islands,Majuro,Oceania,28.15,28.15,28.15,77.0,32.0,10000.0,0.0,15.0,5.39,5.84,82.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-03 00:00:17,2025-09-03 12:00:17,Marshall Islands,Majuro,Oceania,28.35,28.35,28.35,77.0,32.48,10000.0,0.83,71.0,5.6,6.13,84.0,1011.0,1,500,Rain,light rain,10d
2025-09-03 06:00:15,2025-09-03 18:00:15,Marshall Islands,Majuro,Oceania,29.0,29.0,29.0,79.0,34.53,10000.0,0.74,75.0,7.2,0.0,80.0,1010.0,1,500,Rain,light rain,10d
2025-09-03 12:00:13,2025-09-04 00:00:13,Marshall Islands,Majuro,Oceania,28.35,28.35,28.35,77.0,32.48,10000.0,0.42,66.0,5.84,6.27,86.0,1011.0,0,500,Rain,light rain,10n
2025-09-03 18:00:10,2025-09-04 06:00:10,Marshall Islands,Majuro,Oceania,27.7,27.7,27.7,79.0,31.23,10000.0,1.63,61.0,5.54,6.2,95.0,1011.0,0,501,Rain,moderate rain,10n
2025-09-04 00:00:16,2025-09-04 12:00:16,Marshall Islands,Majuro,Oceania,30.0,30.0,30.0,79.0,37.0,10000.0,1.76,75.0,4.63,0.0,90.0,1012.0,1,501,Rain,moderate rain,10d
2025-09-04 06:00:12,2025-09-04 18:00:12,Marshall Islands,Majuro,Oceania,29.0,28.0,29.0,79.0,34.53,10000.0,0.53,100.0,5.14,0.0,130.0,1010.0,1,500,Rain,light rain,10d
2025-09-04 12:00:13,2025-09-05 00:00:13,Marshall Islands,Majuro,Oceania,28.02,28.02,28.02,79.0,31.99,10000.0,0.36,95.0,5.82,6.74,115.0,1011.0,0,500,Rain,light rain,10n
2025-09-04 18:00:12,2025-09-05 06:00:12,Marshall Islands,Majuro,Oceania,27.0,27.0,27.0,78.0,29.55,10000.0,0.3,99.0,5.77,6.46,115.0,1011.0,0,500,Rain,light rain,10n
2025-09-05 00:00:18,2025-09-05 12:00:18,Marshall Islands,Majuro,Oceania,31.0,31.0,31.0,70.0,37.6,10000.0,0.0,83.0,6.74,7.22,124.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-05 06:00:13,2025-09-05 18:00:13,Marshall Islands,Majuro,Oceania,31.0,31.0,31.0,74.0,38.0,10000.0,0.0,85.0,4.91,5.54,104.0,1010.0,1,804,Clouds,overcast clouds,04d
2025-09-05 12:00:11,2025-09-06 00:00:11,Marshall Islands,Majuro,Oceania,28.0,28.0,28.0,76.0,31.5,10000.0,0.19,94.0,4.91,5.49,114.0,1011.0,0,500,Rain,light rain,10n
2025-09-05 18:00:18,2025-09-06 06:00:18,Marshall Islands,Majuro,Oceania,27.0,27.0,27.0,78.0,29.55,10000.0,0.81,74.0,4.87,5.36,115.0,1011.0,0,500,Rain,light rain,10n
2025-09-06 00:00:15,2025-09-06 12:00:15,Marshall Islands,Majuro,Oceania,30.0,30.0,30.0,75.0,36.3,10000.0,0.0,54.0,4.82,5.2,87.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-06 06:00:13,2025-09-06 18:00:13,Marshall Islands,Majuro,Oceania,29.0,28.0,29.0,79.0,34.53,10000.0,0.0,100.0,4.12,0.0,70.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-09-06 12:00:10,2025-09-07 00:00:10,Marshall Islands,Majuro,Oceania,27.78,27.78,27.78,80.0,31.56,10000.0,0.42,54.0,4.85,5.29,97.0,1011.0,0,500,Rain,light rain,10n
2025-09-06 18:00:18,2025-09-07 06:00:18,Marshall Islands,Majuro,Oceania,27.34,27.34,27.34,80.0,30.51,10000.0,0.77,59.0,3.8,4.03,92.0,1011.0,0,500,Rain,light rain,10n
2025-09-07 00:00:16,2025-09-07 12:00:16,Marshall Islands,Majuro,Oceania,29.0,29.0,31.0,79.0,34.53,10000.0,0.0,100.0,3.6,0.0,120.0,1011.0,1,804,Clouds,overcast clouds,04d
2025-09-07 06:00:14,2025-09-07 18:00:14,Marshall Islands,Majuro,Oceania,29.0,29.0,29.0,76.0,33.9,10000.0,0.3,36.0,4.52,4.88,87.0,1010.0,1,500,Rain,light rain,10d
2025-09-07 12:00:13,2025-09-08 00:00:13,Marshall Islands,Majuro,Oceania,28.14,28.14,28.14,78.0,32.13,10000.0,0.0,90.0,5.1,5.78,70.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-09-07 18:00:14,2025-09-08 06:00:14,Marshall Islands,Majuro,Oceania,27.84,27.84,27.84,80.0,31.7,10000.0,2.01,97.0,6.92,7.66,74.0,1010.0,0,501,Rain,moderate rain,10n
2025-09-08 00:00:10,2025-09-08 12:00:10,Marshall Islands,Majuro,Oceania,30.0,30.0,30.0,75.0,36.3,10000.0,0.22,99.0,6.23,6.94,90.0,1010.0,1,500,Rain,light rain,10d
2025-09-08 06:00:15,2025-09-08 18:00:15,Marshall Islands,Majuro,Oceania,28.0,28.0,28.0,89.0,33.57,10000.0,0.0,100.0,4.63,0.0,70.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-09-08 12:00:12,2025-09-09 00:00:12,Marshall Islands,Majuro,Oceania,28.05,28.05,28.05,79.0,32.07,10000.0,1.04,81.0,5.12,5.68,67.0,1010.0,0,501,Rain,moderate rain,10n
2025-09-08 18:00:08,2025-09-09 06:00:08,Marshall Islands,Majuro,Oceania,28.1,28.1,28.1,79.0,32.19,10000.0,0.66,94.0,4.91,5.52,72.0,1009.0,0,500,Rain,light rain,10n
2025-09-09 00:00:15,2025-09-09 12:00:15,Marshall Islands,Majuro,Oceania,28.11,28.11,28.11,77.0,31.9,10000.0,0.95,100.0,4.84,5.3,137.0,1009.0,1,500,Rain,light rain,10d
2025-09-09 06:00:12,2025-09-09 18:00:12,Marshall Islands,Majuro,Oceania,28.2,28.2,28.2,79.0,32.44,10000.0,0.53,100.0,5.02,5.64,166.0,1008.0,1,500,Rain,light rain,10d
2025-09-09 12:00:13,2025-09-10 00:00:13,Marshall Islands,Majuro,Oceania,29.0,29.0,29.0,76.0,33.9,10000.0,0.54,98.0,4.53,4.81,177.0,1010.0,0,500,Rain,light rain,10n
