utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:09,2025-09-01 04:00:09,Mauritius,Port Louis,Africa,20.18,20.18,20.18,81.0,20.37,10000.0,0.0,3.0,3.46,6.1,139.0,1021.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:15,2025-09-01 10:00:15,Mauritius,Port Louis,Africa,24.07,24.07,24.07,74.0,24.46,10000.0,0.0,10.0,6.54,7.62,115.0,1022.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:13,2025-09-01 16:00:13,Mauritius,Port Louis,Africa,20.73,20.73,23.51,89.0,21.18,10000.0,0.0,41.0,6.53,7.14,121.0,1020.0,1,802,Clouds,scattered clouds,03d
2025-09-01 18:00:12,2025-09-01 22:00:12,Mauritius,Port Louis,Africa,20.18,20.18,20.18,77.0,20.26,10000.0,0.0,24.0,5.28,8.38,127.0,1022.0,0,801,Clouds,few clouds,02n
2025-09-02 00:00:09,2025-09-02 04:00:09,Mauritius,Port Louis,Africa,19.66,19.66,19.66,77.0,19.69,10000.0,0.0,1.0,4.21,7.9,139.0,1020.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:15,2025-09-02 10:00:15,Mauritius,Port Louis,Africa,23.51,23.51,23.51,76.0,23.9,10000.0,0.0,22.0,6.42,8.56,138.0,1021.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:12,2025-09-02 16:00:12,Mauritius,Port Louis,Africa,21.28,21.28,24.07,97.0,22.0,10000.0,0.13,40.0,0.89,3.13,81.0,1019.0,1,500,Rain,light rain,10d
2025-09-02 18:00:10,2025-09-02 22:00:10,Mauritius,Port Louis,Africa,21.29,21.29,21.29,84.0,21.67,10000.0,0.0,43.0,6.02,9.14,124.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-09-03 00:00:17,2025-09-03 04:00:17,Mauritius,Port Louis,Africa,20.74,20.74,20.74,87.0,21.14,10000.0,0.0,26.0,5.45,9.17,127.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-09-03 06:00:15,2025-09-03 10:00:15,Mauritius,Port Louis,Africa,20.74,20.74,20.74,87.0,21.14,10000.0,0.25,36.0,7.65,10.19,122.0,1022.0,1,500,Rain,light rain,10d
2025-09-03 12:00:14,2025-09-03 16:00:14,Mauritius,Port Louis,Africa,19.06,19.06,23.51,94.0,19.48,10000.0,0.0,69.0,0.89,2.24,87.0,1020.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:10,2025-09-03 22:00:10,Mauritius,Port Louis,Africa,23.51,22.4,23.51,100.0,24.53,10000.0,0.0,93.0,6.95,10.1,115.0,1021.0,0,804,Clouds,overcast clouds,04n
2025-09-04 00:00:16,2025-09-04 04:00:16,Mauritius,Port Louis,Africa,20.18,20.18,20.18,90.0,20.6,10000.0,0.0,92.0,5.84,9.27,121.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-09-04 06:00:12,2025-09-04 10:00:12,Mauritius,Port Louis,Africa,22.4,22.4,24.07,88.0,22.99,10000.0,0.0,7.0,0.45,1.34,343.0,1020.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:13,2025-09-04 16:00:13,Mauritius,Port Louis,Africa,23.51,23.51,24.62,84.0,24.11,10000.0,0.0,15.0,6.3,6.9,104.0,1018.0,1,801,Clouds,few clouds,02d
2025-09-04 18:00:12,2025-09-04 22:00:12,Mauritius,Port Louis,Africa,20.74,20.74,20.74,84.0,21.06,10000.0,0.0,11.0,4.76,7.53,103.0,1020.0,0,801,Clouds,few clouds,02n
2025-09-05 00:00:18,2025-09-05 04:00:18,Mauritius,Port Louis,Africa,19.62,19.62,19.62,87.0,19.91,10000.0,0.0,6.0,3.41,5.8,117.0,1018.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:13,2025-09-05 10:00:13,Mauritius,Port Louis,Africa,22.4,22.4,24.62,83.0,22.86,10000.0,0.0,4.0,4.76,5.1,91.0,1020.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:11,2025-09-05 16:00:11,Mauritius,Port Louis,Africa,22.4,22.4,25.18,85.0,22.92,10000.0,0.0,14.0,2.78,3.59,82.0,1017.0,1,801,Clouds,few clouds,02d
2025-09-05 18:00:19,2025-09-05 22:00:19,Mauritius,Port Louis,Africa,22.96,22.96,22.96,85.0,23.53,10000.0,0.0,65.0,3.22,5.17,102.0,1020.0,0,803,Clouds,broken clouds,04n
2025-09-06 00:00:15,2025-09-06 04:00:15,Mauritius,Port Louis,Africa,22.4,22.4,22.4,92.0,23.1,10000.0,0.15,96.0,2.2,3.9,95.0,1019.0,0,500,Rain,light rain,10n
2025-09-06 06:00:13,2025-09-06 10:00:13,Mauritius,Port Louis,Africa,24.62,24.62,25.18,90.0,25.49,10000.0,0.0,71.0,3.5,3.86,79.0,1022.0,1,803,Clouds,broken clouds,04d
2025-09-06 12:00:10,2025-09-06 16:00:10,Mauritius,Port Louis,Africa,23.51,23.51,23.51,89.0,24.24,10000.0,0.14,84.0,2.41,3.37,110.0,1021.0,1,500,Rain,light rain,10d
2025-09-06 18:00:18,2025-09-06 22:00:18,Mauritius,Port Louis,Africa,21.85,21.85,21.85,90.0,22.44,10000.0,0.0,46.0,4.18,8.32,126.0,1024.0,0,802,Clouds,scattered clouds,03n
2025-09-07 00:00:16,2025-09-07 04:00:16,Mauritius,Port Louis,Africa,20.18,20.18,20.18,91.0,20.63,10000.0,0.0,18.0,5.0,9.2,134.0,1022.0,0,801,Clouds,few clouds,02n
2025-09-07 06:00:14,2025-09-07 10:00:14,Mauritius,Port Louis,Africa,22.4,22.4,24.62,83.0,22.86,10000.0,0.0,17.0,0.89,2.24,70.0,1023.0,1,801,Clouds,few clouds,02d
2025-09-07 12:00:13,2025-09-07 16:00:13,Mauritius,Port Louis,Africa,23.51,23.51,25.18,81.0,24.03,10000.0,0.0,3.0,0.89,3.13,234.0,1021.0,1,800,Clear,clear sky,01d
2025-09-07 18:00:14,2025-09-07 22:00:14,Mauritius,Port Louis,Africa,21.29,21.29,21.29,81.0,21.59,10000.0,0.0,73.0,6.74,9.96,125.0,1023.0,0,803,Clouds,broken clouds,04n
2025-09-08 00:00:10,2025-09-08 04:00:10,Mauritius,Port Louis,Africa,20.74,20.74,20.74,78.0,20.91,10000.0,0.0,85.0,6.06,8.97,121.0,1021.0,0,804,Clouds,overcast clouds,04n
2025-09-08 06:00:15,2025-09-08 10:00:15,Mauritius,Port Louis,Africa,24.62,24.62,24.62,86.0,25.38,10000.0,0.0,77.0,0.89,3.58,6.0,1022.0,1,803,Clouds,broken clouds,04d
2025-09-08 12:00:12,2025-09-08 16:00:12,Mauritius,Port Louis,Africa,24.62,24.62,24.62,75.0,25.1,10000.0,0.0,54.0,6.98,8.74,113.0,1020.0,1,803,Clouds,broken clouds,04d
2025-09-08 18:00:08,2025-09-08 22:00:08,Mauritius,Port Louis,Africa,22.4,22.4,22.4,79.0,22.76,10000.0,0.0,29.0,6.71,9.56,114.0,1022.0,0,802,Clouds,scattered clouds,03n
2025-09-09 00:00:15,2025-09-09 04:00:15,Mauritius,Port Louis,Africa,20.18,20.18,20.18,84.0,20.45,10000.0,0.0,63.0,6.08,8.68,113.0,1020.0,0,803,Clouds,broken clouds,04n
2025-09-09 06:00:12,2025-09-09 10:00:12,Mauritius,Port Louis,Africa,21.84,21.84,22.4,99.0,22.66,10000.0,0.25,83.0,0.45,2.24,352.0,1022.0,1,500,Rain,light rain,10d
2025-09-09 12:00:13,2025-09-09 16:00:13,Mauritius,Port Louis,Africa,25.17,25.17,25.18,84.0,25.94,10000.0,0.0,60.0,0.89,2.68,318.0,1020.0,1,803,Clouds,broken clouds,04d
2025-09-09 18:00:15,2025-09-09 22:00:15,Mauritius,Port Louis,Africa,21.85,21.85,21.85,80.0,22.18,10000.0,0.0,15.0,6.31,9.74,122.0,1023.0,0,801,Clouds,few clouds,02n
2025-09-10 00:00:15,2025-09-10 04:00:15,Mauritius,Port Louis,Africa,19.07,19.07,19.07,86.0,19.28,10000.0,0.0,34.0,5.78,9.74,125.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-09-10 06:00:16,2025-09-10 10:00:16,Mauritius,Port Louis,Africa,25.73,24.62,25.73,84.0,26.55,10000.0,0.0,60.0,8.08,11.05,119.0,1023.0,1,803,Clouds,broken clouds,04d
2025-09-10 12:00:21,2025-09-10 16:00:21,Mauritius,Port Louis,Africa,24.06,24.06,24.07,73.0,24.43,10000.0,0.0,59.0,0.45,1.34,251.0,1021.0,1,803,Clouds,broken clouds,04d
2025-09-10 18:00:11,2025-09-10 22:00:11,Mauritius,Port Louis,Africa,21.85,21.85,21.85,80.0,22.18,10000.0,0.0,15.0,7.6,11.15,126.0,1024.0,0,801,Clouds,few clouds,02n
2025-09-11 00:00:17,2025-09-11 04:00:17,Mauritius,Port Louis,Africa,20.74,20.74,20.74,79.0,20.93,10000.0,0.0,47.0,7.09,10.68,124.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-09-11 06:00:14,2025-09-11 10:00:14,Mauritius,Port Louis,Africa,21.28,21.28,22.4,90.0,21.81,10000.0,0.13,71.0,7.87,10.12,111.0,1023.0,1,500,Rain,light rain,10d
2025-09-11 12:00:13,2025-09-11 16:00:13,Mauritius,Port Louis,Africa,21.84,21.84,22.96,81.0,22.19,10000.0,0.0,53.0,0.45,2.68,271.0,1020.0,1,803,Clouds,broken clouds,04d
2025-09-11 18:00:09,2025-09-11 22:00:09,Mauritius,Port Louis,Africa,20.74,20.74,20.74,81.0,20.98,10000.0,0.0,41.0,6.4,9.74,128.0,1023.0,0,802,Clouds,scattered clouds,03n
2025-09-12 00:00:15,2025-09-12 04:00:15,Mauritius,Port Louis,Africa,20.74,20.74,20.74,77.0,20.88,10000.0,0.0,22.0,6.13,9.56,122.0,1021.0,0,801,Clouds,few clouds,02n
2025-09-12 06:00:11,2025-09-12 10:00:11,Mauritius,Port Louis,Africa,24.62,24.62,24.62,76.0,25.12,10000.0,0.0,7.0,0.45,1.34,44.0,1022.0,1,800,Clear,clear sky,01d
2025-09-12 12:00:18,2025-09-12 16:00:18,Mauritius,Port Louis,Africa,23.51,23.51,24.07,81.0,24.03,10000.0,0.0,30.0,6.74,6.82,106.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-09-12 18:00:12,2025-09-12 22:00:12,Mauritius,Port Louis,Africa,19.62,19.62,21.29,99.0,20.22,10000.0,0.0,14.0,5.31,7.63,106.0,1022.0,0,801,Clouds,few clouds,02n
2025-09-13 00:00:18,2025-09-13 04:00:18,Mauritius,Port Louis,Africa,19.06,19.06,19.62,100.0,19.63,10000.0,0.0,1.0,3.53,6.3,113.0,1020.0,0,800,Clear,clear sky,01n
2025-09-13 06:00:13,2025-09-13 10:00:13,Mauritius,Port Louis,Africa,25.73,24.62,25.73,77.0,26.37,10000.0,0.0,12.0,0.45,1.34,335.0,1021.0,1,801,Clouds,few clouds,02d
