utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:09,2025-08-31 18:00:09,Mexico,Mexico City,North America,23.94,23.94,23.94,41.0,23.46,10000.0,0.55,100.0,6.17,11.32,30.0,1013.0,1,500,Rain,light rain,10d
2025-09-01 06:00:15,2025-09-01 00:00:15,Mexico,Mexico City,North America,17.72,17.72,18.36,67.0,17.3,10000.0,0.0,100.0,4.02,0.0,30.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-09-01 12:00:13,2025-09-01 06:00:13,Mexico,Mexico City,North America,16.64,16.17,16.64,67.0,16.11,10000.0,0.24,100.0,1.34,0.0,330.0,1019.0,0,500,Rain,light rain,10n
2025-09-01 18:00:12,2025-09-01 12:00:12,Mexico,Mexico City,North America,19.94,19.94,19.94,56.0,19.45,10000.0,0.1,75.0,0.0,0.0,0.0,1017.0,1,500,Rain,light rain,10d
2025-09-02 00:00:10,2025-09-01 18:00:10,Mexico,Mexico City,North America,19.94,19.94,19.94,49.0,19.27,10000.0,0.95,100.0,4.12,0.0,190.0,1015.0,1,500,Rain,light rain,10d
2025-09-02 06:00:15,2025-09-02 00:00:15,Mexico,Mexico City,North America,16.7,16.61,17.81,74.0,16.36,10000.0,0.52,75.0,4.12,0.0,10.0,1020.0,0,500,Rain,light rain,10n
2025-09-02 12:00:12,2025-09-02 06:00:12,Mexico,Mexico City,North America,13.92,13.83,15.03,92.0,13.77,1609.0,0.3,100.0,3.09,0.0,180.0,1020.0,0,202,Thunderstorm,thunderstorm with heavy rain,11n
2025-09-02 18:00:10,2025-09-02 12:00:10,Mexico,Mexico City,North America,19.97,19.96,20.06,60.0,19.59,9656.0,0.0,75.0,0.45,3.13,77.0,1018.0,1,803,Clouds,broken clouds,04d
2025-09-03 00:00:17,2025-09-02 18:00:17,Mexico,Mexico City,North America,16.73,14.96,16.73,85.0,16.68,4828.0,1.22,100.0,5.14,0.0,350.0,1014.0,1,721,Haze,haze,50d
2025-09-03 06:00:15,2025-09-03 00:00:15,Mexico,Mexico City,North America,13.88,13.83,14.47,93.0,13.75,10000.0,0.0,100.0,1.54,0.0,50.0,1020.0,0,804,Clouds,overcast clouds,04n
2025-09-03 12:00:14,2025-09-03 06:00:14,Mexico,Mexico City,North America,13.83,13.83,15.03,93.0,13.7,10000.0,0.0,97.0,0.45,0.45,53.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-09-03 18:00:11,2025-09-03 12:00:11,Mexico,Mexico City,North America,21.7,21.7,21.7,60.0,21.49,10000.0,0.0,77.0,2.24,2.68,82.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-04 00:00:16,2025-09-03 18:00:16,Mexico,Mexico City,North America,18.88,18.83,19.47,69.0,18.63,9656.0,0.32,100.0,5.14,10.29,60.0,1014.0,1,200,Thunderstorm,thunderstorm with light rain,11d
2025-09-04 06:00:12,2025-09-04 00:00:12,Mexico,Mexico City,North America,16.14,16.14,16.14,87.0,16.08,10000.0,0.1,93.0,0.62,0.95,274.0,1018.0,0,500,Rain,light rain,10n
2025-09-04 12:00:13,2025-09-04 06:00:13,Mexico,Mexico City,North America,14.94,14.94,15.59,87.0,14.76,10000.0,0.0,100.0,1.34,0.0,90.0,1018.0,0,804,Clouds,overcast clouds,04n
