utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:10,2025-09-01 02:00:10,Monaco,Monaco,Europe,20.7,20.51,21.14,67.0,20.58,10000.0,0.0,40.0,3.6,0.0,320.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-01 06:00:15,2025-09-01 08:00:15,Monaco,Monaco,Europe,19.94,19.4,21.7,78.0,20.03,10000.0,2.05,75.0,4.63,0.0,360.0,1012.0,1,501,Rain,moderate rain,10d
2025-09-01 12:00:13,2025-09-01 14:00:13,Monaco,Monaco,Europe,24.67,24.49,25.51,61.0,24.79,10000.0,0.0,0.0,4.63,0.0,80.0,1011.0,1,800,Clear,clear sky,01d
2025-09-01 18:00:13,2025-09-01 20:00:13,Monaco,Monaco,Europe,25.2,22.81,25.28,76.0,25.76,10000.0,1.78,75.0,3.6,0.0,30.0,1010.0,1,520,Rain,light intensity shower rain,09d
2025-09-02 00:00:10,2025-09-02 02:00:10,Monaco,Monaco,Europe,21.16,19.68,22.25,70.0,21.16,10000.0,0.0,0.0,5.14,0.0,340.0,1010.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:15,2025-09-02 08:00:15,Monaco,Monaco,Europe,21.18,18.51,21.7,68.0,21.13,10000.0,0.0,0.0,2.2,2.19,24.0,1009.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:12,2025-09-02 14:00:12,Monaco,Monaco,Europe,24.71,22.81,25.6,47.0,24.46,10000.0,0.0,0.0,2.57,0.0,130.0,1009.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:10,2025-09-02 20:00:10,Monaco,Monaco,Europe,24.81,22.94,24.81,61.0,24.94,10000.0,0.0,0.0,8.23,0.0,90.0,1011.0,1,800,Clear,clear sky,01d
2025-09-03 00:00:17,2025-09-03 02:00:17,Monaco,Monaco,Europe,21.06,19.62,21.39,86.0,21.47,10000.0,0.0,0.0,5.14,0.0,330.0,1013.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:15,2025-09-03 08:00:15,Monaco,Monaco,Europe,18.46,17.96,21.7,67.0,18.11,10000.0,0.0,40.0,6.17,0.0,330.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-03 12:00:14,2025-09-03 14:00:14,Monaco,Monaco,Europe,24.91,23.49,26.84,65.0,25.15,10000.0,0.0,20.0,4.12,0.0,180.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-03 18:00:11,2025-09-03 20:00:11,Monaco,Monaco,Europe,23.58,22.25,23.68,69.0,23.8,10000.0,0.0,20.0,2.06,0.0,130.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-04 00:00:16,2025-09-04 02:00:16,Monaco,Monaco,Europe,20.45,19.4,21.14,77.0,20.56,10000.0,0.0,20.0,3.6,0.0,330.0,1017.0,0,801,Clouds,few clouds,02n
2025-09-04 06:00:12,2025-09-04 08:00:12,Monaco,Monaco,Europe,19.62,19.19,21.27,78.0,19.67,10000.0,0.0,40.0,3.6,0.0,330.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-04 12:00:13,2025-09-04 14:00:13,Monaco,Monaco,Europe,24.71,24.68,26.62,69.0,25.04,10000.0,0.0,40.0,3.6,0.0,140.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-04 18:00:12,2025-09-04 20:00:12,Monaco,Monaco,Europe,24.11,23.29,24.17,95.0,25.06,10000.0,0.0,75.0,3.6,0.0,190.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-05 00:00:18,2025-09-05 02:00:18,Monaco,Monaco,Europe,22.39,21.68,22.5,92.0,23.09,10000.0,0.0,0.0,3.09,0.0,300.0,1014.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:14,2025-09-05 08:00:14,Monaco,Monaco,Europe,21.81,19.4,22.25,80.0,22.14,10000.0,0.0,0.0,4.63,0.0,320.0,1015.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:11,2025-09-05 14:00:11,Monaco,Monaco,Europe,26.81,24.6,26.81,57.0,27.65,10000.0,0.0,0.0,7.2,0.0,80.0,1015.0,1,800,Clear,clear sky,01d
2025-09-05 18:00:19,2025-09-05 20:00:19,Monaco,Monaco,Europe,25.7,24.68,25.84,76.0,26.31,10000.0,0.0,0.0,8.23,0.0,90.0,1016.0,0,800,Clear,clear sky,01n
2025-09-06 00:00:16,2025-09-06 02:00:16,Monaco,Monaco,Europe,23.31,20.51,23.62,95.0,24.18,10000.0,0.0,0.0,1.92,1.77,9.0,1019.0,0,800,Clear,clear sky,01n
2025-09-06 06:00:13,2025-09-06 08:00:13,Monaco,Monaco,Europe,22.33,20.68,22.5,90.0,22.97,10000.0,0.0,20.0,3.09,0.0,350.0,1020.0,1,801,Clouds,few clouds,02d
2025-09-06 12:00:10,2025-09-06 14:00:10,Monaco,Monaco,Europe,25.63,23.92,26.85,68.0,26.02,10000.0,0.0,20.0,2.57,0.0,130.0,1021.0,1,801,Clouds,few clouds,02d
2025-09-06 18:00:19,2025-09-06 20:00:19,Monaco,Monaco,Europe,23.7,23.68,24.4,60.0,23.69,10000.0,0.0,0.0,1.03,0.0,0.0,1019.0,0,800,Clear,clear sky,01n
2025-09-07 00:00:16,2025-09-07 02:00:16,Monaco,Monaco,Europe,21.64,20.51,21.7,53.0,21.24,10000.0,0.0,0.0,4.12,0.0,330.0,1020.0,0,800,Clear,clear sky,01n
2025-09-07 06:00:14,2025-09-07 08:00:14,Monaco,Monaco,Europe,22.79,20.68,23.92,54.0,22.53,10000.0,0.0,0.0,4.63,0.0,340.0,1019.0,1,800,Clear,clear sky,01d
2025-09-07 12:00:14,2025-09-07 14:00:14,Monaco,Monaco,Europe,25.81,25.71,25.81,53.0,25.83,10000.0,0.0,0.0,2.57,0.0,140.0,1019.0,1,800,Clear,clear sky,01d
2025-09-07 18:00:15,2025-09-07 20:00:15,Monaco,Monaco,Europe,23.68,22.81,24.4,69.0,23.91,10000.0,0.0,0.0,2.06,0.0,240.0,1017.0,0,800,Clear,clear sky,01n
2025-09-08 00:00:10,2025-09-08 02:00:10,Monaco,Monaco,Europe,20.82,20.68,22.81,60.0,20.52,10000.0,0.0,0.0,3.09,0.0,330.0,1017.0,0,800,Clear,clear sky,01n
2025-09-08 06:00:15,2025-09-08 08:00:15,Monaco,Monaco,Europe,20.91,20.68,22.83,60.0,20.62,10000.0,0.0,0.0,4.12,0.0,330.0,1015.0,1,800,Clear,clear sky,01d
2025-09-08 12:00:12,2025-09-08 14:00:12,Monaco,Monaco,Europe,26.36,25.81,27.96,58.0,26.36,10000.0,0.0,0.0,1.54,0.0,0.0,1015.0,1,800,Clear,clear sky,01d
2025-09-08 18:00:09,2025-09-08 20:00:09,Monaco,Monaco,Europe,25.58,23.36,25.84,83.0,26.36,10000.0,0.0,0.0,1.54,0.0,0.0,1014.0,0,800,Clear,clear sky,01n
2025-09-09 00:00:15,2025-09-09 02:00:15,Monaco,Monaco,Europe,23.41,22.18,23.62,89.0,24.13,10000.0,0.0,20.0,2.57,0.0,320.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-09 06:00:13,2025-09-09 08:00:13,Monaco,Monaco,Europe,20.51,20.18,21.7,72.0,20.5,10000.0,0.0,75.0,5.14,0.0,320.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-09 12:00:14,2025-09-09 14:00:14,Monaco,Monaco,Europe,25.82,25.68,27.27,61.0,26.05,10000.0,0.0,40.0,2.57,0.0,150.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-09 18:00:15,2025-09-09 20:00:15,Monaco,Monaco,Europe,24.1,22.25,24.17,94.0,25.02,10000.0,0.0,75.0,1.54,0.0,170.0,1011.0,0,803,Clouds,broken clouds,04n
2025-09-10 00:00:16,2025-09-10 02:00:16,Monaco,Monaco,Europe,22.74,21.7,22.96,77.0,23.08,10000.0,0.0,75.0,2.57,0.0,80.0,1011.0,0,803,Clouds,broken clouds,04n
2025-09-10 06:00:16,2025-09-10 08:00:16,Monaco,Monaco,Europe,20.69,20.51,20.73,89.0,21.14,10000.0,0.0,75.0,3.09,0.0,330.0,1009.0,1,803,Clouds,broken clouds,04d
2025-09-10 12:00:21,2025-09-10 14:00:21,Monaco,Monaco,Europe,24.63,23.36,26.07,73.0,25.05,10000.0,0.0,40.0,4.63,0.0,180.0,1008.0,1,802,Clouds,scattered clouds,03d
2025-09-10 18:00:12,2025-09-10 20:00:12,Monaco,Monaco,Europe,26.31,25.05,26.39,79.0,26.31,10000.0,0.0,0.0,1.03,0.0,0.0,1006.0,0,800,Clear,clear sky,01n
2025-09-11 00:00:17,2025-09-11 02:00:17,Monaco,Monaco,Europe,22.33,20.68,22.5,59.0,22.16,10000.0,0.0,0.0,2.57,0.0,250.0,1008.0,0,800,Clear,clear sky,01n
2025-09-11 06:00:14,2025-09-11 08:00:14,Monaco,Monaco,Europe,22.08,20.73,22.38,100.0,22.95,10000.0,0.0,0.0,1.26,1.99,319.0,1010.0,1,800,Clear,clear sky,01d
2025-09-11 12:00:13,2025-09-11 14:00:13,Monaco,Monaco,Europe,25.6,24.68,26.85,66.0,25.94,10000.0,0.0,20.0,3.6,0.0,160.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-11 18:00:09,2025-09-11 20:00:09,Monaco,Monaco,Europe,24.66,22.25,24.68,69.0,24.98,10000.0,0.0,0.0,8.75,0.0,80.0,1012.0,0,800,Clear,clear sky,01n
2025-09-12 00:00:15,2025-09-12 02:00:15,Monaco,Monaco,Europe,21.56,19.07,21.95,79.0,21.83,10000.0,0.0,0.0,4.63,0.0,320.0,1015.0,0,800,Clear,clear sky,01n
2025-09-12 06:00:11,2025-09-12 08:00:11,Monaco,Monaco,Europe,21.39,20.05,21.7,89.0,21.91,10000.0,0.0,1.0,1.84,2.07,345.0,1016.0,1,800,Clear,clear sky,01d
2025-09-12 12:00:18,2025-09-12 14:00:18,Monaco,Monaco,Europe,25.39,24.47,26.29,60.0,25.55,10000.0,0.0,0.0,6.17,0.0,100.0,1017.0,1,800,Clear,clear sky,01d
2025-09-12 18:00:13,2025-09-12 20:00:13,Monaco,Monaco,Europe,23.56,21.7,23.85,69.0,23.77,10000.0,0.0,0.0,8.23,0.0,80.0,1017.0,0,800,Clear,clear sky,01n
2025-09-13 00:00:18,2025-09-13 02:00:18,Monaco,Monaco,Europe,21.0,19.07,21.39,91.0,21.53,10000.0,0.0,40.0,3.09,0.0,340.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-09-13 06:00:13,2025-09-13 08:00:13,Monaco,Monaco,Europe,18.54,17.81,20.71,69.0,18.25,10000.0,0.0,40.0,4.63,0.0,330.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-09-13 12:00:10,2025-09-13 14:00:10,Monaco,Monaco,Europe,23.11,22.68,24.07,87.0,23.75,10000.0,0.56,75.0,2.06,0.0,200.0,1020.0,1,500,Rain,light rain,10d
2025-09-13 18:00:15,2025-09-13 20:00:15,Monaco,Monaco,Europe,21.93,21.68,21.95,82.0,22.32,10000.0,0.0,100.0,4.63,0.0,250.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-09-14 00:00:13,2025-09-14 02:00:13,Monaco,Monaco,Europe,19.56,18.68,19.73,80.0,19.66,10000.0,0.0,0.0,3.6,0.0,310.0,1017.0,0,800,Clear,clear sky,01n
2025-09-14 06:00:18,2025-09-14 08:00:18,Monaco,Monaco,Europe,18.73,18.68,20.6,59.0,18.2,10000.0,0.0,0.0,3.6,0.0,310.0,1015.0,1,800,Clear,clear sky,01d
2025-09-14 12:00:15,2025-09-14 14:00:15,Monaco,Monaco,Europe,24.68,22.81,24.68,61.0,24.8,10000.0,0.0,0.0,8.23,0.0,90.0,1017.0,1,800,Clear,clear sky,01d
2025-09-14 18:00:09,2025-09-14 20:00:09,Monaco,Monaco,Europe,24.12,22.25,24.17,89.0,24.91,10000.0,0.0,0.0,9.26,0.0,90.0,1017.0,0,800,Clear,clear sky,01n
2025-09-15 00:00:14,2025-09-15 02:00:14,Monaco,Monaco,Europe,22.4,21.14,22.5,94.0,23.15,10000.0,0.0,40.0,2.57,0.0,320.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-09-15 06:00:10,2025-09-15 08:00:10,Monaco,Monaco,Europe,21.67,19.4,22.25,93.0,22.32,10000.0,0.0,20.0,4.63,0.0,330.0,1019.0,1,801,Clouds,few clouds,02d
2025-09-15 12:00:20,2025-09-15 14:00:20,Monaco,Monaco,Europe,24.73,23.92,26.71,69.0,25.06,10000.0,0.0,20.0,3.09,0.0,170.0,1020.0,1,801,Clouds,few clouds,02d
2025-09-15 18:00:21,2025-09-15 20:00:21,Monaco,Monaco,Europe,24.04,22.83,24.62,73.0,24.41,10000.0,0.0,0.0,2.06,0.0,80.0,1018.0,0,800,Clear,clear sky,01n
2025-09-16 00:00:14,2025-09-16 02:00:14,Monaco,Monaco,Europe,20.47,20.18,21.14,82.0,20.71,10000.0,0.0,0.0,2.06,0.0,330.0,1019.0,0,800,Clear,clear sky,01n
2025-09-16 06:00:10,2025-09-16 08:00:10,Monaco,Monaco,Europe,20.29,18.98,20.85,78.0,20.41,10000.0,0.0,75.0,3.6,0.0,320.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-16 12:00:17,2025-09-16 14:00:17,Monaco,Monaco,Europe,25.88,24.47,27.4,69.0,26.33,10000.0,0.0,40.0,6.17,0.0,100.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-09-16 18:00:54,2025-09-16 20:00:54,Monaco,Monaco,Europe,23.98,21.7,24.17,91.0,24.81,10000.0,0.0,75.0,5.14,0.0,90.0,1016.0,0,803,Clouds,broken clouds,04n
2025-09-17 00:00:09,2025-09-17 02:00:09,Monaco,Monaco,Europe,20.18,19.68,22.25,78.0,20.29,10000.0,0.0,75.0,5.14,0.0,320.0,1016.0,0,803,Clouds,broken clouds,04n
2025-09-17 06:00:15,2025-09-17 08:00:15,Monaco,Monaco,Europe,18.94,18.68,21.14,71.0,18.74,10000.0,0.0,75.0,4.63,0.0,330.0,1018.0,1,803,Clouds,broken clouds,04d
2025-09-17 12:00:13,2025-09-17 14:00:13,Monaco,Monaco,Europe,25.6,24.68,27.27,65.0,25.91,10000.0,0.0,0.0,3.6,0.0,150.0,1020.0,1,800,Clear,clear sky,01d
2025-09-17 18:00:12,2025-09-17 20:00:12,Monaco,Monaco,Europe,25.08,22.81,25.28,80.0,25.73,10000.0,0.0,0.0,1.54,0.0,230.0,1021.0,0,800,Clear,clear sky,01n
2025-09-18 00:00:18,2025-09-18 02:00:18,Monaco,Monaco,Europe,23.88,21.62,24.17,61.0,23.92,10000.0,0.0,0.0,4.12,0.0,340.0,1022.0,0,800,Clear,clear sky,01n
2025-09-18 06:00:14,2025-09-18 08:00:14,Monaco,Monaco,Europe,23.35,20.68,23.92,76.0,23.73,10000.0,0.0,0.0,5.14,0.0,330.0,1023.0,1,800,Clear,clear sky,01d
2025-09-18 12:00:12,2025-09-18 14:00:12,Monaco,Monaco,Europe,26.91,25.81,29.07,58.0,27.83,10000.0,0.0,0.0,3.09,0.0,160.0,1024.0,1,800,Clear,clear sky,01d
2025-09-18 18:00:18,2025-09-18 20:00:18,Monaco,Monaco,Europe,24.84,23.92,25.18,62.0,25.0,10000.0,0.0,0.0,1.54,0.0,90.0,1024.0,0,800,Clear,clear sky,01n
