utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:10,2025-09-01 08:00:10,Mongolia,Ulaanbaatar,Asia,7.02,7.02,7.02,81.0,7.02,10000.0,0.0,0.0,1.0,0.0,0.0,1006.0,1,800,Clear,clear sky,01d
2025-09-01 06:00:15,2025-09-01 14:00:15,Mongolia,Ulaanbaatar,Asia,26.02,26.02,26.02,25.0,26.02,10000.0,0.0,75.0,6.0,11.0,160.0,1001.0,1,803,Clouds,broken clouds,04d
2025-09-01 12:00:14,2025-09-01 20:00:14,Mongolia,Ulaanbaatar,Asia,22.02,22.02,22.02,26.0,20.96,10000.0,0.0,75.0,10.0,0.0,130.0,1000.0,0,803,Clouds,broken clouds,04n
2025-09-01 18:00:13,2025-09-02 02:00:13,Mongolia,Ulaanbaatar,Asia,19.02,19.02,19.02,34.0,17.87,10000.0,0.0,40.0,7.0,0.0,230.0,998.0,0,802,Clouds,scattered clouds,03n
2025-09-02 00:00:10,2025-09-02 08:00:10,Mongolia,Ulaanbaatar,Asia,12.02,12.02,12.02,71.0,11.13,10000.0,0.0,75.0,3.0,0.0,10.0,1001.0,1,803,Clouds,broken clouds,04d
2025-09-02 06:00:15,2025-09-02 14:00:15,Mongolia,Ulaanbaatar,Asia,17.02,17.02,17.02,45.0,15.95,10000.0,0.0,40.0,5.0,0.0,280.0,1001.0,1,802,Clouds,scattered clouds,03d
2025-09-02 12:00:12,2025-09-02 20:00:12,Mongolia,Ulaanbaatar,Asia,16.02,16.02,16.02,33.0,14.54,10000.0,0.0,20.0,4.0,0.0,260.0,1003.0,0,801,Clouds,few clouds,02n
2025-09-02 18:00:10,2025-09-03 02:00:10,Mongolia,Ulaanbaatar,Asia,10.02,10.02,10.02,57.0,8.57,10000.0,0.0,20.0,2.0,0.0,0.0,1005.0,0,801,Clouds,few clouds,02n
2025-09-03 00:00:17,2025-09-03 08:00:17,Mongolia,Ulaanbaatar,Asia,2.02,2.02,2.02,87.0,2.02,10000.0,0.0,0.0,0.0,0.0,0.0,1007.0,1,800,Clear,clear sky,01d
2025-09-03 06:00:15,2025-09-03 14:00:15,Mongolia,Ulaanbaatar,Asia,19.02,19.02,19.02,27.0,17.68,10000.0,0.0,0.0,4.0,0.0,230.0,1004.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:14,2025-09-03 20:00:14,Mongolia,Ulaanbaatar,Asia,12.02,12.02,12.02,54.0,10.69,10000.0,0.0,0.0,3.0,0.0,140.0,1006.0,0,800,Clear,clear sky,01n
2025-09-03 18:00:11,2025-09-04 02:00:11,Mongolia,Ulaanbaatar,Asia,8.02,8.02,8.02,66.0,8.02,10000.0,0.0,40.0,1.0,0.0,0.0,1007.0,0,802,Clouds,scattered clouds,03n
2025-09-04 00:00:16,2025-09-04 08:00:16,Mongolia,Ulaanbaatar,Asia,10.02,10.02,10.02,62.0,8.7,10000.0,0.0,75.0,2.0,0.0,0.0,1007.0,1,803,Clouds,broken clouds,04d
2025-09-04 06:00:13,2025-09-04 14:00:13,Mongolia,Ulaanbaatar,Asia,14.02,14.02,14.02,58.0,12.99,10000.0,0.0,40.0,3.0,0.0,310.0,1005.0,1,802,Clouds,scattered clouds,03d
2025-09-04 12:00:13,2025-09-04 20:00:13,Mongolia,Ulaanbaatar,Asia,9.02,9.02,9.02,66.0,8.05,10000.0,0.0,20.0,2.0,0.0,0.0,1009.0,0,801,Clouds,few clouds,02n
2025-09-04 18:00:12,2025-09-05 02:00:12,Mongolia,Ulaanbaatar,Asia,8.02,8.02,8.02,71.0,6.89,10000.0,0.0,40.0,2.0,0.0,0.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-05 00:00:18,2025-09-05 08:00:18,Mongolia,Ulaanbaatar,Asia,6.02,6.02,6.02,81.0,2.19,10000.0,0.0,40.0,6.0,0.0,320.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-05 06:00:14,2025-09-05 14:00:14,Mongolia,Ulaanbaatar,Asia,13.02,13.02,13.02,41.0,11.45,10000.0,0.0,40.0,6.0,0.0,290.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-05 12:00:11,2025-09-05 20:00:11,Mongolia,Ulaanbaatar,Asia,8.02,8.02,8.02,57.0,8.02,10000.0,0.0,20.0,1.0,0.0,0.0,1011.0,0,801,Clouds,few clouds,02n
