utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:10,2025-09-01 01:00:10,Morocco,Rabat,Africa,22.01,22.01,22.01,94.0,22.72,5000.0,0.0,75.0,2.06,0.0,310.0,1018.0,0,803,Clouds,broken clouds,04n
2025-09-01 06:00:15,2025-09-01 07:00:15,Morocco,Rabat,Africa,20.01,20.01,20.01,88.0,20.36,5000.0,0.0,75.0,0.0,0.0,0.0,1018.0,0,803,Clouds,broken clouds,04n
2025-09-01 12:00:14,2025-09-01 13:00:14,Morocco,Rabat,Africa,24.01,24.01,24.01,57.0,23.95,5000.0,0.0,20.0,6.17,0.0,350.0,1019.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:13,2025-09-01 19:00:13,Morocco,Rabat,Africa,22.01,22.01,22.01,56.0,21.73,6000.0,0.0,9.0,5.14,0.0,350.0,1018.0,1,800,Clear,clear sky,01d
2025-09-02 00:00:10,2025-09-02 01:00:10,Morocco,Rabat,Africa,14.01,14.01,14.01,94.0,13.92,5000.0,0.0,3.0,0.0,0.0,0.0,1020.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:15,2025-09-02 07:00:15,Morocco,Rabat,Africa,15.01,15.01,15.01,100.0,15.18,5000.0,0.0,7.0,0.0,0.0,0.0,1018.0,0,800,Clear,clear sky,01n
2025-09-02 12:00:12,2025-09-02 13:00:12,Morocco,Rabat,Africa,25.01,25.01,25.01,61.0,25.16,5000.0,0.0,4.0,3.6,0.0,340.0,1017.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:10,2025-09-02 19:00:10,Morocco,Rabat,Africa,23.01,23.01,23.01,68.0,23.14,5000.0,0.0,5.0,4.63,0.0,340.0,1016.0,1,800,Clear,clear sky,01d
2025-09-03 00:00:17,2025-09-03 01:00:17,Morocco,Rabat,Africa,15.01,15.01,15.01,100.0,15.18,5000.0,0.0,5.0,0.0,0.0,0.0,1017.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:16,2025-09-03 07:00:16,Morocco,Rabat,Africa,16.01,16.01,16.01,94.0,16.12,5000.0,0.0,2.0,1.54,0.0,180.0,1015.0,0,800,Clear,clear sky,01n
2025-09-03 12:00:14,2025-09-03 13:00:14,Morocco,Rabat,Africa,26.01,26.01,26.01,69.0,26.01,7000.0,0.0,0.0,3.09,0.0,280.0,1015.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:11,2025-09-03 19:00:11,Morocco,Rabat,Africa,24.01,24.01,24.01,64.0,24.14,8000.0,0.0,20.0,3.09,0.0,350.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-04 00:00:16,2025-09-04 01:00:16,Morocco,Rabat,Africa,16.01,16.01,16.01,100.0,16.28,8000.0,0.0,0.0,0.0,0.0,0.0,1016.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:13,2025-09-04 07:00:13,Morocco,Rabat,Africa,16.01,16.01,16.01,94.0,16.12,6000.0,0.0,75.0,0.0,0.0,0.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-04 12:00:13,2025-09-04 13:00:13,Morocco,Rabat,Africa,26.01,26.01,26.01,69.0,26.01,6000.0,0.0,20.0,3.09,0.0,310.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-04 18:00:12,2025-09-04 19:00:12,Morocco,Rabat,Africa,24.01,24.01,24.01,73.0,24.37,6000.0,0.0,40.0,4.12,0.0,340.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-05 00:00:19,2025-09-05 01:00:19,Morocco,Rabat,Africa,17.01,17.01,17.01,94.0,17.22,6000.0,0.0,0.0,0.0,0.0,0.0,1015.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:14,2025-09-05 07:00:14,Morocco,Rabat,Africa,14.01,14.01,14.01,100.0,14.08,6000.0,0.0,0.0,1.54,0.0,180.0,1013.0,0,800,Clear,clear sky,01n
2025-09-05 12:00:12,2025-09-05 13:00:12,Morocco,Rabat,Africa,27.01,27.01,27.01,57.0,27.88,6000.0,0.0,0.0,2.57,0.0,280.0,1013.0,1,800,Clear,clear sky,01d
2025-09-05 18:00:19,2025-09-05 19:00:19,Morocco,Rabat,Africa,25.01,25.01,25.01,73.0,25.47,6000.0,0.0,1.0,2.06,0.0,290.0,1011.0,1,800,Clear,clear sky,01d
2025-09-06 00:00:16,2025-09-06 01:00:16,Morocco,Rabat,Africa,22.01,22.01,22.01,100.0,22.88,5000.0,0.0,40.0,1.54,0.0,240.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-06 06:00:13,2025-09-06 07:00:13,Morocco,Rabat,Africa,18.01,18.01,18.01,100.0,18.48,5000.0,0.0,20.0,0.0,0.0,0.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-06 12:00:11,2025-09-06 13:00:11,Morocco,Rabat,Africa,25.01,25.01,25.01,83.0,25.73,5000.0,0.0,40.0,3.09,0.0,230.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-06 18:00:19,2025-09-06 19:00:19,Morocco,Rabat,Africa,25.01,25.01,25.01,83.0,25.73,5000.0,0.0,40.0,3.09,0.0,210.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-07 00:00:17,2025-09-07 01:00:17,Morocco,Rabat,Africa,24.01,24.01,24.01,94.0,24.92,5000.0,0.0,75.0,2.06,0.0,270.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-07 06:00:15,2025-09-07 07:00:15,Morocco,Rabat,Africa,23.01,23.01,23.01,100.0,23.98,5000.0,0.0,75.0,1.54,0.0,10.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-07 12:00:14,2025-09-07 13:00:14,Morocco,Rabat,Africa,26.01,26.01,26.01,78.0,26.01,5000.0,0.0,75.0,5.14,0.0,350.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-07 18:00:15,2025-09-07 19:00:15,Morocco,Rabat,Africa,24.01,24.01,24.01,94.0,24.92,5000.0,0.0,40.0,3.09,0.0,340.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-08 00:00:11,2025-09-08 01:00:11,Morocco,Rabat,Africa,22.01,22.01,22.01,100.0,22.88,5000.0,0.0,75.0,0.0,0.0,0.0,1017.0,0,803,Clouds,broken clouds,04n
2025-09-08 06:00:16,2025-09-08 07:00:16,Morocco,Rabat,Africa,19.01,19.01,19.01,100.0,19.58,4000.0,0.0,40.0,0.0,0.0,0.0,1016.0,0,701,Mist,mist,50n
2025-09-08 12:00:12,2025-09-08 13:00:12,Morocco,Rabat,Africa,26.01,26.01,26.01,73.0,26.01,5000.0,0.0,40.0,2.57,0.0,310.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-09-08 18:00:09,2025-09-08 19:00:09,Morocco,Rabat,Africa,24.01,24.01,24.01,88.0,24.76,5000.0,0.0,75.0,3.09,0.0,320.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-09 00:00:16,2025-09-09 01:00:16,Morocco,Rabat,Africa,22.01,22.01,22.01,83.0,22.43,5000.0,0.0,75.0,2.57,0.0,290.0,1019.0,0,803,Clouds,broken clouds,04n
2025-09-09 06:00:13,2025-09-09 07:00:13,Morocco,Rabat,Africa,21.01,21.01,21.01,73.0,21.07,10000.0,0.0,0.0,1.54,0.0,210.0,1018.0,0,800,Clear,clear sky,01n
2025-09-09 12:00:14,2025-09-09 13:00:14,Morocco,Rabat,Africa,23.01,23.01,23.01,78.0,23.4,5000.0,0.0,75.0,3.6,0.0,240.0,1019.0,1,803,Clouds,broken clouds,04d
2025-09-09 18:00:15,2025-09-09 19:00:15,Morocco,Rabat,Africa,22.01,22.01,22.01,64.0,21.94,5000.0,0.0,40.0,2.57,0.0,270.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-09-10 00:00:16,2025-09-10 01:00:16,Morocco,Rabat,Africa,15.01,15.01,15.01,82.0,14.71,5000.0,0.0,75.0,0.0,0.0,0.0,1021.0,0,803,Clouds,broken clouds,04n
2025-09-10 06:00:16,2025-09-10 07:00:16,Morocco,Rabat,Africa,13.01,13.01,13.01,100.0,12.98,5000.0,0.0,20.0,0.0,0.0,0.0,1020.0,0,801,Clouds,few clouds,02n
2025-09-10 12:00:21,2025-09-10 13:00:21,Morocco,Rabat,Africa,24.01,24.01,24.01,53.0,23.85,5000.0,0.0,56.0,3.09,0.0,320.0,1021.0,1,803,Clouds,broken clouds,04d
2025-09-10 18:00:12,2025-09-10 19:00:12,Morocco,Rabat,Africa,23.01,23.01,23.01,73.0,23.27,7000.0,0.0,45.0,3.09,0.0,330.0,1020.0,1,802,Clouds,scattered clouds,03d
2025-09-11 00:00:17,2025-09-11 01:00:17,Morocco,Rabat,Africa,17.01,17.01,17.01,100.0,17.38,7000.0,0.0,40.0,0.0,0.0,0.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-09-11 06:00:14,2025-09-11 07:00:14,Morocco,Rabat,Africa,15.01,15.01,15.01,100.0,15.18,7000.0,0.0,40.0,0.0,0.0,0.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-09-11 12:00:14,2025-09-11 13:00:14,Morocco,Rabat,Africa,25.01,25.01,25.01,69.0,25.37,7000.0,0.0,25.0,4.12,0.0,320.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-09-11 18:00:09,2025-09-11 19:00:09,Morocco,Rabat,Africa,23.01,23.01,23.01,88.0,23.66,7000.0,0.0,20.0,5.14,0.0,350.0,1018.0,1,801,Clouds,few clouds,02d
2025-09-12 00:00:15,2025-09-12 01:00:15,Morocco,Rabat,Africa,17.01,17.01,17.01,100.0,17.38,6000.0,0.0,8.0,0.0,0.0,0.0,1018.0,0,800,Clear,clear sky,01n
2025-09-12 06:00:11,2025-09-12 07:00:11,Morocco,Rabat,Africa,15.01,15.01,15.01,100.0,15.18,4300.0,0.0,8.0,0.0,0.0,0.0,1015.0,0,800,Clear,clear sky,01n
2025-09-12 12:00:18,2025-09-12 13:00:18,Morocco,Rabat,Africa,26.01,26.01,26.01,73.0,26.01,6000.0,0.0,20.0,2.57,0.0,310.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-12 18:00:13,2025-09-12 19:00:13,Morocco,Rabat,Africa,27.01,27.01,27.01,61.0,28.17,7000.0,0.0,12.0,2.06,0.0,340.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-13 00:00:19,2025-09-13 01:00:19,Morocco,Rabat,Africa,21.01,21.01,21.01,100.0,21.78,5000.0,0.0,5.0,1.54,0.0,210.0,1016.0,0,800,Clear,clear sky,01n
2025-09-13 06:00:14,2025-09-13 07:00:14,Morocco,Rabat,Africa,19.01,19.01,19.01,100.0,19.58,5000.0,0.0,3.0,2.06,0.0,220.0,1016.0,0,800,Clear,clear sky,01n
2025-09-13 12:00:10,2025-09-13 13:00:10,Morocco,Rabat,Africa,26.01,26.01,26.01,65.0,26.01,7000.0,0.0,31.0,4.12,0.0,260.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-09-13 18:00:16,2025-09-13 19:00:16,Morocco,Rabat,Africa,25.01,25.01,25.01,69.0,25.37,7000.0,0.0,20.0,2.57,0.0,340.0,1018.0,1,801,Clouds,few clouds,02d
2025-09-14 00:00:13,2025-09-14 01:00:13,Morocco,Rabat,Africa,16.01,16.01,16.01,100.0,16.28,7000.0,0.0,39.0,0.0,0.0,0.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-09-14 06:00:19,2025-09-14 07:00:19,Morocco,Rabat,Africa,14.01,14.01,14.01,100.0,14.08,7000.0,0.0,23.0,0.0,0.0,0.0,1019.0,0,801,Clouds,few clouds,02n
2025-09-14 12:00:15,2025-09-14 13:00:15,Morocco,Rabat,Africa,26.01,26.01,26.01,69.0,26.01,5000.0,0.0,17.0,2.57,0.0,320.0,1019.0,1,801,Clouds,few clouds,02d
2025-09-14 18:00:09,2025-09-14 19:00:09,Morocco,Rabat,Africa,24.01,24.01,24.01,69.0,24.27,10000.0,0.0,0.0,3.6,0.0,360.0,1018.0,1,800,Clear,clear sky,01d
2025-09-15 00:00:14,2025-09-15 01:00:14,Morocco,Rabat,Africa,16.01,16.01,16.01,100.0,16.28,5000.0,0.0,0.0,0.0,0.0,0.0,1019.0,0,800,Clear,clear sky,01n
2025-09-15 06:00:11,2025-09-15 07:00:11,Morocco,Rabat,Africa,13.01,13.01,13.01,100.0,12.98,5000.0,0.0,0.0,0.0,0.0,0.0,1017.0,0,800,Clear,clear sky,01n
2025-09-15 12:00:20,2025-09-15 13:00:20,Morocco,Rabat,Africa,25.01,25.01,25.01,78.0,25.6,5000.0,0.0,20.0,2.57,0.0,300.0,1018.0,1,801,Clouds,few clouds,02d
2025-09-15 18:00:21,2025-09-15 19:00:21,Morocco,Rabat,Africa,25.01,25.01,25.01,83.0,25.73,7000.0,0.0,20.0,2.57,0.0,310.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-16 00:00:14,2025-09-16 01:00:14,Morocco,Rabat,Africa,18.01,18.01,18.01,100.0,18.48,3000.0,0.0,40.0,0.0,0.0,0.0,1018.0,0,701,Mist,mist,50n
2025-09-16 06:00:11,2025-09-16 07:00:11,Morocco,Rabat,Africa,19.01,19.01,19.01,100.0,19.58,4000.0,0.0,75.0,0.0,0.0,0.0,1017.0,0,701,Mist,mist,50n
2025-09-16 12:00:18,2025-09-16 13:00:18,Morocco,Rabat,Africa,26.01,26.01,26.01,73.0,26.01,5000.0,0.0,20.0,2.06,0.0,320.0,1018.0,1,801,Clouds,few clouds,02d
2025-09-16 18:00:54,2025-09-16 19:00:54,Morocco,Rabat,Africa,22.01,22.01,22.01,100.0,22.88,3000.0,0.0,40.0,0.0,0.0,0.0,1017.0,0,701,Mist,mist,50n
2025-09-17 00:00:09,2025-09-17 01:00:09,Morocco,Rabat,Africa,22.01,22.01,22.01,100.0,22.88,5000.0,0.0,40.0,2.06,0.0,230.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-09-17 06:00:15,2025-09-17 07:00:15,Morocco,Rabat,Africa,21.01,21.01,21.01,100.0,21.78,500.0,0.0,100.0,1.54,0.0,50.0,1018.0,0,741,Fog,fog,50n
2025-09-17 12:00:13,2025-09-17 13:00:13,Morocco,Rabat,Africa,31.01,31.01,31.01,48.0,32.25,5000.0,0.0,97.0,2.06,0.0,290.0,1018.0,1,804,Clouds,overcast clouds,04d
2025-09-17 18:00:12,2025-09-17 19:00:12,Morocco,Rabat,Africa,26.01,26.01,26.01,73.0,26.01,5000.0,0.0,95.0,2.57,0.0,340.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-09-18 00:00:18,2025-09-18 01:00:18,Morocco,Rabat,Africa,23.01,23.01,23.01,94.0,23.82,3000.0,0.0,75.0,0.0,0.0,0.0,1018.0,0,701,Mist,mist,50n
2025-09-18 06:00:14,2025-09-18 07:00:14,Morocco,Rabat,Africa,22.01,22.01,22.01,94.0,22.72,5000.0,0.0,40.0,0.0,0.0,0.0,1018.0,0,802,Clouds,scattered clouds,03n
2025-09-18 12:00:12,2025-09-18 13:00:12,Morocco,Rabat,Africa,36.01,36.01,36.01,26.0,35.27,5000.0,0.0,58.0,2.06,0.0,310.0,1018.0,1,803,Clouds,broken clouds,04d
2025-09-18 18:00:18,2025-09-18 19:00:18,Morocco,Rabat,Africa,29.01,29.01,29.01,42.0,28.8,5000.0,0.0,59.0,3.09,0.0,360.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-19 00:00:14,2025-09-19 01:00:14,Morocco,Rabat,Africa,25.01,25.01,25.01,69.0,25.37,5000.0,0.0,75.0,0.0,0.0,0.0,1019.0,0,803,Clouds,broken clouds,04n
2025-09-19 06:00:10,2025-09-19 07:00:10,Morocco,Rabat,Africa,26.01,26.01,26.01,57.0,26.01,5000.0,0.0,75.0,1.54,0.0,60.0,1017.0,0,803,Clouds,broken clouds,04n
2025-09-19 12:00:16,2025-09-19 13:00:16,Morocco,Rabat,Africa,35.01,35.01,35.01,29.0,34.48,5000.0,0.0,40.0,2.57,0.0,300.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-09-19 18:00:10,2025-09-19 19:00:10,Morocco,Rabat,Africa,32.01,32.01,32.01,31.0,30.95,5000.0,0.0,100.0,4.12,0.0,360.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-09-20 00:00:16,2025-09-20 01:00:16,Morocco,Rabat,Africa,22.01,22.01,22.01,60.0,21.83,5000.0,0.0,97.0,0.0,0.0,0.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-09-20 06:00:11,2025-09-20 07:00:11,Morocco,Rabat,Africa,19.01,19.01,19.01,88.0,19.26,5000.0,0.0,100.0,0.0,0.0,0.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-09-20 12:00:16,2025-09-20 13:00:16,Morocco,Rabat,Africa,30.01,30.01,30.01,48.0,30.76,6000.0,0.0,41.0,2.06,0.0,300.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-09-20 18:00:13,2025-09-20 19:00:13,Morocco,Rabat,Africa,25.01,25.01,25.01,88.0,25.86,6000.0,0.0,88.0,2.06,0.0,310.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-09-21 00:00:20,2025-09-21 01:00:20,Morocco,Rabat,Africa,24.01,24.01,24.01,100.0,25.08,5000.0,0.0,40.0,1.54,0.0,250.0,1017.0,0,802,Clouds,scattered clouds,03n
2025-09-21 06:00:15,2025-09-21 07:00:15,Morocco,Rabat,Africa,22.01,22.01,22.01,100.0,22.88,5000.0,0.0,40.0,0.0,0.0,0.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-09-21 12:00:14,2025-09-21 13:00:14,Morocco,Rabat,Africa,25.01,25.01,25.01,83.0,25.73,5000.0,0.0,40.0,2.57,0.0,300.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-09-21 18:00:11,2025-09-21 19:00:11,Morocco,Rabat,Africa,22.01,22.01,22.01,78.0,22.3,5000.0,0.0,98.0,2.57,0.0,350.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-09-22 00:00:15,2025-09-22 01:00:15,Morocco,Rabat,Africa,17.01,17.01,17.01,94.0,17.22,5000.0,0.0,40.0,0.0,0.0,0.0,1017.0,0,802,Clouds,scattered clouds,03n
2025-09-22 06:00:12,2025-09-22 07:00:12,Morocco,Rabat,Africa,14.01,14.01,14.01,100.0,14.08,5000.0,0.0,40.0,0.0,0.0,0.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-09-22 12:00:18,2025-09-22 13:00:18,Morocco,Rabat,Africa,24.01,24.01,24.01,57.0,23.95,5000.0,0.0,18.0,3.09,0.0,300.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-22 18:00:20,2025-09-22 19:00:20,Morocco,Rabat,Africa,22.01,22.01,22.01,64.0,21.94,5000.0,0.0,89.0,3.09,0.0,340.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-09-23 00:00:18,2025-09-23 01:00:18,Morocco,Rabat,Africa,14.01,14.01,14.01,94.0,13.92,5000.0,0.0,91.0,0.0,0.0,0.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-09-23 06:00:14,2025-09-23 07:00:14,Morocco,Rabat,Africa,14.01,14.01,14.01,100.0,14.08,5000.0,0.0,100.0,0.0,0.0,0.0,1015.0,0,804,Clouds,overcast clouds,04n
2025-09-23 12:00:13,2025-09-23 13:00:13,Morocco,Rabat,Africa,23.01,23.01,23.01,60.0,22.93,5000.0,0.0,94.0,3.09,0.0,310.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-09-23 18:00:14,2025-09-23 19:00:14,Morocco,Rabat,Africa,22.01,22.01,22.01,64.0,21.94,5000.0,0.0,40.0,2.57,0.0,290.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-24 00:00:10,2025-09-24 01:00:10,Morocco,Rabat,Africa,14.01,14.01,14.01,94.0,13.92,6000.0,0.0,20.0,0.0,0.0,0.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-24 06:00:15,2025-09-24 07:00:15,Morocco,Rabat,Africa,11.01,11.01,11.01,100.0,10.78,5000.0,0.0,20.0,0.0,0.0,0.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-24 12:00:11,2025-09-24 13:00:11,Morocco,Rabat,Africa,24.01,24.01,24.01,53.0,23.85,6000.0,0.0,82.0,2.57,0.0,300.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-24 18:00:22,2025-09-24 19:00:22,Morocco,Rabat,Africa,21.81,21.81,21.81,72.0,21.93,10000.0,0.0,79.0,3.12,3.8,289.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-25 00:00:10,2025-09-25 01:00:10,Morocco,Rabat,Africa,19.01,19.01,19.01,100.0,19.58,5000.0,0.0,40.0,1.54,0.0,180.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-09-25 06:00:16,2025-09-25 07:00:16,Morocco,Rabat,Africa,16.01,16.01,16.01,94.0,16.12,5000.0,0.0,75.0,1.54,0.0,190.0,1016.0,0,803,Clouds,broken clouds,04n
2025-09-25 12:00:13,2025-09-25 13:00:13,Morocco,Rabat,Africa,23.73,23.73,23.73,54.0,23.57,10000.0,0.0,49.0,4.91,4.44,286.0,1017.0,1,802,Clouds,scattered clouds,03d
2025-09-25 18:00:11,2025-09-25 19:00:11,Morocco,Rabat,Africa,21.66,21.66,21.66,74.0,21.81,10000.0,0.0,41.0,3.92,5.09,285.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-26 00:00:16,2025-09-26 01:00:16,Morocco,Rabat,Africa,17.01,17.01,17.01,100.0,17.38,5000.0,0.0,59.0,0.0,0.0,0.0,1017.0,0,803,Clouds,broken clouds,04n
2025-09-26 06:00:11,2025-09-26 07:00:11,Morocco,Rabat,Africa,14.01,14.01,14.01,100.0,14.08,5000.0,0.0,5.0,0.0,0.0,0.0,1017.0,0,800,Clear,clear sky,01n
2025-09-26 12:00:17,2025-09-26 13:00:17,Morocco,Rabat,Africa,24.01,24.01,24.01,73.0,24.37,5000.0,0.0,40.0,3.09,0.0,300.0,1018.0,1,802,Clouds,scattered clouds,03d
2025-09-26 18:00:13,2025-09-26 19:00:13,Morocco,Rabat,Africa,23.01,23.01,23.01,78.0,23.4,7000.0,0.0,20.0,2.06,0.0,290.0,1018.0,1,801,Clouds,few clouds,02d
2025-09-27 00:00:18,2025-09-27 01:00:18,Morocco,Rabat,Africa,18.01,18.01,18.01,100.0,18.48,5000.0,0.0,75.0,0.0,0.0,0.0,1019.0,0,803,Clouds,broken clouds,04n
2025-09-27 06:00:14,2025-09-27 07:00:14,Morocco,Rabat,Africa,14.01,14.01,14.01,100.0,14.08,5000.0,0.0,40.0,0.0,0.0,0.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-09-27 12:00:12,2025-09-27 13:00:12,Morocco,Rabat,Africa,24.01,24.01,24.01,69.0,24.27,5000.0,0.0,40.0,2.57,0.0,300.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-09-27 18:00:18,2025-09-27 19:00:18,Morocco,Rabat,Africa,23.01,23.01,23.01,78.0,23.4,7000.0,0.0,40.0,2.06,0.0,300.0,1020.0,1,802,Clouds,scattered clouds,03d
2025-09-28 00:00:14,2025-09-28 01:00:14,Morocco,Rabat,Africa,15.01,15.01,15.01,94.0,15.02,5000.0,0.0,40.0,0.0,0.0,0.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-09-28 06:00:10,2025-09-28 07:00:10,Morocco,Rabat,Africa,15.01,15.01,15.01,100.0,15.18,5000.0,0.0,40.0,2.06,0.0,170.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-09-28 12:00:19,2025-09-28 13:00:19,Morocco,Rabat,Africa,22.01,22.01,22.01,83.0,22.43,6000.0,0.0,75.0,2.06,0.0,260.0,1020.0,1,803,Clouds,broken clouds,04d
2025-09-28 18:00:13,2025-09-28 19:00:13,Morocco,Rabat,Africa,22.01,22.01,22.01,78.0,22.3,5000.0,0.0,75.0,2.06,0.0,260.0,1018.0,1,803,Clouds,broken clouds,04d
