utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:10,2025-09-01 06:30:10,Myanmar (Burma),Naypyidaw,Unknown,23.72,23.72,23.72,97.0,24.68,10000.0,0.0,100.0,4.45,10.46,155.0,1003.0,1,804,Clouds,overcast clouds,04d
2025-09-01 06:00:16,2025-09-01 12:30:16,Myanmar (Burma),Naypyidaw,Unknown,29.19,29.19,29.19,74.0,33.96,10000.0,0.0,100.0,6.66,8.93,166.0,1004.0,1,804,Clouds,overcast clouds,04d
2025-09-01 12:00:14,2025-09-01 18:30:14,Myanmar (Burma),Naypyidaw,Unknown,24.83,24.83,24.83,95.0,25.85,10000.0,0.0,100.0,3.66,9.62,160.0,1003.0,0,804,Clouds,overcast clouds,04n
2025-09-01 18:00:13,2025-09-02 00:30:13,Myanmar (Burma),Naypyidaw,Unknown,23.42,23.42,23.42,97.0,24.35,10000.0,0.0,93.0,2.97,9.76,157.0,1006.0,0,804,Clouds,overcast clouds,04n
2025-09-02 00:00:10,2025-09-02 06:30:10,Myanmar (Burma),Naypyidaw,Unknown,22.91,22.91,22.91,97.0,23.79,10000.0,0.0,99.0,1.28,5.2,145.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-09-02 06:00:15,2025-09-02 12:30:15,Myanmar (Burma),Naypyidaw,Unknown,30.24,30.24,30.24,70.0,35.63,10000.0,0.0,65.0,4.63,5.97,159.0,1006.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:12,2025-09-02 18:30:12,Myanmar (Burma),Naypyidaw,Unknown,25.13,25.13,25.13,93.0,26.13,1696.0,0.0,79.0,3.75,9.66,163.0,1005.0,0,803,Clouds,broken clouds,04n
2025-09-02 18:00:10,2025-09-03 00:30:10,Myanmar (Burma),Naypyidaw,Unknown,23.44,23.44,23.44,97.0,24.37,10000.0,0.0,88.0,2.59,8.86,149.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-09-03 00:00:18,2025-09-03 06:30:18,Myanmar (Burma),Naypyidaw,Unknown,23.42,23.42,23.42,97.0,24.35,10000.0,0.0,100.0,1.62,5.73,171.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-09-03 06:00:16,2025-09-03 12:30:16,Myanmar (Burma),Naypyidaw,Unknown,29.84,29.84,29.84,72.0,35.12,10000.0,0.0,85.0,3.48,4.92,169.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-09-03 12:00:14,2025-09-03 18:30:14,Myanmar (Burma),Naypyidaw,Unknown,25.79,25.79,25.79,91.0,26.8,10000.0,0.0,72.0,2.65,5.42,158.0,1006.0,0,803,Clouds,broken clouds,04n
2025-09-03 18:00:11,2025-09-04 00:30:11,Myanmar (Burma),Naypyidaw,Unknown,23.59,23.59,23.59,95.0,24.49,10000.0,0.0,49.0,2.2,6.45,151.0,1009.0,0,802,Clouds,scattered clouds,03n
2025-09-04 00:00:16,2025-09-04 06:30:16,Myanmar (Burma),Naypyidaw,Unknown,23.51,23.51,23.51,96.0,24.42,10000.0,0.0,100.0,1.43,4.27,159.0,1008.0,1,804,Clouds,overcast clouds,04d
2025-09-04 06:00:13,2025-09-04 12:30:13,Myanmar (Burma),Naypyidaw,Unknown,30.91,30.91,30.91,67.0,36.49,10000.0,0.0,51.0,1.68,2.26,194.0,1006.0,1,803,Clouds,broken clouds,04d
2025-09-04 12:00:14,2025-09-04 18:30:14,Myanmar (Burma),Naypyidaw,Unknown,26.01,26.01,26.01,90.0,26.01,10000.0,0.0,86.0,1.9,2.01,164.0,1005.0,0,804,Clouds,overcast clouds,04n
2025-09-04 18:00:13,2025-09-05 00:30:13,Myanmar (Burma),Naypyidaw,Unknown,23.91,23.91,23.91,96.0,24.86,10000.0,0.0,36.0,1.87,3.06,152.0,1008.0,0,802,Clouds,scattered clouds,03n
2025-09-05 00:00:19,2025-09-05 06:30:19,Myanmar (Burma),Naypyidaw,Unknown,23.84,23.84,23.84,96.0,24.79,10000.0,0.0,37.0,1.65,5.05,159.0,1008.0,1,802,Clouds,scattered clouds,03d
2025-09-05 06:00:14,2025-09-05 12:30:14,Myanmar (Burma),Naypyidaw,Unknown,30.69,30.69,30.69,68.0,36.22,10000.0,0.0,59.0,2.05,2.56,160.0,1007.0,1,803,Clouds,broken clouds,04d
2025-09-05 12:00:12,2025-09-05 18:30:12,Myanmar (Burma),Naypyidaw,Unknown,26.68,26.68,26.68,86.0,29.51,10000.0,0.0,93.0,1.15,1.33,180.0,1005.0,0,804,Clouds,overcast clouds,04n
2025-09-05 18:00:19,2025-09-06 00:30:19,Myanmar (Burma),Naypyidaw,Unknown,24.55,24.55,24.55,96.0,25.57,10000.0,0.0,100.0,1.91,4.09,153.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-09-06 00:00:16,2025-09-06 06:30:16,Myanmar (Burma),Naypyidaw,Unknown,24.15,24.15,24.15,97.0,25.15,10000.0,0.0,100.0,1.43,4.3,155.0,1008.0,1,804,Clouds,overcast clouds,04d
2025-09-06 06:00:13,2025-09-06 12:30:13,Myanmar (Burma),Naypyidaw,Unknown,31.1,31.1,31.1,70.0,37.87,10000.0,0.0,96.0,2.61,3.24,172.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-09-06 12:00:11,2025-09-06 18:30:11,Myanmar (Burma),Naypyidaw,Unknown,26.83,26.83,26.83,88.0,30.07,10000.0,0.21,99.0,2.36,2.54,166.0,1006.0,0,500,Rain,light rain,10n
2025-09-06 18:00:19,2025-09-07 00:30:19,Myanmar (Burma),Naypyidaw,Unknown,24.65,24.65,24.65,95.0,25.65,10000.0,0.0,100.0,1.81,2.16,143.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-09-07 00:00:17,2025-09-07 06:30:17,Myanmar (Burma),Naypyidaw,Unknown,24.22,24.22,24.22,97.0,25.23,10000.0,0.0,100.0,1.9,4.88,163.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-09-07 06:00:15,2025-09-07 12:30:15,Myanmar (Burma),Naypyidaw,Unknown,31.26,31.26,31.26,68.0,37.68,10000.0,0.0,100.0,1.53,1.96,183.0,1006.0,1,804,Clouds,overcast clouds,04d
2025-09-07 12:00:14,2025-09-07 18:30:14,Myanmar (Burma),Naypyidaw,Unknown,27.09,27.09,27.09,87.0,30.67,10000.0,0.0,82.0,1.34,1.43,210.0,1004.0,0,803,Clouds,broken clouds,04n
