utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:11,2025-09-01 01:00:11,Niger,Niamey,Africa,25.01,25.01,25.01,88.0,25.86,8000.0,0.0,20.0,2.06,0.0,210.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-01 06:00:16,2025-09-01 07:00:16,Niger,Niamey,Africa,24.01,24.01,24.01,94.0,24.92,8000.0,0.0,20.0,1.54,0.0,240.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-01 12:00:15,2025-09-01 13:00:15,Niger,Niamey,Africa,30.01,30.01,30.01,70.0,35.06,10000.0,0.0,40.0,5.14,0.0,270.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-01 18:00:14,2025-09-01 19:00:14,Niger,Niamey,Africa,33.01,33.01,33.01,52.0,36.9,10000.0,0.0,20.0,4.12,0.0,300.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-02 00:00:11,2025-09-02 01:00:11,Niger,Niamey,Africa,28.01,28.01,28.01,78.0,31.82,9000.0,0.0,22.0,2.06,0.0,230.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:16,2025-09-02 07:00:16,Niger,Niamey,Africa,26.01,26.01,26.01,83.0,26.01,9000.0,0.0,20.0,4.12,0.0,250.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:13,2025-09-02 13:00:13,Niger,Niamey,Africa,24.01,24.01,24.01,88.0,24.76,10000.0,0.0,20.0,3.09,0.0,290.0,1010.0,1,211,Thunderstorm,thunderstorm,11d
2025-09-02 18:00:11,2025-09-02 19:00:11,Niger,Niamey,Africa,31.01,31.01,31.01,58.0,34.38,10000.0,0.0,20.0,2.57,0.0,210.0,1008.0,1,801,Clouds,few clouds,02d
2025-09-03 00:00:18,2025-09-03 01:00:18,Niger,Niamey,Africa,27.01,27.01,27.01,83.0,30.05,8000.0,0.41,20.0,2.06,0.0,220.0,1009.0,0,500,Rain,light rain,10n
2025-09-03 06:00:16,2025-09-03 07:00:16,Niger,Niamey,Africa,22.01,22.01,22.01,94.0,22.72,7000.0,1.84,40.0,0.0,0.0,0.0,1011.0,1,200,Thunderstorm,thunderstorm with light rain,11d
2025-09-03 12:00:15,2025-09-03 13:00:15,Niger,Niamey,Africa,25.01,25.01,25.01,83.0,25.73,10000.0,0.0,40.0,1.54,0.0,0.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-09-03 18:00:12,2025-09-03 19:00:12,Niger,Niamey,Africa,26.01,26.01,26.01,83.0,26.01,8000.0,0.0,20.0,1.54,0.0,180.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-04 00:00:17,2025-09-04 01:00:17,Niger,Niamey,Africa,25.01,25.01,25.01,88.0,25.86,10000.0,0.0,40.0,2.06,0.0,140.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-09-04 06:00:13,2025-09-04 07:00:13,Niger,Niamey,Africa,24.01,24.01,24.01,94.0,24.92,10000.0,0.0,75.0,3.6,0.0,160.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-04 12:00:14,2025-09-04 13:00:14,Niger,Niamey,Africa,28.01,28.01,28.01,69.0,30.55,10000.0,0.0,40.0,5.66,0.0,200.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-04 18:00:13,2025-09-04 19:00:13,Niger,Niamey,Africa,30.01,30.01,30.01,62.0,33.26,10000.0,0.0,20.0,3.6,0.0,220.0,1011.0,1,801,Clouds,few clouds,02d
2025-09-05 00:00:19,2025-09-05 01:00:19,Niger,Niamey,Africa,25.01,25.01,25.01,88.0,25.86,8000.0,0.0,16.0,2.06,0.0,220.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-05 06:00:15,2025-09-05 07:00:15,Niger,Niamey,Africa,24.01,24.01,24.01,94.0,24.92,9000.0,0.0,20.0,1.03,0.0,270.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-05 12:00:12,2025-09-05 13:00:12,Niger,Niamey,Africa,28.01,28.01,28.01,74.0,31.24,9000.0,0.0,20.0,4.12,0.0,70.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-05 18:00:20,2025-09-05 19:00:20,Niger,Niamey,Africa,28.01,28.01,28.01,69.0,30.55,9000.0,0.0,99.0,1.03,0.0,210.0,1011.0,1,804,Clouds,overcast clouds,04d
2025-09-06 00:00:17,2025-09-06 01:00:17,Niger,Niamey,Africa,25.01,25.01,25.01,83.0,25.73,9000.0,0.0,87.0,1.54,0.0,30.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-09-06 06:00:14,2025-09-06 07:00:14,Niger,Niamey,Africa,24.01,24.01,24.01,94.0,24.92,9000.0,0.71,96.0,3.09,0.0,250.0,1014.0,1,500,Rain,light rain,10d
2025-09-06 12:00:11,2025-09-06 13:00:11,Niger,Niamey,Africa,31.01,31.01,31.01,55.0,33.68,10000.0,0.0,20.0,2.57,0.0,20.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-06 18:00:20,2025-09-06 19:00:20,Niger,Niamey,Africa,32.01,32.01,32.01,51.0,34.63,10000.0,0.0,20.0,2.57,0.0,50.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-07 00:00:17,2025-09-07 01:00:17,Niger,Niamey,Africa,28.01,28.01,28.01,74.0,31.24,10000.0,0.0,0.0,1.54,0.0,70.0,1012.0,0,800,Clear,clear sky,01n
2025-09-07 06:00:15,2025-09-07 07:00:15,Niger,Niamey,Africa,26.01,26.01,26.01,89.0,26.01,10000.0,0.0,0.0,1.54,0.0,140.0,1013.0,1,800,Clear,clear sky,01d
2025-09-07 12:00:15,2025-09-07 13:00:15,Niger,Niamey,Africa,33.01,33.01,33.01,52.0,36.9,10000.0,0.0,20.0,3.09,0.0,180.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-07 18:00:16,2025-09-07 19:00:16,Niger,Niamey,Africa,34.01,34.01,34.01,49.0,38.08,10000.0,0.0,20.0,3.6,0.0,160.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-08 00:00:11,2025-09-08 01:00:11,Niger,Niamey,Africa,30.01,30.01,30.01,70.0,35.06,10000.0,0.0,0.0,2.06,0.0,190.0,1011.0,0,800,Clear,clear sky,01n
2025-09-08 06:00:16,2025-09-08 07:00:16,Niger,Niamey,Africa,27.01,27.01,27.01,83.0,30.05,10000.0,0.0,0.0,3.6,0.0,240.0,1011.0,1,800,Clear,clear sky,01d
