utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:11,2025-09-01 11:00:11,Norfolk Island,Kingston,Oceania,18.68,18.68,18.68,52.0,17.96,10000.0,0.0,100.0,4.12,0.0,150.0,1023.0,1,804,Clouds,overcast clouds,04d
2025-09-01 06:00:16,2025-09-01 17:00:16,Norfolk Island,Kingston,Oceania,17.68,17.68,17.68,63.0,17.15,10000.0,0.0,100.0,0.0,0.0,0.0,1022.0,1,804,Clouds,overcast clouds,04d
2025-09-01 12:00:15,2025-09-01 23:00:15,Norfolk Island,Kingston,Oceania,14.68,14.68,14.68,82.0,14.34,10000.0,0.0,100.0,0.0,0.0,0.0,1023.0,0,804,Clouds,overcast clouds,04n
2025-09-01 18:00:14,2025-09-02 05:00:14,Norfolk Island,Kingston,Oceania,14.68,14.68,14.68,82.0,14.34,10000.0,0.0,75.0,0.0,0.0,0.0,1023.0,0,803,Clouds,broken clouds,04n
2025-09-02 00:00:11,2025-09-02 11:00:11,Norfolk Island,Kingston,Oceania,17.68,17.68,17.68,82.0,17.64,10000.0,0.0,40.0,4.12,0.0,140.0,1023.0,1,802,Clouds,scattered clouds,03d
2025-09-02 06:00:16,2025-09-02 17:00:16,Norfolk Island,Kingston,Oceania,17.68,17.68,17.68,67.0,17.25,10000.0,0.0,20.0,1.54,0.0,150.0,1022.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:13,2025-09-02 23:00:13,Norfolk Island,Kingston,Oceania,14.68,14.68,14.68,77.0,14.21,10000.0,0.0,3.0,2.06,0.0,70.0,1024.0,0,800,Clear,clear sky,01n
2025-09-02 18:00:11,2025-09-03 05:00:11,Norfolk Island,Kingston,Oceania,13.68,13.68,13.68,82.0,13.24,10000.0,0.0,20.0,2.06,0.0,90.0,1024.0,0,801,Clouds,few clouds,02n
2025-09-03 00:00:19,2025-09-03 11:00:19,Norfolk Island,Kingston,Oceania,17.68,17.68,17.68,77.0,17.51,10000.0,0.0,40.0,5.66,0.0,110.0,1025.0,1,802,Clouds,scattered clouds,03d
2025-09-03 06:00:16,2025-09-03 17:00:16,Norfolk Island,Kingston,Oceania,17.68,17.68,17.68,77.0,17.51,10000.0,0.0,40.0,4.63,0.0,90.0,1024.0,1,802,Clouds,scattered clouds,03d
