utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:11,2025-09-01 04:00:11,Oman,Muscat,Asia,30.22,30.22,30.22,65.0,34.36,10000.0,0.0,99.0,2.04,1.68,51.0,999.0,0,804,Clouds,overcast clouds,04n
2025-09-01 06:00:17,2025-09-01 10:00:17,Oman,Muscat,Asia,35.01,35.01,35.01,39.0,36.94,10000.0,0.0,42.0,2.28,1.54,8.0,1001.0,1,802,Clouds,scattered clouds,03d
2025-09-01 12:00:15,2025-09-01 16:00:15,Oman,Muscat,Asia,37.98,37.98,37.98,35.0,41.24,10000.0,0.0,71.0,3.09,3.08,48.0,997.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:14,2025-09-01 22:00:14,Oman,Muscat,Asia,35.33,35.33,35.33,64.0,42.33,10000.0,0.0,14.0,1.87,2.2,135.0,998.0,0,801,Clouds,few clouds,02n
2025-09-02 00:00:11,2025-09-02 04:00:11,Oman,Muscat,Asia,30.05,30.05,30.05,84.0,37.05,8000.0,0.0,11.0,1.03,0.0,0.0,998.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:16,2025-09-02 10:00:16,Oman,Muscat,Asia,36.73,36.73,36.73,42.0,41.44,10000.0,0.0,12.0,2.07,1.34,3.0,1001.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:13,2025-09-02 16:00:13,Oman,Muscat,Asia,37.91,37.91,37.91,62.0,44.91,10000.0,0.0,0.0,5.22,4.87,69.0,997.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:11,2025-09-02 22:00:11,Oman,Muscat,Asia,33.79,33.79,33.79,70.0,40.79,10000.0,0.0,45.0,1.72,1.81,79.0,999.0,0,802,Clouds,scattered clouds,03n
2025-09-03 00:00:19,2025-09-03 04:00:19,Oman,Muscat,Asia,30.84,30.84,30.84,78.0,37.84,10000.0,0.0,58.0,0.97,1.43,27.0,999.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:17,2025-09-03 10:00:17,Oman,Muscat,Asia,31.58,31.58,31.58,53.0,34.3,10000.0,0.0,8.0,2.94,2.19,43.0,1002.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:16,2025-09-03 16:00:16,Oman,Muscat,Asia,31.3,31.3,31.3,60.0,35.49,10000.0,0.0,0.0,4.31,5.08,88.0,1000.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:12,2025-09-03 22:00:12,Oman,Muscat,Asia,34.04,34.04,34.04,68.0,41.04,10000.0,0.0,11.0,1.67,2.27,117.0,1001.0,0,801,Clouds,few clouds,02n
2025-09-04 00:00:17,2025-09-04 04:00:17,Oman,Muscat,Asia,28.47,28.47,28.47,84.0,34.06,10000.0,0.0,24.0,1.24,1.46,278.0,1002.0,0,801,Clouds,few clouds,02n
2025-09-04 06:00:14,2025-09-04 10:00:14,Oman,Muscat,Asia,31.45,31.45,31.45,70.0,38.45,10000.0,0.0,5.0,3.13,2.97,60.0,1004.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:15,2025-09-04 16:00:15,Oman,Muscat,Asia,30.57,30.57,30.57,61.0,34.18,10000.0,0.0,6.0,5.02,5.82,71.0,1001.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:14,2025-09-04 22:00:14,Oman,Muscat,Asia,27.0,27.0,27.0,77.0,29.46,10000.0,0.0,7.0,1.14,0.8,37.0,1004.0,0,800,Clear,clear sky,01n
2025-09-05 00:00:20,2025-09-05 04:00:20,Oman,Muscat,Asia,30.05,30.05,30.05,79.0,37.05,10000.0,0.0,20.0,2.57,0.0,270.0,1004.0,0,801,Clouds,few clouds,02n
2025-09-05 06:00:15,2025-09-05 10:00:15,Oman,Muscat,Asia,31.25,31.25,31.25,65.0,36.76,10000.0,0.0,96.0,1.75,0.82,348.0,1006.0,1,804,Clouds,overcast clouds,04d
2025-09-05 12:00:13,2025-09-05 16:00:13,Oman,Muscat,Asia,29.86,29.86,29.86,64.0,33.37,10000.0,0.0,82.0,3.09,3.01,30.0,1003.0,1,803,Clouds,broken clouds,04d
2025-09-05 18:00:21,2025-09-05 22:00:21,Oman,Muscat,Asia,31.04,31.04,31.04,71.0,38.01,10000.0,0.0,100.0,0.79,1.06,256.0,1004.0,0,804,Clouds,overcast clouds,04n
2025-09-06 00:00:17,2025-09-06 04:00:17,Oman,Muscat,Asia,30.14,30.14,30.14,80.0,37.14,10000.0,0.0,78.0,2.01,1.96,90.0,1004.0,0,803,Clouds,broken clouds,04n
2025-09-06 06:00:15,2025-09-06 10:00:15,Oman,Muscat,Asia,37.45,37.45,37.45,47.0,44.45,10000.0,0.0,76.0,3.15,4.07,345.0,1005.0,1,803,Clouds,broken clouds,04d
2025-09-06 12:00:12,2025-09-06 16:00:12,Oman,Muscat,Asia,36.73,36.73,36.73,45.0,42.71,10000.0,0.0,25.0,3.15,3.9,6.0,1002.0,1,802,Clouds,scattered clouds,03d
2025-09-06 18:00:20,2025-09-06 22:00:20,Oman,Muscat,Asia,32.92,32.92,32.92,54.0,37.32,10000.0,0.0,25.0,1.83,2.23,201.0,1003.0,0,802,Clouds,scattered clouds,03n
2025-09-07 00:00:18,2025-09-07 04:00:18,Oman,Muscat,Asia,32.16,32.16,32.16,55.0,35.98,10000.0,0.0,53.0,1.07,0.79,299.0,1002.0,0,803,Clouds,broken clouds,04n
2025-09-07 06:00:16,2025-09-07 10:00:16,Oman,Muscat,Asia,35.16,35.16,35.16,54.0,42.16,10000.0,0.0,95.0,3.92,5.88,318.0,1003.0,1,804,Clouds,overcast clouds,04d
2025-09-07 12:00:15,2025-09-07 16:00:15,Oman,Muscat,Asia,33.78,33.78,33.78,54.0,39.28,10000.0,0.0,62.0,2.53,3.83,14.0,1001.0,1,803,Clouds,broken clouds,04d
2025-09-07 18:00:16,2025-09-07 22:00:16,Oman,Muscat,Asia,33.52,33.52,33.52,40.0,34.62,10000.0,0.0,71.0,1.7,1.7,282.0,1001.0,0,803,Clouds,broken clouds,04n
2025-09-08 00:00:12,2025-09-08 04:00:12,Oman,Muscat,Asia,31.27,31.27,31.27,54.0,33.95,10000.0,0.0,49.0,1.28,1.15,13.0,999.0,0,802,Clouds,scattered clouds,03n
2025-09-08 06:00:17,2025-09-08 10:00:17,Oman,Muscat,Asia,35.44,35.44,35.44,36.0,36.84,10000.0,0.0,100.0,2.6,2.71,337.0,1001.0,1,804,Clouds,overcast clouds,04d
2025-09-08 12:00:13,2025-09-08 16:00:13,Oman,Muscat,Asia,32.46,32.46,32.46,63.0,39.19,10000.0,0.0,100.0,2.82,2.33,23.0,999.0,1,804,Clouds,overcast clouds,04d
2025-09-08 18:00:11,2025-09-08 22:00:11,Oman,Muscat,Asia,30.26,30.26,30.26,79.0,37.26,10000.0,0.0,98.0,1.7,1.62,74.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-09-09 00:00:17,2025-09-09 04:00:17,Oman,Muscat,Asia,28.34,28.34,28.34,89.0,34.64,10000.0,0.0,94.0,1.81,2.65,105.0,1001.0,0,804,Clouds,overcast clouds,04n
2025-09-09 06:00:14,2025-09-09 10:00:14,Oman,Muscat,Asia,34.95,34.95,34.95,66.0,41.95,10000.0,0.0,80.0,3.15,1.82,14.0,1005.0,1,803,Clouds,broken clouds,04d
