utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:12,2025-09-01 08:00:12,Philippines,Manila,Asia,24.73,23.98,26.02,95.0,25.74,9000.0,4.21,100.0,2.57,0.0,30.0,1007.0,1,502,Rain,heavy intensity rain,10d
2025-09-01 06:00:17,2025-09-01 14:00:17,Philippines,Manila,Asia,28.47,28.0,29.45,84.0,34.06,10000.0,0.0,100.0,2.68,4.47,188.0,1006.0,1,804,Clouds,overcast clouds,04d
2025-09-01 12:00:16,2025-09-01 20:00:16,Philippines,Manila,Asia,26.81,26.2,28.02,93.0,30.48,10000.0,0.0,100.0,4.12,0.0,260.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-09-01 18:00:15,2025-09-02 02:00:15,Philippines,Manila,Asia,25.5,25.09,26.19,97.0,26.64,10000.0,0.0,75.0,1.54,0.0,100.0,1007.0,0,803,Clouds,broken clouds,04n
2025-09-02 00:00:12,2025-09-02 08:00:12,Philippines,Manila,Asia,26.95,26.75,27.81,91.0,30.69,9000.0,0.0,100.0,1.03,0.0,0.0,1008.0,1,804,Clouds,overcast clouds,04d
2025-09-02 06:00:17,2025-09-02 14:00:17,Philippines,Manila,Asia,29.3,28.96,30.59,85.0,36.3,10000.0,0.0,40.0,6.17,0.0,270.0,1007.0,1,802,Clouds,scattered clouds,03d
2025-09-02 12:00:14,2025-09-02 20:00:14,Philippines,Manila,Asia,27.41,26.72,28.02,88.0,31.67,10000.0,0.0,20.0,3.6,0.0,230.0,1008.0,0,801,Clouds,few clouds,02n
2025-09-02 18:00:12,2025-09-03 02:00:12,Philippines,Manila,Asia,25.79,25.07,27.0,93.0,26.85,10000.0,0.0,75.0,0.89,8.94,183.0,1009.0,0,803,Clouds,broken clouds,04n
2025-09-03 00:00:20,2025-09-03 08:00:20,Philippines,Manila,Asia,27.42,27.02,27.86,90.0,31.96,10000.0,0.0,75.0,0.51,0.0,0.0,1009.0,1,803,Clouds,broken clouds,04d
2025-09-03 06:00:17,2025-09-03 14:00:17,Philippines,Manila,Asia,30.15,29.51,31.73,78.0,37.15,10000.0,0.0,75.0,9.83,20.12,203.0,1007.0,1,803,Clouds,broken clouds,04d
2025-09-03 12:00:16,2025-09-03 20:00:16,Philippines,Manila,Asia,28.22,27.81,29.0,85.0,33.52,10000.0,0.0,75.0,4.02,10.28,184.0,1009.0,0,803,Clouds,broken clouds,04n
2025-09-03 18:00:13,2025-09-04 02:00:13,Philippines,Manila,Asia,27.34,26.7,28.02,89.0,31.6,10000.0,0.0,40.0,1.03,0.0,0.0,1008.0,0,802,Clouds,scattered clouds,03n
2025-09-04 00:00:18,2025-09-04 08:00:18,Philippines,Manila,Asia,28.43,28.0,29.5,88.0,34.73,10000.0,0.0,20.0,2.68,4.47,330.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-04 06:00:14,2025-09-04 14:00:14,Philippines,Manila,Asia,30.57,30.07,31.7,77.0,37.57,10000.0,0.0,20.0,11.18,20.12,228.0,1007.0,1,801,Clouds,few clouds,02d
2025-09-04 12:00:15,2025-09-04 20:00:15,Philippines,Manila,Asia,28.15,27.79,29.0,84.0,33.15,10000.0,0.0,75.0,2.57,0.0,240.0,1008.0,0,803,Clouds,broken clouds,04n
2025-09-04 18:00:14,2025-09-05 02:00:14,Philippines,Manila,Asia,27.26,26.73,27.29,92.0,31.74,10000.0,0.0,75.0,1.79,5.81,191.0,1008.0,0,803,Clouds,broken clouds,04n
2025-09-05 00:00:20,2025-09-05 08:00:20,Philippines,Manila,Asia,24.55,23.98,25.59,96.0,25.57,5000.0,0.0,100.0,1.03,0.0,0.0,1010.0,1,804,Clouds,overcast clouds,04d
