utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:12,2025-09-01 03:00:12,Romania,Bucharest,Europe,17.06,16.66,17.33,87.0,17.09,10000.0,0.0,100.0,5.81,0.0,250.0,1008.0,0,804,Clouds,overcast clouds,04n
2025-09-01 06:00:18,2025-09-01 09:00:18,Romania,Bucharest,Europe,18.51,17.86,19.11,80.0,18.51,10000.0,0.0,0.0,5.14,0.0,270.0,1009.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:16,2025-09-01 15:00:16,Romania,Bucharest,Europe,27.83,27.76,28.11,47.0,28.02,10000.0,0.0,20.0,4.63,0.0,260.0,1008.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:15,2025-09-01 21:00:15,Romania,Bucharest,Europe,26.25,25.55,26.65,48.0,26.25,10000.0,0.0,0.0,2.57,0.0,40.0,1009.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:12,2025-09-02 03:00:12,Romania,Bucharest,Europe,19.8,18.97,20.55,69.0,19.64,10000.0,0.0,0.0,2.57,0.0,280.0,1011.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:17,2025-09-02 09:00:17,Romania,Bucharest,Europe,21.73,21.08,22.21,67.0,21.71,10000.0,0.0,0.0,3.09,0.0,290.0,1012.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:14,2025-09-02 15:00:14,Romania,Bucharest,Europe,32.57,32.08,32.89,36.0,32.38,10000.0,0.0,0.0,2.68,0.0,200.0,1010.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:12,2025-09-02 21:00:12,Romania,Bucharest,Europe,28.0,26.11,28.32,42.0,27.8,10000.0,0.0,0.0,3.09,0.0,270.0,1010.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:20,2025-09-03 03:00:20,Romania,Bucharest,Europe,23.34,22.21,23.87,56.0,23.19,10000.0,0.0,0.0,2.06,0.0,50.0,1011.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:18,2025-09-03 09:00:18,Romania,Bucharest,Europe,24.6,23.08,24.98,58.0,24.63,10000.0,0.0,0.0,1.54,0.0,40.0,1012.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:16,2025-09-03 15:00:16,Romania,Bucharest,Europe,33.92,33.87,34.11,32.0,33.54,10000.0,0.0,0.0,2.57,0.0,260.0,1011.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:13,2025-09-03 21:00:13,Romania,Bucharest,Europe,29.36,27.86,30.54,36.0,28.62,10000.0,0.0,0.0,3.13,0.0,70.0,1011.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:18,2025-09-04 03:00:18,Romania,Bucharest,Europe,22.58,21.08,23.39,59.0,22.43,10000.0,0.0,0.0,4.12,0.0,50.0,1014.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:15,2025-09-04 09:00:15,Romania,Bucharest,Europe,21.83,21.08,22.21,67.0,21.82,10000.0,0.0,0.0,3.09,0.0,30.0,1015.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:16,2025-09-04 15:00:16,Romania,Bucharest,Europe,31.45,31.09,32.33,28.0,30.02,10000.0,0.0,0.0,6.69,0.0,100.0,1015.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:14,2025-09-04 21:00:14,Romania,Bucharest,Europe,27.04,25.08,27.84,28.0,26.37,10000.0,0.0,0.0,3.13,0.0,70.0,1014.0,0,800,Clear,clear sky,01n
2025-09-05 00:00:21,2025-09-05 03:00:21,Romania,Bucharest,Europe,19.63,17.86,20.54,59.0,19.19,10000.0,0.0,0.0,2.06,0.0,30.0,1016.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:16,2025-09-05 09:00:16,Romania,Bucharest,Europe,20.42,19.11,21.09,54.0,19.93,10000.0,0.0,0.0,2.68,0.0,60.0,1017.0,1,800,Clear,clear sky,01d
