utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:12,2025-09-01 04:00:12,Réunion,Saint-Denis,Africa,16.81,16.81,16.81,72.0,16.43,10000.0,0.0,75.0,2.06,0.0,170.0,1022.0,0,803,Clouds,broken clouds,04n
2025-09-01 06:00:17,2025-09-01 10:00:17,Réunion,Saint-Denis,Africa,22.81,21.78,22.81,68.0,22.92,10000.0,0.0,100.0,7.72,0.0,100.0,1023.0,1,804,Clouds,overcast clouds,04d
2025-09-01 12:00:16,2025-09-01 16:00:16,Réunion,Saint-Denis,Africa,23.81,22.89,23.81,64.0,23.92,10000.0,0.0,100.0,8.23,0.0,100.0,1021.0,1,804,Clouds,overcast clouds,04d
2025-09-01 18:00:15,2025-09-01 22:00:15,Réunion,Saint-Denis,Africa,20.81,17.89,20.81,73.0,20.85,10000.0,0.0,75.0,5.14,0.0,120.0,1023.0,0,803,Clouds,broken clouds,04n
2025-09-02 00:00:12,2025-09-02 04:00:12,Réunion,Saint-Denis,Africa,17.81,17.81,17.81,68.0,17.42,10000.0,0.0,0.0,3.6,0.0,110.0,1021.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:17,2025-09-02 10:00:17,Réunion,Saint-Denis,Africa,24.81,22.89,24.81,57.0,24.83,10000.0,0.0,0.0,9.26,0.0,100.0,1023.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:14,2025-09-02 16:00:14,Réunion,Saint-Denis,Africa,24.81,22.33,24.81,61.0,24.94,10000.0,0.0,0.0,9.77,0.0,100.0,1020.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:12,2025-09-02 22:00:12,Réunion,Saint-Denis,Africa,21.81,19.0,21.81,73.0,21.95,10000.0,0.0,75.0,6.17,0.0,120.0,1022.0,0,803,Clouds,broken clouds,04n
2025-09-03 00:00:20,2025-09-03 04:00:20,Réunion,Saint-Denis,Africa,20.81,20.81,20.81,78.0,20.98,10000.0,0.0,0.0,7.72,0.0,110.0,1021.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:18,2025-09-03 10:00:18,Réunion,Saint-Denis,Africa,24.81,22.33,24.81,65.0,25.04,10000.0,0.0,40.0,9.26,0.0,120.0,1023.0,1,802,Clouds,scattered clouds,03d
2025-09-03 12:00:16,2025-09-03 16:00:16,Réunion,Saint-Denis,Africa,24.81,22.33,24.81,61.0,24.94,10000.0,0.0,75.0,10.29,0.0,100.0,1021.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:13,2025-09-03 22:00:13,Réunion,Saint-Denis,Africa,20.81,17.89,20.81,78.0,20.98,10000.0,0.0,0.0,6.17,0.0,120.0,1022.0,0,800,Clear,clear sky,01n
