utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:13,2025-09-01 02:00:13,San Marino,San Marino,Europe,17.14,15.76,18.53,78.0,16.95,10000.0,0.0,14.0,2.69,2.49,220.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-01 06:00:18,2025-09-01 08:00:18,San Marino,San Marino,Europe,16.06,14.87,18.2,79.0,15.78,10000.0,0.0,11.0,2.58,3.85,209.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-01 12:00:17,2025-09-01 14:00:17,San Marino,San Marino,Europe,23.61,22.72,24.53,59.0,23.57,10000.0,0.0,0.0,3.09,0.0,60.0,1012.0,1,800,Clear,clear sky,01d
2025-09-01 18:00:15,2025-09-01 20:00:15,San Marino,San Marino,Europe,21.12,20.94,22.09,70.0,21.12,10000.0,0.0,0.0,3.6,0.0,110.0,1010.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:12,2025-09-02 02:00:12,San Marino,San Marino,Europe,18.42,16.55,19.27,72.0,18.2,10000.0,0.0,20.0,2.06,0.0,200.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:18,2025-09-02 08:00:18,San Marino,San Marino,Europe,17.39,14.87,18.72,81.0,17.3,10000.0,0.0,20.0,3.13,8.05,306.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:15,2025-09-02 14:00:15,San Marino,San Marino,Europe,21.73,20.0,22.69,73.0,21.86,10000.0,0.0,40.0,3.6,0.0,20.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-09-02 18:00:12,2025-09-02 20:00:12,San Marino,San Marino,Europe,18.29,17.6,19.53,82.0,18.32,10000.0,0.0,20.0,1.03,0.0,0.0,1010.0,0,801,Clouds,few clouds,02n
2025-09-03 00:00:21,2025-09-03 02:00:21,San Marino,San Marino,Europe,14.2,12.87,14.97,73.0,13.58,10000.0,0.0,5.0,2.57,0.0,220.0,1013.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:18,2025-09-03 08:00:18,San Marino,San Marino,Europe,15.65,13.76,16.64,72.0,15.15,10000.0,0.0,5.0,2.15,2.58,213.0,1015.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:17,2025-09-03 14:00:17,San Marino,San Marino,Europe,21.88,20.98,22.19,60.0,21.69,10000.0,0.0,0.0,4.63,0.0,20.0,1015.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:14,2025-09-03 20:00:14,San Marino,San Marino,Europe,19.35,18.59,20.42,70.0,19.17,10000.0,0.0,0.0,0.51,0.0,0.0,1015.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:19,2025-09-04 02:00:19,San Marino,San Marino,Europe,17.23,15.76,17.8,81.0,17.12,10000.0,0.0,15.0,2.06,0.0,210.0,1016.0,0,801,Clouds,few clouds,02n
2025-09-04 06:00:15,2025-09-04 08:00:15,San Marino,San Marino,Europe,16.46,14.53,17.05,76.0,16.15,10000.0,0.0,1.0,0.89,3.13,254.0,1016.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:16,2025-09-04 14:00:16,San Marino,San Marino,Europe,22.58,22.0,23.24,60.0,22.46,10000.0,0.0,0.0,4.12,0.0,20.0,1015.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:15,2025-09-04 20:00:15,San Marino,San Marino,Europe,19.58,18.59,20.98,66.0,19.32,10000.0,0.0,0.0,1.54,0.0,100.0,1014.0,0,800,Clear,clear sky,01n
2025-09-05 00:00:21,2025-09-05 02:00:21,San Marino,San Marino,Europe,16.34,15.46,18.03,78.0,16.07,10000.0,0.0,17.0,2.29,1.97,223.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-05 06:00:16,2025-09-05 08:00:16,San Marino,San Marino,Europe,16.31,15.42,18.59,73.0,15.9,10000.0,0.0,0.0,2.2,2.49,226.0,1015.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:14,2025-09-05 14:00:14,San Marino,San Marino,Europe,24.17,22.0,24.83,56.0,24.1,10000.0,0.0,0.0,3.09,0.0,60.0,1015.0,1,800,Clear,clear sky,01d
2025-09-05 18:00:22,2025-09-05 20:00:22,San Marino,San Marino,Europe,21.74,21.0,22.09,62.0,21.59,10000.0,0.0,20.0,2.06,0.0,100.0,1016.0,0,801,Clouds,few clouds,02n
2025-09-06 00:00:18,2025-09-06 02:00:18,San Marino,San Marino,Europe,17.54,15.98,18.3,58.0,16.86,10000.0,0.0,20.0,2.57,0.0,230.0,1018.0,0,801,Clouds,few clouds,02n
2025-09-06 06:00:16,2025-09-06 08:00:16,San Marino,San Marino,Europe,15.61,14.97,16.54,73.0,15.13,10000.0,0.0,20.0,5.66,0.0,290.0,1020.0,1,801,Clouds,few clouds,02d
2025-09-06 12:00:13,2025-09-06 14:00:13,San Marino,San Marino,Europe,22.02,21.54,22.48,58.0,21.79,10000.0,0.0,2.0,2.24,4.92,294.0,1020.0,1,800,Clear,clear sky,01d
2025-09-06 18:00:22,2025-09-06 20:00:22,San Marino,San Marino,Europe,18.55,17.72,20.42,50.0,17.77,10000.0,0.0,0.0,1.03,0.0,0.0,1020.0,0,800,Clear,clear sky,01n
2025-09-07 00:00:19,2025-09-07 02:00:19,San Marino,San Marino,Europe,17.69,14.86,18.63,52.0,16.87,10000.0,0.0,26.0,0.89,2.68,209.0,1020.0,0,802,Clouds,scattered clouds,03n
