utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:13,2025-09-01 00:00:13,Sierra Leone,Freetown,Africa,23.89,23.89,23.89,92.0,24.74,10000.0,0.84,99.0,4.71,6.72,175.0,1015.0,0,500,Rain,light rain,10n
2025-09-01 06:00:18,2025-09-01 06:00:18,Sierra Leone,Freetown,Africa,23.53,23.53,23.53,95.0,24.42,3740.0,3.72,100.0,3.98,5.3,182.0,1014.0,0,501,Rain,moderate rain,10n
2025-09-01 12:00:17,2025-09-01 12:00:17,Sierra Leone,Freetown,Africa,24.01,24.01,24.01,90.0,24.82,6326.0,2.05,100.0,3.6,4.81,172.0,1016.0,1,501,Rain,moderate rain,10d
2025-09-01 18:00:16,2025-09-01 18:00:16,Sierra Leone,Freetown,Africa,23.84,23.84,23.84,91.0,24.66,10000.0,0.23,100.0,2.65,3.46,194.0,1014.0,1,500,Rain,light rain,10d
2025-09-02 00:00:13,2025-09-02 00:00:13,Sierra Leone,Freetown,Africa,23.73,23.73,23.73,89.0,24.48,10000.0,0.6,98.0,1.52,1.83,136.0,1016.0,0,500,Rain,light rain,10n
2025-09-02 06:00:18,2025-09-02 06:00:18,Sierra Leone,Freetown,Africa,23.26,23.26,23.26,89.0,23.97,10000.0,0.14,99.0,1.6,1.74,122.0,1014.0,0,500,Rain,light rain,10n
2025-09-02 12:00:15,2025-09-02 12:00:15,Sierra Leone,Freetown,Africa,26.25,26.25,26.25,78.0,26.25,9547.0,0.72,93.0,3.32,3.64,214.0,1016.0,1,500,Rain,light rain,10d
2025-09-02 18:00:13,2025-09-02 18:00:13,Sierra Leone,Freetown,Africa,25.34,25.34,25.34,82.0,26.07,10000.0,0.41,84.0,4.2,5.1,236.0,1014.0,1,500,Rain,light rain,10d
2025-09-03 00:00:21,2025-09-03 00:00:21,Sierra Leone,Freetown,Africa,24.46,24.46,24.46,87.0,25.23,10000.0,0.0,70.0,3.37,4.34,248.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:18,2025-09-03 06:00:18,Sierra Leone,Freetown,Africa,23.9,23.9,23.9,87.0,24.62,10000.0,0.51,55.0,1.72,2.32,242.0,1014.0,0,500,Rain,light rain,10n
