utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:13,2025-09-01 08:00:13,Singapore,Singapore,Asia,26.58,24.35,27.92,82.0,26.58,8000.0,0.0,40.0,3.6,0.0,140.0,1009.0,1,802,Clouds,scattered clouds,03d
2025-09-01 06:00:18,2025-09-01 14:00:18,Singapore,Singapore,Asia,26.53,25.9,26.92,79.0,26.53,9000.0,0.0,75.0,5.14,0.0,190.0,1009.0,1,803,Clouds,broken clouds,04d
2025-09-01 12:00:17,2025-09-01 20:00:17,Singapore,Singapore,Asia,26.99,25.87,27.13,80.0,29.72,10000.0,0.0,75.0,1.54,0.0,180.0,1007.0,0,803,Clouds,broken clouds,04n
2025-09-01 18:00:16,2025-09-02 02:00:16,Singapore,Singapore,Asia,26.34,25.87,27.13,87.0,26.34,10000.0,0.0,75.0,0.51,0.0,60.0,1009.0,0,803,Clouds,broken clouds,04n
2025-09-02 00:00:13,2025-09-02 08:00:13,Singapore,Singapore,Asia,25.49,24.87,25.92,83.0,26.26,8000.0,0.0,40.0,3.09,0.0,0.0,1010.0,1,802,Clouds,scattered clouds,03d
2025-09-02 06:00:18,2025-09-02 14:00:18,Singapore,Singapore,Asia,26.99,25.87,27.13,81.0,29.81,10000.0,0.0,75.0,6.17,0.0,180.0,1010.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:15,2025-09-02 20:00:15,Singapore,Singapore,Asia,26.8,25.87,26.92,79.0,29.22,10000.0,0.0,75.0,3.09,0.0,170.0,1009.0,0,803,Clouds,broken clouds,04n
2025-09-02 18:00:13,2025-09-03 02:00:13,Singapore,Singapore,Asia,26.73,25.9,26.92,76.0,28.85,10000.0,0.0,75.0,2.06,0.0,190.0,1010.0,0,803,Clouds,broken clouds,04n
2025-09-03 00:00:21,2025-09-03 08:00:21,Singapore,Singapore,Asia,25.5,24.9,26.58,86.0,26.35,9000.0,0.0,75.0,2.57,0.0,190.0,1010.0,1,803,Clouds,broken clouds,04d
2025-09-03 06:00:18,2025-09-03 14:00:18,Singapore,Singapore,Asia,30.84,30.47,31.9,66.0,36.05,10000.0,0.0,75.0,3.6,0.0,150.0,1010.0,1,803,Clouds,broken clouds,04d
2025-09-03 12:00:17,2025-09-03 20:00:17,Singapore,Singapore,Asia,29.92,28.87,29.92,68.0,34.38,10000.0,0.0,40.0,3.6,0.0,140.0,1009.0,0,802,Clouds,scattered clouds,03n
2025-09-03 18:00:14,2025-09-04 02:00:14,Singapore,Singapore,Asia,26.34,25.87,27.13,77.0,26.34,10000.0,0.0,75.0,1.03,0.0,330.0,1010.0,0,803,Clouds,broken clouds,04n
2025-09-04 00:00:19,2025-09-04 08:00:19,Singapore,Singapore,Asia,25.81,24.9,25.92,84.0,26.64,10000.0,0.0,75.0,2.06,0.0,180.0,1010.0,1,803,Clouds,broken clouds,04d
2025-09-04 06:00:16,2025-09-04 14:00:16,Singapore,Singapore,Asia,27.11,25.87,27.69,84.0,30.4,8000.0,0.0,75.0,5.66,0.0,210.0,1009.0,1,803,Clouds,broken clouds,04d
2025-09-04 12:00:16,2025-09-04 20:00:16,Singapore,Singapore,Asia,28.03,26.87,28.24,73.0,31.14,10000.0,0.0,75.0,2.06,0.0,170.0,1008.0,0,803,Clouds,broken clouds,04n
