utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:13,2025-09-01 03:00:13,Somalia,Mogadishu,Africa,23.78,23.78,23.78,85.0,24.43,10000.0,0.0,52.0,7.26,10.37,208.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-01 06:00:18,2025-09-01 09:00:18,Somalia,Mogadishu,Africa,25.63,25.63,25.63,83.0,26.42,10000.0,0.0,75.0,7.72,0.0,210.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-01 12:00:18,2025-09-01 15:00:18,Somalia,Mogadishu,Africa,28.63,28.63,28.63,70.0,31.94,10000.0,0.0,75.0,5.66,0.0,230.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:16,2025-09-01 21:00:16,Somalia,Mogadishu,Africa,23.98,23.98,23.98,87.0,24.71,10000.0,0.0,50.0,7.78,11.78,202.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-09-02 00:00:13,2025-09-02 03:00:13,Somalia,Mogadishu,Africa,23.8,23.8,23.8,85.0,24.46,10000.0,0.0,35.0,7.77,11.12,211.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-02 06:00:18,2025-09-02 09:00:18,Somalia,Mogadishu,Africa,25.63,25.63,25.63,78.0,26.29,10000.0,0.0,40.0,9.26,0.0,200.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-02 12:00:15,2025-09-02 15:00:15,Somalia,Mogadishu,Africa,28.63,28.63,28.63,70.0,31.94,10000.0,0.0,75.0,8.23,0.0,210.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:13,2025-09-02 21:00:13,Somalia,Mogadishu,Africa,24.12,24.12,24.12,89.0,24.91,10000.0,0.0,8.0,8.21,13.06,209.0,1013.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:21,2025-09-03 03:00:21,Somalia,Mogadishu,Africa,23.64,23.64,23.64,89.0,24.38,10000.0,0.13,25.0,7.89,11.73,205.0,1013.0,0,500,Rain,light rain,10n
2025-09-03 06:00:19,2025-09-03 09:00:19,Somalia,Mogadishu,Africa,24.63,24.63,24.63,88.0,25.45,10000.0,0.0,75.0,7.72,0.0,190.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-03 12:00:17,2025-09-03 15:00:17,Somalia,Mogadishu,Africa,26.63,26.63,26.63,83.0,26.63,10000.0,0.0,75.0,7.2,0.0,210.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:14,2025-09-03 21:00:14,Somalia,Mogadishu,Africa,24.25,24.25,24.25,85.0,24.95,10000.0,0.0,10.0,7.03,11.16,211.0,1014.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:19,2025-09-04 03:00:19,Somalia,Mogadishu,Africa,23.62,23.62,23.62,89.0,24.36,10000.0,0.0,51.0,7.81,12.07,204.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-04 06:00:16,2025-09-04 09:00:16,Somalia,Mogadishu,Africa,25.47,25.47,25.47,76.0,26.06,10000.0,0.0,43.0,8.26,10.38,198.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-04 12:00:17,2025-09-04 15:00:17,Somalia,Mogadishu,Africa,28.63,28.63,28.63,70.0,31.94,10000.0,0.0,75.0,8.23,0.0,210.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-04 18:00:15,2025-09-04 21:00:15,Somalia,Mogadishu,Africa,24.1,24.1,24.1,84.0,24.76,10000.0,0.0,52.0,7.42,10.88,206.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-05 00:00:21,2025-09-05 03:00:21,Somalia,Mogadishu,Africa,23.87,23.87,23.87,86.0,24.56,10000.0,0.0,81.0,7.51,11.0,210.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-05 06:00:17,2025-09-05 09:00:17,Somalia,Mogadishu,Africa,25.63,25.63,25.63,83.0,26.42,10000.0,0.0,75.0,6.69,0.0,210.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-05 12:00:15,2025-09-05 15:00:15,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,40.0,8.23,0.0,220.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-05 18:00:23,2025-09-05 21:00:23,Somalia,Mogadishu,Africa,24.2,24.2,24.2,84.0,24.87,10000.0,0.0,51.0,7.55,11.07,197.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-06 00:00:19,2025-09-06 03:00:19,Somalia,Mogadishu,Africa,23.95,23.95,23.95,84.0,24.59,10000.0,0.0,79.0,7.84,10.86,202.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-06 06:00:17,2025-09-06 09:00:17,Somalia,Mogadishu,Africa,25.63,25.63,25.63,83.0,26.42,10000.0,0.0,40.0,6.17,0.0,210.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-06 12:00:15,2025-09-06 15:00:15,Somalia,Mogadishu,Africa,28.63,28.63,28.63,70.0,31.94,10000.0,0.0,20.0,8.23,0.0,200.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-06 18:00:22,2025-09-06 21:00:22,Somalia,Mogadishu,Africa,24.17,24.17,24.17,87.0,24.91,10000.0,0.0,14.0,7.2,10.76,199.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-07 00:00:20,2025-09-07 03:00:20,Somalia,Mogadishu,Africa,24.59,24.59,24.59,83.0,25.27,10000.0,0.0,72.0,6.45,10.64,199.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-07 06:00:18,2025-09-07 09:00:18,Somalia,Mogadishu,Africa,25.63,25.63,25.63,83.0,26.42,10000.0,0.0,75.0,6.17,0.0,210.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-07 12:00:17,2025-09-07 15:00:17,Somalia,Mogadishu,Africa,26.43,26.43,26.43,78.0,26.43,10000.0,0.0,37.0,7.69,9.42,209.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-07 18:00:18,2025-09-07 21:00:18,Somalia,Mogadishu,Africa,24.45,24.45,24.45,91.0,25.33,10000.0,0.0,26.0,6.06,9.69,206.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-09-08 00:00:14,2025-09-08 03:00:14,Somalia,Mogadishu,Africa,24.18,24.18,24.18,91.0,25.03,10000.0,0.0,85.0,5.15,8.61,206.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-09-08 06:00:19,2025-09-08 09:00:19,Somalia,Mogadishu,Africa,25.63,25.63,25.63,89.0,26.57,10000.0,0.0,40.0,5.66,0.0,190.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-08 12:00:15,2025-09-08 15:00:15,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,20.0,5.66,0.0,200.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-08 18:00:13,2025-09-08 21:00:13,Somalia,Mogadishu,Africa,24.91,24.91,24.91,89.0,25.78,10000.0,0.0,58.0,7.13,10.46,189.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-09 00:00:19,2025-09-09 03:00:19,Somalia,Mogadishu,Africa,24.49,24.49,24.49,86.0,25.24,10000.0,0.0,97.0,6.87,9.88,198.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-09-09 06:00:16,2025-09-09 09:00:16,Somalia,Mogadishu,Africa,26.63,26.63,26.63,83.0,26.63,10000.0,0.0,40.0,7.2,0.0,190.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-09 12:00:18,2025-09-09 15:00:18,Somalia,Mogadishu,Africa,27.63,27.63,27.63,78.0,30.93,10000.0,0.0,75.0,6.17,0.0,210.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-09 18:00:19,2025-09-09 21:00:19,Somalia,Mogadishu,Africa,24.66,24.66,24.66,89.0,25.51,10000.0,0.0,85.0,8.88,12.96,181.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-10 00:00:19,2025-09-10 03:00:19,Somalia,Mogadishu,Africa,24.49,24.49,24.49,88.0,25.29,10000.0,0.0,86.0,8.26,11.64,199.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-09-10 06:00:19,2025-09-10 09:00:19,Somalia,Mogadishu,Africa,26.63,26.63,26.63,78.0,26.63,10000.0,0.0,40.0,6.69,0.0,200.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-10 12:00:25,2025-09-10 15:00:25,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,40.0,6.17,0.0,210.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-10 18:00:15,2025-09-10 21:00:15,Somalia,Mogadishu,Africa,24.6,24.6,24.6,88.0,25.41,10000.0,0.0,93.0,8.2,11.66,194.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-11 00:00:21,2025-09-11 03:00:21,Somalia,Mogadishu,Africa,24.43,24.43,24.43,86.0,25.17,10000.0,0.0,94.0,8.45,11.62,198.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-09-11 06:00:18,2025-09-11 09:00:18,Somalia,Mogadishu,Africa,28.4,28.4,28.4,58.0,29.81,10000.0,0.0,73.0,8.15,9.42,200.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-11 12:00:17,2025-09-11 15:00:17,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,40.0,6.69,0.0,210.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-11 18:00:12,2025-09-11 21:00:12,Somalia,Mogadishu,Africa,24.61,24.61,24.61,87.0,25.4,10000.0,0.0,48.0,8.17,11.6,198.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-09-12 00:00:18,2025-09-12 03:00:18,Somalia,Mogadishu,Africa,24.41,24.41,24.41,83.0,25.07,10000.0,0.0,71.0,7.77,10.87,206.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-12 06:00:15,2025-09-12 09:00:15,Somalia,Mogadishu,Africa,26.63,26.63,26.63,78.0,26.63,10000.0,0.0,75.0,6.17,0.0,200.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-12 12:00:21,2025-09-12 15:00:21,Somalia,Mogadishu,Africa,26.63,26.63,26.63,83.0,26.63,10000.0,0.0,75.0,5.14,0.0,220.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-12 18:00:16,2025-09-12 21:00:16,Somalia,Mogadishu,Africa,24.69,24.69,24.69,86.0,25.46,10000.0,0.0,12.0,8.24,11.78,200.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-13 00:00:22,2025-09-13 03:00:22,Somalia,Mogadishu,Africa,24.4,24.4,24.4,83.0,25.06,10000.0,0.0,53.0,7.54,10.44,198.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-13 06:00:16,2025-09-13 09:00:16,Somalia,Mogadishu,Africa,26.63,26.63,26.63,78.0,26.63,10000.0,0.0,75.0,6.17,0.0,200.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-13 12:00:13,2025-09-13 15:00:13,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,40.0,6.69,0.0,200.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-13 18:00:19,2025-09-13 21:00:19,Somalia,Mogadishu,Africa,24.6,24.6,24.6,88.0,25.41,10000.0,0.0,59.0,8.3,12.51,188.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-14 00:00:16,2025-09-14 03:00:16,Somalia,Mogadishu,Africa,24.15,24.15,24.15,88.0,24.92,10000.0,0.0,82.0,8.1,11.27,196.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-14 06:00:22,2025-09-14 09:00:22,Somalia,Mogadishu,Africa,25.63,25.63,25.63,83.0,26.42,10000.0,0.0,75.0,7.2,0.0,200.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-14 12:00:18,2025-09-14 15:00:18,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,75.0,7.72,0.0,210.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-14 18:00:12,2025-09-14 21:00:12,Somalia,Mogadishu,Africa,24.26,24.26,24.26,86.0,24.99,10000.0,0.0,10.0,8.29,11.58,183.0,1012.0,0,800,Clear,clear sky,01n
2025-09-15 00:00:18,2025-09-15 03:00:18,Somalia,Mogadishu,Africa,23.75,23.75,23.75,83.0,24.35,10000.0,0.0,70.0,6.44,8.21,192.0,1011.0,0,803,Clouds,broken clouds,04n
2025-09-15 06:00:13,2025-09-15 09:00:13,Somalia,Mogadishu,Africa,25.63,25.63,25.63,83.0,26.42,10000.0,0.0,40.0,6.17,0.0,210.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-15 12:00:24,2025-09-15 15:00:24,Somalia,Mogadishu,Africa,28.63,28.63,28.63,70.0,31.94,10000.0,0.0,75.0,7.2,0.0,200.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-15 18:00:25,2025-09-15 21:00:25,Somalia,Mogadishu,Africa,24.83,24.83,24.83,77.0,25.38,10000.0,0.0,51.0,6.12,10.28,187.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-16 00:00:17,2025-09-16 03:00:17,Somalia,Mogadishu,Africa,24.81,24.81,24.81,79.0,25.41,10000.0,0.0,8.0,6.04,9.43,197.0,1011.0,0,800,Clear,clear sky,01n
2025-09-16 06:00:14,2025-09-16 09:00:14,Somalia,Mogadishu,Africa,26.63,26.63,26.63,78.0,26.63,10000.0,0.0,75.0,6.69,0.0,190.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-16 12:00:21,2025-09-16 15:00:21,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,20.0,7.2,0.0,200.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-16 18:00:57,2025-09-16 21:00:57,Somalia,Mogadishu,Africa,24.63,24.63,24.63,89.0,25.47,10000.0,0.0,2.0,6.57,10.29,201.0,1012.0,0,800,Clear,clear sky,01n
2025-09-17 00:00:12,2025-09-17 03:00:12,Somalia,Mogadishu,Africa,24.26,24.26,24.26,91.0,25.12,10000.0,0.0,20.0,5.11,7.76,194.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-17 06:00:18,2025-09-17 09:00:18,Somalia,Mogadishu,Africa,25.63,25.63,25.63,89.0,26.57,10000.0,0.0,20.0,5.66,0.0,210.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-17 12:00:16,2025-09-17 15:00:16,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,20.0,5.14,0.0,210.0,1010.0,1,801,Clouds,few clouds,02d
2025-09-17 18:00:15,2025-09-17 21:00:15,Somalia,Mogadishu,Africa,25.79,25.79,25.79,81.0,26.54,10000.0,0.0,34.0,7.02,9.56,157.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-18 00:00:21,2025-09-18 03:00:21,Somalia,Mogadishu,Africa,24.84,24.84,24.84,87.0,25.65,10000.0,0.0,31.0,6.81,10.01,157.0,1011.0,0,802,Clouds,scattered clouds,03n
2025-09-18 06:00:17,2025-09-18 09:00:17,Somalia,Mogadishu,Africa,26.63,26.63,26.63,83.0,26.63,10000.0,0.0,40.0,5.14,0.0,170.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-18 12:00:16,2025-09-18 15:00:16,Somalia,Mogadishu,Africa,28.63,28.63,28.63,79.0,33.54,10000.0,0.0,75.0,5.66,0.0,180.0,1011.0,1,803,Clouds,broken clouds,04d
2025-09-18 18:00:21,2025-09-18 21:00:21,Somalia,Mogadishu,Africa,24.83,24.83,24.83,88.0,25.67,10000.0,0.0,74.0,6.28,9.19,190.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-19 00:00:17,2025-09-19 03:00:17,Somalia,Mogadishu,Africa,24.34,24.34,24.34,88.0,25.13,10000.0,0.0,98.0,5.82,8.38,194.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-09-19 06:00:13,2025-09-19 09:00:13,Somalia,Mogadishu,Africa,26.63,26.63,26.63,83.0,26.63,10000.0,0.0,75.0,5.66,0.0,170.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-19 12:00:19,2025-09-19 15:00:19,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,75.0,7.72,0.0,200.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-19 18:00:13,2025-09-19 21:00:13,Somalia,Mogadishu,Africa,24.64,24.64,24.64,80.0,25.25,10000.0,0.0,96.0,7.48,10.9,185.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-20 00:00:19,2025-09-20 03:00:19,Somalia,Mogadishu,Africa,23.99,23.99,23.99,79.0,24.51,10000.0,0.0,51.0,7.59,10.42,201.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-20 06:00:14,2025-09-20 09:00:14,Somalia,Mogadishu,Africa,26.63,26.63,26.63,89.0,26.63,10000.0,0.0,20.0,4.63,0.0,230.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-20 12:00:19,2025-09-20 15:00:19,Somalia,Mogadishu,Africa,28.63,28.63,28.63,70.0,31.94,10000.0,0.0,20.0,9.26,0.0,220.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-20 18:00:16,2025-09-20 21:00:16,Somalia,Mogadishu,Africa,24.76,24.76,24.76,91.0,25.67,10000.0,0.0,16.0,7.85,11.9,202.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-21 00:00:23,2025-09-21 03:00:23,Somalia,Mogadishu,Africa,24.59,24.59,24.59,90.0,25.45,10000.0,0.0,57.0,7.22,10.52,207.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-21 06:00:18,2025-09-21 09:00:18,Somalia,Mogadishu,Africa,25.63,25.63,25.63,89.0,26.57,10000.0,0.0,75.0,5.14,0.0,210.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-21 12:00:18,2025-09-21 15:00:18,Somalia,Mogadishu,Africa,26.63,26.63,26.63,89.0,26.63,10000.0,0.0,40.0,6.17,0.0,190.0,1011.0,1,802,Clouds,scattered clouds,03d
2025-09-21 18:00:14,2025-09-21 21:00:14,Somalia,Mogadishu,Africa,25.06,25.06,25.06,89.0,25.95,10000.0,0.0,26.0,7.43,11.02,193.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-22 00:00:18,2025-09-22 03:00:18,Somalia,Mogadishu,Africa,24.61,24.61,24.61,87.0,25.4,10000.0,0.0,23.0,7.65,11.0,203.0,1012.0,0,801,Clouds,few clouds,02n
2025-09-22 06:00:15,2025-09-22 09:00:15,Somalia,Mogadishu,Africa,26.63,26.63,26.63,83.0,26.63,10000.0,0.0,75.0,6.69,0.0,200.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-22 12:00:21,2025-09-22 15:00:21,Somalia,Mogadishu,Africa,28.63,28.63,28.63,74.0,32.62,10000.0,0.0,75.0,7.72,0.0,220.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-22 18:00:25,2025-09-22 21:00:25,Somalia,Mogadishu,Africa,24.87,24.87,24.87,86.0,25.66,10000.0,0.0,95.0,7.93,11.0,187.0,1015.0,0,804,Clouds,overcast clouds,04n
2025-09-23 00:00:22,2025-09-23 03:00:22,Somalia,Mogadishu,Africa,24.55,24.55,24.55,85.0,25.28,10000.0,0.0,100.0,8.35,11.8,191.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-09-23 06:00:18,2025-09-23 09:00:18,Somalia,Mogadishu,Africa,26.63,26.63,26.63,78.0,26.63,10000.0,0.0,75.0,7.2,0.0,200.0,1017.0,1,803,Clouds,broken clouds,04d
2025-09-23 12:00:16,2025-09-23 15:00:16,Somalia,Mogadishu,Africa,26.28,26.28,26.28,72.0,26.28,10000.0,0.15,100.0,7.85,9.06,193.0,1014.0,1,500,Rain,light rain,10d
2025-09-23 18:00:18,2025-09-23 21:00:18,Somalia,Mogadishu,Africa,24.82,24.82,24.82,80.0,25.45,10000.0,0.0,100.0,7.91,10.84,180.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-09-24 00:00:13,2025-09-24 03:00:13,Somalia,Mogadishu,Africa,24.63,24.63,24.63,78.0,25.19,10000.0,0.0,100.0,8.08,11.03,192.0,1014.0,0,804,Clouds,overcast clouds,04n
