utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:14,2025-08-31 20:00:14,St. Kitts and Nevis,Basseterre,North America,28.11,27.49,28.95,78.0,32.06,10000.0,0.16,20.0,3.6,0.0,60.0,1014.0,0,500,Rain,light rain,10n
2025-09-01 06:00:19,2025-09-01 02:00:19,St. Kitts and Nevis,Basseterre,North America,26.94,26.94,26.94,85.0,30.07,10000.0,0.0,100.0,5.81,6.03,98.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-01 12:00:19,2025-09-01 08:00:19,St. Kitts and Nevis,Basseterre,North America,29.11,27.49,29.11,75.0,33.97,10000.0,0.14,20.0,6.69,0.0,80.0,1015.0,1,500,Rain,light rain,10d
2025-09-01 18:00:17,2025-09-01 14:00:17,St. Kitts and Nevis,Basseterre,North America,31.11,30.95,31.11,70.0,37.9,10000.0,0.0,20.0,5.14,0.0,100.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-02 00:00:14,2025-09-01 20:00:14,St. Kitts and Nevis,Basseterre,North America,29.11,27.49,29.11,74.0,33.76,10000.0,0.0,20.0,3.6,0.0,100.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:19,2025-09-02 02:00:19,St. Kitts and Nevis,Basseterre,North America,26.38,26.38,26.38,87.0,26.38,10000.0,0.34,17.0,6.91,7.32,105.0,1014.0,0,500,Rain,light rain,10n
2025-09-02 12:00:16,2025-09-02 08:00:16,St. Kitts and Nevis,Basseterre,North America,27.95,27.95,28.05,94.0,34.29,10000.0,0.0,75.0,4.12,0.0,100.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:14,2025-09-02 14:00:14,St. Kitts and Nevis,Basseterre,North America,31.11,30.95,31.38,70.0,37.9,10000.0,0.0,20.0,5.66,0.0,90.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-03 00:00:22,2025-09-02 20:00:22,St. Kitts and Nevis,Basseterre,North America,28.11,26.94,28.11,78.0,32.06,10000.0,0.0,20.0,3.6,0.0,110.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-03 06:00:19,2025-09-03 02:00:19,St. Kitts and Nevis,Basseterre,North America,25.27,25.27,25.27,91.0,26.23,10000.0,0.0,38.0,7.05,7.42,102.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-09-03 12:00:18,2025-09-03 08:00:18,St. Kitts and Nevis,Basseterre,North America,28.11,26.38,28.95,78.0,32.06,10000.0,0.14,40.0,4.12,0.0,80.0,1016.0,1,500,Rain,light rain,10d
2025-09-03 18:00:15,2025-09-03 14:00:15,St. Kitts and Nevis,Basseterre,North America,31.11,30.83,31.95,66.0,36.71,10000.0,0.0,40.0,6.69,0.0,80.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-04 00:00:20,2025-09-03 20:00:20,St. Kitts and Nevis,Basseterre,North America,28.11,26.94,28.11,78.0,32.06,10000.0,0.0,40.0,5.14,0.0,80.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-09-04 06:00:16,2025-09-04 02:00:16,St. Kitts and Nevis,Basseterre,North America,25.83,25.83,25.83,88.0,26.77,10000.0,0.0,10.0,7.04,7.35,92.0,1014.0,0,800,Clear,clear sky,01n
2025-09-04 12:00:17,2025-09-04 08:00:17,St. Kitts and Nevis,Basseterre,North America,28.11,25.83,28.95,78.0,32.06,10000.0,0.0,40.0,5.14,0.0,100.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-04 18:00:16,2025-09-04 14:00:16,St. Kitts and Nevis,Basseterre,North America,31.11,30.83,31.11,70.0,37.9,10000.0,0.2,40.0,6.17,0.0,70.0,1014.0,1,500,Rain,light rain,10d
2025-09-05 00:00:22,2025-09-04 20:00:22,St. Kitts and Nevis,Basseterre,North America,28.11,28.05,28.11,83.0,32.87,10000.0,0.74,20.0,6.17,0.0,90.0,1014.0,0,500,Rain,light rain,10n
2025-09-05 06:00:17,2025-09-05 02:00:17,St. Kitts and Nevis,Basseterre,North America,27.49,27.49,27.49,83.0,31.24,10000.0,0.22,71.0,7.67,8.59,100.0,1013.0,0,500,Rain,light rain,10n
2025-09-05 12:00:15,2025-09-05 08:00:15,St. Kitts and Nevis,Basseterre,North America,29.11,27.49,29.11,80.0,35.05,10000.0,0.37,20.0,3.6,0.0,80.0,1016.0,1,500,Rain,light rain,10d
2025-09-05 18:00:23,2025-09-05 14:00:23,St. Kitts and Nevis,Basseterre,North America,32.11,30.83,32.11,70.0,39.11,10000.0,0.0,20.0,6.69,0.0,80.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-06 00:00:20,2025-09-05 20:00:20,St. Kitts and Nevis,Basseterre,North America,29.11,28.6,29.11,79.0,34.83,10000.0,0.0,20.0,4.63,0.0,90.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-06 06:00:17,2025-09-06 02:00:17,St. Kitts and Nevis,Basseterre,North America,27.49,27.49,27.49,83.0,31.24,10000.0,0.0,0.0,7.42,7.84,100.0,1014.0,0,800,Clear,clear sky,01n
2025-09-06 12:00:16,2025-09-06 08:00:16,St. Kitts and Nevis,Basseterre,North America,29.11,26.38,29.11,80.0,35.05,10000.0,0.0,20.0,3.6,0.0,70.0,1016.0,1,520,Rain,light intensity shower rain,09d
2025-09-06 18:00:23,2025-09-06 14:00:23,St. Kitts and Nevis,Basseterre,North America,32.11,29.71,32.11,66.0,39.11,10000.0,0.0,20.0,5.14,0.0,70.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-07 00:00:20,2025-09-06 20:00:20,St. Kitts and Nevis,Basseterre,North America,27.11,26.38,27.11,83.0,30.29,10000.0,0.0,20.0,3.09,0.0,30.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-07 06:00:18,2025-09-07 02:00:18,St. Kitts and Nevis,Basseterre,North America,26.38,26.38,26.38,84.0,26.38,10000.0,0.13,17.0,6.97,7.34,96.0,1014.0,0,500,Rain,light rain,10n
2025-09-07 12:00:18,2025-09-07 08:00:18,St. Kitts and Nevis,Basseterre,North America,28.11,26.94,28.11,79.0,32.22,10000.0,0.27,40.0,3.6,0.0,90.0,1016.0,1,500,Rain,light rain,10d
2025-09-07 18:00:18,2025-09-07 14:00:18,St. Kitts and Nevis,Basseterre,North America,30.11,29.95,30.11,74.0,36.33,10000.0,0.0,40.0,6.17,0.0,110.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-08 00:00:14,2025-09-07 20:00:14,St. Kitts and Nevis,Basseterre,North America,28.11,28.05,28.11,74.0,31.45,10000.0,0.0,20.0,3.6,0.0,120.0,1016.0,0,801,Clouds,few clouds,02n
2025-09-08 06:00:19,2025-09-08 02:00:19,St. Kitts and Nevis,Basseterre,North America,27.49,27.49,27.49,80.0,30.86,10000.0,0.0,96.0,7.74,8.24,102.0,1014.0,0,804,Clouds,overcast clouds,04n
2025-09-08 12:00:16,2025-09-08 08:00:16,St. Kitts and Nevis,Basseterre,North America,28.11,28.05,28.95,78.0,32.06,10000.0,0.0,40.0,4.12,0.0,90.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-09-08 18:00:13,2025-09-08 14:00:13,St. Kitts and Nevis,Basseterre,North America,32.11,31.38,32.11,62.0,37.96,10000.0,0.0,20.0,5.14,0.0,110.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-09 00:00:20,2025-09-08 20:00:20,St. Kitts and Nevis,Basseterre,North America,28.11,27.49,28.11,89.0,33.92,10000.0,0.25,20.0,3.09,0.0,30.0,1015.0,0,500,Rain,light rain,10n
2025-09-09 06:00:16,2025-09-09 02:00:16,St. Kitts and Nevis,Basseterre,North America,27.89,27.89,27.89,75.0,31.11,10000.0,0.73,27.0,2.08,2.66,104.0,1014.0,0,500,Rain,light rain,10n
2025-09-09 12:00:19,2025-09-09 08:00:19,St. Kitts and Nevis,Basseterre,North America,25.11,25.11,25.83,100.0,26.29,10000.0,0.23,40.0,1.03,0.0,0.0,1016.0,1,500,Rain,light rain,10d
2025-09-09 18:00:20,2025-09-09 14:00:20,St. Kitts and Nevis,Basseterre,North America,30.95,30.95,31.94,74.0,37.95,10000.0,0.0,20.0,5.14,0.0,100.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-10 00:00:20,2025-09-09 20:00:20,St. Kitts and Nevis,Basseterre,North America,28.11,28.05,28.11,89.0,33.92,10000.0,0.0,20.0,3.09,0.0,90.0,1016.0,0,801,Clouds,few clouds,02n
2025-09-10 06:00:20,2025-09-10 02:00:20,St. Kitts and Nevis,Basseterre,North America,26.38,26.38,26.38,89.0,26.38,10000.0,0.42,75.0,6.9,7.7,106.0,1016.0,0,500,Rain,light rain,10n
2025-09-10 12:00:26,2025-09-10 08:00:26,St. Kitts and Nevis,Basseterre,North America,29.11,28.05,29.11,80.0,35.05,10000.0,0.0,20.0,4.63,0.0,90.0,1017.0,1,801,Clouds,few clouds,02d
2025-09-10 18:00:16,2025-09-10 14:00:16,St. Kitts and Nevis,Basseterre,North America,33.11,30.83,33.11,67.0,40.11,10000.0,0.0,20.0,6.17,0.0,90.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-11 00:00:21,2025-09-10 20:00:21,St. Kitts and Nevis,Basseterre,North America,28.11,27.49,28.95,83.0,32.87,10000.0,0.0,20.0,6.69,0.0,80.0,1016.0,0,801,Clouds,few clouds,02n
2025-09-11 06:00:18,2025-09-11 02:00:18,St. Kitts and Nevis,Basseterre,North America,26.94,26.94,26.94,86.0,30.17,10000.0,0.0,38.0,8.33,8.4,85.0,1014.0,0,802,Clouds,scattered clouds,03n
2025-09-11 12:00:17,2025-09-11 08:00:17,St. Kitts and Nevis,Basseterre,North America,28.11,27.49,28.95,78.0,32.06,10000.0,0.0,20.0,5.14,0.0,80.0,1016.0,1,801,Clouds,few clouds,02d
2025-09-11 18:00:13,2025-09-11 14:00:13,St. Kitts and Nevis,Basseterre,North America,32.11,31.38,32.11,70.0,39.11,10000.0,0.13,20.0,7.2,0.0,80.0,1014.0,1,500,Rain,light rain,10d
2025-09-12 00:00:19,2025-09-11 20:00:19,St. Kitts and Nevis,Basseterre,North America,28.11,27.49,28.11,78.0,32.06,10000.0,0.0,20.0,4.12,0.0,80.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-12 06:00:15,2025-09-12 02:00:15,St. Kitts and Nevis,Basseterre,North America,28.1,28.1,28.1,77.0,31.88,10000.0,0.0,7.0,6.34,6.79,88.0,1013.0,0,800,Clear,clear sky,01n
2025-09-12 12:00:22,2025-09-12 08:00:22,St. Kitts and Nevis,Basseterre,North America,28.11,28.11,28.95,83.0,32.87,10000.0,0.0,40.0,4.63,0.0,80.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-12 18:00:17,2025-09-12 14:00:17,St. Kitts and Nevis,Basseterre,North America,32.11,30.95,32.11,66.0,39.11,10000.0,0.12,20.0,6.69,0.0,100.0,1013.0,1,500,Rain,light rain,10d
2025-09-13 00:00:22,2025-09-12 20:00:22,St. Kitts and Nevis,Basseterre,North America,28.11,28.11,28.11,83.0,32.87,10000.0,0.0,20.0,4.63,0.0,80.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-13 06:00:17,2025-09-13 02:00:17,St. Kitts and Nevis,Basseterre,North America,27.97,27.97,27.97,75.0,31.29,10000.0,0.0,10.0,5.42,5.52,93.0,1012.0,0,800,Clear,clear sky,01n
