utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:14,2025-08-31 20:00:14,St. Lucia,Castries,North America,28.7,24.84,28.7,74.0,32.78,10000.0,0.0,20.0,2.57,0.0,150.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-01 06:00:19,2025-09-01 02:00:19,St. Lucia,Castries,North America,24.84,24.84,24.84,100.0,25.99,10000.0,0.0,20.0,3.5,5.82,115.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-01 12:00:19,2025-09-01 08:00:19,St. Lucia,Castries,North America,26.51,26.51,26.51,100.0,26.51,10000.0,0.26,52.0,4.49,5.78,108.0,1015.0,1,500,Rain,light rain,10d
2025-09-01 18:00:17,2025-09-01 14:00:17,St. Lucia,Castries,North America,30.7,30.7,30.95,70.0,36.8,10000.0,0.0,75.0,3.6,0.0,140.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-02 00:00:14,2025-09-01 20:00:14,St. Lucia,Castries,North America,27.7,27.62,27.7,89.0,32.66,10000.0,0.0,20.0,3.09,0.0,110.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:19,2025-09-02 02:00:19,St. Lucia,Castries,North America,27.06,27.06,27.06,100.0,32.06,10000.0,0.0,10.0,4.9,7.42,110.0,1013.0,0,800,Clear,clear sky,01n
2025-09-02 12:00:16,2025-09-02 08:00:16,St. Lucia,Castries,North America,25.7,25.7,29.28,94.0,26.78,10000.0,0.0,75.0,1.54,0.0,120.0,1016.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:14,2025-09-02 14:00:14,St. Lucia,Castries,North America,29.7,29.7,30.4,74.0,35.25,10000.0,0.0,75.0,5.66,0.0,100.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-03 00:00:22,2025-09-02 20:00:22,St. Lucia,Castries,North America,25.99,25.99,26.8,94.0,25.99,10000.0,0.0,20.0,2.06,0.0,90.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-03 06:00:19,2025-09-03 02:00:19,St. Lucia,Castries,North America,27.06,27.06,27.06,100.0,32.06,10000.0,0.0,16.0,4.96,7.38,96.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-03 12:00:18,2025-09-03 08:00:18,St. Lucia,Castries,North America,28.73,28.73,28.73,100.0,35.73,10000.0,0.0,34.0,5.45,6.5,93.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-03 18:00:15,2025-09-03 14:00:15,St. Lucia,Castries,North America,31.7,29.84,31.7,58.0,35.82,10000.0,0.0,40.0,5.14,0.0,110.0,1013.0,1,802,Clouds,scattered clouds,03d
