utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:14,2025-09-01 02:00:14,Swaziland,Mbabane,Africa,17.84,17.84,17.84,34.0,16.57,10000.0,0.0,0.0,2.41,2.12,277.0,1022.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:19,2025-09-01 08:00:19,Swaziland,Mbabane,Africa,17.38,17.38,17.38,61.0,16.77,10000.0,0.0,2.0,1.48,1.53,128.0,1026.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:19,2025-09-01 14:00:19,Swaziland,Mbabane,Africa,25.41,25.41,25.41,36.0,24.95,10000.0,0.0,5.0,4.41,3.64,87.0,1023.0,1,800,Clear,clear sky,01d
2025-09-01 18:00:17,2025-09-01 20:00:17,Swaziland,Mbabane,Africa,15.92,15.92,15.92,72.0,15.45,10000.0,0.0,0.0,2.18,4.27,75.0,1027.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:14,2025-09-02 02:00:14,Swaziland,Mbabane,Africa,13.16,13.16,13.16,90.0,12.88,10000.0,0.0,53.0,0.77,1.53,3.0,1026.0,0,803,Clouds,broken clouds,04n
2025-09-02 06:00:19,2025-09-02 08:00:19,Swaziland,Mbabane,Africa,18.62,18.62,18.62,54.0,17.95,10000.0,0.0,15.0,1.37,2.51,331.0,1025.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:16,2025-09-02 14:00:16,Swaziland,Mbabane,Africa,28.89,28.89,28.89,25.0,27.54,10000.0,0.0,0.0,4.91,4.94,70.0,1019.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:14,2025-09-02 20:00:14,Swaziland,Mbabane,Africa,18.12,18.12,18.12,50.0,17.29,10000.0,0.0,0.0,1.62,1.72,337.0,1023.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:23,2025-09-03 02:00:23,Swaziland,Mbabane,Africa,16.09,16.09,16.09,51.0,15.09,10000.0,0.0,0.0,2.76,4.0,291.0,1023.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:20,2025-09-03 08:00:20,Swaziland,Mbabane,Africa,23.64,23.64,23.64,21.0,22.61,10000.0,0.0,0.0,4.3,11.3,273.0,1020.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:18,2025-09-03 14:00:18,Swaziland,Mbabane,Africa,33.17,33.17,33.17,7.0,30.78,10000.0,0.0,0.0,4.37,6.06,226.0,1015.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:15,2025-09-03 20:00:15,Swaziland,Mbabane,Africa,17.97,17.97,17.97,60.0,17.39,10000.0,0.0,10.0,0.72,0.95,107.0,1022.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:20,2025-09-04 02:00:20,Swaziland,Mbabane,Africa,12.58,12.58,12.58,87.0,12.17,10000.0,0.0,10.0,1.04,1.27,120.0,1022.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:17,2025-09-04 08:00:17,Swaziland,Mbabane,Africa,14.75,14.75,14.75,69.0,14.08,10000.0,0.0,58.0,0.75,0.63,85.0,1024.0,1,803,Clouds,broken clouds,04d
