utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:13,2025-09-01 00:00:13,São Tomé and Príncipe,São Tomé,Africa,23.94,23.94,23.94,88.0,24.69,10000.0,0.0,75.0,4.12,0.0,100.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-01 06:00:18,2025-09-01 06:00:18,São Tomé and Príncipe,São Tomé,Africa,23.77,23.77,23.77,85.0,24.42,10000.0,0.0,100.0,3.41,3.16,230.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-09-01 12:00:17,2025-09-01 12:00:17,São Tomé and Príncipe,São Tomé,Africa,27.94,27.94,27.94,69.0,30.42,10000.0,0.0,75.0,2.57,0.0,50.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:16,2025-09-01 18:00:16,São Tomé and Príncipe,São Tomé,Africa,25.94,25.94,25.94,73.0,26.5,10000.0,0.0,75.0,3.09,0.0,130.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-02 00:00:12,2025-09-02 00:00:12,São Tomé and Príncipe,São Tomé,Africa,23.94,23.94,23.94,83.0,24.56,10000.0,0.0,40.0,2.06,0.0,270.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-09-02 06:00:18,2025-09-02 06:00:18,São Tomé and Príncipe,São Tomé,Africa,23.94,23.94,23.94,83.0,24.56,10000.0,0.0,75.0,1.03,0.0,180.0,1015.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:15,2025-09-02 12:00:15,São Tomé and Príncipe,São Tomé,Africa,29.94,29.94,29.94,62.0,33.12,10000.0,0.11,40.0,6.69,0.0,130.0,1014.0,1,500,Rain,light rain,10d
2025-09-02 18:00:13,2025-09-02 18:00:13,São Tomé and Príncipe,São Tomé,Africa,26.94,26.94,26.94,74.0,29.08,10000.0,0.0,75.0,2.06,0.0,350.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-03 00:00:21,2025-09-03 00:00:21,São Tomé and Príncipe,São Tomé,Africa,24.94,24.94,24.94,78.0,25.53,10000.0,0.0,75.0,4.12,0.0,210.0,1015.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:18,2025-09-03 06:00:18,São Tomé and Príncipe,São Tomé,Africa,23.94,23.94,23.94,83.0,24.56,10000.0,0.0,40.0,2.06,0.0,210.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-03 12:00:17,2025-09-03 12:00:17,São Tomé and Príncipe,São Tomé,Africa,29.94,29.94,29.94,58.0,32.33,10000.0,0.0,75.0,7.2,0.0,180.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-03 18:00:14,2025-09-03 18:00:14,São Tomé and Príncipe,São Tomé,Africa,26.94,26.94,26.94,74.0,29.08,10000.0,0.0,40.0,3.09,0.0,10.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-04 00:00:19,2025-09-04 00:00:19,São Tomé and Príncipe,São Tomé,Africa,24.94,24.94,24.94,78.0,25.53,10000.0,0.0,75.0,5.14,0.0,180.0,1013.0,0,803,Clouds,broken clouds,04n
