utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:15,2025-09-01 00:00:15,Togo,Lomé,Africa,23.97,23.97,23.97,88.0,24.72,10000.0,0.0,20.0,3.6,0.0,220.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-01 06:00:20,2025-09-01 06:00:20,Togo,Lomé,Africa,22.97,22.97,22.97,94.0,23.78,10000.0,0.0,20.0,2.57,0.0,260.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-01 12:00:20,2025-09-01 12:00:20,Togo,Lomé,Africa,26.97,26.97,26.97,74.0,29.14,10000.0,0.0,20.0,5.14,0.0,200.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:18,2025-09-01 18:00:18,Togo,Lomé,Africa,25.97,25.97,25.97,73.0,25.97,10000.0,0.0,20.0,5.66,0.0,210.0,1014.0,1,801,Clouds,few clouds,02d
2025-09-02 00:00:14,2025-09-02 00:00:14,Togo,Lomé,Africa,23.97,23.97,23.97,88.0,24.72,10000.0,0.0,20.0,2.57,0.0,230.0,1015.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:20,2025-09-02 06:00:20,Togo,Lomé,Africa,23.97,23.97,23.97,88.0,24.72,10000.0,0.0,75.0,5.14,0.0,240.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:17,2025-09-02 12:00:17,Togo,Lomé,Africa,27.97,27.97,27.97,69.0,30.48,10000.0,0.0,75.0,4.63,0.0,200.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:15,2025-09-02 18:00:15,Togo,Lomé,Africa,25.97,25.97,25.97,78.0,25.97,10000.0,0.0,20.0,8.75,0.0,210.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-03 00:00:23,2025-09-03 00:00:23,Togo,Lomé,Africa,23.97,23.97,23.97,94.0,24.88,10000.0,0.0,75.0,5.66,0.0,220.0,1013.0,0,803,Clouds,broken clouds,04n
2025-09-03 06:00:20,2025-09-03 06:00:20,Togo,Lomé,Africa,23.97,23.97,23.97,88.0,24.72,10000.0,0.0,40.0,5.66,0.0,230.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-03 12:00:19,2025-09-03 12:00:19,Togo,Lomé,Africa,28.97,28.97,28.97,65.0,31.78,10000.0,0.0,40.0,7.72,0.0,210.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-03 18:00:15,2025-09-03 18:00:15,Togo,Lomé,Africa,25.32,25.32,25.32,76.0,25.89,10000.0,0.0,70.0,5.91,8.97,207.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-04 00:00:21,2025-09-04 00:00:21,Togo,Lomé,Africa,23.69,23.69,23.69,88.0,24.41,10000.0,0.0,37.0,4.56,9.06,215.0,1013.0,0,802,Clouds,scattered clouds,03n
2025-09-04 06:00:17,2025-09-04 06:00:17,Togo,Lomé,Africa,23.97,23.97,23.97,94.0,24.88,10000.0,0.0,40.0,2.57,0.0,250.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-09-04 12:00:18,2025-09-04 12:00:18,Togo,Lomé,Africa,26.97,26.97,26.97,74.0,29.14,10000.0,0.0,40.0,6.17,0.0,210.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-09-04 18:00:17,2025-09-04 18:00:17,Togo,Lomé,Africa,26.97,26.97,26.97,69.0,28.72,10000.0,0.0,20.0,6.17,0.0,210.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-05 00:00:23,2025-09-05 00:00:23,Togo,Lomé,Africa,23.97,23.97,23.97,88.0,24.72,10000.0,0.0,20.0,3.09,0.0,220.0,1013.0,0,801,Clouds,few clouds,02n
2025-09-05 06:00:18,2025-09-05 06:00:18,Togo,Lomé,Africa,22.97,22.97,22.97,94.0,23.78,10000.0,0.0,75.0,3.6,0.0,250.0,1014.0,1,803,Clouds,broken clouds,04d
2025-09-05 12:00:16,2025-09-05 12:00:16,Togo,Lomé,Africa,28.97,28.97,28.97,65.0,31.78,10000.0,0.0,20.0,5.66,0.0,210.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-05 18:00:24,2025-09-05 18:00:24,Togo,Lomé,Africa,25.97,25.97,25.97,78.0,25.97,10000.0,0.0,20.0,6.69,0.0,200.0,1013.0,0,801,Clouds,few clouds,02n
