utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:15,2025-09-01 03:00:15,Transnistria,Tiraspol,Unknown,18.74,18.74,18.74,71.0,18.52,10000.0,0.0,96.0,1.29,1.35,157.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-09-01 06:00:20,2025-09-01 09:00:20,Transnistria,Tiraspol,Unknown,19.96,19.96,19.96,66.0,19.73,10000.0,0.0,78.0,2.75,3.73,209.0,1007.0,1,803,Clouds,broken clouds,04d
2025-09-01 12:00:20,2025-09-01 15:00:20,Transnistria,Tiraspol,Unknown,30.06,30.06,30.06,30.0,28.81,10000.0,0.0,70.0,0.67,1.77,281.0,1005.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:18,2025-09-01 21:00:18,Transnistria,Tiraspol,Unknown,23.24,23.24,23.24,66.0,23.34,10000.0,0.0,90.0,2.0,2.11,119.0,1007.0,0,804,Clouds,overcast clouds,04n
2025-09-02 00:00:15,2025-09-02 03:00:15,Transnistria,Tiraspol,Unknown,19.47,19.47,19.47,75.0,19.43,10000.0,0.0,41.0,3.57,7.7,338.0,1009.0,0,802,Clouds,scattered clouds,03n
2025-09-02 06:00:20,2025-09-02 09:00:20,Transnistria,Tiraspol,Unknown,23.24,23.24,23.24,64.0,23.29,10000.0,0.0,6.0,4.2,5.35,331.0,1010.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:17,2025-09-02 15:00:17,Transnistria,Tiraspol,Unknown,32.58,32.58,32.58,28.0,31.24,10000.0,0.0,0.0,5.93,7.52,13.0,1009.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:15,2025-09-02 21:00:15,Transnistria,Tiraspol,Unknown,23.84,23.84,23.84,39.0,23.3,10000.0,0.0,2.0,3.53,6.11,26.0,1010.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:24,2025-09-03 03:00:24,Transnistria,Tiraspol,Unknown,20.64,20.64,20.64,60.0,20.33,10000.0,0.0,0.0,1.95,2.24,46.0,1013.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:20,2025-09-03 09:00:20,Transnistria,Tiraspol,Unknown,23.5,23.5,23.5,33.0,22.77,10000.0,0.0,0.0,2.79,3.25,42.0,1014.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:19,2025-09-03 15:00:19,Transnistria,Tiraspol,Unknown,32.31,32.31,32.31,20.0,30.27,10000.0,0.0,1.0,3.66,3.62,27.0,1013.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:16,2025-09-03 21:00:16,Transnistria,Tiraspol,Unknown,24.7,24.7,24.7,28.0,23.96,10000.0,0.0,0.0,3.87,5.79,67.0,1014.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:21,2025-09-04 03:00:21,Transnistria,Tiraspol,Unknown,18.6,18.6,18.6,50.0,17.82,10000.0,0.0,0.0,1.29,1.46,90.0,1016.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:17,2025-09-04 09:00:17,Transnistria,Tiraspol,Unknown,20.56,20.56,20.56,47.0,19.9,10000.0,0.0,2.0,2.94,3.72,73.0,1018.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:18,2025-09-04 15:00:18,Transnistria,Tiraspol,Unknown,31.7,31.7,31.7,18.0,29.62,10000.0,0.0,3.0,3.73,3.62,66.0,1016.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:17,2025-09-04 21:00:17,Transnistria,Tiraspol,Unknown,23.07,23.07,23.07,29.0,22.19,10000.0,0.0,2.0,2.29,2.36,109.0,1016.0,0,800,Clear,clear sky,01n
2025-09-05 00:00:23,2025-09-05 03:00:23,Transnistria,Tiraspol,Unknown,16.1,16.1,16.1,50.0,15.07,10000.0,0.0,8.0,1.97,2.0,77.0,1018.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:19,2025-09-05 09:00:19,Transnistria,Tiraspol,Unknown,20.1,20.1,20.1,44.0,19.31,10000.0,0.0,10.0,3.19,4.22,62.0,1019.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:16,2025-09-05 15:00:16,Transnistria,Tiraspol,Unknown,30.27,30.27,30.27,18.0,28.4,10000.0,0.0,4.0,4.55,4.82,61.0,1017.0,1,800,Clear,clear sky,01d
2025-09-05 18:00:24,2025-09-05 21:00:24,Transnistria,Tiraspol,Unknown,22.45,22.45,22.45,30.0,21.53,10000.0,0.0,6.0,3.39,4.57,78.0,1018.0,0,800,Clear,clear sky,01n
2025-09-06 00:00:21,2025-09-06 03:00:21,Transnistria,Tiraspol,Unknown,14.95,14.95,14.95,50.0,13.81,10000.0,0.0,28.0,2.05,2.3,60.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-09-06 06:00:18,2025-09-06 09:00:18,Transnistria,Tiraspol,Unknown,19.14,19.14,19.14,47.0,18.34,10000.0,0.0,27.0,3.17,4.47,59.0,1020.0,1,802,Clouds,scattered clouds,03d
2025-09-06 12:00:17,2025-09-06 15:00:17,Transnistria,Tiraspol,Unknown,28.65,28.65,28.65,23.0,27.29,10000.0,0.0,28.0,4.5,5.02,62.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-09-06 18:00:24,2025-09-06 21:00:24,Transnistria,Tiraspol,Unknown,23.23,23.23,23.23,34.0,22.5,10000.0,0.0,64.0,2.05,2.09,72.0,1019.0,0,803,Clouds,broken clouds,04n
2025-09-07 00:00:21,2025-09-07 03:00:21,Transnistria,Tiraspol,Unknown,16.18,16.18,16.18,54.0,15.26,10000.0,0.0,20.0,2.37,2.94,30.0,1020.0,0,801,Clouds,few clouds,02n
2025-09-07 06:00:19,2025-09-07 09:00:19,Transnistria,Tiraspol,Unknown,19.93,19.93,19.93,50.0,19.28,10000.0,0.0,1.0,4.92,6.9,38.0,1020.0,1,800,Clear,clear sky,01d
2025-09-07 12:00:19,2025-09-07 15:00:19,Transnistria,Tiraspol,Unknown,27.99,27.99,27.99,23.0,26.82,10000.0,0.0,0.0,4.69,5.24,40.0,1018.0,1,800,Clear,clear sky,01d
2025-09-07 18:00:19,2025-09-07 21:00:19,Transnistria,Tiraspol,Unknown,21.32,21.32,21.32,37.0,20.47,10000.0,0.0,0.0,3.08,4.2,44.0,1018.0,0,800,Clear,clear sky,01n
2025-09-08 00:00:15,2025-09-08 03:00:15,Transnistria,Tiraspol,Unknown,15.92,15.92,15.92,54.0,14.98,10000.0,0.0,0.0,1.99,2.6,31.0,1018.0,0,800,Clear,clear sky,01n
2025-09-08 06:00:21,2025-09-08 09:00:21,Transnistria,Tiraspol,Unknown,19.36,19.36,19.36,51.0,18.68,10000.0,0.0,0.0,3.67,5.18,18.0,1018.0,1,800,Clear,clear sky,01d
2025-09-08 12:00:17,2025-09-08 15:00:17,Transnistria,Tiraspol,Unknown,28.24,28.24,28.24,24.0,27.03,10000.0,0.0,1.0,3.59,3.82,53.0,1016.0,1,800,Clear,clear sky,01d
2025-09-08 18:00:14,2025-09-08 21:00:14,Transnistria,Tiraspol,Unknown,23.31,23.31,23.31,38.0,22.69,10000.0,0.0,34.0,1.38,2.02,66.0,1016.0,0,802,Clouds,scattered clouds,03n
2025-09-09 00:00:21,2025-09-09 03:00:21,Transnistria,Tiraspol,Unknown,18.11,18.11,18.11,62.0,17.6,10000.0,0.0,59.0,2.58,4.6,70.0,1016.0,0,803,Clouds,broken clouds,04n
2025-09-09 06:00:17,2025-09-09 09:00:17,Transnistria,Tiraspol,Unknown,20.65,20.65,20.65,55.0,20.21,10000.0,0.0,18.0,3.07,3.98,87.0,1017.0,1,801,Clouds,few clouds,02d
2025-09-09 12:00:20,2025-09-09 15:00:20,Transnistria,Tiraspol,Unknown,28.49,28.49,28.49,29.0,27.41,10000.0,0.0,46.0,1.97,2.9,133.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-09-09 18:00:22,2025-09-09 21:00:22,Transnistria,Tiraspol,Unknown,20.63,20.63,20.63,47.0,19.98,10000.0,0.0,91.0,1.3,1.81,94.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-09-10 00:00:21,2025-09-10 03:00:21,Transnistria,Tiraspol,Unknown,16.98,16.98,16.98,62.0,16.35,10000.0,0.0,100.0,2.41,2.71,21.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-09-10 06:00:21,2025-09-10 09:00:21,Transnistria,Tiraspol,Unknown,18.94,18.94,18.94,69.0,18.69,10000.0,5.62,100.0,4.5,8.95,67.0,1020.0,1,502,Rain,heavy intensity rain,10d
2025-09-10 12:00:29,2025-09-10 15:00:29,Transnistria,Tiraspol,Unknown,23.87,23.87,23.87,48.0,23.57,10000.0,0.0,86.0,2.28,3.01,69.0,1020.0,1,804,Clouds,overcast clouds,04d
2025-09-10 18:00:17,2025-09-10 21:00:17,Transnistria,Tiraspol,Unknown,20.28,20.28,20.28,63.0,20.01,10000.0,0.0,67.0,1.59,2.13,24.0,1020.0,0,803,Clouds,broken clouds,04n
2025-09-11 00:00:22,2025-09-11 03:00:22,Transnistria,Tiraspol,Unknown,16.32,16.32,16.32,78.0,16.04,10000.0,0.0,26.0,2.49,3.9,44.0,1020.0,0,802,Clouds,scattered clouds,03n
2025-09-11 06:00:20,2025-09-11 09:00:20,Transnistria,Tiraspol,Unknown,19.83,19.83,19.83,58.0,19.38,10000.0,0.0,36.0,6.52,10.85,94.0,1020.0,1,802,Clouds,scattered clouds,03d
2025-09-11 12:00:18,2025-09-11 15:00:18,Transnistria,Tiraspol,Unknown,26.45,26.45,26.45,37.0,26.45,10000.0,0.0,94.0,6.95,6.99,127.0,1018.0,1,804,Clouds,overcast clouds,04d
2025-09-11 18:00:14,2025-09-11 21:00:14,Transnistria,Tiraspol,Unknown,22.06,22.06,22.06,68.0,22.1,10000.0,0.0,87.0,3.14,7.26,143.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-09-12 00:00:20,2025-09-12 03:00:20,Transnistria,Tiraspol,Unknown,17.96,17.96,17.96,77.0,17.82,10000.0,0.0,97.0,2.82,6.69,96.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-09-12 06:00:16,2025-09-12 09:00:16,Transnistria,Tiraspol,Unknown,17.8,17.8,17.8,73.0,17.54,10000.0,0.24,100.0,3.02,7.57,99.0,1020.0,1,500,Rain,light rain,10d
2025-09-12 12:00:23,2025-09-12 15:00:23,Transnistria,Tiraspol,Unknown,16.83,16.83,16.83,71.0,16.42,10000.0,0.13,100.0,3.03,5.05,212.0,1021.0,1,500,Rain,light rain,10d
2025-09-12 18:00:18,2025-09-12 21:00:18,Transnistria,Tiraspol,Unknown,18.22,18.22,18.22,66.0,17.82,10000.0,0.0,100.0,2.4,3.12,338.0,1023.0,0,804,Clouds,overcast clouds,04n
2025-09-13 00:00:23,2025-09-13 03:00:23,Transnistria,Tiraspol,Unknown,17.74,17.74,17.74,62.0,17.19,10000.0,0.0,100.0,2.02,3.27,28.0,1025.0,0,804,Clouds,overcast clouds,04n
2025-09-13 06:00:18,2025-09-13 09:00:18,Transnistria,Tiraspol,Unknown,19.9,19.9,19.9,43.0,19.07,10000.0,0.0,70.0,2.0,2.72,69.0,1026.0,1,803,Clouds,broken clouds,04d
2025-09-13 12:00:15,2025-09-13 15:00:15,Transnistria,Tiraspol,Unknown,27.97,27.97,27.97,21.0,26.75,10000.0,0.0,6.0,5.66,4.46,121.0,1025.0,1,800,Clear,clear sky,01d
2025-09-13 18:00:20,2025-09-13 21:00:20,Transnistria,Tiraspol,Unknown,19.5,19.5,19.5,48.0,18.76,10000.0,0.0,21.0,3.08,5.1,149.0,1026.0,0,801,Clouds,few clouds,02n
2025-09-14 00:00:17,2025-09-14 03:00:17,Transnistria,Tiraspol,Unknown,14.9,14.9,14.9,75.0,14.4,10000.0,0.0,72.0,2.08,1.95,113.0,1027.0,0,803,Clouds,broken clouds,04n
2025-09-14 06:00:23,2025-09-14 09:00:23,Transnistria,Tiraspol,Unknown,17.82,17.82,17.82,55.0,17.09,10000.0,0.0,9.0,4.5,6.76,104.0,1027.0,1,800,Clear,clear sky,01d
2025-09-14 12:00:20,2025-09-14 15:00:20,Transnistria,Tiraspol,Unknown,24.33,24.33,24.33,29.0,23.58,10000.0,0.0,11.0,6.86,6.96,128.0,1024.0,1,801,Clouds,few clouds,02d
