utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:15,2025-09-01 03:00:15,Turkey,Ankara,Europe,18.54,18.54,18.54,27.0,17.15,10000.0,0.0,0.0,1.88,1.51,212.0,1010.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:20,2025-09-01 09:00:20,Turkey,Ankara,Europe,24.49,24.49,24.49,35.0,23.91,10000.0,0.0,0.0,0.45,2.24,279.0,1010.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:20,2025-09-01 15:00:20,Turkey,Ankara,Europe,31.16,31.16,32.43,27.0,29.64,10000.0,0.0,0.0,2.68,4.02,298.0,1007.0,1,800,Clear,clear sky,01d
2025-09-01 18:00:18,2025-09-01 21:00:18,Turkey,Ankara,Europe,26.43,26.43,26.43,30.0,26.43,10000.0,0.0,0.0,3.02,3.63,331.0,1009.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:15,2025-09-02 03:00:15,Turkey,Ankara,Europe,18.43,18.43,18.43,69.0,18.13,10000.0,0.0,0.0,1.92,1.87,8.0,1011.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:20,2025-09-02 09:00:20,Turkey,Ankara,Europe,21.16,19.43,21.16,55.0,20.77,10000.0,0.0,0.0,0.45,1.34,305.0,1010.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:17,2025-09-02 15:00:17,Turkey,Ankara,Europe,28.86,28.49,29.43,52.0,29.72,10000.0,0.0,0.0,0.89,4.02,292.0,1005.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:15,2025-09-02 21:00:15,Turkey,Ankara,Europe,25.6,25.43,25.6,38.0,25.21,10000.0,0.0,0.0,2.24,4.02,333.0,1006.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:24,2025-09-03 03:00:24,Turkey,Ankara,Europe,20.04,17.43,20.04,53.0,19.48,10000.0,0.0,0.0,0.89,0.89,359.0,1011.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:20,2025-09-03 09:00:20,Turkey,Ankara,Europe,20.04,18.43,20.04,54.0,19.51,10000.0,0.0,0.0,0.89,1.34,315.0,1012.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:19,2025-09-03 15:00:19,Turkey,Ankara,Europe,27.52,26.54,28.62,51.0,28.01,10000.0,0.0,40.0,6.17,0.0,330.0,1006.0,1,802,Clouds,scattered clouds,03d
2025-09-03 18:00:16,2025-09-03 21:00:16,Turkey,Ankara,Europe,22.82,22.43,22.82,51.0,22.49,10000.0,0.0,1.0,2.24,4.02,20.0,1009.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:21,2025-09-04 03:00:21,Turkey,Ankara,Europe,18.38,16.43,18.38,63.0,17.92,10000.0,0.0,0.0,2.05,1.91,52.0,1012.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:18,2025-09-04 09:00:18,Turkey,Ankara,Europe,19.49,18.43,19.49,63.0,19.14,10000.0,0.0,0.0,3.58,7.15,97.0,1012.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:19,2025-09-04 15:00:19,Turkey,Ankara,Europe,26.54,26.16,28.49,58.0,26.54,10000.0,0.0,0.0,4.02,6.26,94.0,1009.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:17,2025-09-04 21:00:17,Turkey,Ankara,Europe,24.49,24.43,24.49,42.0,24.09,10000.0,0.0,0.0,2.68,5.36,105.0,1010.0,0,800,Clear,clear sky,01n
