utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:16,2025-09-01 05:00:16,Turkmenistan,Ashgabat,Asia,20.79,20.79,20.79,24.0,19.55,10000.0,0.0,0.0,4.12,0.0,120.0,1012.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:20,2025-09-01 11:00:20,Turkmenistan,Ashgabat,Asia,25.79,25.79,25.79,14.0,24.79,10000.0,0.0,0.0,4.12,0.0,90.0,1012.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:20,2025-09-01 17:00:20,Turkmenistan,Ashgabat,Asia,33.79,33.79,33.79,10.0,31.28,10000.0,0.0,0.0,3.09,0.0,360.0,1009.0,1,800,Clear,clear sky,01d
2025-09-01 18:00:18,2025-09-01 23:00:18,Turkmenistan,Ashgabat,Asia,26.79,26.79,26.79,14.0,25.8,10000.0,0.0,0.0,2.06,0.0,210.0,1010.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:15,2025-09-02 05:00:15,Turkmenistan,Ashgabat,Asia,18.79,18.79,18.79,27.0,17.43,10000.0,0.0,0.0,2.06,0.0,350.0,1009.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:20,2025-09-02 11:00:20,Turkmenistan,Ashgabat,Asia,27.79,27.79,27.79,16.0,26.52,10000.0,0.0,0.0,3.09,0.0,360.0,1011.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:17,2025-09-02 17:00:17,Turkmenistan,Ashgabat,Asia,34.79,34.79,34.79,10.0,32.15,10000.0,0.0,0.0,3.09,0.0,80.0,1008.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:15,2025-09-02 23:00:15,Turkmenistan,Ashgabat,Asia,27.79,27.79,27.79,18.0,26.55,10000.0,0.0,0.0,2.06,0.0,190.0,1008.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:24,2025-09-03 05:00:24,Turkmenistan,Ashgabat,Asia,21.79,21.79,21.79,30.0,20.81,10000.0,0.0,0.0,1.03,0.0,0.0,1008.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:20,2025-09-03 11:00:20,Turkmenistan,Ashgabat,Asia,26.79,26.79,26.79,24.0,26.08,10000.0,0.0,0.0,5.14,0.0,100.0,1009.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:20,2025-09-03 17:00:20,Turkmenistan,Ashgabat,Asia,35.79,35.79,35.79,12.0,33.14,10000.0,0.0,0.0,4.12,0.0,100.0,1006.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:16,2025-09-03 23:00:16,Turkmenistan,Ashgabat,Asia,26.79,26.79,26.79,22.0,26.02,10000.0,0.0,0.0,3.09,0.0,110.0,1007.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:21,2025-09-04 05:00:21,Turkmenistan,Ashgabat,Asia,19.79,19.79,19.79,34.0,18.71,10000.0,0.0,0.0,0.0,0.0,0.0,1006.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:18,2025-09-04 11:00:18,Turkmenistan,Ashgabat,Asia,30.79,30.79,30.79,19.0,28.86,10000.0,0.0,0.0,2.06,0.0,260.0,1007.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:19,2025-09-04 17:00:19,Turkmenistan,Ashgabat,Asia,35.79,35.79,35.79,11.0,33.08,10000.0,0.0,0.0,3.09,0.0,360.0,1006.0,1,800,Clear,clear sky,01d
2025-09-04 18:00:17,2025-09-04 23:00:17,Turkmenistan,Ashgabat,Asia,28.79,28.79,28.79,20.0,27.3,10000.0,0.0,0.0,2.06,0.0,190.0,1008.0,0,800,Clear,clear sky,01n
2025-09-05 00:00:23,2025-09-05 05:00:23,Turkmenistan,Ashgabat,Asia,23.79,23.79,23.79,33.0,23.09,10000.0,0.0,0.0,2.06,0.0,200.0,1009.0,0,800,Clear,clear sky,01n
2025-09-05 06:00:19,2025-09-05 11:00:19,Turkmenistan,Ashgabat,Asia,30.79,30.79,30.79,27.0,29.28,10000.0,0.0,0.0,2.06,0.0,310.0,1011.0,1,800,Clear,clear sky,01d
2025-09-05 12:00:17,2025-09-05 17:00:17,Turkmenistan,Ashgabat,Asia,36.79,36.79,36.79,15.0,34.41,10000.0,0.0,20.0,3.09,0.0,360.0,1009.0,1,801,Clouds,few clouds,02d
2025-09-05 18:00:25,2025-09-05 23:00:25,Turkmenistan,Ashgabat,Asia,30.79,30.79,30.79,23.0,29.03,10000.0,0.0,0.0,4.12,0.0,250.0,1011.0,0,800,Clear,clear sky,01n
2025-09-06 00:00:21,2025-09-06 05:00:21,Turkmenistan,Ashgabat,Asia,27.79,27.79,27.79,32.0,27.04,2900.0,0.0,1.0,11.32,0.0,290.0,1012.0,0,761,Dust,dust,50n
2025-09-06 06:00:18,2025-09-06 11:00:18,Turkmenistan,Ashgabat,Asia,28.79,28.79,28.79,24.0,27.43,10000.0,0.0,20.0,4.12,0.0,310.0,1015.0,1,801,Clouds,few clouds,02d
2025-09-06 12:00:17,2025-09-06 17:00:17,Turkmenistan,Ashgabat,Asia,32.79,32.79,32.79,21.0,30.8,10000.0,0.0,0.0,2.06,0.0,280.0,1011.0,1,800,Clear,clear sky,01d
2025-09-06 18:00:24,2025-09-06 23:00:24,Turkmenistan,Ashgabat,Asia,28.79,28.79,28.79,28.0,27.6,10000.0,0.0,1.0,2.06,0.0,220.0,1012.0,0,800,Clear,clear sky,01n
2025-09-07 00:00:22,2025-09-07 05:00:22,Turkmenistan,Ashgabat,Asia,24.79,24.79,24.79,38.0,24.32,9000.0,0.0,40.0,3.09,0.0,120.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-07 06:00:20,2025-09-07 11:00:20,Turkmenistan,Ashgabat,Asia,29.79,29.79,29.79,26.0,28.32,10000.0,0.0,40.0,2.06,0.0,150.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-07 12:00:19,2025-09-07 17:00:19,Turkmenistan,Ashgabat,Asia,34.79,34.79,34.79,20.0,32.81,10000.0,0.0,0.0,3.09,0.0,130.0,1009.0,1,800,Clear,clear sky,01d
2025-09-07 18:00:20,2025-09-07 23:00:20,Turkmenistan,Ashgabat,Asia,29.79,29.79,29.79,26.0,28.32,10000.0,0.0,0.0,2.06,0.0,210.0,1010.0,0,800,Clear,clear sky,01n
2025-09-08 00:00:16,2025-09-08 05:00:16,Turkmenistan,Ashgabat,Asia,24.79,24.79,24.79,38.0,24.32,10000.0,0.0,0.0,5.14,0.0,290.0,1010.0,0,800,Clear,clear sky,01n
2025-09-08 06:00:21,2025-09-08 11:00:21,Turkmenistan,Ashgabat,Asia,27.79,27.79,27.79,32.0,27.04,10000.0,0.0,0.0,6.17,0.0,290.0,1012.0,1,800,Clear,clear sky,01d
2025-09-08 12:00:17,2025-09-08 17:00:17,Turkmenistan,Ashgabat,Asia,34.79,34.79,34.79,20.0,32.81,10000.0,0.0,0.0,2.06,0.0,230.0,1010.0,1,800,Clear,clear sky,01d
2025-09-08 18:00:15,2025-09-08 23:00:15,Turkmenistan,Ashgabat,Asia,29.79,29.79,29.79,28.0,28.43,10000.0,0.0,0.0,1.03,0.0,250.0,1011.0,0,800,Clear,clear sky,01n
2025-09-09 00:00:21,2025-09-09 05:00:21,Turkmenistan,Ashgabat,Asia,22.79,22.79,22.79,43.0,22.25,10000.0,0.0,0.0,3.09,0.0,280.0,1011.0,0,800,Clear,clear sky,01n
2025-09-09 06:00:18,2025-09-09 11:00:18,Turkmenistan,Ashgabat,Asia,27.79,27.79,27.79,28.0,26.86,10000.0,0.0,20.0,5.14,0.0,290.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-09 12:00:20,2025-09-09 17:00:20,Turkmenistan,Ashgabat,Asia,33.79,33.79,33.79,21.0,31.83,10000.0,0.0,0.0,4.12,0.0,290.0,1010.0,1,800,Clear,clear sky,01d
2025-09-09 18:00:22,2025-09-09 23:00:22,Turkmenistan,Ashgabat,Asia,28.79,28.79,28.79,28.0,27.6,10000.0,0.0,0.0,3.09,0.0,250.0,1011.0,0,800,Clear,clear sky,01n
2025-09-10 00:00:21,2025-09-10 05:00:21,Turkmenistan,Ashgabat,Asia,23.79,23.79,23.79,38.0,23.22,10000.0,0.0,0.0,4.12,0.0,300.0,1011.0,0,800,Clear,clear sky,01n
2025-09-10 06:00:22,2025-09-10 11:00:22,Turkmenistan,Ashgabat,Asia,26.79,26.79,26.79,32.0,26.37,10000.0,0.0,0.0,3.09,0.0,320.0,1012.0,1,800,Clear,clear sky,01d
