utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:16,2025-08-31 21:00:16,Uruguay,Montevideo,South America,18.59,18.59,19.82,88.0,18.8,10000.0,0.0,100.0,6.71,10.73,181.0,1016.0,0,804,Clouds,overcast clouds,04n
2025-09-01 06:00:21,2025-09-01 03:00:21,Uruguay,Montevideo,South America,18.03,17.82,18.03,100.0,18.5,10000.0,0.0,75.0,8.75,13.89,50.0,1014.0,0,803,Clouds,broken clouds,04n
2025-09-01 12:00:21,2025-09-01 09:00:21,Uruguay,Montevideo,South America,17.64,16.92,18.64,97.0,17.99,4000.0,1.78,100.0,6.69,0.0,30.0,1015.0,1,501,Rain,moderate rain,10d
2025-09-01 18:00:19,2025-09-01 15:00:19,Uruguay,Montevideo,South America,14.27,13.59,15.31,94.0,14.21,10000.0,0.0,100.0,5.14,10.29,280.0,1016.0,1,804,Clouds,overcast clouds,04d
2025-09-02 00:00:15,2025-09-01 21:00:15,Uruguay,Montevideo,South America,12.39,11.82,13.08,81.0,11.8,10000.0,0.0,75.0,5.14,0.0,300.0,1019.0,0,803,Clouds,broken clouds,04n
2025-09-02 06:00:21,2025-09-02 03:00:21,Uruguay,Montevideo,South America,10.26,6.99,10.31,91.0,9.72,10000.0,0.0,20.0,3.09,0.0,10.0,1019.0,0,801,Clouds,few clouds,02n
2025-09-02 12:00:18,2025-09-02 09:00:18,Uruguay,Montevideo,South America,11.05,8.99,11.42,88.0,10.51,10000.0,0.0,0.0,3.09,0.0,60.0,1019.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:16,2025-09-02 15:00:16,Uruguay,Montevideo,South America,12.38,11.82,13.08,92.0,12.08,10000.0,4.86,100.0,6.26,9.83,181.0,1015.0,1,502,Rain,heavy intensity rain,10d
2025-09-03 00:00:24,2025-09-02 21:00:24,Uruguay,Montevideo,South America,12.15,10.82,12.53,95.0,11.9,9000.0,0.0,100.0,5.66,0.0,120.0,1014.0,0,300,Drizzle,light intensity drizzle,09n
2025-09-03 06:00:21,2025-09-03 03:00:21,Uruguay,Montevideo,South America,11.82,10.82,12.53,98.0,11.62,300.0,0.0,100.0,2.06,0.0,230.0,1013.0,0,741,Fog,fog,50n
2025-09-03 12:00:20,2025-09-03 09:00:20,Uruguay,Montevideo,South America,11.83,10.99,12.53,96.0,11.58,5000.0,0.0,100.0,2.68,4.02,197.0,1014.0,1,300,Drizzle,light intensity drizzle,09d
2025-09-03 18:00:16,2025-09-03 15:00:16,Uruguay,Montevideo,South America,13.49,12.82,14.19,90.0,13.24,10000.0,0.0,100.0,5.66,0.0,220.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-09-04 00:00:22,2025-09-03 21:00:22,Uruguay,Montevideo,South America,12.71,9.99,13.08,93.0,12.46,10000.0,0.0,20.0,3.13,4.92,268.0,1017.0,0,801,Clouds,few clouds,02n
2025-09-04 06:00:18,2025-09-04 03:00:18,Uruguay,Montevideo,South America,12.37,11.82,13.08,72.0,11.54,10000.0,0.0,0.0,4.12,0.0,220.0,1019.0,0,800,Clear,clear sky,01n
2025-09-04 12:00:19,2025-09-04 09:00:19,Uruguay,Montevideo,South America,9.04,6.99,9.75,73.0,5.36,10000.0,0.0,75.0,8.23,0.0,210.0,1024.0,1,803,Clouds,broken clouds,04d
2025-09-04 18:00:18,2025-09-04 15:00:18,Uruguay,Montevideo,South America,9.94,9.7,10.31,62.0,6.67,10000.0,0.0,75.0,7.72,0.0,210.0,1026.0,1,803,Clouds,broken clouds,04d
2025-09-05 00:00:24,2025-09-04 21:00:24,Uruguay,Montevideo,South America,8.56,4.99,8.59,75.0,8.19,10000.0,0.0,20.0,1.34,3.58,181.0,1028.0,0,801,Clouds,few clouds,02n
2025-09-05 06:00:19,2025-09-05 03:00:19,Uruguay,Montevideo,South America,9.1,5.82,9.14,100.0,7.35,10000.0,0.0,75.0,3.13,6.26,181.0,1028.0,0,803,Clouds,broken clouds,04n
2025-09-05 12:00:17,2025-09-05 09:00:17,Uruguay,Montevideo,South America,8.57,6.82,8.59,76.0,6.71,10000.0,0.0,40.0,3.13,6.26,181.0,1030.0,1,802,Clouds,scattered clouds,03d
2025-09-05 18:00:25,2025-09-05 15:00:25,Uruguay,Montevideo,South America,11.06,10.81,11.42,50.0,9.53,10000.0,0.0,20.0,6.69,0.0,220.0,1028.0,1,801,Clouds,few clouds,02d
2025-09-06 00:00:22,2025-09-05 21:00:22,Uruguay,Montevideo,South America,9.7,7.82,9.7,61.0,9.48,10000.0,0.0,20.0,1.34,3.58,181.0,1029.0,0,801,Clouds,few clouds,02n
2025-09-06 06:00:19,2025-09-06 03:00:19,Uruguay,Montevideo,South America,7.48,7.48,7.53,70.0,5.13,10000.0,0.0,2.0,3.58,5.81,181.0,1029.0,0,800,Clear,clear sky,01n
2025-09-06 12:00:17,2025-09-06 09:00:17,Uruguay,Montevideo,South America,8.59,2.82,8.59,93.0,8.59,10000.0,0.0,20.0,0.89,2.68,181.0,1030.0,1,801,Clouds,few clouds,02d
2025-09-06 18:00:25,2025-09-06 15:00:25,Uruguay,Montevideo,South America,12.72,11.82,13.08,54.0,11.46,10000.0,0.0,0.0,3.13,4.92,181.0,1028.0,1,800,Clear,clear sky,01d
2025-09-07 00:00:22,2025-09-06 21:00:22,Uruguay,Montevideo,South America,11.04,9.82,11.42,60.0,9.77,10000.0,0.0,0.0,2.68,4.47,181.0,1028.0,0,800,Clear,clear sky,01n
2025-09-07 06:00:20,2025-09-07 03:00:20,Uruguay,Montevideo,South America,8.61,7.82,8.64,81.0,7.05,10000.0,0.0,75.0,2.68,5.36,181.0,1027.0,0,803,Clouds,broken clouds,04n
2025-09-07 12:00:20,2025-09-07 09:00:20,Uruguay,Montevideo,South America,9.94,6.99,10.31,77.0,7.87,10000.0,0.0,0.0,4.12,0.0,40.0,1028.0,1,800,Clear,clear sky,01d
2025-09-07 18:00:20,2025-09-07 15:00:20,Uruguay,Montevideo,South America,13.6,13.59,13.99,47.0,12.24,10000.0,0.0,75.0,4.63,0.0,50.0,1023.0,1,803,Clouds,broken clouds,04d
2025-09-08 00:00:16,2025-09-07 21:00:16,Uruguay,Montevideo,South America,12.37,11.82,13.08,76.0,11.65,10000.0,0.0,75.0,5.81,9.39,181.0,1023.0,0,803,Clouds,broken clouds,04n
2025-09-08 06:00:21,2025-09-08 03:00:21,Uruguay,Montevideo,South America,12.15,10.82,12.53,88.0,11.72,10000.0,0.0,75.0,1.34,4.92,181.0,1020.0,0,803,Clouds,broken clouds,04n
2025-09-08 12:00:18,2025-09-08 09:00:18,Uruguay,Montevideo,South America,12.93,10.99,13.64,95.0,12.76,10000.0,0.0,100.0,3.09,0.0,80.0,1019.0,1,804,Clouds,overcast clouds,04d
2025-09-08 18:00:15,2025-09-08 15:00:15,Uruguay,Montevideo,South America,15.32,15.31,16.99,90.0,15.26,10000.0,0.0,100.0,3.09,0.0,230.0,1014.0,1,804,Clouds,overcast clouds,04d
2025-09-09 00:00:21,2025-09-08 21:00:21,Uruguay,Montevideo,South America,12.93,11.82,13.64,96.0,12.79,5000.0,0.0,100.0,2.24,3.13,181.0,1015.0,0,701,Mist,mist,50n
2025-09-09 06:00:18,2025-09-09 03:00:18,Uruguay,Montevideo,South America,11.6,10.82,11.97,99.0,11.4,2000.0,0.0,100.0,2.24,4.92,181.0,1015.0,0,701,Mist,mist,50n
