utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:16,2025-09-01 02:00:16,Vatican City,Vatican City,Europe,21.44,19.71,22.21,50.0,20.95,10000.0,0.0,19.0,1.54,0.0,150.0,1014.0,0,801,Clouds,few clouds,02n
2025-09-01 06:00:21,2025-09-01 08:00:21,Vatican City,Vatican City,Europe,20.8,19.26,21.99,51.0,20.27,10000.0,0.0,0.0,2.06,0.0,160.0,1014.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:21,2025-09-01 14:00:21,Vatican City,Vatican City,Europe,28.33,26.34,29.81,41.0,28.04,10000.0,0.0,20.0,2.06,0.0,0.0,1013.0,1,801,Clouds,few clouds,02d
2025-09-01 18:00:19,2025-09-01 20:00:19,Vatican City,Vatican City,Europe,26.3,24.12,27.68,54.0,26.3,10000.0,0.0,0.0,6.17,0.0,200.0,1012.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:16,2025-09-02 02:00:16,Vatican City,Vatican City,Europe,22.84,21.39,23.32,58.0,22.69,10000.0,0.0,0.0,1.79,3.58,147.0,1012.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:21,2025-09-02 08:00:21,Vatican City,Vatican City,Europe,23.65,22.24,24.78,3.0,22.15,5999.0,0.0,79.0,3.15,7.85,131.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-02 12:00:18,2025-09-02 14:00:18,Vatican City,Vatican City,Europe,25.9,24.77,27.14,54.0,25.96,10000.0,0.0,40.0,3.6,0.0,280.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-09-02 18:00:16,2025-09-02 20:00:16,Vatican City,Vatican City,Europe,24.75,23.56,24.99,56.0,24.74,10000.0,0.0,40.0,2.57,0.0,180.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-03 00:00:25,2025-09-03 02:00:25,Vatican City,Vatican City,Europe,21.12,18.71,21.66,57.0,20.78,10000.0,0.0,0.0,2.06,0.0,170.0,1014.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:21,2025-09-03 08:00:21,Vatican City,Vatican City,Europe,19.37,18.15,20.23,66.0,19.09,10000.0,0.0,0.0,2.57,0.0,70.0,1015.0,1,800,Clear,clear sky,01d
