utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:17,2025-09-01 03:00:17,Yemen,Sana'a,Asia,20.93,20.93,20.93,30.0,19.86,10000.0,0.0,29.0,1.57,2.49,13.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-09-01 06:00:21,2025-09-01 09:00:21,Yemen,Sana'a,Asia,24.07,24.07,24.07,20.0,23.05,10000.0,0.0,7.0,3.06,4.59,38.0,1012.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:21,2025-09-01 15:00:21,Yemen,Sana'a,Asia,26.4,26.4,26.4,24.0,26.4,10000.0,0.0,60.0,4.45,4.73,37.0,1007.0,1,803,Clouds,broken clouds,04d
2025-09-01 18:00:19,2025-09-01 21:00:19,Yemen,Sana'a,Asia,23.13,23.13,23.13,44.0,22.65,10000.0,0.0,82.0,2.21,3.72,339.0,1011.0,0,803,Clouds,broken clouds,04n
2025-09-02 00:00:16,2025-09-02 03:00:16,Yemen,Sana'a,Asia,20.75,20.75,20.75,43.0,20.0,10000.0,0.0,16.0,1.47,2.7,336.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-02 06:00:21,2025-09-02 09:00:21,Yemen,Sana'a,Asia,24.38,24.38,24.38,21.0,23.42,10000.0,0.0,14.0,3.72,6.47,47.0,1012.0,1,801,Clouds,few clouds,02d
2025-09-02 12:00:18,2025-09-02 15:00:18,Yemen,Sana'a,Asia,26.54,26.54,26.54,20.0,26.54,10000.0,0.0,57.0,6.49,6.26,32.0,1008.0,1,803,Clouds,broken clouds,04d
2025-09-02 18:00:16,2025-09-02 21:00:16,Yemen,Sana'a,Asia,23.42,23.42,23.42,38.0,22.81,10000.0,0.0,80.0,2.87,4.66,38.0,1011.0,0,803,Clouds,broken clouds,04n
2025-09-03 00:00:25,2025-09-03 03:00:25,Yemen,Sana'a,Asia,20.54,20.54,20.54,47.0,19.88,10000.0,0.0,19.0,4.96,7.73,19.0,1011.0,0,801,Clouds,few clouds,02n
2025-09-03 06:00:21,2025-09-03 09:00:21,Yemen,Sana'a,Asia,23.7,23.7,23.7,31.0,22.94,10000.0,0.0,78.0,5.21,7.77,52.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-03 12:00:21,2025-09-03 15:00:21,Yemen,Sana'a,Asia,25.57,25.57,25.57,27.0,24.89,10000.0,0.0,88.0,3.02,3.91,38.0,1008.0,1,804,Clouds,overcast clouds,04d
2025-09-03 18:00:17,2025-09-03 21:00:17,Yemen,Sana'a,Asia,22.48,22.48,22.48,41.0,21.85,10000.0,0.0,100.0,3.38,5.77,115.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-09-04 00:00:22,2025-09-04 03:00:22,Yemen,Sana'a,Asia,20.59,20.59,20.59,51.0,20.04,10000.0,0.0,59.0,1.4,2.12,226.0,1010.0,0,803,Clouds,broken clouds,04n
2025-09-04 06:00:19,2025-09-04 09:00:19,Yemen,Sana'a,Asia,23.11,23.11,23.11,37.0,22.44,10000.0,0.0,54.0,3.01,5.67,19.0,1012.0,1,803,Clouds,broken clouds,04d
2025-09-04 12:00:20,2025-09-04 15:00:20,Yemen,Sana'a,Asia,26.75,26.75,26.75,21.0,25.96,10000.0,0.0,93.0,5.63,6.71,60.0,1007.0,1,804,Clouds,overcast clouds,04d
2025-09-04 18:00:18,2025-09-04 21:00:18,Yemen,Sana'a,Asia,23.71,23.71,23.71,28.0,22.87,10000.0,0.0,82.0,2.93,4.75,66.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-05 00:00:24,2025-09-05 03:00:24,Yemen,Sana'a,Asia,20.58,20.58,20.58,48.0,19.95,10000.0,0.0,65.0,1.4,1.69,241.0,1012.0,0,803,Clouds,broken clouds,04n
2025-09-05 06:00:20,2025-09-05 09:00:20,Yemen,Sana'a,Asia,23.12,23.12,23.12,35.0,22.4,10000.0,0.0,79.0,1.29,4.11,88.0,1013.0,1,803,Clouds,broken clouds,04d
2025-09-05 12:00:18,2025-09-05 15:00:18,Yemen,Sana'a,Asia,26.39,26.39,26.39,24.0,26.39,10000.0,0.0,96.0,8.01,6.84,76.0,1009.0,1,804,Clouds,overcast clouds,04d
2025-09-05 18:00:26,2025-09-05 21:00:26,Yemen,Sana'a,Asia,23.62,23.62,23.62,33.0,22.9,10000.0,0.0,94.0,4.37,7.01,73.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-09-06 00:00:22,2025-09-06 03:00:22,Yemen,Sana'a,Asia,20.66,20.66,20.66,49.0,20.06,10000.0,0.0,90.0,2.76,3.52,127.0,1013.0,0,804,Clouds,overcast clouds,04n
