utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-09-01 00:00:17,2025-09-01 02:00:17,Zambia,Lusaka,Africa,17.82,17.82,17.82,31.0,16.47,10000.0,0.0,1.0,2.9,9.25,81.0,1020.0,0,800,Clear,clear sky,01n
2025-09-01 06:00:21,2025-09-01 08:00:21,Zambia,Lusaka,Africa,13.26,13.26,13.26,51.0,11.97,10000.0,0.0,0.0,1.54,0.0,0.0,1021.0,1,800,Clear,clear sky,01d
2025-09-01 12:00:21,2025-09-01 14:00:21,Zambia,Lusaka,Africa,29.91,29.91,29.91,9.0,28.09,10000.0,0.0,1.0,5.54,7.51,113.0,1016.0,1,800,Clear,clear sky,01d
2025-09-01 18:00:19,2025-09-01 20:00:19,Zambia,Lusaka,Africa,22.26,22.26,22.26,13.0,20.88,10000.0,0.0,0.0,2.06,0.0,130.0,1019.0,0,800,Clear,clear sky,01n
2025-09-02 00:00:16,2025-09-02 02:00:16,Zambia,Lusaka,Africa,18.62,18.62,18.62,25.0,17.19,10000.0,0.0,0.0,4.68,13.11,93.0,1020.0,0,800,Clear,clear sky,01n
2025-09-02 06:00:21,2025-09-02 08:00:21,Zambia,Lusaka,Africa,19.18,19.18,19.18,36.0,18.09,10000.0,0.0,0.0,5.84,12.96,94.0,1022.0,1,800,Clear,clear sky,01d
2025-09-02 12:00:18,2025-09-02 14:00:18,Zambia,Lusaka,Africa,27.38,27.38,27.38,13.0,26.18,10000.0,0.0,0.0,6.16,9.25,103.0,1017.0,1,800,Clear,clear sky,01d
2025-09-02 18:00:16,2025-09-02 20:00:16,Zambia,Lusaka,Africa,20.26,20.26,20.26,16.0,18.76,10000.0,0.0,0.0,4.63,0.0,120.0,1020.0,0,800,Clear,clear sky,01n
2025-09-03 00:00:25,2025-09-03 02:00:25,Zambia,Lusaka,Africa,17.21,17.21,17.21,41.0,16.06,10000.0,0.0,0.0,4.88,13.65,96.0,1020.0,0,800,Clear,clear sky,01n
2025-09-03 06:00:22,2025-09-03 08:00:22,Zambia,Lusaka,Africa,12.26,12.26,12.26,58.0,11.06,10000.0,0.0,0.0,0.0,0.0,0.0,1022.0,1,800,Clear,clear sky,01d
2025-09-03 12:00:21,2025-09-03 14:00:21,Zambia,Lusaka,Africa,26.26,26.26,26.26,28.0,26.26,10000.0,0.0,0.0,3.09,0.0,110.0,1015.0,1,800,Clear,clear sky,01d
2025-09-03 18:00:17,2025-09-03 20:00:17,Zambia,Lusaka,Africa,19.51,19.51,19.51,29.0,18.27,10000.0,0.0,0.0,3.91,10.62,111.0,1019.0,0,800,Clear,clear sky,01n
2025-09-04 00:00:22,2025-09-04 02:00:22,Zambia,Lusaka,Africa,15.26,15.26,15.26,36.0,13.78,10000.0,0.0,0.0,1.54,0.0,140.0,1019.0,0,800,Clear,clear sky,01n
2025-09-04 06:00:19,2025-09-04 08:00:19,Zambia,Lusaka,Africa,13.26,13.26,13.26,51.0,11.97,10000.0,0.0,0.0,1.54,0.0,150.0,1020.0,1,800,Clear,clear sky,01d
2025-09-04 12:00:20,2025-09-04 14:00:20,Zambia,Lusaka,Africa,29.26,29.26,29.26,12.0,27.56,10000.0,0.0,0.0,9.26,0.0,70.0,1013.0,1,800,Clear,clear sky,01d
