utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:00,2025-11-01 04:00:00,Abkhazia,Sukhumi,Unknown,11.39,11.39,11.39,55.0,10.02,10000.0,0.0,14.0,2.77,3.1,61.0,1022.0,0,801,Clouds,few clouds,02n
2025-11-01 06:00:08,2025-11-01 10:00:08,Abkhazia,Sukhumi,Unknown,14.2,14.2,14.2,52.0,13.03,10000.0,0.0,9.0,1.36,1.69,98.0,1023.0,1,800,Clear,clear sky,01d
2025-11-01 12:00:03,2025-11-01 16:00:03,Abkhazia,Sukhumi,Unknown,17.1,17.1,17.1,61.0,16.46,10000.0,0.0,22.0,1.28,0.97,200.0,1023.0,1,801,Clouds,few clouds,02d
2025-11-01 18:00:10,2025-11-01 22:00:10,Abkhazia,Sukhumi,Unknown,12.17,12.17,12.17,75.0,11.4,10000.0,0.0,3.0,2.5,2.43,56.0,1025.0,0,800,Clear,clear sky,01n
2025-11-02 00:00:02,2025-11-02 04:00:02,Abkhazia,Sukhumi,Unknown,10.73,10.73,10.73,68.0,9.63,10000.0,0.0,4.0,2.41,2.44,50.0,1025.0,0,800,Clear,clear sky,01n
2025-11-02 06:00:08,2025-11-02 10:00:08,Abkhazia,Sukhumi,Unknown,13.13,13.13,13.13,63.0,12.14,10000.0,0.0,63.0,1.24,1.43,96.0,1026.0,1,803,Clouds,broken clouds,04d
2025-11-02 12:00:05,2025-11-02 16:00:05,Abkhazia,Sukhumi,Unknown,15.88,15.88,15.88,66.0,15.25,10000.0,0.0,20.0,1.38,0.87,267.0,1025.0,1,801,Clouds,few clouds,02d
2025-11-02 18:00:06,2025-11-02 22:00:06,Abkhazia,Sukhumi,Unknown,12.16,12.16,12.16,77.0,11.44,10000.0,0.0,0.0,2.38,2.19,47.0,1027.0,0,800,Clear,clear sky,01n
2025-11-03 00:00:00,2025-11-03 04:00:00,Abkhazia,Sukhumi,Unknown,11.17,11.17,11.17,68.0,10.12,10000.0,0.0,16.0,2.38,2.31,49.0,1026.0,0,801,Clouds,few clouds,02n
2025-11-03 06:00:06,2025-11-03 10:00:06,Abkhazia,Sukhumi,Unknown,14.64,14.64,14.64,52.0,13.52,10000.0,0.0,3.0,1.59,1.81,357.0,1024.0,1,800,Clear,clear sky,01d
2025-11-03 12:00:02,2025-11-03 16:00:02,Abkhazia,Sukhumi,Unknown,19.96,19.96,19.96,47.0,19.24,10000.0,0.0,35.0,1.1,1.15,292.0,1020.0,1,802,Clouds,scattered clouds,03d
2025-11-03 18:00:06,2025-11-03 22:00:06,Abkhazia,Sukhumi,Unknown,12.16,12.16,12.16,77.0,11.44,10000.0,0.0,0.0,2.38,2.19,47.0,1027.0,0,800,Clear,clear sky,01n
2025-11-04 00:00:05,2025-11-04 04:00:05,Abkhazia,Sukhumi,Unknown,14.22,14.22,14.22,50.0,13.0,10000.0,0.0,94.0,1.55,1.35,51.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-11-04 06:00:01,2025-11-04 10:00:01,Abkhazia,Sukhumi,Unknown,16.55,16.55,16.55,47.0,15.49,10000.0,0.0,95.0,0.57,0.68,75.0,1020.0,1,804,Clouds,overcast clouds,04d
2025-11-04 12:00:09,2025-11-04 16:00:09,Abkhazia,Sukhumi,Unknown,18.63,18.63,18.63,53.0,17.93,10000.0,0.0,47.0,1.5,1.61,271.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:07,2025-11-04 22:00:07,Abkhazia,Sukhumi,Unknown,15.04,15.04,15.04,66.0,14.32,10000.0,0.0,100.0,3.63,5.08,80.0,1022.0,0,804,Clouds,overcast clouds,04n
2025-11-05 00:00:02,2025-11-05 04:00:02,Abkhazia,Sukhumi,Unknown,12.91,12.91,12.91,67.0,12.01,10000.0,0.0,100.0,2.41,2.92,87.0,1022.0,0,804,Clouds,overcast clouds,04n
2025-11-05 06:00:08,2025-11-05 10:00:08,Abkhazia,Sukhumi,Unknown,15.1,15.1,15.1,58.0,14.18,10000.0,0.0,100.0,0.45,0.9,47.0,1023.0,1,804,Clouds,overcast clouds,04d
2025-11-05 12:00:04,2025-11-05 16:00:04,Abkhazia,Sukhumi,Unknown,18.11,18.11,18.11,58.0,17.49,10000.0,0.0,100.0,1.37,1.42,266.0,1021.0,1,804,Clouds,overcast clouds,04d
2025-11-05 18:00:06,2025-11-05 22:00:06,Abkhazia,Sukhumi,Unknown,13.62,13.62,13.62,68.0,12.81,10000.0,0.0,21.0,2.08,1.92,41.0,1022.0,0,801,Clouds,few clouds,02n
2025-11-06 00:00:07,2025-11-06 04:00:07,Abkhazia,Sukhumi,Unknown,12.64,12.64,12.64,66.0,11.68,10000.0,0.0,31.0,1.74,1.58,41.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-11-06 06:00:09,2025-11-06 10:00:09,Abkhazia,Sukhumi,Unknown,15.72,15.72,15.72,59.0,14.89,10000.0,0.0,72.0,0.6,0.62,117.0,1021.0,1,803,Clouds,broken clouds,04d
2025-11-06 12:00:10,2025-11-06 16:00:10,Abkhazia,Sukhumi,Unknown,18.52,18.52,18.52,61.0,18.02,10000.0,0.0,22.0,1.89,2.03,291.0,1019.0,1,801,Clouds,few clouds,02d
2025-11-06 18:00:02,2025-11-06 22:00:02,Abkhazia,Sukhumi,Unknown,14.34,14.34,14.34,70.0,13.66,10000.0,0.0,43.0,1.95,1.89,45.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-07 00:00:08,2025-11-07 04:00:08,Abkhazia,Sukhumi,Unknown,14.32,14.32,14.32,51.0,13.14,10000.0,0.0,85.0,2.05,1.63,19.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-07 06:00:03,2025-11-07 10:00:03,Abkhazia,Sukhumi,Unknown,16.81,16.81,16.81,54.0,15.96,10000.0,0.0,42.0,1.01,1.2,41.0,1019.0,1,802,Clouds,scattered clouds,03d
2025-11-07 12:00:00,2025-11-07 16:00:00,Abkhazia,Sukhumi,Unknown,21.48,21.48,21.48,51.0,21.02,10000.0,0.0,35.0,0.82,1.0,287.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-11-07 18:00:05,2025-11-07 22:00:05,Abkhazia,Sukhumi,Unknown,16.58,16.58,16.58,55.0,15.73,10000.0,0.0,15.0,2.84,2.47,44.0,1017.0,0,801,Clouds,few clouds,02n
