utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:01,2025-11-01 01:00:01,Andorra,Andorra la Vella,Europe,12.03,12.03,12.49,68.0,11.06,10000.0,0.0,94.0,0.45,2.24,162.0,1017.0,0,804,Clouds,overcast clouds,04n
2025-11-01 06:00:08,2025-11-01 07:00:08,Andorra,Andorra la Vella,Europe,12.03,12.03,12.49,68.0,11.06,10000.0,0.0,100.0,0.45,2.24,162.0,1017.0,0,804,Clouds,overcast clouds,04n
2025-11-01 12:00:04,2025-11-01 13:00:04,Andorra,Andorra la Vella,Europe,14.33,14.11,16.57,69.0,13.62,10000.0,0.0,100.0,0.45,2.24,162.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-11-01 18:00:10,2025-11-01 19:00:10,Andorra,Andorra la Vella,Europe,6.15,6.15,6.15,95.0,6.15,10000.0,0.0,44.0,1.17,2.07,205.0,1019.0,0,802,Clouds,scattered clouds,03n
2025-11-02 00:00:02,2025-11-02 01:00:02,Andorra,Andorra la Vella,Europe,5.38,5.38,5.38,97.0,5.38,4009.0,0.0,99.0,0.09,1.26,122.0,1019.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:09,2025-11-02 07:00:09,Andorra,Andorra la Vella,Europe,12.43,11.89,13.04,85.0,11.95,10000.0,0.0,100.0,0.45,1.34,270.0,1018.0,0,804,Clouds,overcast clouds,04n
2025-11-02 12:00:06,2025-11-02 13:00:06,Andorra,Andorra la Vella,Europe,13.6,13.16,13.6,85.0,13.24,10000.0,0.0,100.0,0.45,1.34,270.0,1019.0,1,804,Clouds,overcast clouds,04d
2025-11-02 18:00:06,2025-11-02 19:00:06,Andorra,Andorra la Vella,Europe,8.92,7.68,9.15,96.0,7.74,10000.0,0.0,100.0,2.24,1.79,360.0,1024.0,0,804,Clouds,overcast clouds,04n
2025-11-03 00:00:01,2025-11-03 01:00:01,Andorra,Andorra la Vella,Europe,9.49,7.68,9.67,80.0,8.41,10000.0,0.0,33.0,2.24,1.79,360.0,1025.0,0,802,Clouds,scattered clouds,03n
2025-11-03 06:00:06,2025-11-03 07:00:06,Andorra,Andorra la Vella,Europe,7.66,7.12,8.04,74.0,5.62,10000.0,0.0,52.0,3.13,3.58,17.0,1026.0,0,803,Clouds,broken clouds,04n
