utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:01,2025-10-31 20:00:01,Antigua and Barbuda,St. John's,North America,25.19,25.19,28.01,85.0,25.98,10000.0,0.76,75.0,5.14,0.0,110.0,1015.0,0,500,Rain,light rain,10n
2025-11-01 06:00:08,2025-11-01 02:00:08,Antigua and Barbuda,St. John's,North America,26.86,26.86,27.01,82.0,29.61,10000.0,0.6,40.0,4.12,0.0,120.0,1014.0,0,500,Rain,light rain,10n
2025-11-01 12:00:05,2025-11-01 08:00:05,Antigua and Barbuda,St. John's,North America,27.97,27.01,27.97,81.0,32.18,10000.0,0.0,40.0,4.63,0.0,110.0,1016.0,1,802,Clouds,scattered clouds,03d
2025-11-01 18:00:10,2025-11-01 14:00:10,Antigua and Barbuda,St. John's,North America,29.63,29.01,29.63,72.0,34.6,10000.0,0.0,75.0,6.17,0.0,100.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-02 00:00:02,2025-11-01 20:00:02,Antigua and Barbuda,St. John's,North America,26.86,26.86,28.01,81.0,29.52,10000.0,0.0,75.0,4.12,0.0,90.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:09,2025-11-02 02:00:09,Antigua and Barbuda,St. John's,North America,26.3,26.3,28.01,79.0,26.3,10000.0,0.0,40.0,4.12,0.0,100.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-02 12:00:07,2025-11-02 08:00:07,Antigua and Barbuda,St. John's,North America,27.97,27.01,27.97,76.0,31.43,10000.0,0.0,20.0,5.14,0.0,90.0,1017.0,1,801,Clouds,few clouds,02d
2025-11-02 18:00:06,2025-11-02 14:00:06,Antigua and Barbuda,St. John's,North America,29.08,29.01,29.08,73.0,33.49,10000.0,0.0,20.0,6.17,0.0,90.0,1015.0,1,801,Clouds,few clouds,02d
2025-11-03 00:00:01,2025-11-02 20:00:01,Antigua and Barbuda,St. John's,North America,25.19,24.01,25.19,85.0,25.98,10000.0,0.76,75.0,3.09,0.0,80.0,1016.0,0,500,Rain,light rain,10n
2025-11-03 06:00:06,2025-11-03 02:00:06,Antigua and Barbuda,St. John's,North America,25.75,25.75,27.01,83.0,26.55,10000.0,0.51,75.0,6.69,12.35,70.0,1015.0,0,500,Rain,light rain,10n
2025-11-03 12:00:11,2025-11-03 08:00:11,Antigua and Barbuda,St. John's,North America,27.41,27.01,27.41,82.0,30.91,10000.0,0.33,40.0,5.14,0.0,80.0,1017.0,1,500,Rain,light rain,10d
