utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:01,2025-11-01 01:00:01,Austria,Vienna,Europe,9.33,6.55,10.62,81.0,9.33,10000.0,0.0,0.0,1.03,0.0,330.0,1019.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:08,2025-11-01 07:00:08,Austria,Vienna,Europe,8.73,7.04,10.48,84.0,8.73,10000.0,0.0,75.0,0.51,0.0,0.0,1019.0,1,803,Clouds,broken clouds,04d
2025-11-01 12:00:05,2025-11-01 13:00:05,Austria,Vienna,Europe,15.59,14.27,16.71,75.0,15.16,10000.0,0.0,75.0,5.14,0.0,160.0,1015.0,1,803,Clouds,broken clouds,04d
2025-11-01 18:00:11,2025-11-01 19:00:11,Austria,Vienna,Europe,13.89,11.62,15.57,86.0,13.58,10000.0,0.0,85.0,0.89,3.58,299.0,1015.0,0,804,Clouds,overcast clouds,04n
2025-11-02 00:00:03,2025-11-02 01:00:03,Austria,Vienna,Europe,11.0,8.96,12.3,88.0,10.45,5000.0,0.0,100.0,1.03,0.0,0.0,1016.0,0,701,Mist,mist,50n
2025-11-02 06:00:09,2025-11-02 07:00:09,Austria,Vienna,Europe,9.28,6.99,11.17,87.0,9.28,1000.0,0.0,75.0,0.51,0.0,0.0,1014.0,1,741,Fog,fog,50d
2025-11-02 12:00:07,2025-11-02 13:00:07,Austria,Vienna,Europe,16.41,14.8,18.27,79.0,16.17,9000.0,0.0,40.0,4.02,7.15,114.0,1012.0,1,802,Clouds,scattered clouds,03d
2025-11-02 18:00:07,2025-11-02 19:00:07,Austria,Vienna,Europe,13.08,11.78,14.34,86.0,12.69,10000.0,0.0,40.0,1.54,0.0,40.0,1012.0,0,802,Clouds,scattered clouds,03n
2025-11-03 00:00:01,2025-11-03 01:00:01,Austria,Vienna,Europe,10.46,9.26,11.21,87.0,9.83,10000.0,2.05,75.0,8.75,0.0,290.0,1014.0,0,501,Rain,moderate rain,10n
2025-11-03 06:00:07,2025-11-03 07:00:07,Austria,Vienna,Europe,9.49,8.71,10.1,88.0,5.57,10000.0,1.54,75.0,9.83,15.2,334.0,1017.0,1,501,Rain,moderate rain,10d
2025-11-03 12:00:11,2025-11-03 13:00:11,Austria,Vienna,Europe,11.32,10.63,12.82,72.0,10.39,10000.0,0.0,40.0,12.52,25.93,338.0,1021.0,1,802,Clouds,scattered clouds,03d
