utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:02,2025-11-01 01:00:02,Benin,Porto-Novo,Africa,24.89,24.89,24.89,90.0,25.78,10000.0,0.0,94.0,2.22,4.12,207.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-11-01 06:00:09,2025-11-01 07:00:09,Benin,Porto-Novo,Africa,24.16,24.16,24.16,93.0,25.06,10000.0,0.0,99.0,1.16,1.33,322.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-01 12:00:06,2025-11-01 13:00:06,Benin,Porto-Novo,Africa,31.67,31.67,31.67,55.0,34.97,10000.0,0.0,88.0,3.8,3.47,176.0,1012.0,1,804,Clouds,overcast clouds,04d
2025-11-01 18:00:11,2025-11-01 19:00:11,Benin,Porto-Novo,Africa,26.14,26.14,26.14,80.0,26.14,10000.0,0.0,70.0,3.04,5.36,206.0,1012.0,0,803,Clouds,broken clouds,04n
2025-11-02 00:00:03,2025-11-02 01:00:03,Benin,Porto-Novo,Africa,24.9,24.9,24.9,91.0,25.82,10000.0,0.0,77.0,2.46,5.85,238.0,1012.0,0,803,Clouds,broken clouds,04n
2025-11-02 06:00:10,2025-11-02 07:00:10,Benin,Porto-Novo,Africa,24.41,24.41,24.41,90.0,25.26,10000.0,0.12,55.0,1.64,2.14,313.0,1012.0,1,500,Rain,light rain,10d
2025-11-02 12:00:08,2025-11-02 13:00:08,Benin,Porto-Novo,Africa,30.96,30.96,30.96,58.0,34.28,10000.0,0.0,72.0,4.11,3.66,174.0,1011.0,1,803,Clouds,broken clouds,04d
2025-11-02 18:00:07,2025-11-02 19:00:07,Benin,Porto-Novo,Africa,26.36,26.36,26.36,82.0,26.36,10000.0,0.0,55.0,3.62,6.06,206.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-03 00:00:02,2025-11-03 01:00:02,Benin,Porto-Novo,Africa,25.35,25.35,25.35,88.0,26.24,10000.0,0.0,56.0,2.62,5.8,208.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-03 06:00:07,2025-11-03 07:00:07,Benin,Porto-Novo,Africa,24.84,24.84,24.84,87.0,25.65,10000.0,0.0,71.0,0.76,0.84,228.0,1012.0,1,803,Clouds,broken clouds,04d
2025-11-03 12:00:12,2025-11-03 13:00:12,Benin,Porto-Novo,Africa,31.84,31.84,31.84,53.0,34.8,10000.0,0.0,82.0,3.71,2.77,180.0,1011.0,1,803,Clouds,broken clouds,04d
2025-11-03 18:00:07,2025-11-03 19:00:07,Benin,Porto-Novo,Africa,26.36,26.36,26.36,82.0,26.36,10000.0,0.0,55.0,3.62,6.06,206.0,1011.0,0,803,Clouds,broken clouds,04n
2025-11-04 00:00:07,2025-11-04 01:00:07,Benin,Porto-Novo,Africa,25.5,25.5,25.5,84.0,26.3,10000.0,0.0,99.0,2.25,4.24,193.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-04 06:00:05,2025-11-04 07:00:05,Benin,Porto-Novo,Africa,25.16,25.16,25.16,86.0,25.98,10000.0,0.0,100.0,1.06,1.45,249.0,1013.0,1,804,Clouds,overcast clouds,04d
2025-11-04 12:00:12,2025-11-04 13:00:12,Benin,Porto-Novo,Africa,30.57,30.57,30.57,60.0,33.95,10000.0,0.19,77.0,3.47,2.51,175.0,1012.0,1,500,Rain,light rain,10d
2025-11-04 18:00:08,2025-11-04 19:00:08,Benin,Porto-Novo,Africa,26.44,26.44,26.44,80.0,26.44,10000.0,0.0,65.0,3.13,5.5,198.0,1012.0,0,803,Clouds,broken clouds,04n
2025-11-05 00:00:03,2025-11-05 01:00:03,Benin,Porto-Novo,Africa,25.53,25.53,25.53,86.0,26.38,10000.0,0.0,86.0,1.89,3.15,227.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-11-05 06:00:10,2025-11-05 07:00:10,Benin,Porto-Novo,Africa,24.75,24.75,24.75,90.0,25.63,10000.0,0.0,55.0,1.43,2.01,278.0,1013.0,1,803,Clouds,broken clouds,04d
2025-11-05 12:00:11,2025-11-05 13:00:11,Benin,Porto-Novo,Africa,29.94,29.94,29.94,67.0,34.2,10000.0,0.62,74.0,3.57,2.38,176.0,1012.0,1,500,Rain,light rain,10d
2025-11-05 18:00:08,2025-11-05 19:00:08,Benin,Porto-Novo,Africa,26.18,26.18,26.18,83.0,26.18,10000.0,0.0,100.0,2.69,5.1,194.0,1011.0,0,804,Clouds,overcast clouds,04n
2025-11-06 00:00:10,2025-11-06 01:00:10,Benin,Porto-Novo,Africa,25.97,25.97,25.97,88.0,25.97,10000.0,0.0,100.0,2.78,6.1,198.0,1012.0,0,804,Clouds,overcast clouds,04n
2025-11-06 06:00:11,2025-11-06 07:00:11,Benin,Porto-Novo,Africa,25.0,25.0,25.0,88.0,25.85,10000.0,0.0,99.0,1.73,3.1,239.0,1011.0,1,804,Clouds,overcast clouds,04d
2025-11-06 12:00:12,2025-11-06 13:00:12,Benin,Porto-Novo,Africa,30.45,30.45,30.45,63.0,34.4,10000.0,0.0,100.0,3.91,2.92,190.0,1011.0,1,804,Clouds,overcast clouds,04d
2025-11-06 18:00:03,2025-11-06 19:00:03,Benin,Porto-Novo,Africa,26.15,26.15,26.15,84.0,26.15,10000.0,0.0,99.0,2.98,5.21,205.0,1010.0,0,804,Clouds,overcast clouds,04n
2025-11-07 00:00:09,2025-11-07 01:00:09,Benin,Porto-Novo,Africa,25.06,25.06,25.06,90.0,25.97,10000.0,0.59,56.0,1.62,2.66,228.0,1011.0,0,500,Rain,light rain,10n
