utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:02,2025-11-01 01:00:02,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,100.0,5.73,10000.0,0.0,0.0,0.0,0.0,0.0,1022.0,0,800,Clear,clear sky,01n
2025-11-01 06:00:09,2025-11-01 07:00:09,Bosnia and Herzegovina,Sarajevo,Europe,3.73,3.73,3.73,100.0,3.73,6000.0,0.0,40.0,0.51,0.0,0.0,1022.0,1,802,Clouds,scattered clouds,03d
2025-11-01 12:00:06,2025-11-01 13:00:06,Bosnia and Herzegovina,Sarajevo,Europe,16.73,16.73,16.73,59.0,16.0,10000.0,0.0,0.0,1.03,0.0,0.0,1019.0,1,800,Clear,clear sky,01d
2025-11-01 18:00:12,2025-11-01 19:00:12,Bosnia and Herzegovina,Sarajevo,Europe,9.73,9.73,9.73,81.0,9.73,8000.0,0.0,27.0,1.03,0.0,0.0,1021.0,0,802,Clouds,scattered clouds,03n
2025-11-02 00:00:03,2025-11-02 01:00:03,Bosnia and Herzegovina,Sarajevo,Europe,3.73,3.73,3.73,93.0,3.73,7000.0,0.0,4.0,1.03,0.0,0.0,1022.0,0,800,Clear,clear sky,01n
2025-11-02 06:00:10,2025-11-02 07:00:10,Bosnia and Herzegovina,Sarajevo,Europe,1.73,1.73,1.73,100.0,1.73,8000.0,0.0,66.0,1.03,0.0,0.0,1021.0,1,803,Clouds,broken clouds,04d
2025-11-02 12:00:08,2025-11-02 13:00:08,Bosnia and Herzegovina,Sarajevo,Europe,15.73,15.73,15.73,59.0,14.9,10000.0,0.0,0.0,0.0,0.0,0.0,1017.0,1,800,Clear,clear sky,01d
2025-11-02 18:00:07,2025-11-02 19:00:07,Bosnia and Herzegovina,Sarajevo,Europe,14.73,14.73,14.73,55.0,13.69,10000.0,0.0,0.0,2.57,0.0,180.0,1017.0,0,800,Clear,clear sky,01n
2025-11-03 00:00:02,2025-11-03 01:00:02,Bosnia and Herzegovina,Sarajevo,Europe,10.73,10.73,10.73,82.0,10.0,10000.0,0.0,0.0,1.54,0.0,0.0,1015.0,0,800,Clear,clear sky,01n
2025-11-03 06:00:07,2025-11-03 07:00:07,Bosnia and Herzegovina,Sarajevo,Europe,12.73,12.73,12.73,76.0,12.04,10000.0,0.0,40.0,1.54,0.0,0.0,1015.0,1,802,Clouds,scattered clouds,03d
2025-11-03 12:00:12,2025-11-03 13:00:12,Bosnia and Herzegovina,Sarajevo,Europe,10.73,10.73,10.73,87.0,10.13,7000.0,0.25,75.0,4.63,0.0,280.0,1021.0,1,520,Rain,light intensity shower rain,09d
2025-11-03 18:00:07,2025-11-03 19:00:07,Bosnia and Herzegovina,Sarajevo,Europe,14.73,14.73,14.73,55.0,13.69,10000.0,0.0,0.0,2.57,0.0,180.0,1017.0,0,800,Clear,clear sky,01n
2025-11-04 00:00:07,2025-11-04 01:00:07,Bosnia and Herzegovina,Sarajevo,Europe,4.73,4.73,4.73,100.0,2.99,10000.0,0.0,75.0,2.06,0.0,320.0,1027.0,0,803,Clouds,broken clouds,04n
2025-11-04 06:00:05,2025-11-04 07:00:05,Bosnia and Herzegovina,Sarajevo,Europe,3.73,3.73,3.73,100.0,2.44,2000.0,0.0,75.0,1.54,0.0,320.0,1028.0,1,701,Mist,mist,50d
2025-11-04 12:00:12,2025-11-04 13:00:12,Bosnia and Herzegovina,Sarajevo,Europe,8.73,8.73,8.73,71.0,8.73,10000.0,0.0,40.0,1.03,0.0,0.0,1026.0,1,802,Clouds,scattered clouds,03d
2025-11-04 18:00:09,2025-11-04 19:00:09,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,87.0,4.73,10000.0,0.0,20.0,1.54,0.0,0.0,1028.0,0,801,Clouds,few clouds,02n
2025-11-05 00:00:04,2025-11-05 01:00:04,Bosnia and Herzegovina,Sarajevo,Europe,0.73,0.73,0.73,100.0,0.73,10000.0,0.0,0.0,0.51,0.0,0.0,1029.0,0,800,Clear,clear sky,01n
2025-11-05 06:00:10,2025-11-05 07:00:10,Bosnia and Herzegovina,Sarajevo,Europe,1.73,1.73,1.73,100.0,1.73,1200.0,0.0,75.0,1.03,0.0,0.0,1028.0,1,701,Mist,mist,50d
2025-11-05 12:00:11,2025-11-05 13:00:11,Bosnia and Herzegovina,Sarajevo,Europe,6.73,6.73,6.73,81.0,6.73,10000.0,0.0,20.0,1.03,0.0,0.0,1023.0,1,801,Clouds,few clouds,02d
2025-11-05 18:00:08,2025-11-05 19:00:08,Bosnia and Herzegovina,Sarajevo,Europe,4.73,4.73,4.73,87.0,4.73,10000.0,0.0,20.0,1.03,0.0,0.0,1024.0,0,801,Clouds,few clouds,02n
2025-11-06 00:00:11,2025-11-06 01:00:11,Bosnia and Herzegovina,Sarajevo,Europe,0.73,0.73,0.73,100.0,0.73,5000.0,0.0,4.0,0.51,0.0,320.0,1023.0,0,701,Mist,mist,50n
2025-11-06 06:00:11,2025-11-06 07:00:11,Bosnia and Herzegovina,Sarajevo,Europe,0.73,0.73,0.73,100.0,-0.98,400.0,0.0,100.0,1.54,0.0,130.0,1021.0,1,741,Fog,fog,50d
2025-11-06 12:00:12,2025-11-06 13:00:12,Bosnia and Herzegovina,Sarajevo,Europe,3.73,3.73,3.73,93.0,3.73,3000.0,0.0,75.0,1.03,0.0,0.0,1016.0,1,701,Mist,mist,50d
2025-11-06 18:00:03,2025-11-06 19:00:03,Bosnia and Herzegovina,Sarajevo,Europe,3.73,3.73,3.73,93.0,3.73,8000.0,0.0,0.0,1.03,0.0,0.0,1017.0,0,800,Clear,clear sky,01n
2025-11-07 00:00:09,2025-11-07 01:00:09,Bosnia and Herzegovina,Sarajevo,Europe,-0.27,-0.27,-0.27,100.0,-0.27,3500.0,0.0,40.0,1.03,0.0,0.0,1017.0,0,701,Mist,mist,50n
2025-11-07 06:00:07,2025-11-07 07:00:07,Bosnia and Herzegovina,Sarajevo,Europe,0.73,0.73,0.73,100.0,0.73,6000.0,0.0,75.0,0.0,0.0,0.0,1017.0,1,741,Fog,fog,50d
2025-11-07 12:00:11,2025-11-07 13:00:11,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,81.0,5.73,7000.0,0.0,20.0,1.03,0.0,0.0,1014.0,1,801,Clouds,few clouds,02d
2025-11-07 18:00:07,2025-11-07 19:00:07,Bosnia and Herzegovina,Sarajevo,Europe,3.73,3.73,3.73,93.0,3.73,7000.0,0.0,56.0,1.03,0.0,230.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-08 00:00:02,2025-11-08 01:00:02,Bosnia and Herzegovina,Sarajevo,Europe,2.73,2.73,2.73,93.0,2.73,4000.0,0.0,75.0,1.03,0.0,0.0,1016.0,0,701,Mist,mist,50n
2025-11-08 06:00:09,2025-11-08 07:00:09,Bosnia and Herzegovina,Sarajevo,Europe,3.73,3.73,3.73,93.0,3.73,3500.0,0.0,75.0,0.51,0.0,300.0,1014.0,1,701,Mist,mist,50d
2025-11-08 12:00:10,2025-11-08 13:00:10,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,93.0,5.73,3000.0,0.15,75.0,0.51,0.0,0.0,1012.0,1,500,Rain,light rain,10d
2025-11-08 18:01:56,2025-11-08 19:01:56,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,100.0,5.73,6000.0,0.0,75.0,0.51,0.0,0.0,1016.0,0,803,Clouds,broken clouds,04n
2025-11-09 00:00:04,2025-11-09 01:00:04,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,100.0,5.73,1500.0,0.0,75.0,1.03,0.0,0.0,1017.0,0,701,Mist,mist,50n
2025-11-09 06:00:08,2025-11-09 07:00:08,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,100.0,5.73,6000.0,0.0,75.0,0.0,0.0,0.0,1018.0,1,803,Clouds,broken clouds,04d
2025-11-09 12:00:10,2025-11-09 13:00:10,Bosnia and Herzegovina,Sarajevo,Europe,8.73,8.73,8.73,81.0,8.16,10000.0,0.0,75.0,1.54,0.0,0.0,1017.0,1,803,Clouds,broken clouds,04d
2025-11-09 18:00:05,2025-11-09 19:00:05,Bosnia and Herzegovina,Sarajevo,Europe,7.73,7.73,7.73,100.0,7.73,6000.0,0.0,75.0,0.0,0.0,0.0,1017.0,0,803,Clouds,broken clouds,04n
2025-11-10 00:00:09,2025-11-10 01:00:09,Bosnia and Herzegovina,Sarajevo,Europe,7.73,7.73,7.73,100.0,7.73,2500.0,0.0,100.0,0.51,0.0,180.0,1015.0,0,701,Mist,mist,50n
2025-11-10 06:00:09,2025-11-10 07:00:09,Bosnia and Herzegovina,Sarajevo,Europe,7.73,7.73,7.73,100.0,7.73,2000.0,0.32,75.0,0.0,0.0,0.0,1015.0,1,500,Rain,light rain,10d
2025-11-10 12:00:11,2025-11-10 13:00:11,Bosnia and Herzegovina,Sarajevo,Europe,7.73,7.73,7.73,100.0,5.15,8000.0,0.0,100.0,4.12,0.0,300.0,1015.0,1,804,Clouds,overcast clouds,04d
2025-11-10 18:00:06,2025-11-10 19:00:06,Bosnia and Herzegovina,Sarajevo,Europe,6.73,6.73,6.73,100.0,5.87,10000.0,0.0,100.0,1.54,0.0,300.0,1017.0,0,804,Clouds,overcast clouds,04n
2025-11-11 00:00:05,2025-11-11 01:00:05,Bosnia and Herzegovina,Sarajevo,Europe,6.73,6.73,6.73,93.0,5.87,10000.0,0.0,75.0,1.54,0.0,340.0,1017.0,0,803,Clouds,broken clouds,04n
2025-11-11 06:00:11,2025-11-11 07:00:11,Bosnia and Herzegovina,Sarajevo,Europe,6.73,6.73,6.73,100.0,6.73,8000.0,0.0,75.0,1.03,0.0,0.0,1018.0,1,803,Clouds,broken clouds,04d
2025-11-11 12:00:10,2025-11-11 13:00:10,Bosnia and Herzegovina,Sarajevo,Europe,9.73,9.73,9.73,81.0,9.3,10000.0,0.0,75.0,1.54,0.0,230.0,1018.0,1,803,Clouds,broken clouds,04d
2025-11-11 18:00:03,2025-11-11 19:00:03,Bosnia and Herzegovina,Sarajevo,Europe,8.73,8.73,8.73,81.0,8.16,10000.0,0.0,75.0,1.54,0.0,320.0,1021.0,0,803,Clouds,broken clouds,04n
2025-11-12 00:00:09,2025-11-12 01:00:09,Bosnia and Herzegovina,Sarajevo,Europe,6.73,6.73,6.73,87.0,5.33,10000.0,0.0,75.0,2.06,0.0,120.0,1023.0,0,803,Clouds,broken clouds,04n
2025-11-12 06:00:10,2025-11-12 07:00:10,Bosnia and Herzegovina,Sarajevo,Europe,3.73,3.73,3.73,87.0,0.91,10000.0,0.0,75.0,3.09,0.0,120.0,1024.0,1,803,Clouds,broken clouds,04d
2025-11-12 12:00:10,2025-11-12 13:00:10,Bosnia and Herzegovina,Sarajevo,Europe,10.73,10.73,10.73,58.0,9.37,10000.0,0.0,0.0,0.51,0.0,0.0,1021.0,1,800,Clear,clear sky,01d
2025-11-12 18:00:08,2025-11-12 19:00:08,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,87.0,5.73,8000.0,0.0,46.0,1.03,0.0,0.0,1023.0,0,802,Clouds,scattered clouds,03n
2025-11-13 00:00:12,2025-11-13 01:00:12,Bosnia and Herzegovina,Sarajevo,Europe,0.73,0.73,0.73,100.0,0.73,10000.0,0.0,0.0,1.03,0.0,0.0,1025.0,0,800,Clear,clear sky,01n
2025-11-13 06:00:10,2025-11-13 07:00:10,Bosnia and Herzegovina,Sarajevo,Europe,-0.27,-0.27,-0.27,100.0,-0.27,300.0,0.0,100.0,0.51,0.0,0.0,1025.0,1,741,Fog,fog,50d
2025-11-13 12:00:12,2025-11-13 13:00:12,Bosnia and Herzegovina,Sarajevo,Europe,8.73,8.73,8.73,66.0,8.73,10000.0,0.0,0.0,1.03,0.0,0.0,1023.0,1,800,Clear,clear sky,01d
2025-11-13 18:00:08,2025-11-13 19:00:08,Bosnia and Herzegovina,Sarajevo,Europe,5.73,5.73,5.73,87.0,5.73,8000.0,0.0,46.0,1.03,0.0,0.0,1023.0,0,802,Clouds,scattered clouds,03n
2025-11-14 00:00:02,2025-11-14 01:00:02,Bosnia and Herzegovina,Sarajevo,Europe,0.73,0.73,0.73,100.0,-0.98,6000.0,0.0,7.0,1.54,0.0,130.0,1024.0,0,800,Clear,clear sky,01n
