utc_time,local_time,country,capital,continent,temperature,temp_min,temp_max,humidity,feels_like,visibility,precipitation,cloudcover,wind_speed,wind_gust,wind_direction,pressure,is_day,weather_code,weather_main,weather_description,weather_icon
2025-11-01 00:00:02,2025-11-01 02:00:02,Botswana,Gaborone,Africa,22.43,22.43,22.43,59.0,22.27,10000.0,0.0,98.0,3.79,9.68,42.0,1013.0,0,804,Clouds,overcast clouds,04n
2025-11-01 06:00:09,2025-11-01 08:00:09,Botswana,Gaborone,Africa,21.03,21.03,21.03,73.0,21.09,10000.0,0.0,0.0,4.63,0.0,70.0,1015.0,1,800,Clear,clear sky,01d
2025-11-01 12:00:06,2025-11-01 14:00:06,Botswana,Gaborone,Africa,29.03,29.03,29.03,45.0,29.13,10000.0,0.0,75.0,1.03,0.0,0.0,1009.0,1,803,Clouds,broken clouds,04d
2025-11-01 18:00:12,2025-11-01 20:00:12,Botswana,Gaborone,Africa,23.03,23.03,23.03,73.0,23.29,10000.0,0.15,40.0,4.63,0.0,90.0,1012.0,0,500,Rain,light rain,10n
2025-11-02 00:00:03,2025-11-02 02:00:03,Botswana,Gaborone,Africa,21.58,21.58,21.58,73.0,21.7,10000.0,0.0,100.0,0.71,0.83,350.0,1015.0,0,804,Clouds,overcast clouds,04n
2025-11-02 06:00:10,2025-11-02 08:00:10,Botswana,Gaborone,Africa,21.03,21.03,21.03,78.0,21.23,10000.0,0.0,0.0,1.03,0.0,0.0,1017.0,1,800,Clear,clear sky,01d
2025-11-02 12:00:08,2025-11-02 14:00:08,Botswana,Gaborone,Africa,31.03,31.03,31.03,37.0,30.54,10000.0,0.0,40.0,3.6,0.0,0.0,1013.0,1,802,Clouds,scattered clouds,03d
2025-11-02 18:00:07,2025-11-02 20:00:07,Botswana,Gaborone,Africa,26.03,26.03,26.03,47.0,26.03,10000.0,0.0,40.0,3.6,0.0,110.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-03 00:00:02,2025-11-03 02:00:02,Botswana,Gaborone,Africa,20.07,20.07,20.07,73.0,20.04,10000.0,0.0,100.0,7.08,10.57,50.0,1020.0,0,804,Clouds,overcast clouds,04n
2025-11-03 06:00:07,2025-11-03 08:00:07,Botswana,Gaborone,Africa,18.03,18.03,18.03,77.0,17.9,10000.0,0.0,40.0,5.14,0.0,50.0,1024.0,1,802,Clouds,scattered clouds,03d
2025-11-03 12:00:12,2025-11-03 14:00:12,Botswana,Gaborone,Africa,24.03,24.03,24.03,53.0,23.87,10000.0,0.0,100.0,5.66,0.0,40.0,1018.0,1,804,Clouds,overcast clouds,04d
2025-11-03 18:00:07,2025-11-03 20:00:07,Botswana,Gaborone,Africa,26.03,26.03,26.03,47.0,26.03,10000.0,0.0,40.0,3.6,0.0,110.0,1015.0,0,802,Clouds,scattered clouds,03n
2025-11-04 00:00:07,2025-11-04 02:00:07,Botswana,Gaborone,Africa,19.66,19.66,19.66,70.0,19.51,10000.0,0.0,100.0,3.66,7.4,19.0,1022.0,0,804,Clouds,overcast clouds,04n
2025-11-04 06:00:05,2025-11-04 08:00:05,Botswana,Gaborone,Africa,19.03,19.03,19.03,82.0,19.13,10000.0,0.89,100.0,2.06,0.0,60.0,1023.0,1,500,Rain,light rain,10d
2025-11-04 12:00:12,2025-11-04 14:00:12,Botswana,Gaborone,Africa,20.03,20.03,20.03,83.0,20.26,10000.0,0.0,100.0,3.6,0.0,50.0,1020.0,1,804,Clouds,overcast clouds,04d
2025-11-04 18:00:09,2025-11-04 20:00:09,Botswana,Gaborone,Africa,19.03,19.03,19.03,88.0,19.29,10000.0,0.0,75.0,1.54,0.0,60.0,1021.0,0,803,Clouds,broken clouds,04n
2025-11-05 00:00:04,2025-11-05 02:00:04,Botswana,Gaborone,Africa,15.03,15.03,15.03,100.0,15.2,9000.0,0.0,57.0,2.06,0.0,240.0,1020.0,0,803,Clouds,broken clouds,04n
2025-11-05 06:00:10,2025-11-05 08:00:10,Botswana,Gaborone,Africa,15.03,15.03,15.03,100.0,15.2,4000.0,0.0,40.0,1.03,0.0,240.0,1020.0,1,701,Mist,mist,50d
2025-11-05 12:00:11,2025-11-05 14:00:11,Botswana,Gaborone,Africa,29.03,29.03,29.03,39.0,28.55,10000.0,0.0,40.0,1.54,0.0,0.0,1014.0,1,802,Clouds,scattered clouds,03d
2025-11-05 18:00:09,2025-11-05 20:00:09,Botswana,Gaborone,Africa,28.03,28.03,28.03,36.0,27.43,10000.0,0.0,20.0,2.57,0.0,130.0,1013.0,0,801,Clouds,few clouds,02n
2025-11-06 00:00:11,2025-11-06 02:00:11,Botswana,Gaborone,Africa,22.08,22.08,22.08,64.0,22.01,10000.0,0.0,0.0,3.01,7.18,37.0,1015.0,0,800,Clear,clear sky,01n
2025-11-06 06:00:11,2025-11-06 08:00:11,Botswana,Gaborone,Africa,19.03,19.03,19.03,82.0,19.13,10000.0,0.0,100.0,4.12,0.0,60.0,1017.0,1,804,Clouds,overcast clouds,04d
2025-11-06 12:00:12,2025-11-06 14:00:12,Botswana,Gaborone,Africa,26.03,26.03,26.03,53.0,26.03,10000.0,0.0,75.0,4.12,0.0,60.0,1011.0,1,803,Clouds,broken clouds,04d
2025-11-06 18:00:03,2025-11-06 20:00:03,Botswana,Gaborone,Africa,21.03,21.03,21.03,60.0,20.76,10000.0,0.24,40.0,8.23,0.0,120.0,1015.0,0,500,Rain,light rain,10n
